Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
0&1		5.55553007126	5.55608606339	5.55608606339	5.55608606339	5.55365807126		0.1	1.0
0&2		3.69736409187	4.62749052048	9.25498104095	10.254981041	3.69628409187		0.2	1.0
0&3		3.41168308258	4.22269034386	12.6680710316	14.6680710316	3.41054408258		0.3	1.0
0&4		5.0004401207	4.41747701168	17.6699080467	20.6699080467	4.9998851207		0.4	1.0
0&5		5.54143095016	4.64250559807	23.2125279903	27.2125279903	5.53886395016		0.5	1.0
1&5		1.13807582855	4.05868665377	24.3521199226	29.3521199226	1.13430582855		0.5	0.833333333333
1&6		2.19568109512	3.79273343086	26.549134016	32.549134016	2.19347509512		0.6	0.857142857143
1&7		3.16558599472	3.71451762319	29.7161409855	36.7161409855	3.16480799472		0.7	0.875
2&7		0.664482116699	3.37578044997	30.3820240498	38.3820240498	0.660668116699		0.7	0.777777777778
3&7		0.722818136215	3.11061480045	31.1061480045	40.1061480045	0.719446136215		0.7	0.7
3&8		2.11396002769	3.02012890035	33.2214179039	43.2214179039	2.11287702769		0.7	0.727272727273
4&8		1.48279809952	2.89213758707	34.7056510448	45.7056510448	1.47952109952		0.6	0.666666666667
4&9		2.20822501183	2.83962838466	36.9151690006	48.9151690006	2.20695501183		0.6	0.692307692308
4&10		2.23436403275	2.79649421147	39.1509189606	52.1509189606	2.23274603275		0.6	0.714285714286
4&11		2.05279803276	2.74701700211	41.2052550316	55.2052550316	2.05190503276		0.6	0.733333333333
4&12		3.06467294693	2.76696531475	44.2714450359	59.2714450359	3.06271294693		0.7	0.75
5&12		0.474128007889	2.6321738187	44.7469549179	60.7469549179	0.470543007889		0.6	0.705882352941
6&12		1.94054603577	2.59382400248	46.6888320446	63.6888320446	1.93508503577		0.5	0.666666666667
7&12		2.08586192131	2.56716672998	48.7761678696	66.7761678696	2.08156092131		0.5	0.631578947368
7&13		2.20783185959	2.54926639795	50.9853279591	69.9853279591	2.20649785959		0.6	0.65
7&14		2.63860201836	2.55358585857	53.62530303	73.62530303	2.63767101836		0.6	0.666666666667
8&14		0.277329921722	2.4501821778	53.9040079117	74.9040079117	0.274166921722		0.6	0.636363636364
8&15		3.39535307884	2.49133465601	57.3006970882	79.3006970882	3.39421907884		0.6	0.652173913043
9&15		0.301074981689	2.40013237794	57.6031770706	80.6031770706	0.297607981689		0.5	0.625
10&15		0.59566283226	2.32800611496	58.200152874	82.200152874	0.59246083226		0.4	0.6
11&15		0.588316917419	2.26114595853	58.7897949219	83.7897949219	0.584800917419		0.3	0.576923076923
