"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp2.5K_bs256B.csv -cnm --socket 1 300",,,,"Date:","17 Jul 2017 06:41:33 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.658,5.423,91.179,0.145,0.0,1.595,0.0,0.0,132644864.0,37335040.0,346447872.0,451780608.0,339.0,4.0,6.0,0.0,0.0
1.285,11.311,84.062,0.0,0.0,3.342,1299226.0,1073.0,132894720.0,37335040.0,346222592.0,451756032.0,339.0,4.0,6.0,0.0,0.0
1.312,9.711,87.139,0.0,0.0,1.837,1188924.0,440.0,132907008.0,37335040.0,346234880.0,451731456.0,339.0,4.0,6.0,0.0,0.0
1.381,1.934,96.685,0.0,0.0,0.0,1396792.0,246.0,132866048.0,37335040.0,346234880.0,451772416.0,338.0,3.0,6.0,0.0,0.0
0.539,0.809,97.574,0.0,0.0,1.078,1479924.0,164.0,132866048.0,37335040.0,346234880.0,451772416.0,339.0,4.0,6.0,0.0,0.0
0.500,4.0,89.750,0.0,0.0,5.750,1516388.0,376.0,133246976.0,37335040.0,346234880.0,451391488.0,339.0,4.0,6.0,0.0,0.0
1.276,6.122,90.051,0.0,0.0,2.551,1437218.0,90.0,133267456.0,37347328.0,346234880.0,451358720.0,339.0,4.0,6.0,0.0,0.0
2.514,1.955,94.972,0.0,0.0,0.559,1311104.0,156.0,133300224.0,37347328.0,346234880.0,451325952.0,338.0,3.0,6.0,0.0,0.0
1.114,1.393,97.214,0.0,0.0,0.279,1350238.0,864.0,133234688.0,37347328.0,346234880.0,451391488.0,339.0,4.0,6.0,0.0,0.0
0.752,3.008,90.476,0.0,0.0,5.764,1288620.0,774.0,133234688.0,37347328.0,346234880.0,451391488.0,339.0,4.0,6.0,0.0,0.0
0.775,6.202,90.439,0.0,0.0,2.584,1558605.0,542.0,133234688.0,37347328.0,346234880.0,451391488.0,339.0,4.0,6.0,0.0,0.0
2.571,7.455,85.604,0.0,0.0,4.370,1460162.0,350.0,133226496.0,37355520.0,346234880.0,451391488.0,339.0,4.0,6.0,0.0,0.0
2.162,0.811,96.757,0.0,0.0,0.270,1018912.0,440.0,133226496.0,37355520.0,346234880.0,451391488.0,338.0,4.0,6.0,0.0,0.0
1.813,7.254,88.860,0.0,0.0,2.073,431396.0,448.0,133226496.0,37355520.0,346234880.0,451391488.0,340.0,5.0,6.0,0.0,0.0
1.028,11.568,83.033,0.0,0.0,4.370,1315858.0,1086.0,133378048.0,37355520.0,346234880.0,451239936.0,340.0,4.0,6.0,0.0,0.0
1.039,12.208,84.416,0.0,0.0,2.338,1429656.0,350.0,133443584.0,37355520.0,346234880.0,451174400.0,340.0,4.0,6.0,0.0,0.0
1.348,1.348,95.957,0.270,0.0,1.078,1107368.0,440.0,133369856.0,37363712.0,346234880.0,451239936.0,338.0,3.0,6.0,0.0,0.0
0.796,1.857,95.756,0.0,0.0,1.592,1466487.0,840.0,133361664.0,37363712.0,346234880.0,451248128.0,339.0,4.0,6.0,0.0,0.0
0.752,4.261,90.727,0.0,0.0,4.261,1383254.0,1011.0,133386240.0,37363712.0,346234880.0,451223552.0,339.0,4.0,6.0,0.0,0.0
0.993,7.444,88.834,0.0,0.0,2.730,1485080.0,836.0,133419008.0,37363712.0,346234880.0,451190784.0,339.0,4.0,6.0,0.0,0.0
1.635,0.817,96.730,0.0,0.0,0.817,1326044.0,440.0,133353472.0,37363712.0,346234880.0,451256320.0,338.0,3.0,6.0,0.0,0.0
1.316,5.263,89.474,0.0,0.0,3.947,1437087.0,974.0,133386240.0,37363712.0,346234880.0,451223552.0,339.0,4.0,6.0,0.0,0.0
1.289,4.381,91.237,0.0,0.0,3.093,1409492.0,350.0,133369856.0,37371904.0,346234880.0,451231744.0,339.0,4.0,6.0,0.0,0.0
1.003,7.519,89.223,0.0,0.0,2.256,1502128.0,440.0,133345280.0,37371904.0,346234880.0,451256320.0,338.0,3.0,6.0,0.0,0.0
0.822,0.274,98.904,0.0,0.0,0.0,1283396.0,448.0,133353472.0,37371904.0,346234880.0,451248128.0,339.0,4.0,6.0,0.0,0.0
0.787,2.362,95.538,0.0,0.0,1.312,1315488.0,448.0,133369856.0,37371904.0,346234880.0,451231744.0,339.0,4.0,6.0,0.0,0.0
1.036,10.104,84.456,0.0,0.0,4.404,1414706.0,844.0,133378048.0,37371904.0,346234880.0,451223552.0,339.0,4.0,6.0,0.0,0.0
1.609,14.745,80.429,0.268,0.0,2.949,1388004.0,350.0,133345280.0,37396480.0,346275840.0,451190784.0,339.0,4.0,6.0,0.0,0.0
2.801,5.882,90.756,0.0,0.0,0.560,1526080.0,440.0,133238784.0,37396480.0,346275840.0,451297280.0,338.0,4.0,6.0,0.0,0.0
1.592,1.592,94.430,0.0,0.0,2.387,1452996.0,448.0,133312512.0,37396480.0,346275840.0,451223552.0,339.0,4.0,6.0,0.0,0.0
0.752,4.261,89.975,0.0,0.0,5.013,1565262.0,660.0,133279744.0,37396480.0,346275840.0,451256320.0,339.0,4.0,6.0,0.0,0.0
0.759,5.570,91.646,0.0,0.0,2.025,1482920.0,1191.0,133341184.0,37396480.0,346279936.0,451190784.0,339.0,4.0,6.0,0.0,0.0
1.630,1.087,97.011,0.0,0.0,0.272,1538550.0,824.0,133341184.0,37396480.0,346279936.0,451190784.0,339.0,4.0,6.0,0.0,0.0
2.413,1.072,94.370,0.0,0.0,2.145,1300436.0,440.0,133267456.0,37404672.0,346279936.0,451256320.0,338.0,3.0,6.0,0.0,0.0
0.769,3.590,92.308,0.0,0.0,3.333,1293942.0,884.0,133332992.0,37404672.0,346279936.0,451190784.0,339.0,4.0,6.0,0.0,0.0
0.765,8.418,89.286,0.0,0.0,1.531,1337155.0,440.0,133332992.0,37404672.0,346279936.0,451190784.0,339.0,4.0,6.0,0.0,0.0
2.419,1.075,94.892,0.0,0.0,1.613,1384500.0,440.0,133267456.0,37404672.0,346279936.0,451256320.0,338.0,3.0,6.0,0.0,0.0
1.340,1.072,95.979,0.0,0.0,1.609,1421148.0,448.0,133267456.0,37404672.0,346279936.0,451256320.0,339.0,4.0,6.0,0.0,0.0
0.754,3.769,90.452,0.251,0.0,4.774,1325144.0,448.0,133267456.0,37412864.0,346271744.0,451256320.0,339.0,4.0,6.0,0.0,0.0
1.028,13.368,82.519,0.0,0.0,3.085,1345386.0,350.0,133521408.0,37412864.0,346271744.0,451002368.0,339.0,4.0,6.0,0.0,0.0
0.287,9.456,89.685,0.0,0.0,0.573,1376676.0,917.0,133529600.0,37412864.0,346271744.0,450994176.0,339.0,4.0,6.0,0.0,0.0
2.413,5.094,89.812,0.0,0.0,2.681,1418046.0,644.0,133697536.0,37412864.0,346279936.0,450818048.0,339.0,4.0,6.0,0.0,0.0
2.025,4.810,90.886,0.0,0.0,2.278,1334807.0,452.0,133640192.0,37412864.0,346279936.0,450875392.0,338.0,3.0,6.0,0.0,0.0
0.500,7.500,88.250,0.0,0.0,3.750,1342752.0,448.0,133632000.0,37421056.0,346279936.0,450875392.0,339.0,4.0,6.0,0.0,0.0
1.330,3.457,94.681,0.0,0.0,0.532,1290300.0,750.0,133632000.0,37421056.0,346279936.0,450875392.0,339.0,4.0,6.0,0.0,0.0
1.613,1.613,95.430,0.0,0.0,1.344,1400534.0,1269.0,133632000.0,37421056.0,346279936.0,450875392.0,339.0,4.0,6.0,0.0,0.0
1.055,4.222,93.140,0.0,0.0,1.583,1482286.0,620.0,133763072.0,37421056.0,346279936.0,450744320.0,339.0,4.0,6.0,0.0,0.0
2.228,7.921,87.376,0.0,0.0,2.475,1382512.0,440.0,133500928.0,37421056.0,346284032.0,451002368.0,338.0,3.0,6.0,0.0,0.0
1.075,2.419,95.430,0.0,0.0,1.075,1372780.0,448.0,133492736.0,37429248.0,346284032.0,451002368.0,339.0,4.0,6.0,0.0,0.0
1.064,0.532,96.277,0.0,0.0,2.128,1435112.0,562.0,133492736.0,37429248.0,346284032.0,451002368.0,339.0,4.0,6.0,0.0,0.0
1.842,4.211,91.579,0.0,0.0,2.368,1480648.0,350.0,133394432.0,37429248.0,346288128.0,451096576.0,339.0,4.0,6.0,0.0,0.0
1.279,8.696,87.212,0.0,0.0,2.813,1427752.0,440.0,133361664.0,37429248.0,346288128.0,451129344.0,338.0,3.0,6.0,0.0,0.0
0.826,8.815,88.705,0.0,0.0,1.653,1409776.0,448.0,133451776.0,37429248.0,346288128.0,451039232.0,340.0,4.0,6.0,0.0,0.0
0.562,7.584,90.730,0.0,0.0,1.124,1550154.0,1387.0,133410816.0,37437440.0,346288128.0,451072000.0,340.0,4.0,6.0,0.0,0.0
