Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		0.852420091629	0.852972984314	0.852972984314	0.852972984314	0.848233091629		0.0	0.0
2&0		0.535436868668	0.695022463799	1.3900449276	2.3900449276	0.532013868668		0.0	0.0
2&1		2.57428812981	1.32188367844	3.96565103531	5.96565103531	2.57333512981		0.1	0.333333333333
3&1		0.956120967865	1.2307934761	4.92317390442	7.92317390442	0.952528967865		0.1	0.25
4&1		1.35641407967	1.25618100166	6.28090500832	10.2809050083	1.35240407967		0.1	0.2
5&1		0.86719083786	1.19156881173	7.14941287041	12.1494128704	0.86353583786		0.1	0.166666666667
6&1		2.30576515198	1.35092772756	9.45649409294	15.4564940929	2.30217415198		0.1	0.142857142857
7&1		0.329704999924	1.22343873978	9.78750991821	16.7875099182	0.326453999924		0.1	0.125
8&1		0.903917074203	1.18808166186	10.6927349567	18.6927349567	0.900396074203		0.1	0.111111111111
8&2		2.40335488319	1.30973958969	13.0973958969	22.0973958969	2.40124588319		0.2	0.2
9&2		0.45499587059	1.23215707866	13.5537278652	23.5537278652	0.45183087059		0.2	0.181818181818
9&3		3.04180502892	1.38306983312	16.5968379974	27.5968379974	3.04090402892		0.3	0.25
10&3		1.24488711357	1.37254892863	17.8431360722	29.8431360722	1.24131611357		0.2	0.230769230769
10&4		2.04058885574	1.42036206382	19.8850688934	32.8850688934	2.03962685574		0.3	0.285714285714
11&4		0.512025117874	1.35990200043	20.3985300064	34.3985300064	0.508777117874		0.3	0.266666666667
12&4		0.297085046768	1.29351468384	20.6962349415	35.6962349415	0.293480046768		0.3	0.25
12&5		3.39346003532	1.41711787617	24.0910038948	40.0910038948	3.39243903532		0.4	0.294117647059
12&6		5.61897397041	1.6506332159	29.7113978863	46.7113978863	5.61792597041		0.5	0.333333333333
13&6		0.534363031387	1.59195715503	30.2471859455	48.2471859455	0.530912031387		0.5	0.315789473684
13&7		2.40100193024	1.63247494698	32.6494989395	51.6494989395	2.40000993024		0.5	0.35
13&8		2.04081010818	1.65198595183	34.6917049885	54.6917049885	2.04002910818		0.6	0.380952380952
13&9		2.67665791512	1.69862604141	37.3697729111	58.3697729111	2.67568691512		0.6	0.409090909091
14&9		1.28888607025	1.68087182874	38.6600520611	60.6600520611	1.28534907025		0.6	0.391304347826
14&10		2.3871409893	1.71035487453	41.0485169888	64.0485169888	2.3861409893		0.6	0.416666666667
14&11		2.3905339241	1.73761655807	43.4404139519	67.4404139519	2.3895219241		0.7	0.44
14&12		2.40582489967	1.76337088071	45.8476428986	70.8476428986	2.40475889967		0.8	0.461538461538
14&13		2.22924995422	1.78067821927	48.0783119202	74.0783119202	2.22775695422		0.8	0.481481481481
15&13		0.285360097885	1.72730410951	48.3645150661	75.3645150661	0.281956097885		0.7	0.464285714286
15&14		2.19526910782	1.74348675794	50.5611159801	78.5611159801	2.19340910782		0.8	0.48275862069
15&15		2.08226299286	1.7548255682	52.644767046	81.644767046	2.08140699286		0.8	0.5
15&16		3.38254499435	1.80737748454	56.0287020206	86.0287020206	3.38146799435		0.8	0.516129032258
16&16		0.79888010025	1.77587603033	56.8280329704	87.8280329704	0.79544810025		0.7	0.5
16&17		2.20367193222	1.78887463338	59.0328629017	91.0328629017	2.20180193222		0.8	0.515151515152
16&18		2.19365096092	1.80082064516	61.2279019356	94.2279019356	2.19194796092		0.8	0.529411764706
16&19		2.39122605324	1.81773020199	63.6205570698	97.6205570698	2.39021205324		0.8	0.542857142857
16&20		2.04248309135	1.82401233249	65.6644439697	100.66444397	2.04170309135		0.8	0.555555555556
16&21		2.38182091713	1.83912656758	68.0476830006	104.047683001	2.38076491713		0.8	0.567567567568
16&22		2.40881896019	1.8541552644	70.4579000473	107.457900047	2.40772496019		0.9	0.578947368421
16&23		2.0778439045	1.85992292257	72.5369939804	110.53699398	2.0770099045		0.9	0.589743589744
16&24		2.57291316986	1.87778142691	75.1112570763	114.111257076	2.57186816986		0.9	0.6
17&24		0.448451042175	1.84295394944	75.561111927	115.561111927	0.445213042175		0.8	0.585365853659
17&25		2.4850730896	1.85827347778	78.0474860668	119.047486067	2.4840390896		0.9	0.595238095238
17&26		2.57137012482	1.87488925734	80.6202380657	122.620238066	2.57035212482		0.9	0.604651162791
18&26		0.744056940079	1.84922047637	81.3657009602	124.36570096	0.740500940079		0.8	0.590909090909
18&27		2.19208717346	1.8568702009	83.5591590405	127.55915904	2.19042717346		0.8	0.6
18&28		2.44745182991	1.86973880167	86.0079848766	131.007984877	2.44519482991		0.8	0.608695652174
18&29		2.04548215866	1.87350789537	88.0548710823	134.054871082	2.04478315866		0.8	0.617021276596
19&29		1.32434201241	1.86209568878	89.3805930614	136.380593061	1.32096701241		0.7	0.604166666667
19&30		2.38346195221	1.87276261193	91.7653679848	139.765367985	2.38245695221		0.7	0.612244897959
19&31		2.04369115829	1.87621220112	93.8106100559	142.810610056	2.04294315829		0.7	0.62
19&32		2.18599319458	1.88231598162	95.9981150627	145.998115063	2.18404819458		0.8	0.627450980392
20&32		0.692195892334	1.85945557631	96.6916899681	147.691689968	0.688662892334		0.7	0.615384615385
21&32		0.362011909485	1.83122675374	97.0550179482	149.055017948	0.358145909485		0.6	0.603773584906
22&32		0.329691886902	1.80344521999	97.3860418797	150.38604188	0.326300886902		0.6	0.592592592593
22&33		2.04325604439	1.8078293627	99.4306149483	153.430614948	2.04254204439		0.6	0.6
23&33		0.282410860062	1.78061415894	99.7143929005	154.7143929	0.279349860062		0.5	0.589285714286
23&34		2.7351808548	1.79738371832	102.450871944	158.450871944	2.7342318548		0.5	0.59649122807
24&34		1.33720302582	1.7894732911	103.789450884	160.789450884	1.33383202582		0.5	0.586206896552
24&35		2.40100002289	1.7998601865	106.191751003	164.191751003	2.39989902289		0.5	0.593220338983
24&36		2.1865708828	1.80632861455	108.379716873	167.379716873	2.1849058828		0.5	0.6
24&37		2.39264297485	1.81596352233	110.773774862	170.773774862	2.39168997485		0.5	0.606557377049
24&38		2.04631900787	1.81970135627	112.821484089	173.821484089	2.04555600787		0.6	0.612903225806
24&39		2.66292619705	1.83310825484	115.485820055	177.485820055	2.66070719705		0.7	0.619047619048
24&40		2.5702559948	1.84464849904	118.057503939	181.057503939	2.5693289948		0.8	0.625
25&40		1.15423607826	1.83404839956	119.213145971	183.213145971	1.15050507826		0.7	0.615384615385
25&41		2.18773698807	1.83942686428	121.402173042	186.402173042	2.18588898807		0.8	0.621212121212
26&41		2.22517609596	1.84520502944	123.628736973	189.628736973	2.21963209596		0.7	0.611940298507
26&42		2.18285298347	1.8501933217	125.813145876	192.813145876	2.18113598347		0.8	0.617647058824
26&43		2.96769809723	1.86640923265	128.782237053	196.782237053	2.96668909723		0.8	0.623188405797
26&44		2.39185404778	1.87393494334	131.175446033	200.175446033	2.39074504778		0.8	0.628571428571
27&44		0.497450113297	1.85456749419	131.674292088	201.674292088	0.494246113297		0.7	0.619718309859
