Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
0&1		5.00050497055	5.00144195557	5.00144195557	5.00144195557	4.99986297055		0.1	1.0
0&2		2.0105369091	3.50665748119	7.01331496239	8.01331496239	2.0092659091		0.2	1.0
0&3		5.00041103363	4.00510064761	12.0153019428	14.0153019428	4.99987603363		0.3	1.0
0&4		2.07750988007	3.52350223064	14.0940089226	17.0940089226	2.07635288007		0.4	1.0
0&5		5.00051808357	3.81918940544	19.0959470272	23.0959470272	4.99985808357		0.5	1.0
0&6		5.00050616264	4.01627751191	24.0976650715	29.0976650715	4.99988316264		0.6	1.0
1&6		2.19375896454	3.75608798436	26.2926158905	32.2926158905	2.18862296454		0.6	0.857142857143
1&7		3.78400087357	3.75976660848	30.0781328678	37.0781328678	3.78292587357		0.7	0.875
1&8		5.00041604042	3.89777411355	35.0799670219	43.0799670219	4.99984304042		0.8	0.888888888889
1&9		2.08105993271	3.7162211895	37.162211895	46.162211895	2.08020893271		0.9	0.9
1&10		2.09471178055	3.56894798712	39.2584278584	49.2584278584	2.09389278055		0.9	0.909090909091
1&11		3.77098798752	3.58591292302	43.0309550762	54.0309550762	3.76995698752		0.9	0.916666666667
1&12		5.00057697296	3.69483977098	48.0329170227	60.0329170227	4.99986897296		0.9	0.923076923077
1&13		2.08167505264	3.57970549379	50.1158769131	63.1158769131	2.08049405264		0.9	0.928571428571
1&14		5.00077795982	3.67453986804	55.1180980206	69.1180980206	4.99981895982		0.9	0.933333333333
1&15		5.19196295738	3.76946280897	60.3114049435	75.3114049435	5.19102095738		0.9	0.9375
1&16		5.00052595139	3.8419601777	65.3133230209	81.3133230209	4.99991195139		1.0	0.941176470588
1&17		2.08515000343	3.74442994595	67.399739027	84.399739027	2.08431800343		1.0	0.944444444444
1&18		3.11442804337	3.711344995	70.5155549049	88.5155549049	3.11364804337		1.0	0.947368421053
1&19		5.15638899803	3.78366554976	75.6733109951	94.6733109951	5.15542399803		1.0	0.95
1&20		5.0005068779	3.84167656444	80.6752078533	100.675207853	4.9998388779		1.0	0.952380952381
2&20		3.20941090584	3.81299231269	83.8858308792	104.885830879	3.20439890584		0.9	0.909090909091
2&21		5.00052785873	3.86468677935	88.8877959251	110.887795925	4.99983885873		0.9	0.913043478261
2&22		2.48652505875	3.8073130846	91.3755140305	114.37551403	2.48541905875		0.9	0.916666666667
2&23		5.00042295456	3.8550924778	96.377311945	120.377311945	4.99988895456		0.9	0.92
2&24		5.00058102608	3.89919591867	101.379093885	126.379093885	4.99988802608		0.9	0.923076923077
3&24		3.35084295273	3.87893184909	104.731159925	130.731159925	3.34596095273		0.8	0.888888888889
3&25		5.0004940033	3.91903842347	109.733075857	136.733075857	4.9997690033		0.8	0.892857142857
3&26		2.08704710007	3.85590903512	111.821362019	139.821362019	2.08613510007		0.8	0.896551724138
3&27		5.00044202805	3.89411049684	116.823314905	145.823314905	4.99986502805		0.8	0.9
3&28		5.00047898293	3.92983880351	121.825002909	151.825002909	4.99985998293		0.8	0.903225806452
3&29		5.00054812431	3.9633365944	126.826771021	157.826771021	4.99982412431		0.9	0.90625
3&30		3.13598799706	3.93830169331	129.963955879	161.963955879	3.13496199706		0.9	0.909090909091
3&31		5.00042486191	3.96958276104	134.965813875	167.965813875	4.99988586191		0.9	0.911764705882
3&32		5.24386096001	4.00602500098	140.210875034	174.210875034	5.24297896001		0.9	0.914285714286
3&33		3.08747601509	3.9805486136	143.29975009	178.29975009	3.08665901509		0.9	0.916666666667
3&34		5.00051593781	4.00815637692	148.301785946	184.301785946	4.99986493781		1.0	0.918918918919
3&35		5.7193031311	4.05321989561	154.022356033	191.022356033	5.7170081311		1.0	0.921052631579
3&36		3.09121704102	4.02860477032	157.115586042	195.115586042	3.08962304102		1.0	0.923076923077
3&37		5.00104498863	4.05295630097	162.118252039	201.118252039	4.99995398863		1.0	0.925
3&38		2.09553384781	4.00525619344	164.215503931	204.215503931	2.09369384781		1.0	0.926829268293
3&39		3.27570414543	3.98793064413	167.493087053	208.493087053	3.27434714543		1.0	0.928571428571
3&40		5.00042891502	4.01150941849	172.494904995	214.494904995	4.99988791502		1.0	0.93023255814
3&41		2.07796406746	3.96759268371	174.574078083	217.574078083	2.07693306746		1.0	0.931818181818
4&41		0.121500015259	3.8821580463	174.697112083	218.697112083	0.118366015259		0.9	0.911111111111
4&42		5.21353602409	3.91113256372	179.912097931	224.912097931	5.21231802409		0.9	0.913043478261
4&43		5.00049996376	3.93432721179	184.913378954	230.913378954	4.99987896376		0.9	0.914893617021
4&44		2.07868218422	3.89569275081	186.993252039	233.993252039	2.07784618422		0.9	0.916666666667
4&45		5.00072693825	3.91827475295	191.995462894	239.995462894	4.99994793825		0.9	0.918367346939
4&46		5.00048494339	3.93994279861	196.997139931	245.997139931	4.99986694339		0.9	0.92
4&47		5.00096893311	3.96077090151	201.999315977	251.999315977	4.99994293311		0.9	0.921568627451
4&48		5.00084590912	3.9807982674	207.001509905	258.001509905	4.99997390912		0.9	0.923076923077
4&49		2.07949185371	3.94494762061	209.082223892	261.082223892	2.07858785371		0.9	0.924528301887
4&50		5.00076985359	3.96451229519	214.08366394	267.08366394	4.99989885359		0.9	0.925925925926
4&51		2.07792711258	3.93023798249	216.163089037	270.163089037	2.07685011258		1.0	0.927272727273
5&51		0.119176149368	3.86220825144	216.283662081	271.283662081	0.116096149368		0.9	0.910714285714
5&52		2.24414896965	3.83384622607	218.529234886	274.529234886	2.24252096965		0.9	0.912280701754
5&53		5.90169000626	3.86952236192	224.432296991	281.432296991	5.90060400626		0.9	0.913793103448
5&54		5.20407700539	3.89215308529	229.637032032	287.637032032	5.20322400539		0.9	0.915254237288
5&55		5.23157596588	3.91450031598	234.870018959	293.870018959	5.23078596588		0.9	0.916666666667
5&56		3.07888913155	3.90082616493	237.950396061	297.950396061	3.07780613155		0.9	0.918032786885
5&57		5.00042510033	3.91858658098	242.952368021	303.952368021	4.99988610033		0.9	0.91935483871
5&58		5.00051784515	3.93577936339	247.954099894	309.954099894	4.99984184515		0.9	0.920634920635
5&59		3.16772913933	3.92379740626	251.123034	314.123034	3.16685613933		0.9	0.921875
5&60		5.14208102226	3.9425615384	256.266499996	320.266499996	5.14123602226		0.9	0.923076923077
5&61		2.08014011383	3.91436378884	258.348010063	323.348010063	2.07951711383		1.0	0.924242424242
6&61		0.13144993782	3.85792669965	258.481088877	324.481088877	0.12672393782		0.9	0.910447761194

Total-Times:67	Loss-Times:61	Recent 10 times loss possiblity: 0.9	Total Hex File Loss number: 1
