"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp1W_bs1311B.csv -cnm --socket 1 300",,,,"Date:","17 Jul 2017 13:49:41 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.617,6.040,90.218,0.063,0.0,2.062,0.0,0.0,141733888.0,60153856.0,357699584.0,408621056.0,352.0,4.0,6.0,0.0,0.0
1.344,2.688,93.548,0.0,0.0,2.419,4069221.0,712.0,141623296.0,60153856.0,357703680.0,408727552.0,352.0,4.0,6.0,0.0,0.0
0.529,4.497,93.386,0.0,0.0,1.587,4069221.0,614.0,141606912.0,60153856.0,357703680.0,408743936.0,352.0,4.0,6.0,0.0,0.0
0.518,6.218,91.451,0.0,0.0,1.813,4093323.0,614.0,141606912.0,60153856.0,357703680.0,408743936.0,352.0,4.0,6.0,0.0,0.0
0.809,0.0,98.383,0.0,0.0,0.809,2331199.0,712.0,141606912.0,60153856.0,357703680.0,408743936.0,352.0,4.0,6.0,0.0,0.0
2.362,1.575,93.963,0.262,0.0,1.837,1679106.0,680.0,141606912.0,60157952.0,357699584.0,408743936.0,352.0,4.0,6.0,0.0,0.0
1.263,0.505,98.232,0.0,0.0,0.0,309551.0,1014.0,141602816.0,60157952.0,357703680.0,408743936.0,352.0,4.0,6.0,0.0,0.0
2.432,6.216,88.378,0.0,0.0,2.973,3873762.0,614.0,141987840.0,60157952.0,357703680.0,408358912.0,352.0,4.0,6.0,0.0,0.0
2.521,2.521,91.877,0.0,0.0,3.081,4006368.0,704.0,141914112.0,60157952.0,357703680.0,408432640.0,351.0,4.0,6.0,0.0,0.0
0.852,7.670,89.773,0.0,0.0,1.705,4136325.0,802.0,141983744.0,60157952.0,357703680.0,408363008.0,352.0,4.0,6.0,0.0,0.0
0.824,9.890,86.813,0.0,0.0,2.473,4050475.0,712.0,141983744.0,60157952.0,357703680.0,408363008.0,352.0,4.0,6.0,0.0,0.0
