Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		1.0881550312	1.08867907524	1.08867907524	1.08867907524	1.0843680312		0.0	0.0
1&1		2.4295759201	1.75983297825	3.5196659565	4.5196659565	2.4285249201		0.1	0.5
1&2		2.38292193413	1.96799866358	5.90399599075	7.90399599075	2.38196193413		0.2	0.666666666667
2&2		0.381481170654	1.57171976566	6.28687906265	9.28687906265	0.377827170654		0.2	0.5
2&3		2.56139183044	1.76991357803	8.84956789017	12.8495678902	2.56033883044		0.3	0.6
2&4		2.04544186592	1.81613099575	10.8967859745	15.8967859745	2.04448986592		0.4	0.666666666667
3&4		1.88612389565	1.82634799821	12.7844359875	18.7844359875	1.88211389565		0.4	0.571428571429
3&5		2.18696594238	1.87158936262	14.972714901	21.972714901	2.18498294238		0.5	0.625
3&6		3.25977420807	2.02599112193	18.2339200974	26.2339200974	3.25804620807		0.6	0.666666666667
4&6		0.619071006775	1.8854418993	18.854418993	27.854418993	0.614879006775		0.6	0.6
5&6		1.92711806297	1.88935199651	20.7828719616	30.7828719616	1.92264406297		0.6	0.545454545455
5&7		3.1841878891	1.99736382564	23.9683659077	34.9683659077	3.1823158891		0.6	0.583333333333
6&7		2.23449206352	2.01571330657	26.2042729855	38.2042729855	2.23071606352		0.5	0.538461538462
6&8		3.58719205856	2.12805378437	29.7927529812	42.7927529812	3.58610805856		0.6	0.571428571429
7&8		0.335915088654	2.00867220561	30.1300830841	44.1300830841	0.332453088654		0.5	0.533333333333
8&8		0.311368942261	1.9026723057	30.4427568913	45.4427568913	0.308019942261		0.4	0.5
9&8		1.28912496567	1.86665811258	31.7331879139	47.7331879139	1.28586096567		0.4	0.470588235294
9&9		2.3775370121	1.89511189196	34.1120140553	51.1120140553	2.3761870121		0.4	0.5
10&9		0.918347120285	1.84377863533	35.0317940712	53.0317940712	0.914994120285		0.3	0.473684210526
11&9		0.838088035583	1.79355905056	35.8711810112	54.8711810112	0.834814035583		0.3	0.45
12&9		0.284811973572	1.72177519117	36.1572790146	56.1572790146	0.281567973572		0.3	0.428571428571
12&10		2.58528995514	1.7610887289	38.7439520359	59.7439520359	2.58444495514		0.3	0.454545454545
13&10		0.643033981323	1.71253778623	39.3883690834	61.3883690834	0.639137981323		0.3	0.434782608696
14&10		0.814032077789	1.67515466611	40.2037119865	63.2037119865	0.810630077789		0.2	0.416666666667
14&11		2.45554900169	1.70642352104	42.660588026	66.660588026	2.45395500169		0.3	0.44
15&11		3.52729701996	1.77651145825	46.1892979145	71.1892979145	3.52383801996		0.3	0.423076923077
15&12		2.31405520439	1.79646892901	48.5046610832	74.5046610832	2.31260220439		0.4	0.444444444444
16&12		0.620665073395	1.75452603613	49.1267290115	76.1267290115	0.617050073395		0.3	0.428571428571
16&13		2.77770900726	1.78984210409	51.9054210186	79.9054210186	2.77657700726		0.4	0.448275862069
17&13		0.281054019928	1.73959633509	52.1878900528	81.1878900528	0.277570019928		0.4	0.433333333333
18&13		0.606475114822	1.70308674535	52.795689106	82.795689106	0.603192114822		0.4	0.41935483871
19&13		0.321565151215	1.65995503217	53.1185610294	84.1185610294	0.317875151215		0.3	0.40625
19&14		3.38782978058	1.7123558449	56.5077428818	88.5077428818	3.38687578058		0.4	0.424242424242
20&14		0.28862786293	1.67052211481	56.7977519035	89.7977519035	0.28528586293		0.4	0.411764705882
21&14		0.794950008392	1.64554300308	57.5940051079	91.5940051079	0.791677008392		0.3	0.4
21&15		2.61812806129	1.67259536187	60.2134330273	95.2134330273	2.61712406129		0.4	0.416666666667
22&15		0.672071933746	1.64559189049	60.8868999481	96.8868999481	0.668528933746		0.3	0.405405405405
22&16		2.39893388748	1.66545157684	63.2871599197	100.28715992	2.39787588748		0.4	0.421052631579
22&17		3.37348794937	1.70928423221	66.6620850563	104.662085056	3.37252394937		0.4	0.435897435897
22&18		2.57274985313	1.7309053719	69.2362148762	108.236214876	2.57180485313		0.5	0.45
22&19		2.37492203712	1.7466471486	71.6125330925	111.612533092	2.37395003712		0.6	0.463414634146
23&19		0.592517137527	1.7192009063	72.2064380646	113.206438065	0.589207137527		0.6	0.452380952381
24&19		0.275675058365	1.68565497842	72.483164072	114.483164072	0.272655058365		0.5	0.441860465116
25&19		0.284014940262	1.65382879431	72.7684669495	115.768466949	0.280813940262		0.5	0.431818181818
26&19		0.285195112228	1.6234451135	73.0550301075	117.055030107	0.282112112228		0.5	0.422222222222
27&19		0.553456068039	1.6002123926	73.6097700596	118.60977006	0.549882068039		0.4	0.413043478261
27&20		2.43613195419	1.61802523187	76.0471858978	122.047185898	2.43470695419		0.5	0.425531914894
27&21		3.58738303185	1.65908333162	79.635999918	126.635999918	3.58634303185		0.5	0.4375
27&22		2.3784968853	1.67379314072	82.0158638954	130.015863895	2.3775808853		0.5	0.448979591837
28&22		0.864077806473	1.65762695789	82.8813478947	131.881347895	0.860554806473		0.4	0.44
