"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp2.5K_bs2048B.csv -cnm --socket 1 300",,,,"Date:","17 Jul 2017 07:51:48 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.750,5.581,90.684,0.117,0.0,1.868,0.0,0.0,183250944.0,43929600.0,356290560.0,384737280.0,341.0,4.0,6.0,0.0,1.0
1.635,2.452,94.005,0.0,0.0,1.907,3731798.0,1565.0,183406592.0,43929600.0,356298752.0,384573440.0,341.0,4.0,6.0,0.0,1.0
2.732,1.639,93.989,0.0,0.0,1.639,3599070.0,1052.0,182996992.0,43929600.0,356298752.0,384983040.0,341.0,4.0,6.0,0.0,1.0
2.192,4.110,87.945,0.274,0.0,5.479,3768940.0,884.0,183582720.0,43933696.0,356298752.0,384393216.0,340.0,3.0,6.0,0.0,1.0
1.044,5.222,90.339,0.0,0.0,3.394,3799676.0,712.0,183484416.0,43933696.0,356298752.0,384491520.0,341.0,4.0,6.0,0.0,1.0
0.761,7.360,89.340,0.0,0.0,2.538,3750510.0,1561.0,183648256.0,43933696.0,356298752.0,384327680.0,341.0,4.0,6.0,0.0,1.0
0.829,1.105,96.685,0.0,0.0,1.381,3777790.0,1280.0,183361536.0,43933696.0,356298752.0,384614400.0,340.0,3.0,6.0,0.0,1.0
0.781,3.646,91.667,0.0,0.0,3.906,3776006.0,1549.0,183451648.0,43933696.0,356298752.0,384524288.0,341.0,4.0,6.0,0.0,1.0
1.583,3.694,91.029,0.0,0.0,3.694,3811194.0,1022.0,183840768.0,43937792.0,356298752.0,384131072.0,341.0,4.0,6.0,0.0,1.0
1.542,5.398,89.974,0.0,0.0,3.085,3790392.0,794.0,184365056.0,43937792.0,356298752.0,383606784.0,340.0,3.0,6.0,0.0,1.0
