Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
0&1		5.00062394142	5.00130915642	5.00130915642	5.00130915642	4.99985994142		0.1	1.0
0&2		5.10889291763	5.05581402779	10.1116280556	11.1116280556	5.10757991763		0.2	1.0
0&3		2.08274388313	4.06531000137	12.1959300041	14.1959300041	2.08175988313		0.3	1.0
0&4		3.63963699341	3.95924752951	15.836990118	18.836990118	3.63842499341		0.4	1.0
0&5		2.3912730217	3.6459602356	18.229801178	22.229801178	2.3894530217		0.5	1.0
0&6		3.83558607101	3.67780935764	22.0668561459	27.0668561459	3.83429807101		0.6	1.0
0&7		5.0005338192	3.86699043001	27.0689330101	33.0689330101	4.9998508192		0.7	1.0
0&8		5.00057291985	4.00884824991	32.0707859993	39.0707859993	4.99985791985		0.8	1.0
0&9		5.00053811073	4.11917368571	37.0725631714	45.0725631714	4.99983411073		0.9	1.0
1&9		0.133432865143	3.72072200775	37.2072200775	46.2072200775	0.127697865143		0.9	0.9
1&10		3.0808699131	3.66271454638	40.2898600101	50.2898600101	3.0798409131		0.9	0.909090909091
1&11		2.08100986481	3.53102467457	42.3722960949	53.3722960949	2.07964986481		0.9	0.916666666667
1&12		3.84651899338	3.55540000475	46.2202000618	58.2202000618	3.84507999338		0.9	0.923076923077
1&13		5.00108885765	3.6587685006	51.2227590084	64.2227590084	4.99992085765		0.9	0.928571428571
1&14		5.00080299377	3.74832720757	56.2249081135	70.2249081135	4.99992499377		0.9	0.933333333333
2&14		0.85346698761	3.5674777627	57.0796442032	72.0796442032	0.84861598761		0.8	0.875
2&15		3.18956398964	3.54532895369	60.2705922127	76.2705922127	3.18794798964		0.8	0.882352941176
2&16		5.00085282326	3.62631489171	65.2736680508	82.2736680508	4.99979182326		0.8	0.888888888889
2&17		5.20207190514	3.7093273715	70.4772200584	88.4772200584	5.20080190514		0.8	0.894736842105
2&18		5.00073409081	3.77398436069	75.4796872139	94.4796872139	4.99997709081		0.9	0.9
3&18		3.20981907845	3.74718667212	78.6909201145	98.6909201145	3.20312707845		0.8	0.857142857143
3&19		5.00107288361	3.80425822735	83.6936810017	104.693681002	4.99962088361		0.8	0.863636363636
3&20		3.07640600204	3.77267026901	86.7714161873	108.771416187	3.07487300204		0.8	0.869565217391
3&21		5.00044107437	3.82388788462	91.7733092308	114.773309231	4.99985707437		0.8	0.875
3&22		5.00073099136	3.87101304054	96.7753260136	120.775326014	4.99976099136		0.8	0.88
3&23		2.08326005936	3.8023009667	98.8598251343	123.859825134	2.08160805936		0.9	0.884615384615
3&24		3.19804096222	3.77999440829	102.059849024	128.059849024	3.19651096222		0.9	0.888888888889
3&25		3.07329702377	3.75482078961	105.134982109	132.134982109	3.07199202377		0.9	0.892857142857
3&26		2.07694792747	3.69701334526	107.213387012	135.213387012	2.07549792747		0.9	0.896551724138
3&27		5.1454770565	3.74534854094	112.360456228	141.360456228	5.1444820565		0.9	0.9
3&28		3.56199908257	3.73948494081	115.924033165	145.924033165	3.55975008257		1.0	0.903225806452
3&29		5.71286582947	3.80120196939	121.63846302	152.63846302	5.71161982947		1.0	0.90625
3&30		5.00078487396	3.83759999998	126.640799999	158.640799999	4.99977387396		1.0	0.909090909091
3&31		2.10762691498	3.7867603863	128.749853134	161.749853134	2.10632191498		1.0	0.911764705882
3&32		5.00059318542	3.82148389135	133.751936197	167.751936197	4.99987418542		1.0	0.914285714286
3&33		3.72381496429	3.81882105933	137.477558136	172.477558136	3.72254296429		1.0	0.916666666667
3&34		5.00088500977	3.85082016764	142.480346203	178.480346203	5.00009800977		1.0	0.918918918919
3&35		5.14522886276	3.88491618633	147.626815081	184.626815081	5.14400686276		1.0	0.921052631579
3&36		5.00062012672	3.91357667018	152.629490137	190.629490137	4.99990012672		1.0	0.923076923077
3&37		5.0005698204	3.9407844007	157.631376028	196.631376028	4.9998158204		1.0	0.925
3&38		2.13203191757	3.89669324712	159.764423132	199.764423132	2.13060091757		1.0	0.926829268293
4&38		3.21012997627	3.8803804091	162.975977182	203.975977182	3.20410797627		0.9	0.904761904762
4&39		2.07744002342	3.83849216616	165.055163145	207.055163145	2.07635902342		0.9	0.906976744186
4&40		5.00052404404	3.86493241245	170.057026148	213.057026148	4.99986704404		0.9	0.909090909091
4&41		5.14248585701	3.893335957	175.200118065	219.200118065	5.14155685701		0.9	0.911111111111
4&42		5.36255598068	3.92530661044	180.56410408	225.56410408	5.36120198068		0.9	0.913043478261
4&43		3.08559393883	3.90745976631	183.650609016	229.650609016	3.08460693883		0.9	0.914893617021
5&43		0.139661073685	3.82899696132	183.791854143	230.791854143	0.134131073685		0.8	0.895833333333
5&44		2.08012318611	3.79333533073	185.873431206	233.873431206	2.07891018611		0.8	0.897959183673
5&45		5.891299963	3.83532566071	191.766283035	240.766283035	5.889898963		0.8	0.9
5&46		5.00044703484	3.85819876895	196.768137217	246.768137217	4.99987903484		0.8	0.901960784314
5&47		5.00065803528	3.88019304092	201.770038128	252.770038128	4.99981703528		0.9	0.903846153846
5&48		5.77586102486	3.91598383436	207.547143221	259.547143221	5.77440102486		0.9	0.905660377358
5&49		5.00043106079	3.93609370567	212.549060106	265.549060106	4.99987306079		0.9	0.907407407407
5&50		5.82279515266	3.97041918581	218.37305522	272.37305522	5.82153015266		0.9	0.909090909091
5&51		5.00068116188	3.98884232555	223.375170231	278.375170231	4.99970516188		0.9	0.910714285714
5&52		5.00057601929	4.00661428351	228.37701416	284.37701416	4.99985401929		0.9	0.912280701754
5&53		5.00067210197	4.02377534735	233.378970146	290.378970146	4.99980910197		1.0	0.913793103448
5&54		3.16713690758	4.00927769532	236.547384024	294.547384024	3.16559990758		1.0	0.915254237288
5&55		5.00055599213	4.02582312028	241.549387217	300.549387217	4.99981699213		1.0	0.916666666667

Total-Times:60	Loss-Times:55	Recent 10 times loss possiblity: 0.10	Total Hex File Loss number: 2
