Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
0&1		2.57277989388	2.57323789597	2.57323789597	2.57323789597	2.57144589388		0.1	1.0
1&1		0.582412004471	1.57856500149	3.15713000298	4.15713000298	0.578284004471		0.1	0.5
1&2		2.62355899811	1.92733867963	5.78201603889	7.78201603889	2.62242899811		0.2	0.666666666667
1&3		2.04422712326	1.95691400766	7.82765603065	10.8276560307	2.04345112326		0.3	0.75
2&3		1.67757701874	1.90132679939	9.50663399696	13.506633997	1.67370101874		0.3	0.6
2&4		5.34608983994	2.47567514579	14.8540508747	19.8540508747	5.34441983994		0.4	0.666666666667
2&5		2.4274058342	2.468978405	17.282848835	23.282848835	2.4255828342		0.5	0.714285714286
2&6		3.38218903542	2.58330762386	20.6664609909	27.6664609909	3.38116703542		0.6	0.75
2&7		3.18818807602	2.6506705549	23.8560349941	31.8560349941	3.18593507602		0.7	0.777777777778
2&8		2.04599404335	2.59033999443	25.9033999443	34.9033999443	2.04527004335		0.8	0.8
2&9		2.18868708611	2.55395390771	28.0934929848	38.0934929848	2.18698308611		0.8	0.818181818182
2&10		2.570114851	2.55542031924	30.6650438309	41.6650438309	2.568843851		0.9	0.833333333333
2&11		2.56728506088	2.55644130707	33.2337369919	45.2337369919	2.56622506088		0.9	0.846153846154
3&11		0.583960056305	2.41564978872	33.8190970421	46.8190970421	0.580188056305		0.8	0.785714285714
3&12		3.58827400208	2.49391153653	37.408673048	51.408673048	3.58720900208		0.9	0.8
3&13		2.04486894608	2.46593368053	39.4549388885	54.4549388885	2.04407294608		0.9	0.8125
3&14		2.04604196548	2.44132346265	41.5024988651	57.5024988651	2.04534296548		0.9	0.823529411765
4&14		0.325489997864	2.32385349274	41.8293628693	58.8293628693	0.322339997864		0.8	0.777777777778
4&15		2.38974094391	2.32738962926	44.220402956	62.220402956	2.38869894391		0.8	0.789473684211
