"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp2W_bs32B.csv -cnm --socket 1 300",,,,"Date:","17 Jul 2017 14:15:11 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.629,6.156,90.064,0.061,0.0,2.090,0.0,0.0,141570048.0,61521920.0,357838848.0,407277568.0,352.0,4.0,6.0,0.0,0.0
1.064,15.426,81.117,0.0,0.0,2.394,329798.0,318.0,141639680.0,61521920.0,357851136.0,407195648.0,352.0,4.0,6.0,0.0,0.0
1.877,14.209,80.965,0.0,0.0,2.949,334740.0,126.0,141639680.0,61521920.0,357851136.0,407195648.0,352.0,4.0,6.0,0.0,0.0
0.831,13.573,81.440,0.0,0.0,4.155,326592.0,216.0,142266368.0,61521920.0,357851136.0,406568960.0,351.0,3.0,6.0,0.0,0.0
0.580,16.522,77.971,0.0,0.0,4.928,340614.0,1493.0,142266368.0,61521920.0,357851136.0,406568960.0,352.0,4.0,6.0,0.0,0.0
1.515,15.152,80.909,0.0,0.0,2.424,326888.0,126.0,142331904.0,61521920.0,357851136.0,406503424.0,352.0,4.0,6.0,0.0,0.0
2.312,10.116,84.682,0.0,0.0,2.890,329454.0,486.0,142295040.0,61526016.0,357851136.0,406536192.0,351.0,3.0,6.0,0.0,0.0
3.315,12.155,82.044,0.0,0.0,2.486,322980.0,224.0,142286848.0,61526016.0,357851136.0,406544384.0,352.0,4.0,6.0,0.0,0.0
3.343,11.421,83.287,0.0,0.0,1.950,318652.0,436.0,142262272.0,61526016.0,357851136.0,406568960.0,352.0,4.0,6.0,0.0,0.0
3.958,12.137,79.156,0.0,0.0,4.749,321162.0,318.0,142262272.0,61526016.0,357851136.0,406568960.0,352.0,4.0,6.0,0.0,0.0
15.013,17.426,63.003,0.0,0.0,4.558,324180.0,126.0,142340096.0,61526016.0,358055936.0,406286336.0,356.0,4.0,6.0,0.0,0.0
3.694,13.456,76.517,0.0,0.0,6.332,329820.0,216.0,146558976.0,61534208.0,358129664.0,401985536.0,355.0,4.0,6.0,0.0,0.0
2.747,11.813,81.593,0.0,0.0,3.846,332970.0,1187.0,142688256.0,61534208.0,357855232.0,406130688.0,352.0,4.0,6.0,0.0,0.0
0.792,15.040,80.211,0.528,0.0,3.430,341506.0,588.0,142635008.0,61542400.0,357888000.0,406142976.0,352.0,4.0,6.0,0.0,0.0
1.090,12.534,83.106,0.0,0.0,3.270,330060.0,306.0,142610432.0,61542400.0,357892096.0,406163456.0,351.0,3.0,6.0,0.0,0.0
1.055,14.776,81.530,0.0,0.0,2.639,338151.0,1607.0,142651392.0,61542400.0,357892096.0,406122496.0,352.0,4.0,6.0,0.0,0.0
1.102,14.601,79.339,0.0,0.0,4.959,335344.0,396.0,142585856.0,61542400.0,357892096.0,406188032.0,351.0,3.0,6.0,0.0,0.0
1.445,18.497,78.324,0.0,0.0,1.734,330606.0,1583.0,142594048.0,61542400.0,357892096.0,406179840.0,352.0,4.0,6.0,0.0,0.0
1.775,15.976,78.107,0.296,0.0,3.846,332280.0,126.0,142921728.0,61542400.0,357892096.0,405852160.0,353.0,4.0,6.0,0.0,0.0
