Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
0&1		3.20518994331	3.20578598976	3.20578598976	3.20578598976	3.20297494331		0.1	1.0
0&2		3.50633692741	3.35689103603	6.71378207207	7.71378207207	3.50483992741		0.2	1.0
0&3		2.19951701164	2.97156898181	8.91470694542	10.9147069454	2.19763301164		0.3	1.0
0&4		2.41220593452	2.83207976818	11.3283190727	14.3283190727	2.41117593452		0.4	1.0
1&4		1.17076206207	2.50009641647	12.5004820824	16.5004820824	1.16724206207		0.4	0.8
2&4		2.40108799934	2.48381515344	14.9028909206	19.9028909206	2.39716499934		0.4	0.666666666667
2&5		2.75600910187	2.52288814953	17.6602170467	23.6602170467	2.75507110187		0.5	0.714285714286
2&6		3.3958978653	2.63218736649	21.0574989319	28.0574989319	3.3948948653		0.6	0.75
3&6		0.63090801239	2.40997579363	21.6897821426	29.6897821426	0.62719401239		0.6	0.666666666667
3&7		2.45506596565	2.41461899281	24.1461899281	33.1461899281	2.45300796565		0.7	0.7
3&8		2.6415169239	2.4353909926	26.7893009186	36.7893009186	2.6404899239		0.7	0.727272727273
3&9		2.66183900833	2.45437775056	29.4525330067	40.4525330067	2.66072600833		0.7	0.75
3&10		2.04095315933	2.42268046966	31.4948461056	43.4948461056	2.04024815933		0.7	0.769230769231
3&11		3.40304088593	2.49280321598	34.8992450237	47.8992450237	3.40203588593		0.7	0.785714285714
3&12		2.40773701668	2.48722807566	37.3084211349	51.3084211349	2.40682101668		0.8	0.8
3&13		2.67238998413	2.49888794124	39.9822070599	54.9822070599	2.67067598413		0.9	0.8125
3&14		2.04297113419	2.47215200873	42.0265841484	58.0265841484	2.04223513419		0.9	0.823529411765
3&15		5.00045394897	2.61269133621	47.0284440517	64.0284440517	4.99983494897		0.9	0.833333333333
3&16		2.04831194878	2.58305074039	49.0779640675	67.0779640675	2.04737694878		1.0	0.842105263158
4&16		1.36191487312	2.52206414938	50.4412829876	69.4412829876	1.35835487312		0.9	0.8
5&16		1.34055709839	2.46586362521	51.7831361294	71.7831361294	1.33730109839		0.8	0.761904761905
6&16		2.05868816376	2.44741500508	53.8431301117	74.8431301117	2.05503416376		0.7	0.727272727273
6&17		2.19334816933	2.4364249188	56.0377731323	78.0377731323	2.19189716933		0.7	0.739130434783
6&18		2.39196205139	2.43463008602	58.4311220646	81.4311220646	2.39089705139		0.7	0.75
6&19		3.63575983047	2.48273083687	62.0682709217	86.0682709217	3.63484283047		0.7	0.76
6&20		2.62752199173	2.4883527664	64.6971719265	89.6971719265	2.62639799173		0.7	0.769230769231
6&21		3.38477396965	2.52160474106	68.0833280087	94.0833280087	3.38372996965		0.7	0.777777777778
6&22		2.63451910019	2.52569071736	70.719340086	97.719340086	2.63338610019		0.7	0.785714285714
6&23		2.04297089577	2.5090938601	72.7637219429	100.763721943	2.04218989577		0.7	0.793103448276
6&24		2.0468211174	2.49373006821	74.8119020462	103.811902046	2.0460211174		0.8	0.8
6&25		2.39834880829	2.49069767614	77.2116279602	107.21162796	2.39731780829		0.9	0.806451612903
6&26		3.40456008911	2.51929891109	80.617565155	111.617565155	3.40348408911		1.0	0.8125
6&27		3.37966918945	2.54541236704	83.9986081123	115.998608112	3.37870318945		1.0	0.818181818182
6&28		2.04162120819	2.5306353569	86.0416021347	119.041602135	2.04088220819		1.0	0.823529411765
6&29		2.0406730175	2.51667565618	88.0836479664	122.083647966	2.0398860175		1.0	0.828571428571
7&29		4.78808307648	2.57980930805	92.8731350899	127.87313509	4.78435207648		0.9	0.805555555556
7&30		2.43622994423	2.57596383868	95.3106620312	131.310662031	2.43442494423		0.9	0.810810810811
8&30		0.723469018936	2.52725079185	96.0355300903	133.03553009	0.720132018936		0.8	0.789473684211
8&31		2.38007712364	2.52351028491	98.4169011116	136.416901112	2.37905912364		0.8	0.794871794872
8&32		2.59938406944	2.52544162869	101.017665148	140.017665148	2.59827206944		0.8	0.8
9&32		0.628324985504	2.4792035382	101.647345066	141.647345066	0.624896985504		0.7	0.780487804878
9&33		2.04535603523	2.46890473933	103.693999052	144.693999052	2.04470303523		0.7	0.785714285714
9&34		3.08705711365	2.48331235176	106.782431126	148.782431126	3.08615111365		0.7	0.790697674419
9&35		2.38327479362	2.48107256673	109.167192936	152.167192936	2.38214979362		0.7	0.795454545455
9&36		2.72393417358	2.48650369114	111.892666101	155.892666101	2.72292617358		0.7	0.8
10&36		1.35696911812	2.46197885016	113.251027107	158.251027107	1.35344511812		0.7	0.782608695652
10&37		3.61114907265	2.48645721598	116.863489151	162.863489151	3.61018407265		0.7	0.787234042553
10&38		2.67934393883	2.49050758282	119.544363976	166.544363976	2.67836893883		0.8	0.791666666667
10&39		2.57060408592	2.49217045064	122.116352081	170.116352081	2.56976708592		0.8	0.795918367347
10&40		2.62645411491	2.49488284111	124.744142056	173.744142056	2.62538311491		0.8	0.8
10&41		3.38454604149	2.51235457028	128.130083084	178.130083084	3.38347404149		0.9	0.803921568627
10&42		2.37873792648	2.50981221291	130.510235071	181.510235071	2.37774392648		0.9	0.807692307692
10&43		3.08106780052	2.52061720614	133.592711926	185.592711926	3.08006680052		0.9	0.811320754717
10&44		2.41704487801	2.5187250729	136.011153936	189.011153936	2.41599987801		0.9	0.814814814815
10&45		3.38842105865	2.53456289118	139.400959015	193.400959015	3.38729905865		0.9	0.818181818182
10&46		3.04104495049	2.54363180484	142.443381071	197.443381071	3.04019395049		1.0	0.821428571429
10&47		2.66655707359	2.54581342245	145.11136508	201.11136508	2.66495807359		1.0	0.824561403509
10&48		2.10213017464	2.53818710508	147.214852095	204.214852095	2.10123517464		1.0	0.827586206897
11&48		1.12020993233	2.51417952473	148.336591959	206.336591959	1.11558493233		0.9	0.813559322034
11&49		2.1854839325	2.5087267677	150.523606062	209.523606062	2.1839939325		0.9	0.816666666667
11&50		3.37717795372	2.5229884601	153.902296066	213.902296066	3.37617995372		0.9	0.819672131148
11&51		3.04344296455	2.5314055489	156.947144032	217.947144032	3.04248296455		0.9	0.822580645161
11&52		3.04612207413	2.53959811301	159.99468112	221.99468112	3.04521007413		0.9	0.825396825397
11&53		2.19638395309	2.53425709531	162.1924541	225.1924541	2.19455095309		0.9	0.828125
11&54		2.04388904572	2.52673435578	164.237733126	228.237733126	2.04318804572		0.9	0.830769230769
11&55		2.69724202156	2.52933886557	166.936365128	231.936365128	2.69633602156		0.9	0.833333333333
11&56		5.46292495728	2.57314431489	172.400669098	238.400669098	5.46090795728		0.9	0.835820895522
11&57		2.08765697479	2.56602560422	174.489741087	241.489741087	2.08680097479		0.9	0.838235294118
11&58		3.12724995613	2.5741798394	177.618408918	245.618408918	3.12629095613		1.0	0.840579710145
11&59		2.50582504272	2.57322324344	180.125627041	249.125627041	2.50467204272		1.0	0.842857142857
