"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp5K_bs32B.csv -cnm --socket 1 100",,,,"Date:","17 Jul 2017 09:23:57 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.858,5.936,90.118,0.091,0.0,1.997,0.0,0.0,175312896.0,48783360.0,356470784.0,387641344.0,343.0,4.0,6.0,0.0,0.0
2.077,12.166,83.680,0.0,0.0,2.077,313572.0,931.0,175423488.0,48783360.0,356478976.0,387522560.0,342.0,3.0,6.0,0.0,0.0
1.441,9.798,87.032,0.0,0.0,1.729,314007.0,1331.0,175423488.0,48791552.0,356478976.0,387514368.0,342.0,3.0,6.0,0.0,0.0
1.709,8.547,86.610,0.0,0.0,3.134,312607.0,1331.0,175456256.0,48791552.0,356478976.0,387481600.0,342.0,3.0,6.0,0.0,0.0
1.777,14.721,77.919,0.0,0.0,5.584,313444.0,1331.0,175423488.0,48791552.0,356478976.0,387514368.0,342.0,3.0,6.0,0.0,0.0
2.073,13.731,79.016,0.0,0.0,5.181,312664.0,1331.0,175423488.0,48791552.0,356478976.0,387514368.0,342.0,3.0,6.0,0.0,0.0
0.809,13.477,82.749,0.0,0.0,2.965,314043.0,1331.0,175448064.0,48791552.0,356478976.0,387489792.0,342.0,3.0,6.0,0.0,0.0
1.609,13.673,80.965,0.0,0.0,3.753,314046.0,1433.0,176050176.0,48799744.0,356478976.0,386879488.0,342.0,3.0,6.0,0.0,0.0
1.070,10.695,82.086,0.0,0.0,6.150,308665.0,971.0,176033792.0,48799744.0,356478976.0,386895872.0,343.0,4.0,6.0,0.0,0.0
1.333,13.867,81.600,0.0,0.0,3.200,303998.0,486.0,176082944.0,48799744.0,356478976.0,386846720.0,342.0,3.0,6.0,0.0,0.0
1.143,8.857,87.429,0.0,0.0,2.571,313803.0,1331.0,176058368.0,48799744.0,356478976.0,386871296.0,342.0,3.0,6.0,0.0,0.0
1.977,9.322,84.746,0.0,0.0,3.955,313384.0,1331.0,176058368.0,48799744.0,356478976.0,386871296.0,342.0,3.0,6.0,0.0,0.0
2.388,15.224,80.597,0.299,0.0,1.493,313024.0,1331.0,176058368.0,48807936.0,356470784.0,386871296.0,342.0,3.0,6.0,0.0,0.0
