Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		1.08222985268	1.08285498619	1.08285498619	1.08285498619	1.07803485268		0.0	0.0
1&1		3.42336821556	2.25404059887	4.50808119774	5.50808119774	3.42207721556		0.1	0.5
2&1		0.694408893585	1.73466499647	5.2039949894	7.2039949894	0.690567893585		0.1	0.333333333333
2&2		2.50432705879	1.92745804787	7.70983219147	10.7098321915	2.50271405879		0.2	0.5
2&3		2.44457793236	2.03118162155	10.1559081078	14.1559081078	2.44356793236		0.3	0.6
3&3		1.52005505562	1.9462531805	11.677519083	16.677519083	1.51477605562		0.3	0.5
4&3		0.272197008133	1.70734143257	11.951390028	17.951390028	0.268877008133		0.3	0.428571428571
5&3		0.490387916565	1.55538675189	12.4430940151	19.4430940151	0.486522916565		0.3	0.375
6&3		0.279540061951	1.41378702058	12.7240831852	20.7240831852	0.272379061951		0.3	0.333333333333
7&3		0.555295944214	1.32808310986	13.2808310986	22.2808310986	0.551137944214		0.3	0.3
8&3		0.936678171158	1.29265919599	14.2192511559	24.2192511559	0.932297171158		0.3	0.272727272727
9&3		0.402038812637	1.21858874957	14.6230649948	25.6230649948	0.398430812637		0.2	0.25
10&3		0.531225919724	1.16581392288	15.1555809975	27.1555809975	0.527338919724		0.2	0.230769230769
11&3		1.26692891121	1.17312914985	16.4238080978	29.4238080978	1.26344891121		0.1	0.214285714286
12&3		0.38818693161	1.12088500659	16.8132750988	30.8132750988	0.38425693161		0.0	0.2
13&3		0.380278110504	1.07467669249	17.1948270798	32.1948270798	0.373794110504		0.0	0.1875
13&4		2.44986200333	1.15567358802	19.6464509964	35.6464509964	2.44882400333		0.1	0.235294117647
13&5		2.50469112396	1.23072195053	22.1529951096	39.1529951096	2.50325012396		0.2	0.277777777778
14&5		1.65470695496	1.25311310668	23.8091490269	41.8091490269	1.65011295496		0.2	0.263157894737
15&5		0.967245101929	1.23890330791	24.7780661583	43.7780661583	0.962314101929		0.2	0.25
15&6		2.44852399826	1.29657981509	27.2281761169	47.2281761169	2.44652899826		0.3	0.285714285714
16&6		1.34214901924	1.29873095859	28.572081089	49.572081089	1.33888901924		0.3	0.272727272727
17&6		0.239259958267	1.25273000676	28.8127901554	50.8127901554	0.234424958267		0.3	0.260869565217
18&6		0.302484989166	1.21319567164	29.1166961193	52.1166961193	0.298240989166		0.3	0.25
19&6		0.266351938248	1.17537548065	29.3843870163	53.3843870163	0.263178938248		0.3	0.24
20&6		0.840767145157	1.16255585047	30.2264521122	55.2264521122	0.836772145157		0.3	0.230769230769
20&7		2.44544911385	1.21011930042	32.6732211113	58.6732211113	2.44441311385		0.3	0.259259259259
21&7		0.91107583046	1.19948910815	33.5856950283	60.5856950283	0.90738983046		0.2	0.25
22&7		0.83446598053	1.18694731285	34.4214720726	62.4214720726	0.83081498053		0.2	0.241379310345
23&7		0.279777050018	1.15675246716	34.7025740147	63.7025740147	0.274511050018		0.2	0.233333333333
24&7		0.354372024536	1.13091454967	35.0583510399	65.0583510399	0.351137024536		0.1	0.225806451613
25&7		0.389652013779	1.10779687762	35.4495000839	66.4495000839	0.386020013779		0.1	0.21875
26&7		0.606492996216	1.09264533447	36.0572960377	68.0572960377	0.602872996216		0.1	0.212121212121
26&8		2.3763358593	1.13043570518	38.4348139763	71.4348139763	2.3742578593		0.2	0.235294117647
26&9		2.67929005623	1.17473097529	41.1155841351	75.1155841351	2.67716305623		0.3	0.257142857143
27&9		0.753175973892	1.16306175126	41.8702230453	76.8702230453	0.749394973892		0.3	0.25
28&9		0.652220010757	1.14929127049	42.5237770081	78.5237770081	0.648593010757		0.2	0.243243243243
29&9		0.516586065292	1.13267608065	43.0416910648	80.0416910648	0.513159065292		0.2	0.236842105263
30&9		0.385035991669	1.11354036209	43.4280741215	81.4280741215	0.381555991669		0.2	0.230769230769
30&10		2.23310112953	1.14156277776	45.6625111103	84.6625111103	2.23129312953		0.3	0.25
30&11		2.5403740406	1.17571566163	48.2043421268	88.2043421268	2.5384330406		0.4	0.268292682927
30&12		2.49512910843	1.20716438407	50.7009041309	91.7009041309	2.49387910843		0.5	0.285714285714
31&12		0.764271020889	1.19690062833	51.4667270184	93.4667270184	0.760284020889		0.5	0.279069767442
32&12		0.58603310585	1.18304852464	52.0541350842	95.0541350842	0.58276010585		0.4	0.272727272727
33&12		0.747062206268	1.1733926932	52.8026711941	96.8026711941	0.743440206268		0.3	0.266666666667
34&12		0.900949954987	1.16749893582	53.7049510479	98.7049510479	0.896787954987		0.3	0.260869565217
35&12		0.310961961746	1.14930255362	54.0172200203	100.01722002	0.307392961746		0.3	0.255319148936
36&12		1.00584602356	1.14634158711	55.0243961811	102.024396181	1.00035502356		0.3	0.25
36&13		3.69114685059	1.19830622478	58.7170050144	106.717005014	3.68853685059		0.4	0.265306122449
37&13		0.776463985443	1.18990022182	59.4950110912	108.495011091	0.772580985443		0.3	0.26
37&14		3.23524093628	1.23003094337	62.7315781116	112.731578112	3.23265993628		0.3	0.274509803922
38&14		0.677832126617	1.21943917641	63.4108371735	114.410837173	0.672588126617		0.2	0.269230769231
39&14		0.57275390625	1.20726411298	63.9849979877	115.984997988	0.56757590625		0.2	0.264150943396
39&15		2.83329391479	1.23740174152	66.8196940422	119.819694042	2.83203291479		0.3	0.277777777778
40&15		0.550843954086	1.22494436611	67.371940136	121.371940136	0.547208954086		0.3	0.272727272727
41&15		0.989902019501	1.22077044845	68.363145113	123.363145113	0.985927019501		0.3	0.267857142857
41&16		2.54306292534	1.24399212369	70.9075510502	126.90755105	2.54196192534		0.4	0.280701754386
42&16		0.968978881836	1.23925794815	71.8769609928	128.876960993	0.963236881836		0.4	0.275862068966
42&17		3.46946692467	1.27708211996	75.3478450775	133.347845078	3.46836792467		0.4	0.28813559322
43&17		1.20022201538	1.27582439979	76.5494639874	135.549463987	1.19493901538		0.4	0.283333333333
44&17		0.671613931656	1.26594257355	77.2224969864	137.222496986	0.667941931656		0.3	0.27868852459
44&18		2.24885892868	1.28181717857	79.4726650715	140.472665071	2.24680592868		0.4	0.290322580645
44&19		2.47307705879	1.30074880994	81.9471750259	143.947175026	2.47211705879		0.5	0.301587301587
44&20		2.46574997902	1.31897373497	84.4143190384	147.414319038	2.46464097902		0.5	0.3125
45&20		0.566599845886	1.30742018406	84.982311964	148.982311964	0.561446845886		0.5	0.307692307692
46&20		0.978708028793	1.30246112202	85.9624340534	150.962434053	0.974574028793		0.5	0.30303030303
46&21		2.45719599724	1.31971607635	88.4209771156	154.420977116	2.45596099724		0.5	0.313432835821
47&21		0.604644060135	1.30922147106	89.0270600319	156.027060032	0.600408060135		0.5	0.308823529412
47&22		2.45580887794	1.32585939117	91.4842979908	159.484297991	2.45455187794		0.5	0.31884057971
48&22		0.975262880325	1.32087294374	92.4611060619	161.461106062	0.970448880325		0.5	0.314285714286
49&22		1.26123690605	1.32005283195	93.7237510681	163.723751068	1.25601390605		0.5	0.30985915493
50&22		0.278151035309	1.30560137497	94.0032989979	165.003298998	0.274795035309		0.4	0.305555555556
51&22		0.843122959137	1.29928439937	94.8477611542	166.847761154	0.839794959137		0.3	0.301369863014
52&22		0.419862031937	1.28740963743	95.2683131695	168.268313169	0.415993031937		0.2	0.297297297297
53&22		1.41515016556	1.28913176219	96.684882164	170.684882164	1.40971816556		0.2	0.293333333333
54&22		0.406982183456	1.27754340987	97.0932991505	172.09329915	0.401085183456		0.2	0.289473684211
55&22		0.395956039429	1.26611209225	97.4906311035	173.490631104	0.391053039429		0.1	0.285714285714
56&22		0.283352136612	1.25353050232	97.7753791809	174.775379181	0.279767136612		0.1	0.282051282051
57&22		0.644403934479	1.24583711503	98.4211320877	176.421132088	0.640310934479		0.0	0.278481012658
57&23		2.45081210136	1.26091565192	100.873252153	179.873252153	2.44962110136		0.1	0.2875
58&23		1.0701379776	1.25857787662	101.944808006	181.944808006	1.0643759776		0.1	0.283950617284
58&24		2.52799296379	1.27407597623	104.474230051	185.474230051	2.52666096379		0.2	0.292682926829
58&25		2.46725201607	1.28846812248	106.942854166	188.942854166	2.46614901607		0.3	0.301204819277
59&25		1.50096893311	1.29101513113	108.445271015	191.445271015	1.49746493311		0.3	0.297619047619
60&25		0.925204992294	1.28672741161	109.371829987	193.371829987	0.921439992294		0.3	0.294117647059
61&25		0.435766935349	1.27684768688	109.808901072	194.808901072	0.432406935349		0.3	0.290697674419
62&25		0.402930021286	1.26681927703	110.213277102	196.213277102	0.399442021286		0.3	0.287356321839
63&25		0.477060079575	1.25785972855	110.691656113	197.691656113	0.473616079575		0.3	0.284090909091
64&25		0.449948072433	1.24879678715	111.142914057	199.142914057	0.446168072433		0.3	0.280898876404
65&25		0.498207807541	1.24047163328	111.642446995	200.642446995	0.495001807541		0.2	0.277777777778
66&25		0.627994775772	1.23375549421	112.271749973	202.271749973	0.624279775772		0.2	0.274725274725
67&25		0.506562948227	1.22586545737	112.779622078	203.779622078	0.501979948227		0.1	0.271739130435
67&26		2.45100593567	1.2390542902	115.232048988	207.232048988	2.44994193567		0.1	0.279569892473
68&26		0.503617048264	1.23124535287	115.737063169	208.737063169	0.500351048264		0.1	0.276595744681
69&26		0.286159992218	1.221310864	116.02453208	210.02453208	0.283094992218		0.1	0.273684210526
70&26		1.3688750267	1.2228622511	117.394776106	212.394776106	1.3656360267		0.1	0.270833333333
71&26		0.264073848724	1.21299172185	117.66019702	213.66019702	0.261005848724		0.1	0.268041237113
72&26		0.58290886879	1.20657598972	118.244446993	215.244446993	0.57959086879		0.1	0.265306122449
73&26		0.505722999573	1.19951062732	118.751552105	216.751552105	0.502512999573		0.1	0.262626262626
74&26		0.265444040298	1.19018305063	119.018305063	218.018305063	0.261879040298		0.1	0.26
75&26		0.263497114182	1.18102190282	119.283212185	219.283212185	0.260164114182		0.1	0.257425742574
76&26		0.26691699028	1.172073217	119.551468134	220.551468134	0.26360399028		0.1	0.254901960784
77&26		0.586228132248	1.16639836089	120.139031172	222.139031172	0.582479132248		0.0	0.252427184466
78&26		0.858162164688	1.16344726086	120.998515129	223.998515129	0.854363164688		0.0	0.25
79&26		0.393310785294	1.15612545695	121.393172979	225.393172979	0.389668785294		0.0	0.247619047619
80&26		0.318120002747	1.14823258598	121.712654114	226.712654114	0.314947002747		0.0	0.245283018868
81&26		0.305372953415	1.14036795358	122.019371033	228.019371033	0.301664953415		0.0	0.242990654206
81&27		3.00571489334	1.15765220368	125.026437998	232.026437998	3.00426089334		0.1	0.25
82&27		0.710333108902	1.15356113933	125.738164186	233.738164186	0.705225108902		0.1	0.247706422018
83&27		0.517878055573	1.14779650081	126.257615089	235.257615089	0.514430055573		0.1	0.245454545455
84&27		0.944328069687	1.14597528045	127.20325613	237.20325613	0.940571069687		0.1	0.243243243243
85&27		0.554068088531	1.14070254564	127.758685112	238.758685112	0.550821088531		0.1	0.241071428571
86&27		0.357951164246	1.13378794847	128.118038177	240.118038177	0.353947164246		0.1	0.238938053097
87&27		0.972211122513	1.13238215028	129.091565132	242.091565132	0.966991122513		0.1	0.236842105263
87&28		2.71084880829	1.14612028702	131.803833008	245.803833008	2.70974980829		0.2	0.24347826087
88&28		0.271853923798	1.13859688825	132.077239037	247.077239037	0.268249923798		0.2	0.241379310345
88&29		2.45094895363	1.14982494126	134.529518127	250.529518127	2.44988995363		0.3	0.247863247863
88&30		3.22730922699	1.1674428067	137.75825119	254.75825119	3.22489722699		0.3	0.254237288136
89&30		0.405867815018	1.16105478151	138.165518999	256.165518999	0.402355815018		0.3	0.252100840336
89&31		2.24497699738	1.17009830872	140.411797047	259.411797047	2.24273299738		0.4	0.258333333333
89&32		2.71803307533	1.18290284448	143.131244183	263.131244183	2.71696407533		0.5	0.264462809917
90&32		0.927950143814	1.18082457488	144.060598135	265.060598135	0.924249143814		0.5	0.262295081967
91&32		1.67612290382	1.1848622357	145.738054991	267.738054991	1.67260090382		0.5	0.260162601626
91&33		2.4673678875	1.19520848413	148.205852032	271.205852032	2.4661978875		0.6	0.266129032258
91&34		2.55277085304	1.20608012009	150.760015011	274.760015011	2.55178885304		0.6	0.272
91&35		2.48620390892	1.21625116704	153.247647047	278.247647047	2.48483490892		0.7	0.277777777778
92&35		0.405426025391	1.20987858359	153.654580116	279.654580116	0.402058025391		0.6	0.275590551181
93&35		0.545106887817	1.2046954222	154.201014042	281.201014042	0.541068887817		0.5	0.2734375
94&35		0.552028179169	1.19964808641	154.754603148	282.754603148	0.546646179169		0.5	0.271317829457
95&35		0.329946994781	1.19296910029	155.085983038	284.085983038	0.324493994781		0.4	0.269230769231
96&35		0.391795158386	1.18686415403	155.479204178	285.479204178	0.386469158386		0.3	0.267175572519
97&35		0.838823080063	1.18423822793	156.319446087	287.319446087	0.834957080063		0.3	0.265151515152
98&35		1.04615092278	1.18321000006	157.366930008	289.366930008	1.04064392278		0.3	0.263157894737
99&35		0.512962818146	1.1782187686	157.881314993	290.881314993	0.507747818146		0.2	0.261194029851
100&35		0.689816951752	1.17461166735	158.572575092	292.572575092	0.686185951752		0.1	0.259259259259
100&36		2.20639705658	1.18220798584	160.780286074	295.780286074	2.20454305658		0.1	0.264705882353
101&36		1.67963695526	1.18584902965	162.461317062	298.461317062	1.67449895526		0.1	0.262773722628
101&37		2.44006800652	1.19494790616	164.90281105	301.90281105	2.43864000652		0.2	0.268115942029
102&37		0.604412078857	1.19071063378	165.508778095	303.508778095	0.599676078857		0.2	0.26618705036

Total-Times:139	Loss-Times:37	Recent 10 times loss possiblity: 0.2	Total Hex File Loss number: 10
