"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp2.5K_bs1024B.csv -cnm --socket 1 300",,,,"Date:","20 Jul 2017 13:49:31 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
2.233,3.744,92.929,0.136,0.0,0.957,0.0,0.0,170061824.0,63475712.0,350273536.0,384397312.0,350.0,4.0,6.0,0.0,0.0
1.295,3.109,94.560,0.0,0.0,1.036,758826.0,1181.0,170094592.0,63475712.0,350277632.0,384360448.0,350.0,4.0,6.0,0.0,0.0
3.101,2.842,92.248,0.0,0.0,1.809,755966.0,1256.0,170061824.0,63475712.0,350277632.0,384393216.0,349.0,4.0,6.0,0.0,0.0
1.562,3.646,93.490,0.0,0.0,1.302,774324.0,712.0,170086400.0,63475712.0,350277632.0,384368640.0,350.0,4.0,6.0,0.0,0.0
1.348,7.278,90.027,0.0,0.0,1.348,815808.0,1026.0,170086400.0,63475712.0,350277632.0,384368640.0,350.0,4.0,6.0,0.0,0.0
1.583,9.499,86.807,0.0,0.0,2.111,797754.0,896.0,170086400.0,63475712.0,350277632.0,384368640.0,349.0,3.0,6.0,0.0,0.0
1.061,9.019,88.859,0.0,0.0,1.061,780644.0,924.0,170295296.0,63475712.0,350277632.0,384159744.0,350.0,4.0,6.0,0.0,0.0
13.212,6.477,79.534,0.0,0.0,0.777,809034.0,736.0,173641728.0,63475712.0,350277632.0,380813312.0,350.0,3.0,6.0,0.0,0.0
11.311,4.113,83.805,0.0,0.0,0.771,792156.0,614.0,176054272.0,63475712.0,350277632.0,378400768.0,349.0,3.0,6.0,0.0,0.0
1.535,4.092,92.327,0.0,0.0,2.046,773220.0,712.0,176054272.0,63475712.0,350277632.0,378400768.0,350.0,4.0,6.0,0.0,0.0
2.116,3.175,93.915,0.0,0.0,0.794,837452.0,924.0,176054272.0,63475712.0,350277632.0,378400768.0,350.0,4.0,6.0,0.0,0.0
