Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		1.13079285622	1.13166999817	1.13166999817	1.13166999817	1.12293885622		0.0	0.0
2&0		0.93209695816	1.03274357319	2.06548714638	3.06548714638	0.92444095816		0.0	0.0
3&0		0.445725917816	0.837630669276	2.51289200783	4.51289200783	0.441219917816		0.0	0.0
4&0		0.466068983078	0.745105743408	2.98042297363	5.98042297363	0.456982983078		0.0	0.0
5&0		0.452665805817	0.686930799484	3.43465399742	7.43465399742	0.447876805817		0.0	0.0
6&0		0.451959133148	0.648003697395	3.88802218437	8.88802218437	0.441846133148		0.0	0.0
7&0		0.461168050766	0.621606588364	4.35124611855	10.3512461185	0.451401050766		0.0	0.0
7&1		1.67650198936	0.753702133894	6.02961707115	13.0296170712	1.67483898936		0.1	0.125
8&1		0.444617986679	0.719527562459	6.47574806213	14.4757480621	0.440746986679		0.1	0.111111111111
9&1		0.556617975235	0.703401398659	7.03401398659	16.0340139866	0.547930975235		0.1	0.1
10&1		0.417762994766	0.677606192502	7.45366811752	17.4536681175	0.413196994766		0.1	0.0909090909091
11&1		0.98193192482	0.703103840351	8.43724608421	19.4372460842	0.97235492482		0.1	0.0833333333333
11&2		1.68307304382	0.778634548187	10.1222491264	22.1222491264	1.68148204382		0.2	0.153846153846
12&2		1.28834700584	0.815195935113	11.4127430916	24.4127430916	1.27807600584		0.2	0.142857142857
13&2		0.439419031143	0.790272013346	11.8540802002	25.8540802002	0.433622031143		0.2	0.133333333333
13&3		1.68451309204	0.846251949668	13.5400311947	28.5400311947	1.68322509204		0.3	0.1875
13&4		1.66245698929	0.894341595033	15.2038071156	31.2038071156	1.66137098929		0.4	0.235294117647
14&4		0.679064035416	0.882461508115	15.8843071461	32.8843071461	0.673997035416		0.3	0.222222222222
15&4		0.421523094177	0.858276216607	16.3072481155	34.3072481155	0.416062094177		0.3	0.210526315789
15&5		1.34270596504	0.882569801807	17.6513960361	36.6513960361	1.33973796504		0.4	0.25
16&5		1.12049794197	0.893968286968	18.7733340263	38.7733340263	1.11461094197		0.4	0.238095238095
17&5		1.5218269825	0.922572731972	20.2966001034	41.2966001034	1.5171799825		0.4	0.227272727273
17&6		1.7110991478	0.95691365781	22.0090141296	44.0090141296	1.7100361478		0.4	0.260869565217
18&6		0.419973134995	0.934600005547	22.4304001331	45.4304001331	0.416340134995		0.4	0.25
19&6		0.879446983337	0.932449121475	23.3112280369	47.3112280369	0.875527983337		0.4	0.24
20&6		0.458762168884	0.914280121143	23.7712831497	48.7712831497	0.455284168884		0.3	0.230769230769
21&6		0.463229179382	0.89762322991	24.2358272076	50.2358272076	0.459297179382		0.2	0.222222222222
22&6		0.48427605629	0.882907288415	24.7214040756	51.7214040756	0.48067105629		0.2	0.214285714286
22&7		1.31898808479	0.897991657257	26.0417580605	54.0417580605	1.31653708479		0.3	0.241379310345
22&8		1.6798479557	0.924099636078	27.7229890823	56.7229890823	1.6787549557		0.3	0.266666666667
23&8		0.707078933716	0.917145875192	28.431522131	58.431522131	0.703218933716		0.3	0.258064516129
24&8		1.33939790726	0.93038225174	29.7722320557	60.7722320557	1.33537490726		0.3	0.25
25&8		0.840299844742	0.927692485578	30.6138520241	62.6138520241	0.836140844742		0.2	0.242424242424
26&8		0.442528009415	0.913461972685	31.0577070713	64.0577070713	0.436798009415		0.2	0.235294117647
27&8		1.46412205696	0.929237174988	32.5233011246	66.5233011246	1.46059405696		0.2	0.228571428571
28&8		0.553526878357	0.918837474452	33.0781490803	68.0781490803	0.549804878357		0.2	0.222222222222
29&8		0.452904939651	0.906279976304	33.5323591232	69.5323591232	0.447560939651		0.2	0.216216216216
30&8		0.465908050537	0.894728817438	33.9996950626	70.9996950626	0.460415050537		0.2	0.210526315789
31&8		0.476195812225	0.884033948947	34.4773240089	72.4773240089	0.472589812225		0.1	0.205128205128
32&8		0.432703971863	0.872783702612	34.9113481045	73.9113481045	0.429201971863		0.0	0.2
32&9		1.67016482353	0.892263633449	36.5828089714	76.5828089714	1.66919182353		0.1	0.219512195122
33&9		0.464943170547	0.882121432395	37.0491001606	78.0491001606	0.459067170547		0.1	0.214285714286
33&10		1.98127412796	0.907716723376	39.0318191051	81.0318191051	1.97992312796		0.2	0.232558139535
34&10		1.35669207573	0.917956503955	40.390086174	83.390086174	1.35138007573		0.2	0.227272727273
35&10		0.933588981628	0.918335337109	41.3250901699	85.3250901699	0.927714981628		0.2	0.222222222222
36&10		0.911165952682	0.918210086615	42.2376639843	87.2376639843	0.907677952682		0.2	0.217391304348
37&10		0.743892908096	0.914528872104	42.9828569889	88.9828569889	0.740375908096		0.2	0.212765957447
38&10		0.465375900269	0.905198916793	43.4495480061	90.4495480061	0.461826900269		0.2	0.208333333333
39&10		0.57616019249	0.898510738295	44.0270261765	92.0270261765	0.57245919249		0.2	0.204081632653
40&10		0.44796705246	0.889526081085	44.4763040543	93.4763040543	0.44450105246		0.2	0.2
41&10		0.42453122139	0.880434199875	44.9021441936	94.9021441936	0.41945522139		0.1	0.196078431373
42&10		0.700956106186	0.877009964906	45.6045181751	96.6045181751	0.696089106186		0.1	0.192307692308
43&10		0.479627132416	0.869539022446	46.0855681896	98.0855681896	0.476066132416		0.0	0.188679245283
43&11		1.69622707367	0.884872595469	47.7831201553	100.783120155	1.69509707367		0.1	0.203703703704
44&11		0.456520080566	0.877108912034	48.2409901619	102.240990162	0.452891080566		0.1	0.2
45&11		1.07581400871	0.880681071963	49.3181400299	104.31814003	1.07189900871		0.1	0.196428571429
45&12		1.71127295494	0.895275563524	51.0307071209	107.030707121	1.70996595494		0.2	0.210526315789
46&12		0.719305992126	0.89226677911	51.7514731884	108.751473188	0.715707992126		0.2	0.206896551724
47&12		0.469070911407	0.885115627515	52.2218220234	110.221822023	0.465060911407		0.2	0.203389830508
48&12		0.42543888092	0.877476282914	52.6485769749	111.648576975	0.42208388092		0.2	0.2
49&12		1.3032181263	0.884477232323	53.9531111717	113.953111172	1.2977821263		0.2	0.196721311475
50&12		0.928457975388	0.885209629613	54.882997036	115.882997036	0.923381975388		0.2	0.193548387097
51&12		0.600281000137	0.880709572444	55.484703064	117.484703064	0.596762000137		0.2	0.190476190476
52&12		0.936837911606	0.881607204676	56.4228610992	119.422861099	0.932848911606		0.1	0.1875
52&13		1.69911909103	0.894204524847	58.1232941151	122.123294115	1.69806909103		0.2	0.2
53&13		1.05014681816	0.896587848663	59.1747980118	124.174798012	1.04605381816		0.2	0.19696969697
54&13		0.443568944931	0.889845538495	59.6196510792	125.619651079	0.438198944931		0.1	0.194029850746
55&13		0.812021970749	0.888722339097	60.4331190586	127.433119059	0.806008970749		0.1	0.191176470588
56&13		0.474042892456	0.882733593816	60.9086179733	128.908617973	0.469103892456		0.1	0.188405797101
57&13		1.16502404213	0.886786743573	62.0750720501	131.07507205	1.16068004213		0.1	0.185714285714
58&13		1.11172485352	0.889973633726	63.1881279945	133.188127995	1.10761785352		0.1	0.183098591549
59&13		0.466193199158	0.884106099606	63.6556391716	134.655639172	0.460843199158		0.1	0.180555555556
60&13		0.453420162201	0.878225728257	64.1104781628	136.110478163	0.448145162201		0.1	0.178082191781
61&13		0.777607917786	0.876887244147	64.8896560669	137.889656067	0.771912917786		0.1	0.175675675676
62&13		0.641062021255	0.873762054443	65.5321540833	139.532154083	0.635361021255		0.0	0.173333333333
63&13		0.81671500206	0.873030210796	66.3502960205	141.350296021	0.81247300206		0.0	0.171052631579
63&14		1.33170199394	0.879003806548	67.6832931042	143.683293104	1.32894999394		0.1	0.181818181818
64&14		0.446962118149	0.873483385795	68.131704092	145.131704092	0.442947118149		0.1	0.179487179487
65&14		0.479462146759	0.868512204931	68.6124641895	146.61246419	0.476028146759		0.1	0.177215189873
66&14		1.03176999092	0.870569187403	69.6455349922	148.645534992	1.02748199092		0.1	0.175
67&14		0.443606138229	0.865314360018	70.0904631615	150.090463161	0.439702138229		0.1	0.172839506173
68&14		0.421681165695	0.859921062865	70.5135271549	151.513527155	0.418130165695		0.1	0.170731707317
69&14		0.457406997681	0.855087277401	70.9722440243	152.972244024	0.451955997681		0.1	0.168674698795
70&14		0.458458900452	0.850382631733	71.4321410656	154.432141066	0.454703900452		0.1	0.166666666667
71&14		0.786421060562	0.849645659503	72.2198810577	156.219881058	0.782891060562		0.1	0.164705882353
71&15		1.42256903648	0.856323768926	73.6438441277	158.643844128	1.42053303648		0.2	0.174418604651
72&15		1.67148113251	0.86570838128	75.3166291714	161.316629171	1.66736513251		0.1	0.172413793103
73&15		0.461256027222	0.861127330498	75.7792050838	162.779205084	0.456016027222		0.1	0.170454545455
73&16		1.680768013	0.870352988832	77.4614160061	165.461416006	1.679695013		0.2	0.179775280899
74&16		0.657765865326	0.868005455865	78.1204910278	167.120491028	0.653471865326		0.2	0.177777777778
75&16		0.435533046722	0.863268220818	78.5574080944	168.557408094	0.432017046722		0.2	0.175824175824
76&16		0.457589864731	0.858872750531	79.0162930489	170.016293049	0.453701864731		0.2	0.173913043478
77&16		0.448099851608	0.854470194027	79.4657280445	171.465728045	0.444429851608		0.2	0.172043010753
78&16		0.431812047958	0.849987938049	79.8988661766	172.898866177	0.426389047958		0.2	0.170212765957
79&16		0.496938943863	0.84628655785	80.3972229958	174.397222996	0.493255943863		0.2	0.168421052632
80&16		0.432238101959	0.841987324258	80.8307831287	175.830783129	0.426989101959		0.1	0.166666666667
80&17		1.68881320953	0.850732373208	82.5210402012	178.521040201	1.68758720953		0.2	0.175257731959
81&17		0.50729393959	0.847241632792	83.0296800137	180.029680014	0.50157893959		0.2	0.173469387755
82&17		0.464742898941	0.8433925961	83.4958670139	181.495867014	0.461114898941		0.1	0.171717171717
83&17		2.01771903038	0.855149030685	85.5149030685	184.514903069	2.01309303038		0.1	0.17
84&17		0.864766836166	0.855257277441	86.3809850216	186.380985022	0.858874836166		0.1	0.168316831683
85&17		0.464231014252	0.851437853832	86.8466610909	187.846661091	0.458686014252		0.1	0.166666666667
86&17		1.00394511223	0.852932351307	87.8520321846	189.852032185	0.998214112228		0.1	0.165048543689
87&17		1.04285001755	0.854772155101	88.8963041306	191.896304131	1.03690701755		0.1	0.163461538462
87&18		1.33255505562	0.859336019698	90.2302820683	194.230282068	1.32937105562		0.2	0.171428571429
87&19		1.10373997688	0.86165629243	91.3355669975	196.335566998	1.10302397688		0.3	0.179245283019
87&20		1.29915809631	0.865757777312	92.6360821724	198.636082172	0.261673096313		0.3	0.18691588785
88&20		1.04944801331	0.867471770004	93.6869511604	200.68695116	1.03419101331		0.3	0.185185185185
89&20		0.461122989655	0.863756761638	94.1494870186	202.149487019	0.453807989655		0.3	0.183486238532
90&20		0.446532011032	0.85997550921	94.5973060131	203.597306013	0.443109011032		0.3	0.181818181818
91&20		2.06713795662	0.870862496866	96.6657371521	206.665737152	2.06296995662		0.3	0.18018018018
92&20		0.435392141342	0.86698588516	97.102419138	208.102419138	0.431722141342		0.3	0.178571428571
