Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		1.76237106323	1.76297307014	1.76297307014	1.76297307014	1.75815806323		0.0	0.0
1&1		2.16529989243	1.96482694149	3.92965388298	4.92965388298	2.16437389243		0.1	0.5
2&1		0.932998180389	1.6214000384	4.8642001152	6.8642001152	0.929157180389		0.1	0.333333333333
2&2		3.931899786	2.19934922457	8.79739689827	11.7973968983	3.930790786		0.2	0.5
2&3		3.06007409096	2.3717798233	11.8588991165	15.8588991165	3.05878909096		0.3	0.6
2&4		2.44912791252	2.38490466277	14.3094279766	19.3094279766	2.44704891252		0.4	0.666666666667
2&5		3.83764100075	2.59264043399	18.1484830379	24.1484830379	3.83601000075		0.5	0.714285714286
2&6		2.87235403061	2.62778061628	21.0222449303	28.0222449303	2.87018903061		0.6	0.75
2&7		3.84824609756	2.76354212231	24.8718791008	32.8718791008	3.84600709756		0.7	0.777777777778
2&8		3.79160809517	2.86648631096	28.6648631096	37.6648631096	3.78931709517		0.8	0.8
2&9		3.13873505592	2.89137818597	31.8051600456	41.8051600456	3.13745205592		0.9	0.818181818182
2&10		2.91266608238	2.89331958691	34.719835043	45.719835043	2.91017508238		0.9	0.833333333333
2&11		3.13123989105	2.91175215061	37.8527779579	49.8527779579	3.12996489105		1.0	0.846153846154
2&12		3.89749193192	2.98228549957	41.751996994	54.751996994	3.89583493192		1.0	0.857142857143
2&13		2.14344286919	2.926486063	43.8972909451	57.8972909451	2.14204586919		1.0	0.866666666667
2&14		2.94753193855	2.92790456116	46.8464729786	61.8464729786	2.94519893855		1.0	0.875
2&15		3.16204500198	2.94176535045	50.0100109577	66.0100109577	3.16054800198		1.0	0.882352941176
2&16		3.90137887001	2.99516371886	53.9129469395	70.9129469395	3.90002687001		1.0	0.888888888889
2&17		4.01096916199	3.04869900252	57.9252810478	75.9252810478	4.00962616199		1.0	0.894736842105
2&18		3.32950615883	3.06281305552	61.2562611103	80.2562611103	3.32768515883		1.0	0.9
3&18		1.1785068512	2.97315675872	62.4362919331	82.4362919331	1.1739748512		0.9	0.857142857143
3&19		2.83336210251	2.9668717276	65.2711780071	86.2711780071	2.83054910251		0.9	0.863636363636
3&20		2.46134901047	2.94495935025	67.7340650558	89.7340650558	2.45890001047		0.9	0.869565217391
