"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp2.5K_bs2048BB.csv -cnm --socket 1 300",,,,"Date:","20 Jul 2017 13:55:53 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
2.237,3.752,92.913,0.135,0.0,0.963,0.0,0.0,182661120.0,63791104.0,350175232.0,371580928.0,350.0,4.0,6.0,0.0,1.0
2.105,2.105,94.211,0.0,0.0,1.579,833616.0,712.0,184307712.0,63803392.0,350216192.0,369881088.0,350.0,4.0,6.0,0.0,1.0
1.055,3.958,94.195,0.0,0.0,0.792,782268.0,614.0,185798656.0,63803392.0,350216192.0,368390144.0,350.0,4.0,6.0,0.0,1.0
1.604,2.674,94.920,0.0,0.0,0.802,788596.0,712.0,187142144.0,63803392.0,350216192.0,367046656.0,350.0,4.0,6.0,0.0,1.0
1.299,4.416,93.247,0.0,0.0,1.039,729220.0,915.0,188420096.0,63803392.0,350216192.0,365768704.0,350.0,4.0,6.0,0.0,1.0
1.832,3.403,93.717,0.0,0.0,1.047,760712.0,704.0,189759488.0,63803392.0,350216192.0,364429312.0,349.0,4.0,6.0,0.0,1.0
1.099,11.538,87.088,0.0,0.0,0.275,851714.0,790.0,191512576.0,63803392.0,350216192.0,362676224.0,350.0,4.0,6.0,0.0,1.0
1.630,9.511,86.413,0.272,0.0,2.174,875268.0,923.0,192856064.0,63807488.0,350212096.0,361332736.0,350.0,4.0,6.0,0.0,1.0
1.887,6.199,90.027,0.0,0.0,1.887,863634.0,716.0,193372160.0,63807488.0,350220288.0,360808448.0,349.0,4.0,6.0,0.0,1.0
1.790,2.558,94.118,0.0,0.0,1.535,848284.0,794.0,194519040.0,63807488.0,350220288.0,359661568.0,350.0,4.0,6.0,0.0,1.0
8.527,5.943,84.755,0.0,0.0,0.775,877102.0,923.0,196644864.0,63807488.0,350220288.0,357535744.0,350.0,3.0,6.0,0.0,1.0
14.653,4.370,80.463,0.0,0.0,0.514,829284.0,614.0,201342976.0,63807488.0,350220288.0,352837632.0,349.0,3.0,6.0,0.0,1.0
1.042,2.604,95.573,0.0,0.0,0.781,808056.0,712.0,201535488.0,63811584.0,350220288.0,352641024.0,350.0,4.0,6.0,0.0,1.0
1.867,1.867,95.200,0.0,0.0,1.067,808960.0,712.0,202420224.0,63811584.0,350220288.0,351756288.0,350.0,4.0,6.0,0.0,1.0
1.809,2.584,94.057,0.0,0.0,1.550,760832.0,614.0,202780672.0,63811584.0,350220288.0,351395840.0,350.0,4.0,6.0,0.0,1.0
1.305,2.089,94.256,0.0,0.0,2.350,762500.0,712.0,203005952.0,63811584.0,350220288.0,351170560.0,350.0,4.0,6.0,0.0,1.0
1.804,3.351,93.557,0.0,0.0,1.289,795480.0,614.0,203792384.0,63811584.0,350220288.0,350384128.0,350.0,4.0,6.0,0.0,1.0
2.338,2.597,92.468,0.0,0.0,2.597,741663.0,614.0,204152832.0,63811584.0,350220288.0,350023680.0,350.0,4.0,6.0,0.0,1.0
3.906,2.865,90.625,0.0,0.0,2.604,771600.0,614.0,204713984.0,63811584.0,350220288.0,349462528.0,350.0,4.0,6.0,0.0,1.0
1.847,6.596,89.446,0.0,0.0,2.111,758408.0,712.0,205606912.0,63811584.0,350220288.0,348569600.0,350.0,4.0,6.0,0.0,1.0
0.792,7.916,89.710,0.0,0.0,1.583,763700.0,1091.0,205672448.0,63811584.0,350220288.0,348504064.0,350.0,4.0,6.0,0.0,1.0
1.804,3.866,92.784,0.0,0.0,1.546,713408.0,770.0,206360576.0,63811584.0,350224384.0,347811840.0,349.0,4.0,6.0,0.0,1.0
3.069,0.512,94.885,0.0,0.0,1.535,316166.0,778.0,206589952.0,63811584.0,350224384.0,347582464.0,350.0,5.0,6.0,0.0,1.0
1.535,3.069,94.885,0.0,0.0,0.512,800650.0,915.0,206938112.0,63811584.0,350228480.0,347230208.0,350.0,5.0,6.0,0.0,1.0
2.041,4.337,91.071,0.0,0.0,2.551,750632.0,794.0,206606336.0,63811584.0,350228480.0,347561984.0,349.0,4.0,6.0,0.0,1.0
1.279,3.581,93.350,0.0,0.0,1.790,740528.0,923.0,206114816.0,63811584.0,350228480.0,348053504.0,350.0,5.0,6.0,0.0,1.0
1.571,2.880,93.717,0.0,0.0,1.832,803688.0,704.0,207241216.0,63811584.0,350228480.0,346927104.0,349.0,5.0,6.0,0.0,1.0
1.809,2.584,94.315,0.0,0.0,1.292,799602.0,880.0,206368768.0,63819776.0,350228480.0,347791360.0,350.0,6.0,6.0,0.0,1.0
0.779,3.117,94.286,0.0,0.0,1.818,748436.0,848.0,206827520.0,63819776.0,350228480.0,347332608.0,350.0,4.0,6.0,0.0,1.0
2.332,1.554,95.855,0.0,0.0,0.259,776080.0,923.0,206008320.0,63819776.0,350228480.0,348151808.0,350.0,4.0,6.0,0.0,1.0
2.821,3.077,91.026,0.0,0.0,3.077,838306.0,981.0,206106624.0,63819776.0,350228480.0,348053504.0,349.0,3.0,6.0,0.0,1.0
