Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
0&1		5.0005979538	5.00119686127	5.00119686127	5.00119686127	4.9998639538		0.1	1.0
0&2		5.41354489326	5.20808196068	10.4161639214	11.4161639214	5.41236689326		0.2	1.0
0&3		5.0005440712	5.13940668106	15.4182200432	17.4182200432	4.9998560712		0.3	1.0
0&4		5.31563901901	5.1836220026	20.7344880104	23.7344880104	5.31472901901		0.4	1.0
0&5		2.1640920639	4.57999119759	22.8999559879	26.8999559879	2.1631400639		0.5	1.0
0&6		5.00056099892	4.65034250418	27.9020550251	32.9020550251	4.99984699892		0.6	1.0
0&7		5.2607729435	4.73772685868	33.1640880108	39.1640880108	5.2597109435		0.7	1.0
0&8		3.17337989807	4.54235836864	36.3388669491	43.3388669491	3.17236889807		0.8	1.0
0&9		5.31270980835	4.62810542848	41.6529488564	49.6529488564	5.31184180835		0.9	1.0
0&10		5.3151550293	4.69696409702	46.9696409702	55.9696409702	5.3142440293		1.0	1.0
0&11		5.0005428791	4.72469635443	51.9716598988	61.9716598988	4.9998328791		1.0	1.0
0&12		3.23569989204	4.60071990887	55.2086389065	66.2086389065	3.23464289204		1.0	1.0
0&13		3.15786409378	4.4898522267	58.3680789471	70.3680789471	3.15695509378		1.0	1.0
0&14		5.00048899651	4.52642728601	63.3699820042	76.3699820042	4.99987199651		1.0	1.0
0&15		3.23170804977	4.4401974678	66.6029620171	80.6029620171	3.23063904977		1.0	1.0
0&16		5.00045204163	4.47530849278	71.6049358845	86.6049358845	4.99981804163		1.0	1.0
0&17		2.16940307617	4.3397371208	73.7755310535	89.7755310535	2.16843107617		1.0	1.0
0&18		3.15692090988	4.27410643631	76.9339158535	93.9339158535	3.15584090988		1.0	1.0
0&19		4.18069291115	4.26926883898	81.1161079407	99.1161079407	4.17974491115		1.0	1.0
0&20		2.15733504295	4.16374444962	83.2748889923	102.274888992	2.15638604295		1.0	1.0
0&21		6.24505996704	4.26292652176	89.5214569569	109.521456957	6.24404596704		1.0	1.0
0&22		2.15821695328	4.16732672128	91.6811878681	112.681187868	2.15737295328		1.0	1.0
0&23		4.16201901436	4.16715578411	95.8445830345	117.844583035	4.16097601436		1.0	1.0
0&24		2.16152000427	4.08365061879	98.007614851	121.007614851	2.16057700427		1.0	1.0
0&25		3.2348279953	4.04974707603	101.243676901	125.243676901	3.2338679953		1.0	1.0
0&26		5.00053882599	4.08636972537	106.24561286	131.24561286	4.99983782599		1.0	1.0
0&27		2.79681396484	4.03865521925	109.04369092	135.04369092	2.79473396484		1.0	1.0
0&28		5.00135993958	4.07309135369	114.046557903	141.046557903	5.00001393958		1.0	1.0
0&29		5.2809779644	4.11479640829	119.32909584	147.32909584	5.2800459644		1.0	1.0
0&30		6.3312060833	4.18872313499	125.66169405	154.66169405	6.3302030833		1.0	1.0
0&31		2.16045403481	4.12334429064	127.82367301	157.82367301	2.15959603481		1.0	1.0
0&32		3.07057309151	4.09049250185	130.895760059	161.895760059	3.06963709151		1.0	1.0
0&33		3.16333198547	4.06244269284	134.060608864	166.060608864	3.16233398547		1.0	1.0
0&34		5.0005261898	4.09007758954	139.062638044	172.062638044	4.9998491898		1.0	1.0
0&35		5.00058507919	4.11612862859	144.064502001	178.064502001	4.99982807919		1.0	1.0
0&36		3.19994401932	4.09071391821	147.265701056	182.265701056	3.19900201932		1.0	1.0
0&37		4.18072104454	4.09318640425	151.447896957	187.447896957	4.17971104454		1.0	1.0
0&38		5.30540919304	4.12512281694	156.754667044	193.754667044	5.30453919304		1.0	1.0
0&39		6.28814506531	4.1806199734	163.044178963	201.044178963	6.28722106531		1.0	1.0
0&40		5.00051593781	4.20115504861	168.046201944	207.046201944	4.99987593781		1.0	1.0
0&41		5.00053882599	4.220683313	173.048015833	213.048015833	4.99982082599		1.0	1.0
0&42		5.30433392525	4.24651297501	178.35354495	219.35354495	5.30350392525		1.0	1.0
0&43		5.30206108093	4.27109560301	183.657110929	225.657110929	5.30106608093		1.0	1.0
0&44		5.00046396255	4.28770336238	188.658947945	231.658947945	4.99983996255		1.0	1.0
0&45		7.08156204224	4.34981584549	195.741713047	239.741713047	7.07921504224		1.0	1.0
0&46		2.18577694893	4.30280208588	197.92889595	242.92889595	2.18486994893		1.0	1.0
0&47		5.00058507919	4.31768227638	202.93106699	248.93106699	4.99983507919		1.0	1.0
0&48		3.16482686996	4.29369222621	206.097226858	253.097226858	3.16354486996		1.0	1.0
0&49		2.15305995941	4.25004350896	208.252131939	256.252131939	2.15212495941		1.0	1.0
0&50		5.00058317184	4.26508882046	213.254441023	262.254441023	4.99978517184		1.0	1.0
0&51		5.26958799362	4.28480821497	218.525218964	268.525218964	5.26837499362		1.0	1.0
0&52		5.25012516975	4.30340559666	223.777091026	274.777091026	5.24889516975		1.0	1.0
0&53		5.5058760643	4.32612243238	229.284488916	281.284488916	5.5041490643		1.0	1.0
0&54		5.00056004524	4.33864276056	234.28670907	287.28670907	4.99970004524		1.0	1.0
0&55		6.27777910233	4.37392221798	240.565721989	294.565721989	6.27696410233		1.0	1.0
0&56		3.1742169857	4.35252673285	243.74149704	298.74149704	3.1730719857		1.0	1.0
0&57		5.00072383881	4.3639294892	248.743980885	304.743980885	4.99983483881		1.0	1.0

Total-Times:57	Loss-Times:57	Recent 10 times loss possiblity: 0.10	Total Hex File Loss number: 2	Socket disconnectable number: 16
