Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		1.32792305946	1.32848620415	1.32848620415	1.32848620415	1.32389505946		0.0	0.0
1&1		1.74147796631	1.53568255901	3.07136511803	4.07136511803	1.74042496631		0.1	0.5
2&1		0.418966054916	1.16357906659	3.49073719978	5.49073719978	0.415236054916		0.1	0.333333333333
3&1		1.57701206207	1.26726204157	5.06904816628	8.06904816628	1.57284506207		0.1	0.25
4&1		1.1703710556	1.24814743996	6.24073719978	10.2407371998	1.1648830556		0.1	0.2
5&1		0.780709981918	1.17047568162	7.02285408974	12.0228540897	0.776423981918		0.1	0.166666666667
6&1		0.391858100891	1.05943587848	7.41605114937	13.4160511494	0.386530100891		0.1	0.142857142857
7&1		0.384844064713	0.975300639868	7.80240511894	14.8024051189	0.381267064713		0.1	0.125
7&2		2.61509895325	1.15764390098	10.4187951088	18.4187951088	2.61398495325		0.2	0.222222222222
7&3		1.57506680489	1.19952189922	11.9952189922	20.9952189922	1.57403280489		0.3	0.3
8&3		1.54173994064	1.23075246811	13.5382771492	23.5382771492	1.53764194064		0.3	0.272727272727
9&3		0.363121032715	1.15855967999	13.9027161598	24.9027161598	0.359533032715		0.2	0.25
10&3		0.363327980042	1.09748739463	14.2673361301	26.2673361301	0.358373980042		0.2	0.230769230769
11&3		0.413257837296	1.04871342863	14.6819880009	27.6819880009	0.409737837296		0.2	0.214285714286
12&3		1.5617980957	1.08300687472	16.2451031208	30.2451031208	1.5580650957		0.2	0.2
13&3		0.461328983307	1.04423469305	16.7077550888	31.7077550888	0.457658983307		0.2	0.1875
14&3		0.382747173309	1.0053997741	17.0917961597	33.0917961597	0.379111173309		0.2	0.176470588235
14&4		1.57958292961	1.03737172816	18.6726911068	35.6726911068	1.57859592961		0.3	0.222222222222
14&5		1.30170702934	1.05135437062	19.9757330418	37.9757330418	1.29952802934		0.3	0.263157894737
15&5		0.709983110428	1.03435111046	20.6870222092	39.6870222092	0.705871110428		0.2	0.25
16&5		0.407433986664	1.0045612426	21.0957860947	41.0957860947	0.403899986664		0.2	0.238095238095
17&5		0.882735013962	0.999083735726	21.979842186	42.979842186	0.878865013962		0.2	0.227272727273
18&5		0.42157292366	0.974031178848	22.4027171135	44.4027171135	0.41803292366		0.2	0.217391304348
19&5		0.903736114502	0.971156716347	23.3077611923	46.3077611923	0.900075114502		0.2	0.208333333333
20&5		0.39355802536	0.948105401993	23.7026350498	47.7026350498	0.38978602536		0.2	0.2
21&5		0.538517951965	0.932402922557	24.2424759865	49.2424759865	0.534595951965		0.2	0.192307692308
22&5		0.666304111481	0.922595783516	24.9100861549	50.9100861549	0.662810111481		0.2	0.185185185185
23&5		0.356562852859	0.902426787785	25.267950058	52.267950058	0.352797852859		0.1	0.178571428571
23&6		1.57624602318	0.925707932176	26.8455300331	54.8455300331	1.57517602318		0.1	0.206896551724
23&7		1.27196407318	0.937294006348	28.1188201904	57.1188201904	1.27008407318		0.2	0.233333333333
23&8		1.27823996544	0.948334424726	29.3983671665	59.3983671665	1.27624996544		0.3	0.258064516129
24&8		0.398236989975	0.93118494004	29.7979180813	60.7979180813	0.394797989975		0.3	0.25
25&8		0.374078035355	0.91434249011	30.1733021736	62.1733021736	0.370547035355		0.3	0.242424242424
26&8		0.36958694458	0.898357650813	30.5441601276	63.5441601276	0.36609794458		0.3	0.235294117647
27&8		0.658051967621	0.89152834756	31.2034921646	65.2034921646	0.654474967621		0.3	0.228571428571
28&8		1.72404408455	0.914690613747	32.9288620949	67.9288620949	1.71913808455		0.3	0.222222222222
28&9		1.5641849041	0.932281732559	34.4944241047	70.4944241047	1.5630549041		0.4	0.243243243243
28&10		1.16194605827	0.938361977276	35.6577551365	72.6577551365	1.16107805827		0.5	0.263157894737
28&11		1.20804691315	0.945311155075	36.8671350479	74.8671350479	0.177529913147		0.5	0.282051282051
29&11		0.395251989365	0.931594753265	37.2637901306	76.2637901306	0.380234989365		0.4	0.275
29&12		2.55726194382	0.971278929129	39.8224360943	79.8224360943	2.55265894382		0.4	0.292682926829
30&12		1.63003611565	0.986995004472	41.4537901878	82.4537901878	1.62628511565		0.4	0.285714285714
31&12		0.397503137589	0.973315516184	41.8525671959	83.8525671959	0.393961137589		0.4	0.279069767442
32&12		0.639939069748	0.965769594366	42.4938621521	85.4938621521	0.636511069748		0.4	0.272727272727
33&12		0.358595132828	0.95230489307	42.8537201881	86.8537201881	0.354929132828		0.4	0.266666666667
34&12		1.77858996391	0.970295195994	44.6335790157	89.6335790157	1.77499696391		0.4	0.260869565217
35&12		0.331133127213	0.956723025505	44.9659821987	90.9659821987	0.327812127213		0.3	0.255319148936
36&12		1.11315107346	0.960008566578	46.0804111958	93.0804111958	1.10931907346		0.2	0.25
37&12		0.368848085403	0.947970185961	46.4505391121	94.4505391121	0.365305085403		0.1	0.244897959184
38&12		0.95922088623	0.948221039772	47.4110519886	96.4110519886	0.95415788623		0.1	0.24
39&12		0.915247917175	0.947601706374	48.3276870251	98.3276870251	0.911237917175		0.0	0.235294117647
40&12		0.830411911011	0.945373039979	49.1593980789	100.159398079	0.827005911011		0.0	0.230769230769
40&13		1.76622605324	0.960884944448	50.9269020557	102.926902056	1.76516205324		0.1	0.245283018868
41&13		0.726367950439	0.95656881509	51.6547160149	104.654716015	0.721487950439		0.1	0.240740740741
42&13		1.28034305573	0.962480783463	52.9364430904	106.93644309	1.27656905573		0.1	0.236363636364
42&14		2.66418194771	0.992891537292	55.6019260883	110.601926088	2.66301294771		0.2	0.25
42&15		1.58275508881	1.00326272061	57.1859750748	113.185975075	1.58186508881		0.3	0.263157894737
42&16		1.44188594818	1.01084750274	58.629155159	115.629155159	1.44015894818		0.4	0.275862068966
43&16		0.629374027252	1.00440417306	59.2598462105	117.25984621	0.625881027252		0.4	0.271186440678
44&16		0.390197992325	0.99418900013	59.6513400078	118.651340008	0.386840992325		0.4	0.266666666667
45&16		0.397123098373	0.984423985247	60.0498631001	120.0498631	0.393556098373		0.4	0.262295081967
46&16		0.387681007385	0.974820210088	60.4388530254	121.438853025	0.383681007385		0.4	0.258064516129
47&16		0.367998838425	0.965209222975	60.8081810474	122.808181047	0.364570838425		0.3	0.253968253968
48&16		1.3469119072	0.971194218844	62.156430006	125.156430006	1.3428609072		0.3	0.25
49&16		1.88148379326	0.985219199841	64.0392479897	128.03924799	1.87744079326		0.3	0.246153846154
50&16		0.718024015427	0.981190229907	64.7585551739	129.758555174	0.714175015427		0.2	0.242424242424
51&16		0.417562961578	0.97279734398	65.1774220467	131.177422047	0.413692961578		0.1	0.238805970149
52&16		0.370132923126	0.963953663321	65.5488491058	132.548849106	0.366656923126		0.0	0.235294117647
53&16		0.349414110184	0.955066017483	65.8995552063	133.899555206	0.346048110184		0.0	0.231884057971
54&16		0.391512870789	0.947033572197	66.2923500538	135.292350054	0.387912870789		0.0	0.228571428571
55&16		0.398056030273	0.93931962067	66.6916930676	136.691693068	0.392993030273		0.0	0.225352112676
56&16		0.36002612114	0.931293404765	67.0531251431	138.053125143	0.35656712114		0.0	0.222222222222
57&16		1.18603205681	0.934800824074	68.2404601574	140.240460157	1.18208605681		0.0	0.219178082192
58&16		0.397037982941	0.927551446734	68.6388070583	141.638807058	0.393718982941		0.0	0.216216216216
59&16		0.458642959595	0.921316973368	69.0987730026	143.098773003	0.455268959595		0.0	0.213333333333
60&16		0.434577941895	0.914929474655	69.5346400738	144.534640074	0.431251941895		0.0	0.210526315789
61&16		1.57024097443	0.923456935139	71.1061840057	147.106184006	1.56652297443		0.0	0.207792207792
62&16		1.12388300896	0.926042963297	72.2313511372	149.231351137	1.12008800896		0.0	0.205128205128
62&17		1.76333808899	0.936659773694	73.9961221218	151.996122122	1.76214408899		0.1	0.215189873418
63&17		0.365668058395	0.929538977146	74.3631181717	153.363118172	0.362195058395		0.1	0.2125
64&17		1.54433202744	0.937144927037	75.90873909	155.90873909	1.53954802744		0.1	0.20987654321
64&18		1.55006980896	0.944636792671	77.4602169991	158.460216999	1.54907980896		0.2	0.219512195122
65&18		0.351292133331	0.937503989921	77.8128311634	159.812831163	0.347881133331		0.2	0.21686746988
66&18		0.969013929367	0.937894690604	78.7831540108	161.783154011	0.965462929367		0.2	0.214285714286
67&18		1.18851804733	0.940858484717	79.9729712009	163.972971201	1.18354404733		0.2	0.211764705882
67&19		2.28240418434	0.956475199655	82.2568671703	167.25686717	2.28003218434		0.3	0.220930232558
67&20		1.07653689384	0.95787179333	83.3348460197	169.33484602	1.07584989384		0.4	0.229885057471
68&20		1.4160528183	0.963093557141	84.7522330284	171.752233028	1.4125988183		0.4	0.227272727273
69&20		0.443786859512	0.957273314508	85.1973249912	173.197324991	0.440237859512		0.3	0.224719101124
70&20		0.379352092743	0.950866434309	85.5779790878	174.577979088	0.374429092743		0.3	0.222222222222
71&20		0.366012811661	0.94445500007	85.9454050064	175.945405006	0.362619811661		0.3	0.21978021978
72&20		0.437004804611	0.938953456671	86.3837180138	177.383718014	0.433257804611		0.2	0.217391304348
73&20		0.371117115021	0.932861851108	86.756152153	178.756152153	0.367390115021		0.2	0.215053763441
74&20		0.744478940964	0.930871585582	87.5019290447	180.501929045	0.740803940964		0.2	0.212765957447
75&20		0.681086063385	0.928256233115	88.1843421459	182.184342146	0.677580063385		0.2	0.210526315789
76&20		0.382550001144	0.922585375607	88.5681960583	183.568196058	0.378680001144		0.1	0.208333333333
77&20		0.375962972641	0.916963515822	88.9454610348	184.945461035	0.372497972641		0.0	0.20618556701
78&20		1.58162498474	0.923761306977	90.5286080837	187.528608084	1.57621198474		0.0	0.204081632653
79&20		1.91581106186	0.933796921162	92.445895195	190.445895195	1.91213906186		0.0	0.20202020202
80&20		0.380540847778	0.928277280331	92.8277280331	191.827728033	0.377093847778		0.0	0.2
81&20		0.371963024139	0.922782159088	93.2009980679	193.200998068	0.366993024139		0.0	0.19801980198
82&20		1.15420007706	0.92506490268	94.3566200733	195.356620073	1.15037407706		0.0	0.196078431373
83&20		0.995671987534	0.92576324361	95.3536140919	197.353614092	0.991713987534		0.0	0.194174757282
84&20		1.51556611061	0.931447001604	96.8704881668	199.870488167	1.51106011061		0.0	0.192307692308
85&20		0.474714994431	0.927109620685	97.3465101719	201.346510172	0.471058994431		0.0	0.190476190476
86&20		0.415636062622	0.922296614017	97.7634410858	202.763441086	0.412168062622		0.0	0.188679245283
87&20		0.868730068207	0.921807973184	98.6334531307	204.633453131	0.865002068207		0.0	0.18691588785
88&20		0.386435985565	0.916862796854	99.0211820602	206.02118206	0.382956985565		0.0	0.185185185185
89&20		0.371076822281	0.911867697305	99.3935790062	207.393579006	0.367529822281		0.0	0.183486238532
90&20		1.51561594009	0.917368401181	100.91052413	209.91052413	1.51149694009		0.0	0.181818181818
91&20		0.367984056473	0.912430838422	101.279823065	211.279823065	0.364494056473		0.0	0.18018018018
92&20		0.419812917709	0.908044161541	101.700946093	212.700946093	0.414857917709		0.0	0.178571428571
93&20		0.853344917297	0.907566283656	102.554990053	214.554990053	0.849780917297		0.0	0.176991150442
94&20		1.95112395287	0.916731790492	104.507424116	217.507424116	1.94597595287		0.0	0.175438596491
94&21		2.60312604904	0.931408148227	107.111937046	221.111937046	2.60202004904		0.1	0.182608695652
95&21		0.366627931595	0.926550863118	107.479900122	222.479900122	0.361323931595		0.1	0.181034482759
96&21		0.644525051117	0.92415245374	108.125837088	224.125837088	0.640945051117		0.1	0.179487179487
97&21		1.56033492088	0.929554822081	109.687469006	226.687469006	1.55649492088		0.1	0.177966101695
98&21		0.426155090332	0.925335581563	110.114934206	228.114934206	0.422674090332		0.1	0.176470588235
99&21		0.376842021942	0.920775641998	110.49307704	229.49307704	0.373272021942		0.1	0.175
100&21		0.376560926437	0.916288909833	110.87095809	230.87095809	0.372774926437		0.1	0.173553719008
101&21		0.659034013748	0.914191001751	111.531302214	232.531302214	0.655637013748		0.1	0.172131147541
102&21		1.31530213356	0.91746259511	112.847899199	234.847899199	1.31118613356		0.1	0.170731707317
103&21		0.437483072281	0.913602525188	113.286713123	236.286713123	0.434072072281		0.1	0.16935483871
104&21		0.847984790802	0.913087944031	114.135993004	238.135993004	0.844129790802		0.0	0.168
105&21		1.10933494568	0.914655738407	115.246623039	240.246623039	1.10530894568		0.0	0.166666666667
106&21		0.467123985291	0.911142142739	115.715052128	241.715052128	0.463754985291		0.0	0.165354330709
107&21		0.949127912521	0.911449680105	116.665559053	243.665559053	0.943922912521		0.0	0.1640625
108&21		0.999459981918	0.912142814592	117.666423082	245.666423082	0.995467981918		0.0	0.162790697674
109&21		0.402904033661	0.908235555429	118.070622206	247.070622206	0.399367033661		0.0	0.161538461538
109&22		1.56666684151	0.913271732913	119.638597012	249.638597012	1.56567984151		0.1	0.167938931298
110&22		0.562316179276	0.910622842384	120.202215195	251.202215195	0.558193179276		0.1	0.166666666667
111&22		0.908587932587	0.910617572024	121.112137079	253.112137079	0.905022932587		0.1	0.165413533835
112&22		0.425986051559	0.907010686931	121.539432049	254.539432049	0.422366051559		0.1	0.164179104478
113&22		0.390494823456	0.903194303866	121.931231022	255.931231022	0.385741823456		0.1	0.162962962963
114&22		0.369116067886	0.899278419859	122.301865101	257.301865101	0.365581067886		0.1	0.161764705882
115&22		0.934694051743	0.899546468345	123.237866163	259.237866163	0.929599051743		0.1	0.160583941606
116&22		0.934551954269	0.899810566418	124.173858166	261.173858166	0.930761954269		0.1	0.159420289855
117&22		0.632432222366	0.897896411608	124.807601213	262.807601213	0.628574222366		0.1	0.158273381295
118&22		0.364498138428	0.894095601354	125.17338419	264.17338419	0.360509138428		0.1	0.157142857143
119&22		0.437103033066	0.890863695889	125.61178112	265.61178112	0.433637033066		0.0	0.156028368794
120&22		0.423383951187	0.88758074062	126.036465168	267.036465168	0.419967951187		0.0	0.154929577465
121&22		0.389597177505	0.884107357972	126.42735219	268.42735219	0.386110177505		0.0	0.153846153846
122&22		1.58570098877	0.888988486595	128.01434207	271.01434207	1.58180498877		0.0	0.152777777778
123&22		0.669012069702	0.887480249076	128.684636116	272.684636116	0.665282069702		0.0	0.151724137931
124&22		0.372318029404	0.88396201395	129.058454037	274.058454037	0.368799029404		0.0	0.150684931507
125&22		1.62540411949	0.88901455224	130.685139179	276.685139179	1.62114211949		0.0	0.149659863946
126&22		0.691169977188	0.887686615055	131.377619028	278.377619028	0.687561977188		0.0	0.148648648649
127&22		0.374639987946	0.884252329001	131.753597021	279.753597021	0.371242987946		0.0	0.147651006711
128&22		1.56014919281	0.888767094612	133.315064192	282.315064192	1.55646419281		0.0	0.146666666667
129&22		0.380385875702	0.885409026746	133.696763039	283.696763039	0.376936875702		0.0	0.145695364238
130&22		0.481299877167	0.882759131883	134.179388046	285.179388046	0.477797877167		0.0	0.144736842105
131&22		0.347831964493	0.879271602319	134.528555155	286.528555155	0.344193964493		0.0	0.143790849673
132&22		0.377727031708	0.876023442714	134.907610178	287.907610178	0.374301031708		0.0	0.142857142857
133&22		0.359335899353	0.872698387023	135.268249989	289.268249989	0.355644899353		0.0	0.141935483871
133&23		2.88286995888	0.885592552332	138.152438164	293.152438164	2.88173695888		0.1	0.147435897436
134&23		0.466424942017	0.882931281047	138.620211124	294.620211124	0.461556942017		0.1	0.146496815287
135&23		0.383182048798	0.879777411871	139.004831076	296.004831076	0.379613048798		0.1	0.145569620253
136&23		1.27161097527	0.882250132051	140.277770996	298.277770996	1.26759997527		0.1	0.14465408805
137&23		0.358108997345	0.878982387483	140.637181997	299.637181997	0.354382997345		0.1	0.14375
138&23		0.361820220947	0.875778287094	141.000304222	301.000304222	0.358447220947		0.1	0.142857142857
139&23		0.369028091431	0.872658235055	141.370634079	302.370634079	0.365622091431		0.1	0.141975308642
140&23		0.384078025818	0.869666829431	141.755693197	303.755693197	0.380537025818		0.1	0.141104294479
141&23		0.366059064865	0.866603964713	142.123050213	305.123050213	0.361506064865		0.1	0.140243902439
142&23		0.411159992218	0.863852200364	142.53561306	306.53561306	0.407795992218		0.1	0.139393939394
143&23		0.6741771698	0.862717494907	143.211104155	308.211104155	0.6706011698		0.0	0.138554216867
144&23		1.15221405029	0.864458809356	144.364621162	310.364621162	1.14819805029		0.0	0.137724550898
145&23		0.87339091301	0.864519738016	145.239315987	312.239315987	0.86941791301		0.0	0.136904761905
146&23		0.373654127121	0.861624149176	145.614481211	313.614481211	0.370139127121		0.0	0.136094674556
147&23		0.638312101364	0.860318347987	146.254119158	315.254119158	0.634389101364		0.0	0.135294117647
148&23		0.351348161697	0.857349609074	146.606783152	316.606783152	0.347808161697		0.0	0.134502923977
