"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp5K_bs8B.csv -cnm --socket 1 300",,,,"Date:","20 Jul 2017 14:09:18 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
2.232,3.817,92.830,0.132,0.0,0.989,0.0,0.0,170520576.0,64528384.0,350363648.0,382795776.0,350.0,4.0,6.0,0.0,0.0
1.081,6.757,90.0,0.0,0.0,2.162,133574.0,759.0,170647552.0,64528384.0,350363648.0,382668800.0,350.0,4.0,6.0,0.0,0.0
0.539,5.930,90.566,0.0,0.0,2.965,136010.0,372.0,170647552.0,64528384.0,350363648.0,382668800.0,349.0,3.0,6.0,0.0,0.0
1.053,8.684,88.158,0.0,0.0,2.105,130658.0,694.0,170639360.0,64528384.0,350363648.0,382676992.0,350.0,4.0,6.0,0.0,0.0
0.813,6.775,90.786,0.0,0.0,1.626,125764.0,192.0,170639360.0,64528384.0,350363648.0,382676992.0,349.0,4.0,6.0,0.0,0.0
1.882,6.720,88.441,0.0,0.0,2.957,126888.0,412.0,170639360.0,64528384.0,350363648.0,382676992.0,350.0,4.0,6.0,0.0,0.0
7.733,8.267,81.600,0.0,0.0,2.400,133688.0,997.0,170512384.0,64532480.0,350359552.0,382803968.0,349.0,3.0,6.0,0.0,0.0
6.739,11.590,79.784,0.0,0.0,1.887,120706.0,200.0,170532864.0,64532480.0,350363648.0,382779392.0,351.0,4.0,6.0,0.0,0.0
1.385,16.066,79.224,0.0,0.0,3.324,129248.0,1397.0,170532864.0,64532480.0,350363648.0,382779392.0,350.0,4.0,6.0,0.0,0.0
0.829,14.641,82.320,0.0,0.0,2.210,121598.0,412.0,170532864.0,64532480.0,350363648.0,382779392.0,351.0,4.0,6.0,0.0,0.0
2.375,7.124,88.391,0.0,0.0,2.111,114012.0,1021.0,170541056.0,64532480.0,350363648.0,382771200.0,350.0,4.0,6.0,0.0,0.0
7.547,8.086,81.402,0.270,0.0,2.695,120278.0,282.0,170504192.0,64536576.0,350363648.0,382803968.0,349.0,3.0,6.0,0.0,0.0
7.990,9.278,79.381,0.0,0.0,3.351,128473.0,1397.0,170532864.0,64536576.0,350367744.0,382771200.0,349.0,3.0,6.0,0.0,0.0
5.615,8.021,84.759,0.0,0.0,1.604,118980.0,412.0,170455040.0,64544768.0,350404608.0,382803968.0,350.0,4.0,6.0,0.0,0.0
6.316,9.474,81.842,0.0,0.0,2.368,134576.0,997.0,170455040.0,64544768.0,350404608.0,382803968.0,349.0,3.0,6.0,0.0,0.0
8.808,9.585,79.275,0.0,0.0,2.332,133936.0,1307.0,170455040.0,64544768.0,350404608.0,382803968.0,349.0,3.0,6.0,0.0,0.0
6.824,8.661,81.627,0.0,0.0,2.887,120060.0,200.0,170504192.0,64544768.0,350404608.0,382754816.0,350.0,4.0,6.0,0.0,0.0
6.233,6.775,83.740,0.0,0.0,3.252,124740.0,592.0,170455040.0,64544768.0,350404608.0,382803968.0,350.0,4.0,6.0,0.0,0.0
6.616,10.178,78.626,0.0,0.0,4.580,124974.0,294.0,170455040.0,64552960.0,350396416.0,382803968.0,350.0,4.0,6.0,0.0,0.0
4.878,7.317,85.908,0.0,0.0,1.897,124574.0,192.0,170446848.0,64552960.0,350404608.0,382803968.0,349.0,3.0,6.0,0.0,0.0
1.102,12.397,84.573,0.0,0.0,1.928,121780.0,694.0,170446848.0,64552960.0,350404608.0,382803968.0,350.0,4.0,6.0,0.0,0.0
1.939,15.235,80.055,0.0,0.0,2.770,124942.0,192.0,170446848.0,64552960.0,350404608.0,382803968.0,349.0,3.0,6.0,0.0,0.0
1.639,15.301,81.148,0.0,0.0,1.913,127716.0,502.0,170446848.0,64552960.0,350404608.0,382803968.0,350.0,4.0,6.0,0.0,0.0
0.794,9.788,87.302,0.0,0.0,2.116,133374.0,1085.0,170545152.0,64552960.0,350404608.0,382705664.0,350.0,4.0,6.0,0.0,0.0
0.796,8.488,88.859,0.265,0.0,1.592,134740.0,564.0,170455040.0,64561152.0,350396416.0,382795776.0,349.0,3.0,6.0,0.0,0.0
0.809,7.278,90.296,0.0,0.0,1.617,142352.0,1307.0,170438656.0,64561152.0,350404608.0,382803968.0,349.0,3.0,6.0,0.0,0.0
1.081,7.568,90.270,0.0,0.0,1.081,131071.0,857.0,170438656.0,64561152.0,350404608.0,382803968.0,350.0,4.0,6.0,0.0,0.0
1.053,8.421,87.105,0.0,0.0,3.421,144248.0,666.0,170430464.0,64561152.0,350404608.0,382812160.0,349.0,3.0,6.0,0.0,0.0
1.575,10.499,85.564,0.0,0.0,2.362,141752.0,1307.0,170430464.0,64561152.0,350404608.0,382812160.0,349.0,3.0,6.0,0.0,0.0
0.792,9.499,88.654,0.0,0.0,1.055,127420.0,200.0,170430464.0,64569344.0,350396416.0,382812160.0,350.0,4.0,6.0,0.0,0.0
1.044,8.094,87.467,0.0,0.0,3.394,137588.0,1127.0,170455040.0,64569344.0,350396416.0,382787584.0,350.0,4.0,6.0,0.0,0.0
1.613,6.989,89.785,0.0,0.0,1.613,137518.0,282.0,170418176.0,64569344.0,350408704.0,382812160.0,349.0,3.0,6.0,0.0,0.0
1.613,7.258,88.172,0.0,0.0,2.957,142993.0,1463.0,170418176.0,64569344.0,350408704.0,382812160.0,349.0,3.0,6.0,0.0,0.0
1.662,14.681,81.994,0.0,0.0,1.662,145794.0,1307.0,170418176.0,64569344.0,350408704.0,382812160.0,349.0,4.0,6.0,0.0,0.0
0.829,14.365,82.044,0.0,0.0,2.762,132670.0,200.0,170418176.0,64577536.0,350408704.0,382803968.0,350.0,4.0,6.0,0.0,0.0
1.093,13.661,83.880,0.0,0.0,1.366,133476.0,718.0,170418176.0,64577536.0,350408704.0,382803968.0,350.0,4.0,6.0,0.0,0.0
1.862,7.447,86.436,0.0,0.0,4.255,132360.0,282.0,170418176.0,64577536.0,350408704.0,382803968.0,349.0,3.0,6.0,0.0,0.0
0.820,6.284,91.257,0.0,0.0,1.639,138922.0,1127.0,170418176.0,64577536.0,350408704.0,382803968.0,350.0,4.0,6.0,0.0,0.0
2.139,7.487,89.572,0.0,0.0,0.802,129744.0,564.0,170422272.0,64577536.0,350412800.0,382795776.0,349.0,3.0,6.0,0.0,0.0
0.796,8.223,88.594,0.0,0.0,2.387,128124.0,412.0,170409984.0,64581632.0,350412800.0,382803968.0,350.0,4.0,6.0,0.0,0.0
1.351,7.568,89.189,0.0,0.0,1.892,143388.0,1405.0,170409984.0,64581632.0,350412800.0,382803968.0,349.0,3.0,6.0,0.0,0.0
1.072,7.775,89.276,0.0,0.0,1.877,141700.0,1307.0,170409984.0,64581632.0,350412800.0,382803968.0,349.0,4.0,6.0,0.0,0.0
0.802,7.219,89.572,0.0,0.0,2.406,131718.0,412.0,170409984.0,64581632.0,350412800.0,382803968.0,350.0,4.0,6.0,0.0,0.0
1.340,7.239,89.276,0.0,0.0,2.145,143026.0,1473.0,170409984.0,64581632.0,350412800.0,382803968.0,349.0,3.0,6.0,0.0,0.0
0.798,9.574,86.968,0.0,0.0,2.660,133510.0,592.0,170405888.0,64585728.0,350412800.0,382803968.0,350.0,4.0,6.0,0.0,0.0
1.031,12.113,85.052,0.0,0.0,1.804,145598.0,817.0,170405888.0,64585728.0,350412800.0,382803968.0,349.0,3.0,6.0,0.0,0.0
0.557,14.763,82.451,0.0,0.0,2.228,141644.0,1241.0,170438656.0,64585728.0,350412800.0,382771200.0,350.0,4.0,6.0,0.0,0.0
1.648,14.286,81.044,0.0,0.0,3.022,136134.0,384.0,170401792.0,64585728.0,350416896.0,382803968.0,349.0,3.0,6.0,0.0,0.0
1.081,10.270,84.595,0.0,0.0,4.054,142902.0,1307.0,170553344.0,64585728.0,350416896.0,382652416.0,350.0,3.0,6.0,0.0,0.0
0.539,7.278,90.027,0.0,0.0,2.156,130566.0,857.0,170553344.0,64585728.0,350416896.0,382652416.0,351.0,4.0,6.0,0.0,0.0
1.596,7.979,88.830,0.266,0.0,1.330,143114.0,552.0,170561536.0,64585728.0,350416896.0,382644224.0,350.0,3.0,6.0,0.0,0.0
0.806,6.989,89.785,0.0,0.0,2.419,143186.0,1307.0,170536960.0,64585728.0,350416896.0,382668800.0,349.0,3.0,6.0,0.0,0.0
1.635,6.540,90.463,0.0,0.0,1.362,133699.0,857.0,170528768.0,64585728.0,350416896.0,382676992.0,350.0,4.0,6.0,0.0,0.0
0.822,5.753,90.959,0.0,0.0,2.466,141600.0,552.0,170528768.0,64585728.0,350416896.0,382676992.0,349.0,3.0,6.0,0.0,0.0
1.081,7.027,89.730,0.0,0.0,2.162,133337.0,816.0,170446848.0,64585728.0,350416896.0,382758912.0,350.0,4.0,6.0,0.0,0.0
