Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		0.149300813675	0.149788856506	0.149788856506	0.149788856506	0.145440813675		0.0	0.0
2&0		0.134606838226	0.142972946167	0.285945892334	1.28594589233	0.130913838226		0.0	0.0
3&0		0.14411687851	0.143840312958	0.431520938873	2.43152093887	0.13806087851		0.0	0.0
4&0		0.144472122192	0.144393742085	0.577574968338	3.57757496834	0.137644122192		0.0	0.0
5&0		0.146921873093	0.145214176178	0.72607088089	4.72607088089	0.140088873093		0.0	0.0
6&0		0.138495922089	0.144355972608	0.866135835648	5.86613583565	0.134893922089		0.0	0.0
7&0		0.149631977081	0.145316839218	1.01721787453	7.01721787453	0.143527977081		0.0	0.0
8&0		0.147094011307	0.145760864019	1.16608691216	8.16608691216	0.140347011307		0.0	0.0
9&0		0.141345977783	0.145455439885	1.30909895897	9.30909895897	0.135553977783		0.0	0.0
10&0		0.136606931686	0.144724798203	1.44724798203	10.447247982	0.133151931686		0.0	0.0
11&0		0.152681827545	0.145585168492	1.60143685341	11.6014368534	0.148361827545		0.0	0.0
12&0		0.140827894211	0.145310739676	1.74372887611	12.7437288761	0.136093894211		0.0	0.0
13&0		0.148704051971	0.145683233555	1.89388203621	13.8938820362	0.142468051971		0.0	0.0
14&0		0.145936012268	0.145816990307	2.0414378643	15.0414378643	0.139364012268		0.0	0.0
15&0		0.148154973984	0.146071656545	2.19107484818	16.1910748482	0.142005973984		0.0	0.0
16&0		0.146223068237	0.146181374788	2.33890199661	17.3389019966	0.142935068237		0.0	0.0
17&0		0.139783859253	0.145890053581	2.48013091087	18.4801309109	0.135472859253		0.0	0.0
18&0		0.143185853958	0.145817769898	2.62471985817	19.6247198582	0.137379853958		0.0	0.0
19&0		0.144358158112	0.14581542266	2.77049303055	20.7704930305	0.138853158112		0.0	0.0
20&0		0.155075073242	0.146349298954	2.92698597908	21.9269859791	0.149709073242		0.0	0.0
21&0		0.141248941422	0.146173136575	3.06963586807	23.0696358681	0.135777941422		0.0	0.0
22&0		0.15122795105	0.146467176351	3.22227787971	24.2222778797	0.14584995105		0.0	0.0
23&0		0.144530057907	0.146443087122	3.3681910038	25.3681910038	0.141125057907		0.0	0.0
24&0		0.145452976227	0.146455953519	3.51494288445	26.5149428844	0.140161976227		0.0	0.0
25&0		0.377774953842	0.155764074326	3.89410185814	27.8941018581	0.373954953842		0.0	0.0
26&0		0.142718076706	0.155314537195	4.03817796707	29.0381779671	0.137340076706		0.0	0.0
27&0		0.14346909523	0.154928145585	4.1830599308	30.1830599308	0.13843009523		0.0	0.0
28&0		0.144554138184	0.15460893086	4.32905006409	31.3290500641	0.139415138184		0.0	0.0
29&0		0.151795864105	0.154562374641	4.48230886459	32.4823088646	0.146604864105		0.0	0.0
30&0		0.142560005188	0.154208930333	4.62626791	33.62626791	0.137713005188		0.0	0.0
31&0		0.147327899933	0.154031899668	4.77498888969	34.7749888897	0.142473899933		0.0	0.0
32&0		0.150900125504	0.153977937996	4.92729401588	35.9272940159	0.146028125504		0.0	0.0
33&0		0.150801897049	0.153928482171	5.07963991165	37.0796399117	0.145486897049		0.0	0.0
34&0		0.142004966736	0.153619289398	5.22305583954	38.2230558395	0.136075966736		0.0	0.0
35&0		0.137917995453	0.153217424665	5.36260986328	39.3626098633	0.134357995453		0.0	0.0
36&0		0.139723062515	0.152880695131	5.50370502472	40.5037050247	0.135811062515		0.0	0.0
37&0		0.143143892288	0.152652888685	5.64815688133	41.6481568813	0.137650892288		0.0	0.0
38&0		0.141824007034	0.152407815582	5.79149699211	42.7914969921	0.138124007034		0.0	0.0
39&0		0.158081054688	0.152586612946	5.95087790489	43.9508779049	0.155194054688		0.0	0.0
40&0		0.149039983749	0.152531170845	6.1012468338	45.1012468338	0.143659983749		0.0	0.0
41&0		0.152194976807	0.152557512609	6.25485801697	46.254858017	0.146531976807		0.0	0.0
42&0		0.141977071762	0.152339237077	6.39824795723	47.3982479572	0.137105071762		0.0	0.0
43&0		0.142966985703	0.152154600898	6.54264783859	48.5426478386	0.137910985703		0.0	0.0
44&0		0.140560865402	0.151927655393	6.68481683731	49.6848168373	0.135430865402		0.0	0.0
45&0		0.138288974762	0.15165608724	6.82452392578	50.8245239258	0.133233974762		0.0	0.0
46&0		0.144514083862	0.151530913685	6.9704220295	51.9704220295	0.141327083862		0.0	0.0
47&0		0.138309001923	0.151280682138	7.11019206047	53.1101920605	0.132583001923		0.0	0.0
48&0		0.134961843491	0.150974288583	7.24676585197	54.246765852	0.131356843491		0.0	0.0
49&0		0.147750854492	0.15093552823	7.39584088326	55.3958408833	0.142643854492		0.0	0.0
50&0		0.142132043839	0.15078827858	7.53941392899	56.539413929	0.136410043839		0.0	0.0
51&0		0.139516830444	0.150594879599	7.68033885956	57.6803388596	0.134719830444		0.0	0.0
52&0		0.142617940903	0.150470939966	7.82448887825	58.8244888783	0.137189940903		0.0	0.0
53&0		0.159476041794	0.150667829334	7.98539495468	59.9853949547	0.153767041794		0.0	0.0
54&0		0.144886016846	0.150586869982	8.131690979	61.131690979	0.139149016846		0.0	0.0
55&0		0.161545991898	0.150812179392	8.29466986656	62.2946698666	0.157975991898		0.0	0.0
56&0		0.134548902512	0.150544890336	8.4305138588	63.4305138588	0.131594902512		0.0	0.0
57&0		0.153263092041	0.150615876181	8.58510494232	64.5851049423	0.148332092041		0.0	0.0
58&0		0.138004779816	0.150422359335	8.72449684143	65.7244968414	0.135124779816		0.0	0.0
59&0		0.147244930267	0.150390932115	8.87306499481	66.8730649948	0.142420930267		0.0	0.0
60&0		0.158900976181	0.150556548436	9.03339290619	68.0333929062	0.153957976181		0.0	0.0
61&0		0.147269964218	0.150526046753	9.18208885193	69.1820888519	0.142185964218		0.0	0.0
62&0		0.147125959396	0.150495290756	9.33070802689	70.3307080269	0.144162959396		0.0	0.0
63&0		0.141768932343	0.150378015306	9.47381496429	71.4738149643	0.136903932343		0.0	0.0
64&0		0.142173051834	0.150271624327	9.61738395691	72.6173839569	0.137315051834		0.0	0.0
65&0		0.293512105942	0.152498846788	9.9124250412	73.9124250412	0.288516105942		0.0	0.0
66&0		0.1559009552	0.152572498177	10.0697848797	75.0697848797	0.1508669552		0.0	0.0
67&0		0.14656996727	0.152503910349	10.2177619934	76.2177619934	0.14295496727		0.0	0.0
68&0		0.145835876465	0.152425205006	10.3649139404	77.3649139404	0.140960876465		0.0	0.0
69&0		0.1460750103	0.152353780857	10.5124108791	78.5124108791	0.1426240103		0.0	0.0
70&0		0.139009952545	0.152181928498	10.6527349949	79.6527349949	0.134119952545		0.0	0.0
71&0		0.139691829681	0.152026364501	10.7938718796	80.7938718796	0.134880829681		0.0	0.0
72&0		0.14407992363	0.151935554213	10.9393599033	81.9393599033	0.13918492363		0.0	0.0
