"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_noAttacked_sp_bs.csv -cnm --socket 1 100",,,,"Date:","18 Jul 2017 08:36:52 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.058,4.232,93.233,0.048,0.0,1.430,0.0,0.0,138502144.0,50376704.0,302665728.0,476663808.0,351.0,4.0,6.0,0.0,0.0
2.100,7.087,90.814,0.0,0.0,0.0,13256.0,715.0,139149312.0,50376704.0,302669824.0,476012544.0,351.0,3.0,6.0,0.0,0.0
4.639,4.124,91.237,0.0,0.0,0.0,14570.0,1307.0,138133504.0,50376704.0,302669824.0,477028352.0,351.0,3.0,6.0,0.0,0.0
6.870,1.018,92.112,0.0,0.0,0.0,14570.0,1307.0,138600448.0,50376704.0,302669824.0,476561408.0,351.0,3.0,6.0,0.0,0.0
3.797,0.506,95.696,0.0,0.0,0.0,14570.0,1307.0,138600448.0,50376704.0,302669824.0,476561408.0,350.0,3.0,6.0,0.0,0.0
6.361,0.509,93.130,0.0,0.0,0.0,14570.0,1307.0,138625024.0,50376704.0,302669824.0,476536832.0,350.0,3.0,6.0,0.0,0.0
3.827,1.531,94.643,0.0,0.0,0.0,14570.0,1307.0,138620928.0,50380800.0,302669824.0,476536832.0,350.0,3.0,6.0,0.0,0.0
4.847,0.765,94.388,0.0,0.0,0.0,13504.0,1205.0,139128832.0,50380800.0,302669824.0,476028928.0,350.0,3.0,6.0,0.0,0.0
6.170,0.771,93.059,0.0,0.0,0.0,248.0,490.0,139128832.0,50380800.0,302669824.0,476028928.0,351.0,4.0,6.0,0.0,0.0
4.040,1.515,94.444,0.0,0.0,0.0,13256.0,715.0,139120640.0,50380800.0,302669824.0,476037120.0,350.0,3.0,6.0,0.0,0.0
3.038,1.266,95.696,0.0,0.0,0.0,13504.0,1205.0,139120640.0,50380800.0,302669824.0,476037120.0,350.0,3.0,6.0,0.0,0.0
5.076,1.777,92.893,0.254,0.0,0.0,14569.0,1307.0,139120640.0,50388992.0,302669824.0,476028928.0,350.0,3.0,6.0,0.0,0.0
6.122,1.531,92.347,0.0,0.0,0.0,13504.0,1205.0,139096064.0,50388992.0,302669824.0,476053504.0,350.0,3.0,6.0,0.0,0.0
2.632,6.842,90.526,0.0,0.0,0.0,14570.0,1307.0,139087872.0,50388992.0,302669824.0,476061696.0,350.0,3.0,6.0,0.0,0.0
6.460,8.010,85.271,0.0,0.0,0.258,14570.0,1307.0,139120640.0,50388992.0,302669824.0,476028928.0,350.0,3.0,6.0,0.0,0.0
4.370,3.342,92.031,0.0,0.0,0.257,14518.0,1307.0,139120640.0,50388992.0,302669824.0,476028928.0,350.0,4.0,6.0,0.0,0.0
3.553,0.761,95.685,0.0,0.0,0.0,300.0,490.0,139112448.0,50388992.0,302669824.0,476037120.0,351.0,4.0,6.0,0.0,0.0
7.868,0.761,91.371,0.0,0.0,0.0,13256.0,715.0,139747328.0,50397184.0,302669824.0,475394048.0,350.0,3.0,6.0,0.0,0.0
4.293,0.505,95.202,0.0,0.0,0.0,14813.0,1307.0,139522048.0,50397184.0,302669824.0,475619328.0,350.0,3.0,6.0,0.0,0.0
5.357,1.020,93.622,0.0,0.0,0.0,14570.0,1307.0,139485184.0,50397184.0,302669824.0,475656192.0,350.0,3.0,6.0,0.0,0.0
5.089,1.527,93.384,0.0,0.0,0.0,14713.0,1307.0,139505664.0,50397184.0,302669824.0,475635712.0,350.0,3.0,6.0,0.0,0.0
