"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_noCommunication_noAttacked.csv -cnm --socket 1 300",,,,"Date:","19 Jul 2017 06:43:31 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
0.535,2.379,96.669,0.052,0.0,0.365,0.0,0.0,122740736.0,31436800.0,183529472.0,630501376.0,335.0,3.0,6.0,0.0,0.0
0.506,0.0,99.494,0.0,0.0,0.0,0.0,0.0,122724352.0,31436800.0,183529472.0,630517760.0,335.0,3.0,6.0,0.0,0.0
1.818,5.195,92.987,0.0,0.0,0.0,0.0,78.0,122753024.0,31436800.0,183537664.0,630480896.0,335.0,3.0,6.0,0.0,0.0
0.787,7.087,92.126,0.0,0.0,0.0,0.0,0.0,122753024.0,31436800.0,183537664.0,630480896.0,335.0,3.0,6.0,0.0,0.0
0.783,6.005,93.211,0.0,0.0,0.0,0.0,0.0,122802176.0,31436800.0,183537664.0,630431744.0,335.0,3.0,6.0,0.0,0.0
1.263,0.253,98.485,0.0,0.0,0.0,0.0,0.0,122753024.0,31436800.0,183537664.0,630480896.0,335.0,3.0,6.0,0.0,0.0
1.266,0.253,98.228,0.253,0.0,0.0,143.0,0.0,122880000.0,31444992.0,183529472.0,630353920.0,335.0,3.0,6.0,0.0,0.0
1.015,0.254,98.731,0.0,0.0,0.0,0.0,0.0,122871808.0,31444992.0,183537664.0,630353920.0,335.0,3.0,6.0,0.0,0.0
1.015,0.0,98.985,0.0,0.0,0.0,0.0,0.0,122871808.0,31444992.0,183537664.0,630353920.0,335.0,3.0,6.0,0.0,0.0
1.269,0.0,98.731,0.0,0.0,0.0,0.0,0.0,122871808.0,31444992.0,183537664.0,630353920.0,335.0,3.0,6.0,0.0,0.0
1.018,0.254,98.728,0.0,0.0,0.0,0.0,0.0,122830848.0,31444992.0,183537664.0,630394880.0,335.0,3.0,6.0,0.0,0.0
1.519,0.0,98.481,0.0,0.0,0.0,0.0,0.0,122863616.0,31453184.0,183537664.0,630353920.0,335.0,3.0,6.0,0.0,0.0
1.269,0.254,98.477,0.0,0.0,0.0,0.0,0.0,122871808.0,31453184.0,183537664.0,630345728.0,335.0,3.0,6.0,0.0,0.0
1.018,0.0,98.982,0.0,0.0,0.0,0.0,0.0,122937344.0,31453184.0,183537664.0,630280192.0,335.0,3.0,6.0,0.0,0.0
2.284,0.254,97.462,0.0,0.0,0.0,0.0,0.0,123117568.0,31453184.0,183537664.0,630099968.0,335.0,3.0,6.0,0.0,0.0
1.316,6.053,92.632,0.0,0.0,0.0,0.0,0.0,123117568.0,31453184.0,183537664.0,630099968.0,335.0,3.0,6.0,0.0,0.0
1.309,6.545,91.885,0.262,0.0,0.0,0.0,0.0,123174912.0,31461376.0,183537664.0,630034432.0,335.0,3.0,6.0,0.0,0.0
1.299,4.156,94.545,0.0,0.0,0.0,0.0,0.0,123174912.0,31461376.0,183537664.0,630034432.0,335.0,3.0,6.0,0.0,0.0
1.772,0.0,98.228,0.0,0.0,0.0,0.0,0.0,123183104.0,31461376.0,183537664.0,630026240.0,335.0,3.0,6.0,0.0,0.0
1.266,0.0,98.734,0.0,0.0,0.0,0.0,0.0,123174912.0,31461376.0,183537664.0,630034432.0,335.0,3.0,6.0,0.0,0.0
0.765,0.255,98.980,0.0,0.0,0.0,0.0,0.0,123109376.0,31461376.0,183537664.0,630099968.0,335.0,3.0,6.0,0.0,0.0
1.269,0.0,98.477,0.254,0.0,0.0,0.0,0.0,123236352.0,31469568.0,183529472.0,629972992.0,335.0,3.0,6.0,0.0,0.0
1.018,0.0,98.982,0.0,0.0,0.0,0.0,0.0,123260928.0,31469568.0,183529472.0,629948416.0,335.0,3.0,6.0,0.0,0.0
1.276,0.0,98.724,0.0,0.0,0.0,0.0,0.0,123203584.0,31469568.0,183529472.0,630005760.0,335.0,3.0,6.0,0.0,0.0
1.272,0.0,98.728,0.0,0.0,0.0,0.0,0.0,123252736.0,31469568.0,183529472.0,629956608.0,335.0,3.0,6.0,0.0,0.0
1.269,0.254,98.477,0.0,0.0,0.0,0.0,0.0,123236352.0,31469568.0,183529472.0,629972992.0,335.0,3.0,6.0,0.0,0.0
1.269,0.0,98.731,0.0,0.0,0.0,143.0,0.0,123219968.0,31477760.0,183537664.0,629972992.0,335.0,3.0,6.0,0.0,0.0
1.272,1.018,97.710,0.0,0.0,0.0,0.0,0.0,123301888.0,31477760.0,183537664.0,629891072.0,335.0,3.0,6.0,0.0,0.0
0.529,7.407,92.063,0.0,0.0,0.0,0.0,0.0,123301888.0,31477760.0,183537664.0,629891072.0,335.0,3.0,6.0,0.0,0.0
1.309,7.068,91.623,0.0,0.0,0.0,0.0,0.0,123219968.0,31477760.0,183537664.0,629972992.0,335.0,3.0,6.0,0.0,0.0
2.051,2.821,95.128,0.0,0.0,0.0,0.0,0.0,122875904.0,31477760.0,183537664.0,630317056.0,335.0,3.0,6.0,0.0,0.0
1.013,0.506,98.228,0.253,0.0,0.0,0.0,0.0,122781696.0,31485952.0,183529472.0,630411264.0,335.0,3.0,6.0,0.0,0.0
1.276,0.0,98.724,0.0,0.0,0.0,307.0,0.0,122822656.0,31485952.0,183545856.0,630353920.0,335.0,3.0,6.0,0.0,0.0
1.515,0.0,98.485,0.0,0.0,0.0,78.0,0.0,123473920.0,31485952.0,183545856.0,629702656.0,335.0,3.0,6.0,0.0,0.0
1.023,0.256,98.721,0.0,0.0,0.0,156.0,0.0,123326464.0,31485952.0,183549952.0,629846016.0,335.0,3.0,6.0,0.0,0.0
1.269,0.0,98.731,0.0,0.0,0.0,78.0,0.0,123322368.0,31485952.0,183554048.0,629846016.0,335.0,3.0,6.0,0.0,0.0
1.015,0.508,98.477,0.0,0.0,0.0,78.0,0.0,123314176.0,31494144.0,183554048.0,629846016.0,335.0,3.0,6.0,0.0,0.0
1.269,0.254,98.223,0.254,0.0,0.0,156.0,0.0,123379712.0,31510528.0,183537664.0,629780480.0,335.0,3.0,6.0,0.0,0.0
1.018,0.254,98.728,0.0,0.0,0.0,78.0,0.0,123260928.0,31510528.0,183590912.0,629846016.0,335.0,3.0,6.0,0.0,0.0
1.269,0.0,98.731,0.0,0.0,0.0,78.0,0.0,123260928.0,31510528.0,183590912.0,629846016.0,335.0,3.0,6.0,0.0,0.0
1.542,2.057,96.401,0.0,0.0,0.0,0.0,0.0,123269120.0,31510528.0,183590912.0,629837824.0,335.0,3.0,6.0,0.0,0.0
1.055,6.596,92.348,0.0,0.0,0.0,78.0,0.0,123260928.0,31510528.0,183590912.0,629846016.0,335.0,3.0,6.0,0.0,0.0
1.058,6.878,92.063,0.0,0.0,0.0,156.0,0.0,123260928.0,31510528.0,183590912.0,629846016.0,335.0,3.0,6.0,0.0,0.0
1.272,2.036,96.692,0.0,0.0,0.0,78.0,0.0,123252736.0,31518720.0,183590912.0,629846016.0,335.0,3.0,6.0,0.0,0.0
1.772,0.0,98.228,0.0,0.0,0.0,0.0,0.0,123252736.0,31518720.0,183590912.0,629846016.0,335.0,3.0,6.0,0.0,0.0
1.269,0.0,98.731,0.0,0.0,0.0,0.0,0.0,123252736.0,31518720.0,183590912.0,629846016.0,335.0,3.0,6.0,0.0,0.0
1.531,0.0,98.469,0.0,0.0,0.0,143.0,0.0,123260928.0,31518720.0,183590912.0,629837824.0,335.0,3.0,6.0,0.0,0.0
1.519,0.0,98.481,0.0,0.0,0.0,0.0,0.0,123252736.0,31518720.0,183590912.0,629846016.0,335.0,3.0,6.0,0.0,0.0
1.272,0.254,98.473,0.0,0.0,0.0,0.0,114.0,123244544.0,31526912.0,183590912.0,629846016.0,335.0,3.0,6.0,0.0,0.0
1.263,0.0,98.737,0.0,0.0,0.0,76.0,0.0,123244544.0,31526912.0,183590912.0,629846016.0,335.0,3.0,6.0,0.0,0.0
1.269,0.254,98.477,0.0,0.0,0.0,0.0,0.0,123244544.0,31526912.0,183590912.0,629846016.0,335.0,3.0,6.0,0.0,0.0
1.519,0.253,98.228,0.0,0.0,0.0,0.0,0.0,123260928.0,31526912.0,183590912.0,629829632.0,335.0,3.0,6.0,0.0,0.0
1.018,0.254,98.728,0.0,0.0,0.0,0.0,0.0,123351040.0,31526912.0,183590912.0,629739520.0,335.0,3.0,6.0,0.0,0.0
1.542,3.342,94.859,0.257,0.0,0.0,0.0,0.0,123367424.0,31535104.0,183582720.0,629723136.0,335.0,3.0,6.0,0.0,0.0
1.058,7.143,91.799,0.0,0.0,0.0,28.0,66.0,123387904.0,31535104.0,183590912.0,629694464.0,336.0,3.0,6.0,0.0,0.0
1.053,6.579,92.368,0.0,0.0,0.0,0.0,0.0,123387904.0,31535104.0,183590912.0,629694464.0,336.0,3.0,6.0,0.0,0.0
1.279,0.512,98.210,0.0,0.0,0.0,0.0,0.0,123420672.0,31535104.0,183590912.0,629661696.0,336.0,3.0,6.0,0.0,0.0
1.013,0.506,98.481,0.0,0.0,0.0,0.0,0.0,123478016.0,31535104.0,183590912.0,629604352.0,335.0,3.0,6.0,0.0,0.0
