Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		0.126420021057	0.127154827118	0.127154827118	0.127154827118	0.122657021057		0.0	0.0
2&0		0.138223171234	0.13345849514	0.26691699028	1.26691699028	0.132558171234		0.0	0.0
3&0		0.135256052017	0.134684642156	0.404053926468	2.40405392647	0.130179052017		0.0	0.0
4&0		0.147827863693	0.138435721397	0.55374288559	3.55374288559	0.142443863693		0.0	0.0
5&0		0.123385906219	0.135745382309	0.678726911545	4.67872691154	0.118020906219		0.0	0.0
6&0		0.135601043701	0.13598048687	0.815882921219	5.81588292122	0.130354043701		0.0	0.0
7&0		0.131822109222	0.135604143143	0.949229001999	6.949229002	0.128140109222		0.0	0.0
8&0		0.128448009491	0.134870111942	1.07896089554	8.07896089554	0.122786009491		0.0	0.0
9&0		0.141023159027	0.13571688864	1.22145199776	9.22145199776	0.135443159027		0.0	0.0
10&0		0.121427059174	0.134455394745	1.34455394745	10.3445539474	0.115688059174		0.0	0.0
11&0		0.23713517189	0.143933361227	1.5832669735	11.5832669735	0.23240117189		0.0	0.0
12&0		0.135318994522	0.143330832322	1.71996998787	12.7199699879	0.132479994522		0.0	0.0
13&0		0.127425909042	0.142213527973	1.84877586365	13.8487758636	0.122967909042		0.0	0.0
14&0		0.156394004822	0.143328632627	2.00660085678	15.0066008568	0.151647004822		0.0	0.0
15&0		0.131193161011	0.142615000407	2.1392250061	16.1392250061	0.126326161011		0.0	0.0
16&0		0.123406887054	0.141503617167	2.26405787468	17.2640578747	0.120138887054		0.0	0.0
17&0		0.124022006989	0.14054999632	2.38934993744	18.3893499374	0.121196006989		0.0	0.0
18&0		0.123714923859	0.139685935444	2.514346838	19.514346838	0.120940923859		0.0	0.0
19&0		0.125105142593	0.138986211074	2.64073801041	20.6407380104	0.122212142593		0.0	0.0
20&0		0.125483989716	0.138377046585	2.7675409317	21.7675409317	0.120803989716		0.0	0.0
21&0		0.124417066574	0.137779951096	2.89337897301	22.893378973	0.119755066574		0.0	0.0
22&0		0.125313997269	0.137277538126	3.02010583878	24.0201058388	0.120867997269		0.0	0.0
23&0		0.12512922287	0.136810478957	3.14664101601	25.146641016	0.12003822287		0.0	0.0
24&0		0.123066902161	0.136297871669	3.27114892006	26.2711489201	0.118056902161		0.0	0.0
25&0		0.124835014343	0.135895719528	3.3973929882	27.3973929882	0.120035014343		0.0	0.0
26&0		0.139228105545	0.136078073428	3.53802990913	28.5380299091	0.134520105545		0.0	0.0
27&0		0.127570867538	0.135815735216	3.66702485085	29.6670248508	0.122802867538		0.0	0.0
28&0		0.121613025665	0.135358137744	3.79002785683	30.7900278568	0.118778025665		0.0	0.0
29&0		0.13056397438	0.135236756555	3.92186594009	31.9218659401	0.12606697438		0.0	0.0
30&0		0.123831033707	0.134903732936	4.04711198807	33.0471119881	0.119139033707		0.0	0.0
31&0		0.127166986465	0.134703251623	4.17580080032	34.1758008003	0.122190986465		0.0	0.0
32&0		0.126706123352	0.134498216212	4.30394291878	35.3039429188	0.121139123352		0.0	0.0
33&0		0.12722492218	0.134334361914	4.43303394318	36.4330339432	0.12197592218		0.0	0.0
34&0		0.12980389595	0.134244876749	4.56432580948	37.5643258095	0.12469389595		0.0	0.0
35&0		0.123746871948	0.133987195151	4.68955183029	38.6895518303	0.118613871948		0.0	0.0
36&0		0.128644943237	0.133881469568	4.81973290443	39.8197329044	0.123533943237		0.0	0.0
37&0		0.125934839249	0.133706833865	4.94715285301	40.947152853	0.120804839249		0.0	0.0
38&0		0.126975059509	0.133578131073	5.07596898079	42.0759689808	0.121346059509		0.0	0.0
39&0		0.123886823654	0.133366456399	5.20129179955	43.2012917995	0.118529823654		0.0	0.0
40&0		0.123142004013	0.133148419857	5.32593679428	44.3259367943	0.119895004013		0.0	0.0
41&0		0.126706123352	0.133022657255	5.45392894745	45.4539289474	0.123711123352		0.0	0.0
42&0		0.121999025345	0.132791638374	5.57724881172	46.5772488117	0.118798025345		0.0	0.0
43&0		0.124526977539	0.1326312298	5.70314288139	47.7031428814	0.119470977539		0.0	0.0
44&0		0.125407934189	0.132502133196	5.83009386063	48.8300938606	0.119857934189		0.0	0.0
45&0		0.126672029495	0.132405376434	5.95824193954	49.9582419395	0.120906029495		0.0	0.0
