"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_noAttacked.csv -cnm --socket 1 300",,,,"Date:","17 Jul 2017 05:20:33 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.525,4.638,92.311,0.204,0.0,1.322,0.0,0.0,135716864.0,29978624.0,318959616.0,483553280.0,339.0,15.0,6.0,0.0,0.0
2.757,0.251,96.992,0.0,0.0,0.0,13256.0,715.0,136007680.0,29978624.0,318963712.0,483258368.0,338.0,14.0,6.0,0.0,0.0
1.763,0.504,97.733,0.0,0.0,0.0,13504.0,1205.0,135933952.0,29978624.0,318963712.0,483332096.0,338.0,14.0,6.0,0.0,0.0
1.523,0.254,98.223,0.0,0.0,0.0,13504.0,1205.0,135925760.0,29978624.0,318963712.0,483340288.0,338.0,14.0,6.0,0.0,0.0
1.269,0.761,97.970,0.0,0.0,0.0,13660.0,1283.0,136552448.0,29978624.0,318963712.0,482713600.0,338.0,14.0,6.0,0.0,0.0
2.025,0.506,97.468,0.0,0.0,0.0,13582.0,1205.0,136544256.0,29986816.0,318963712.0,482713600.0,338.0,14.0,6.0,0.0,0.0
1.575,7.087,91.339,0.0,0.0,0.0,13504.0,1205.0,136544256.0,29986816.0,318963712.0,482713600.0,338.0,14.0,6.0,0.0,0.0
4.688,9.115,86.198,0.0,0.0,0.0,13504.0,1399.0,136544256.0,29986816.0,318963712.0,482713600.0,338.0,14.0,6.0,0.0,0.0
1.276,3.571,95.153,0.0,0.0,0.0,462.0,755.0,136544256.0,29986816.0,318963712.0,482713600.0,339.0,15.0,6.0,0.0,0.0
1.777,0.254,97.970,0.0,0.0,0.0,13274.0,528.0,136888320.0,29986816.0,318963712.0,482369536.0,338.0,14.0,6.0,0.0,0.0
1.772,0.506,97.722,0.0,0.0,0.0,13660.0,1205.0,136671232.0,29986816.0,318963712.0,482586624.0,338.0,14.0,6.0,0.0,0.0
1.763,0.504,97.229,0.252,0.0,0.252,13816.0,1205.0,136622080.0,29995008.0,318955520.0,482635776.0,338.0,14.0,6.0,0.0,0.0
1.535,0.256,98.210,0.0,0.0,0.0,13738.0,1273.0,136572928.0,29995008.0,318955520.0,482684928.0,338.0,14.0,6.0,0.0,0.0
3.266,0.503,96.231,0.0,0.0,0.0,13532.0,1205.0,136663040.0,29995008.0,318963712.0,482586624.0,338.0,14.0,6.0,0.0,0.0
1.777,0.254,97.970,0.0,0.0,0.0,13738.0,1205.0,136658944.0,29995008.0,318967808.0,482586624.0,338.0,14.0,6.0,0.0,0.0
2.020,0.253,97.727,0.0,0.0,0.0,13582.0,1205.0,136851456.0,29995008.0,318967808.0,482394112.0,338.0,14.0,6.0,0.0,0.0
1.023,0.512,98.465,0.0,0.0,0.0,248.0,568.0,136777728.0,30003200.0,318967808.0,482459648.0,339.0,11.0,6.0,0.0,0.0
1.269,0.508,98.223,0.0,0.0,0.0,13256.0,715.0,136777728.0,30003200.0,318967808.0,482459648.0,338.0,10.0,6.0,0.0,0.0
2.041,1.786,96.173,0.0,0.0,0.0,13504.0,1205.0,136777728.0,30003200.0,318967808.0,482459648.0,338.0,10.0,6.0,0.0,0.0
2.835,7.216,89.948,0.0,0.0,0.0,13504.0,1205.0,136884224.0,30003200.0,318967808.0,482353152.0,338.0,10.0,6.0,0.0,0.0
1.828,7.050,91.123,0.0,0.0,0.0,13647.0,1205.0,136777728.0,30003200.0,318967808.0,482459648.0,338.0,10.0,6.0,0.0,0.0
1.795,2.821,95.385,0.0,0.0,0.0,13504.0,1319.0,136978432.0,30011392.0,318959616.0,482258944.0,338.0,7.0,6.0,0.0,0.0
3.030,0.758,96.212,0.0,0.0,0.0,13580.0,1205.0,136642560.0,30011392.0,318967808.0,482586624.0,338.0,7.0,6.0,0.0,0.0
3.275,0.756,95.970,0.0,0.0,0.0,13504.0,1319.0,136609792.0,30011392.0,318967808.0,482619392.0,338.0,7.0,6.0,0.0,0.0
2.538,0.0,97.462,0.0,0.0,0.0,13658.0,1205.0,136663040.0,30011392.0,318967808.0,482566144.0,338.0,7.0,6.0,0.0,0.0
3.535,0.253,96.212,0.0,0.0,0.0,403.0,490.0,137220096.0,30011392.0,318980096.0,481996800.0,339.0,8.0,6.0,0.0,0.0
3.0,1.0,96.0,0.0,0.0,0.0,13256.0,719.0,137146368.0,30011392.0,318980096.0,482070528.0,338.0,7.0,6.0,0.0,0.0
2.020,1.515,95.960,0.253,0.0,0.253,13504.0,1205.0,137240576.0,30019584.0,318976000.0,481972224.0,338.0,7.0,6.0,0.0,0.0
3.769,0.754,95.477,0.0,0.0,0.0,13504.0,1205.0,136630272.0,30019584.0,318980096.0,482578432.0,338.0,7.0,6.0,0.0,0.0
3.023,1.008,95.970,0.0,0.0,0.0,14882.0,1307.0,136683520.0,30019584.0,318984192.0,482521088.0,338.0,7.0,6.0,0.0,0.0
2.799,0.763,96.438,0.0,0.0,0.0,13660.0,1205.0,137261056.0,30019584.0,318984192.0,481943552.0,338.0,7.0,6.0,0.0,0.0
3.053,3.308,93.639,0.0,0.0,0.0,13504.0,1205.0,137134080.0,30019584.0,318984192.0,482070528.0,338.0,7.0,6.0,0.0,0.0
