Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
0&1		3.08646512032	3.08683013916	3.08683013916	3.08683013916	3.08540412032		0.1	1.0
0&2		2.53424906731	2.81126260757	5.62252521515	6.62252521515	2.53315606731		0.2	1.0
0&3		2.09830188751	2.5740796725	7.72223901749	9.72223901749	2.09753488751		0.3	1.0
0&4		2.20211911201	2.48143154383	9.92572617531	12.9257261753	2.20052211201		0.4	1.0
1&4		1.09110093117	2.20364041328	11.0182020664	15.0182020664	1.08764993117		0.4	0.8
2&4		2.28155708313	2.21685536702	13.3011322021	18.3011322021	2.27775608313		0.4	0.666666666667
2&5		3.21491479874	2.35962200165	16.5173540115	22.5173540115	3.21335179874		0.5	0.714285714286
2&6		5.50652384758	2.75316050649	22.0252840519	29.0252840519	5.50553384758		0.6	0.75
2&7		3.49976301193	2.8362710211	25.5264391899	33.5264391899	3.49779401193		0.7	0.777777777778
2&8		3.6272559166	2.91551001072	29.1551001072	38.1551001072	3.6260909166		0.8	0.8
2&9		5.52333712578	3.1527121067	34.6798331738	44.6798331738	5.52235112578		0.8	0.818181818182
3&9		0.886095046997	2.9639420112	35.5673041344	46.5673041344	0.882588046997		0.7	0.75
3&10		2.0472137928	2.89350746228	37.6155970097	49.6155970097	2.0465027928		0.7	0.769230769231
4&10		0.392917871475	2.71499185903	38.0098860264	51.0098860264	0.389642871475		0.6	0.714285714286
4&11		2.50581884384	2.70113320351	40.5169980526	54.5169980526	2.50475184384		0.7	0.733333333333
5&11		2.08443498611	2.66267594695	42.6028151512	57.6028151512	2.08082098611		0.7	0.6875
5&12		3.44217300415	2.70860512116	46.0462870598	62.0462870598	3.44124200415		0.7	0.705882352941
5&13		3.08465600014	2.72957311736	49.1323161125	66.1323161125	3.08355500014		0.7	0.722222222222
5&14		2.09994506836	2.69652484593	51.2339720726	69.2339720726	2.09902306836		0.7	0.736842105263
6&14		1.04284691811	2.61391060352	52.2782120705	71.2782120705	1.03923791811		0.6	0.7
7&14		1.1411550045	2.54384652774	53.4207770824	73.4207770824	1.1363600045		0.5	0.666666666667
7&15		3.54084992409	2.58922822909	56.96302104	77.96302104	3.53981592409		0.6	0.681818181818
7&16		3.67263793945	2.63639352633	60.6370511055	82.6370511055	3.67160293945		0.6	0.695652173913
7&17		2.70059680939	2.63912412524	63.3389790058	86.3389790058	2.69868080939		0.7	0.708333333333
7&18		3.4011619091	2.66966724396	66.7416810989	90.7416810989	3.4001699091		0.7	0.72
7&19		3.53708386421	2.7030821947	70.2801370621	95.2801370621	3.53510086421		0.8	0.730769230769
7&20		2.7041311264	2.70317248945	72.9856572151	98.9856572151	2.7021581264		0.8	0.740740740741
7&21		2.37054109573	2.69134311165	75.3576071262	102.357607126	2.36952609573		0.8	0.75
7&22		3.46040010452	2.71791097213	78.8194181919	106.819418192	3.45942310452		0.8	0.758620689655
7&23		2.69948506355	2.7173440059	81.5203201771	110.520320177	2.69834306355		0.9	0.766666666667
7&24		9.79455685616	2.94568567891	91.3162560463	121.316256046	9.79356885616		1.0	0.774193548387
7&25		3.33873701096	2.95801175386	94.6563761234	125.656376123	3.33697401096		1.0	0.78125
7&26		3.6639418602	2.97944630276	98.3217279911	130.321727991	3.6629548602		1.0	0.787878787879
7&27		3.81805205345	3.00415194736	102.14116621	135.14116621	3.81685405345		1.0	0.794117647059
7&28		2.46620202065	2.98883008957	104.609053135	138.609053135	2.46508402065		1.0	0.8
7&29		2.20007705688	2.96695908573	106.810527086	141.810527086	2.19839405688		1.0	0.805555555556
7&30		5.56783103943	3.03729010917	112.379734039	148.379734039	5.56665703943		1.0	0.810810810811
7&31		3.42511320114	3.04753229493	115.806227207	152.806227207	3.42405920114		1.0	0.815789473684
7&32		2.44056296349	3.03200443586	118.248172998	156.248172998	2.43952996349		1.0	0.820512820513
7&33		3.73038196564	3.04949857593	121.979943037	160.979943037	3.72936996564		1.0	0.825
8&33		3.62302398682	3.06352407758	125.604487181	165.604487181	3.61843398682		0.9	0.80487804878
8&34		2.21531295776	3.04336231095	127.82121706	168.82121706	2.21371895776		0.9	0.809523809524
8&35		2.66036701202	3.03448795718	130.482982159	172.482982159	2.65928001202		0.9	0.813953488372
9&35		1.74949097633	3.00531534173	132.233875036	175.233875036	1.74562497633		0.8	0.795454545455
9&36		2.07008099556	2.98456291093	134.305330992	178.305330992	2.06933399556		0.8	0.8
10&36		0.65046787262	2.93385182775	134.957184076	179.957184076	0.64605987262		0.7	0.782608695652
10&37		9.19725704193	3.067145515	144.155839205	190.155839205	9.19650404193		0.7	0.787234042553
