"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp2.5K_bs128B.csv -cnm --socket 1 300",,,,"Date:","17 Jul 2017 06:32:05 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.680,5.034,91.661,0.151,0.0,1.474,0.0,0.0,132542464.0,36646912.0,346320896.0,452698112.0,339.0,4.0,6.0,0.0,0.0
0.536,13.673,82.574,0.0,0.0,3.217,846184.0,524.0,132706304.0,36646912.0,346329088.0,452526080.0,339.0,4.0,6.0,0.0,0.0
1.648,11.264,81.593,0.0,0.0,5.495,858312.0,222.0,132706304.0,36646912.0,346329088.0,452526080.0,339.0,4.0,6.0,0.0,0.0
1.096,11.233,84.384,0.0,0.0,3.288,795270.0,402.0,132698112.0,36646912.0,346329088.0,452534272.0,338.0,3.0,6.0,0.0,0.0
0.826,13.223,83.747,0.0,0.0,2.204,822432.0,320.0,132698112.0,36646912.0,346329088.0,452534272.0,339.0,4.0,6.0,0.0,0.0
0.559,16.480,80.447,0.0,0.0,2.514,832742.0,748.0,132722688.0,36655104.0,346329088.0,452501504.0,339.0,4.0,6.0,0.0,0.0
1.102,19.284,74.380,0.0,0.0,5.234,828720.0,222.0,132739072.0,36655104.0,346329088.0,452485120.0,339.0,4.0,6.0,0.0,0.0
1.149,18.103,78.161,0.0,0.0,2.586,837156.0,312.0,132685824.0,36655104.0,346333184.0,452534272.0,338.0,3.0,6.0,0.0,0.0
0.809,12.129,82.480,0.0,0.0,4.582,831103.0,712.0,132694016.0,36655104.0,346333184.0,452526080.0,339.0,4.0,6.0,0.0,0.0
1.124,8.427,88.483,0.0,0.0,1.966,689346.0,312.0,132669440.0,36655104.0,346333184.0,452550656.0,339.0,4.0,6.0,0.0,0.0
1.120,8.964,87.115,0.0,0.0,2.801,764322.0,312.0,132734976.0,36663296.0,346324992.0,452485120.0,338.0,3.0,6.0,0.0,0.0
0.840,10.644,85.154,0.0,0.0,3.361,847356.0,1397.0,132677632.0,36663296.0,346324992.0,452542464.0,339.0,4.0,6.0,0.0,0.0
1.102,10.193,84.848,0.0,0.0,3.857,789516.0,222.0,132870144.0,36663296.0,346324992.0,452349952.0,339.0,4.0,6.0,0.0,0.0
1.401,10.364,85.434,0.0,0.0,2.801,817234.0,660.0,132943872.0,36663296.0,346324992.0,452276224.0,338.0,3.0,6.0,0.0,0.0
0.556,10.556,84.722,0.0,0.0,4.167,837292.0,622.0,132829184.0,36663296.0,346333184.0,452382720.0,339.0,4.0,6.0,0.0,0.0
0.836,9.749,85.237,0.279,0.0,3.900,835544.0,1622.0,132796416.0,36671488.0,346333184.0,452407296.0,338.0,4.0,6.0,0.0,0.0
0.551,12.121,84.298,0.0,0.0,3.030,812812.0,320.0,132796416.0,36671488.0,346333184.0,452407296.0,339.0,4.0,6.0,0.0,0.0
0.576,7.493,88.473,0.0,0.0,3.458,823272.0,532.0,132796416.0,36671488.0,346333184.0,452407296.0,339.0,4.0,6.0,0.0,0.0
0.829,18.508,75.414,0.0,0.0,5.249,846858.0,1129.0,132804608.0,36671488.0,346333184.0,452399104.0,339.0,4.0,6.0,0.0,0.0
0.826,20.937,73.829,0.0,0.0,4.408,848022.0,840.0,132796416.0,36671488.0,346333184.0,452407296.0,338.0,4.0,6.0,0.0,0.0
