Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
0&1		2.23636198044	2.2367169857	2.2367169857	2.2367169857	2.23448998044		0.1	1.0
0&2		3.07304191589	2.65561747551	5.31123495102	6.31123495102	3.07229491589		0.2	1.0
0&3		3.97004103661	3.09427070618	9.28281211853	11.2828121185	3.96875403661		0.3	1.0
0&4		3.64154100418	3.23147875071	12.9259150028	15.9259150028	3.64045200418		0.4	1.0
0&5		2.19722294807	3.02492861748	15.1246430874	19.1246430874	2.19532194807		0.5	1.0
0&6		2.45080113411	2.92950451374	17.5770270824	22.5770270824	2.44967313411		0.6	1.0
0&7		4.4150698185	3.14192570959	21.9934799671	27.9934799671	4.4138788185		0.7	1.0
0&8		3.1938970089	3.14861425757	25.1889140606	32.1889140606	3.1919060089		0.8	1.0
0&9		2.06445884705	3.02832288212	27.2549059391	35.2549059391	2.06372384705		0.9	1.0
0&10		5.5108602047	3.27673201561	32.7673201561	41.7673201561	5.5087982047		1.0	1.0
0&11		3.51741600037	3.29875217785	36.2862739563	46.2862739563	3.51519900037		1.0	1.0
0&12		3.04175305367	3.27745550871	39.3294661045	50.3294661045	3.04100405367		1.0	1.0
0&13		3.19865298271	3.27150038572	42.5295050144	54.5295050144	3.19634398271		1.0	1.0
1&13		0.343696117401	3.06246929509	42.8745701313	55.8745701313	0.340368117401		0.9	0.928571428571
1&14		2.05392408371	2.9953233401	44.9298501015	58.9298501015	2.05323808371		0.9	0.933333333333
2&14		1.23214101791	2.88522143662	46.1635429859	61.1635429859	1.22623501791		0.8	0.875
2&15		3.72295713425	2.93458571154	49.8879570961	65.8879570961	3.72167113425		0.8	0.882352941176
2&16		2.05041408539	2.88554383649	51.9397890568	68.9397890568	2.04963908539		0.8	0.888888888889
2&17		5.34156799316	3.01488358096	57.2827880383	75.2827880383	5.34071899316		0.8	0.894736842105
2&18		2.0616312027	2.96729105711	59.3458211422	78.3458211422	2.0608532027		0.8	0.9
2&19		2.35392093658	2.93815009935	61.7011520863	81.7011520863	2.35199493658		0.8	0.904761904762
2&20		3.14225292206	2.94749722698	64.8449389935	85.8449389935	3.14117692206		0.8	0.909090909091
2&21		3.05114793777	2.95206947949	67.8975980282	89.8975980282	3.05021993777		0.8	0.913043478261
2&22		2.76140999794	2.944188416	70.6605219841	93.6605219841	2.76015699794		0.9	0.916666666667
2&23		2.05439090729	2.90865280151	72.7163200378	96.7163200378	2.05343990729		0.9	0.92
2&24		3.2093911171	2.92027389086	75.9271211624	100.927121162	3.2079311171		1.0	0.923076923077
2&25		3.20358896255	2.93081952024	79.1321270466	105.132127047	3.20236396255		1.0	0.925925925926
2&26		3.63651704788	2.95607386317	82.7700681686	109.770068169	3.63554004788		1.0	0.928571428571
2&27		2.04933905602	2.92486155444	84.8209850788	112.820985079	2.04852705602		1.0	0.931034482759
2&28		2.46539616585	2.90959260464	87.2877781391	116.287778139	2.46435816585		1.0	0.933333333333
2&29		2.6861679554	2.90242958069	89.9753170013	119.975317001	2.6850649554		1.0	0.935483870968
2&30		2.2081758976	2.8807778731	92.1848919392	123.184891939	2.2062488976		1.0	0.9375
2&31		2.05082893372	2.85567145637	94.2371580601	126.23715806	2.05015793372		1.0	0.939393939394
2&32		3.63455700874	2.87862047027	97.8730959892	130.873095989	3.63349000874		1.0	0.941176470588
2&33		3.18359899521	2.88737385614	101.058084965	135.058084965	3.18248399521		1.0	0.942857142857
2&34		2.20058012009	2.86833572388	103.26008606	138.26008606	2.19871912009		1.0	0.944444444444
2&35		2.042979002	2.84606632671	105.304454088	141.304454088	2.042228002		1.0	0.945945945946
2&36		2.19451212883	2.8289628719	107.500589132	144.500589132	2.19246212883		1.0	0.947368421053
2&37		2.05182099342	2.80907192597	109.553805113	147.553805113	2.05075699342		1.0	0.948717948718
2&38		2.05040502548	2.7901447773	111.605791092	150.605791092	2.04949602548		1.0	0.95
2&39		3.67246413231	2.81170522294	115.279914141	155.279914141	3.67133213231		1.0	0.951219512195
2&40		2.09542608261	2.79468400138	117.376728058	158.376728058	2.09458808261		1.0	0.952380952381
2&41		2.04346108437	2.77724686334	119.421615124	161.421615124	2.04280408437		1.0	0.953488372093
2&42		5.73618102074	2.84452665936	125.159173012	168.159173012	5.73389302074		1.0	0.954545454545
2&43		3.41306495667	2.85719264348	128.573668957	172.573668957	3.41196895667		1.0	0.955555555556
2&44		9.21722483635	2.995487804	137.792438984	182.792438984	9.21644683635		1.0	0.95652173913
2&45		2.96237301826	2.99481689676	140.756394148	186.756394148	2.96021601826		1.0	0.957446808511
3&45		0.87829709053	2.95075154305	141.636074066	188.636074066	0.87460909053		0.9	0.9375
3&46		2.42774891853	2.94010448942	144.065119982	192.065119982	2.42541991853		0.9	0.938775510204
3&47		2.61408209801	2.93361316204	146.680658102	195.680658102	2.61274609801		0.9	0.94
4&47		0.735721111298	2.89054737372	147.417916059	197.417916059	0.731587111298		0.8	0.921568627451
4&48		2.74380588531	2.88775092363	150.163048029	201.163048029	2.74286588531		0.8	0.923076923077
4&49		2.40397191048	2.87864952717	152.56842494	204.56842494	2.40297391048		0.8	0.924528301887
4&50		3.05748605728	2.88198788961	155.627346039	208.627346039	3.05658105728		0.8	0.925925925926
4&51		2.04772806168	2.86684529131	157.676491022	211.676491022	2.04700306168		0.8	0.927272727273
4&52		2.05178594589	2.85231832096	159.729825974	214.729825974	2.05109694589		0.8	0.928571428571
4&53		2.69981598854	2.84966798414	162.431075096	218.431075096	2.69777698854		0.8	0.929824561404
5&53		1.21215510368	2.8214608472	163.644729137	220.644729137	1.20851410368		0.8	0.913793103448
6&53		1.25737690926	2.79497477968	164.903512001	222.903512001	1.25331190926		0.7	0.898305084746
6&54		2.46314096451	2.78946793477	167.368076086	226.368076086	2.46076996451		0.7	0.9
6&55		2.58486700058	2.78613916381	169.954488993	229.954488993	2.58374700058		0.8	0.901639344262
6&56		3.59278798103	2.79917258216	173.548700094	234.548700094	3.59176198103		0.8	0.903225806452
6&57		3.60308504105	2.81195482754	177.153154135	239.153154135	3.60199504105		0.8	0.904761904762
6&58		2.4200360775	2.80585254729	179.574563026	242.574563026	2.4190310775		0.8	0.90625
6&59		5.60836291313	2.84899127667	185.184432983	249.184432983	5.60726691313		0.8	0.907692307692
6&60		2.65657901764	2.84609692386	187.842396975	252.842396975	2.65542701764		0.8	0.909090909091
6&61		3.77955102921	2.86005215147	191.623494148	257.623494148	3.77790502921		0.8	0.910447761194
6&62		3.12584114075	2.86398054572	194.750677109	261.750677109	3.12511014075		0.9	0.911764705882
6&63		2.05515313148	2.85227845026	196.807213068	264.807213068	2.05407213148		1.0	0.913043478261
6&64		3.21238684654	2.85745151384	200.021605968	269.021605968	3.21016384654		1.0	0.914285714286
6&65		3.24689507484	2.86294700058	203.269237041	273.269237041	3.24492607484		1.0	0.915492957746
6&66		2.05348587036	2.85172569421	205.324249983	276.324249983	2.05266287036		1.0	0.916666666667
6&67		3.09798407555	2.85511811139	208.423622131	280.423622131	3.09697807555		1.0	0.917808219178
6&68		2.40271401405	2.84902527203	210.827870131	283.827870131	2.40169201405		1.0	0.918918918919
7&68		0.385620117188	2.81619814873	211.214861155	285.214861155	0.382175117188		0.9	0.906666666667
7&69		3.10180187225	2.81997439422	214.318053961	289.318053961	3.10081487225		0.9	0.907894736842
7&70		2.04893708229	2.80998067732	216.368512154	292.368512154	2.04806208229		0.9	0.909090909091
7&71		2.04651689529	2.8002105126	218.416419983	295.416419983	2.04582089529		0.9	0.910256410256
7&72		3.45022201538	2.80845642995	221.868057966	299.868057966	3.44850501538		0.9	0.911392405063
7&73		2.19526195526	2.80081116259	224.064893007	303.064893007	2.19326895526		0.9	0.9125

Total-Times:80	Loss-Times:73	Recent 10 times loss possiblity: 0.9	Total Hex File Loss number: 21
