Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		2.03331685066	2.03391480446	2.03391480446	2.03391480446	2.02955285066		0.0	0.0
2&0		1.44719815254	1.74133050442	3.48266100883	4.48266100883	1.44371715254		0.0	0.0
2&1		2.38649320602	1.95682366689	5.87047100067	7.87047100067	2.38549420602		0.1	0.333333333333
2&2		2.64379286766	2.12891471386	8.51565885544	11.5156588554	2.64285386766		0.2	0.5
3&2		0.501724004745	1.80375537872	9.01877689362	13.0187768936	0.498613004745		0.2	0.4
4&2		2.45178318024	1.9119746685	11.471848011	16.471848011	2.44799318024		0.2	0.333333333333
4&3		2.39586281776	1.9812846865	13.8689928055	19.8689928055	2.39491681776		0.3	0.428571428571
5&3		1.10595607758	1.87203961611	14.9763169289	21.9763169289	1.10258207758		0.3	0.375
6&3		0.585793018341	1.72926587529	15.5633928776	23.5633928776	0.582445018341		0.3	0.333333333333
7&3		0.36027598381	1.59249689579	15.9249689579	24.9249689579	0.35712098381		0.3	0.3
7&4		2.50551891327	1.6756168062	18.4317848682	28.4317848682	2.50458591327		0.4	0.363636363636
8&4		0.531915187836	1.58042333523	18.9650800228	29.9650800228	0.528630187836		0.4	0.333333333333
8&5		2.39293384552	1.64302314245	21.3593008518	33.3593008518	2.39204484552		0.4	0.384615384615
9&5		0.989794015884	1.5964622157	22.3504710197	35.3504710197	0.986458015884		0.3	0.357142857143
9&6		3.19065403938	1.70282832781	25.5424249172	39.5424249172	3.18894703938		0.4	0.4
10&6		0.591390132904	1.63344943523	26.1351909637	41.1351909637	0.588131132904		0.4	0.375
10&7		3.62479496002	1.75066458478	29.7612979412	45.7612979412	3.62377996002		0.4	0.411764705882
10&8		2.70718002319	1.80388177766	32.4698719978	49.4698719978	2.70620702319		0.5	0.444444444444
10&9		3.71934509277	1.90476831637	36.190598011	54.190598011	3.71762409277		0.6	0.473684210526
11&9		0.30621099472	1.82491064072	36.4982128143	55.4982128143	0.30300799472		0.6	0.45
12&9		1.913615942	1.82919661204	38.4131288528	58.4131288528	1.910108942		0.5	0.428571428571
12&10		2.51104998589	1.86025003953	40.9255008698	61.9255008698	2.51001698589		0.6	0.454545454545
12&11		2.40256500244	1.88388908428	43.3294489384	65.3294489384	2.40157700244		0.6	0.478260869565
12&12		2.4074048996	1.90576199691	45.7382879257	68.7382879257	2.4064538996		0.7	0.5
12&13		2.4020588398	1.92566875458	48.1417188644	72.1417188644	2.4010238398		0.7	0.52
12&14		2.04975295067	1.93049453772	50.1928579807	75.1928579807	2.04892995067		0.8	0.538461538462
12&15		2.39215993881	1.94764470171	52.5864069462	78.5864069462	2.39121293881		0.8	0.555555555556
12&16		2.65642285347	1.97300778116	55.2442178726	82.2442178726	2.65544785347		0.8	0.571428571429
12&17		2.40408110619	1.98791979099	57.6496739388	85.6496739388	2.40324710619		0.8	0.586206896552
12&18		5.26659488678	2.09725539684	62.9176619053	91.9176619053	5.26480088678		0.9	0.6
12&19		2.41145801544	2.10743648006	65.3305308819	95.3305308819	2.41053001544		1.0	0.612903225806
12&20		2.41922998428	2.11722309142	67.7511389256	98.7511389256	2.41838498428		1.0	0.625
13&20		1.67179298401	2.10376787908	69.4243400097	101.42434001	1.66715098401		0.9	0.606060606061
13&21		2.21437978745	2.10706355291	71.640160799	104.640160799	2.21284578745		0.9	0.617647058824
14&21		1.24193310738	2.08238620077	72.8835170269	106.883517027	1.23861310738		0.8	0.6
14&22		2.96343183517	2.10689671834	75.8482818604	110.84828186	2.96228783517		0.8	0.611111111111
14&23		2.41264510155	2.11519734924	78.2623019218	114.262301922	2.41167910155		0.8	0.621621621622
14&24		2.73038816452	2.13142265772	80.9940609932	117.994060993	2.72943116452		0.8	0.631578947368
14&25		2.47279119492	2.14021115425	83.4682350159	121.468235016	2.47093919492		0.8	0.641025641026
15&25		0.501232862473	2.09927147031	83.9708588123	122.970858812	0.497550862473		0.7	0.625
15&26		2.51721692085	2.10949719243	86.4893848896	126.48938489	2.51558592085		0.7	0.634146341463
15&27		3.28834891319	2.13760156859	89.7792658806	130.779265881	3.28660291319		0.7	0.642857142857
15&28		2.04468107224	2.13547248619	91.825316906	133.825316906	2.04387407224		0.8	0.651162790698
15&29		5.53509902954	2.2127717029	97.3619549274	140.361954927	5.53300002954		0.8	0.659090909091
15&30		2.73670816422	2.22444942262	100.100224018	144.100224018	2.73523216422		0.9	0.666666666667
15&31		3.39860105515	2.25000502234	103.500231028	148.500231028	3.39758605515		0.9	0.673913043478
15&32		5.18316292763	2.31244180558	108.684764862	154.684764862	5.18237192763		0.9	0.68085106383
15&33		2.40614104271	2.31442401807	111.092352867	158.092352867	2.40519704271		0.9	0.6875
15&34		2.51868605614	2.31862073529	113.612416029	161.612416029	2.51764805614		0.9	0.69387755102
15&35		2.23630809784	2.31700233936	115.850116968	164.850116968	2.23428009784		1.0	0.7
15&36		9.74465799332	2.4626695689	125.596148014	175.596148014	9.74348699332		1.0	0.705882352941
16&36		1.65886211395	2.44723832607	127.256392956	178.256392956	1.65531111395		0.9	0.692307692308
16&37		5.69418001175	2.50852575392	132.951864958	184.951864958	5.69313701175		0.9	0.698113207547
16&38		3.29205107689	2.5230613682	136.245313883	189.245313883	3.29032607689		0.9	0.703703703704
17&38		1.10009908676	2.49721485485	137.346817017	191.346817017	1.09662208676		0.8	0.690909090909
17&39		3.63339400291	2.51752723115	140.981524944	195.981524944	3.63243400291		0.8	0.696428571429
17&40		2.52795696259	2.51773466562	143.51087594	199.51087594	2.52598596259		0.8	0.701754385965
17&41		2.65380716324	2.52010448226	146.166059971	203.166059971	2.65279916324		0.8	0.706896551724
17&42		3.72211813927	2.54050189762	149.889611959	207.889611959	3.72074013927		0.8	0.71186440678
17&43		5.09078407288	2.58303218285	154.981930971	213.981930971	5.08995507288		0.8	0.716666666667
17&44		2.04716420174	2.57427214794	157.030601025	217.030601025	2.04639220174		0.8	0.72131147541
17&45		2.39753699303	2.57144369233	159.429508924	220.429508924	2.39661499303		0.9	0.725806451613
