"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp1W_bs8B.csv -cnm --socket 1 300",,,,"Date:","17 Jul 2017 13:12:36 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.621,5.906,90.375,0.066,0.0,2.032,0.0,0.0,146038784.0,58204160.0,357756928.0,406208512.0,352.0,4.0,6.0,0.0,0.0
1.842,10.526,79.737,0.0,0.0,7.895,275042.0,1225.0,146026496.0,58204160.0,357765120.0,406212608.0,351.0,3.0,6.0,0.0,0.0
1.370,7.671,83.562,0.0,0.0,7.397,273232.0,1559.0,146018304.0,58204160.0,357765120.0,406220800.0,352.0,4.0,6.0,0.0,0.0
1.355,10.569,82.114,0.0,0.0,5.962,260314.0,372.0,146010112.0,58212352.0,357765120.0,406220800.0,351.0,3.0,6.0,0.0,0.0
1.130,8.475,86.723,0.0,0.0,3.672,260836.0,502.0,146010112.0,58212352.0,357765120.0,406220800.0,352.0,4.0,6.0,0.0,0.0
2.514,10.894,83.240,0.0,0.0,3.352,254656.0,102.0,146530304.0,58212352.0,357765120.0,405700608.0,352.0,4.0,6.0,0.0,0.0
2.439,13.550,80.488,0.0,0.0,3.523,257294.0,192.0,146522112.0,58212352.0,357765120.0,405708800.0,351.0,4.0,6.0,0.0,0.0
1.401,21.849,73.950,0.0,0.0,2.801,257208.0,682.0,146640896.0,58212352.0,357769216.0,405585920.0,352.0,4.0,6.0,0.0,0.0
1.146,19.484,76.218,0.0,0.0,3.152,270579.0,1327.0,146690048.0,58220544.0,357761024.0,405536768.0,351.0,4.0,6.0,0.0,0.0
1.837,8.661,86.352,0.0,0.0,3.150,130352.0,682.0,146583552.0,58220544.0,357769216.0,405635072.0,352.0,4.0,6.0,0.0,0.0
3.430,7.124,87.599,0.0,0.0,1.847,142438.0,817.0,146632704.0,58220544.0,357769216.0,405585920.0,352.0,4.0,6.0,0.0,0.0
1.292,15.504,79.328,0.0,0.0,3.876,259642.0,642.0,146530304.0,58220544.0,357769216.0,405688320.0,351.0,4.0,6.0,0.0,0.0
1.617,9.973,83.019,0.0,0.0,5.391,247215.0,1559.0,146546688.0,58220544.0,357769216.0,405671936.0,352.0,4.0,6.0,0.0,0.0
2.941,12.834,80.214,0.267,0.0,3.743,262840.0,372.0,146534400.0,58224640.0,357769216.0,405680128.0,351.0,3.0,6.0,0.0,0.0
0.813,13.279,82.927,0.0,0.0,2.981,257840.0,200.0,146501632.0,58224640.0,357769216.0,405712896.0,352.0,4.0,6.0,0.0,0.0
1.842,15.263,79.211,0.0,0.0,3.684,264832.0,951.0,146501632.0,58224640.0,357769216.0,405712896.0,352.0,4.0,6.0,0.0,0.0
1.596,12.766,81.117,0.0,0.0,4.521,269984.0,780.0,146501632.0,58224640.0,357769216.0,405712896.0,351.0,4.0,6.0,0.0,0.0
1.648,11.813,83.242,0.0,0.0,3.297,274048.0,1829.0,146501632.0,58224640.0,357769216.0,405712896.0,351.0,3.0,6.0,0.0,0.0
1.955,10.335,84.637,0.0,0.0,3.073,259124.0,1139.0,146661376.0,58232832.0,357761024.0,405553152.0,352.0,4.0,6.0,0.0,0.0
2.006,15.473,81.089,0.0,0.0,1.433,265282.0,588.0,146653184.0,58232832.0,357769216.0,405553152.0,351.0,3.0,6.0,0.0,0.0
