Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
0&1		5.00053906441	5.00098490715	5.00098490715	5.00098490715	4.99983306441		0.1	1.0
0&2		5.10532689095	5.05381393433	10.1076278687	11.1076278687	5.10448289095		0.2	1.0
0&3		5.00041818619	5.03649433454	15.1094830036	17.1094830036	4.99988018619		0.3	1.0
0&4		5.98373293877	5.27360719442	21.0944287777	24.0944287777	5.98255293877		0.4	1.0
0&5		2.19751000404	4.65867238045	23.2933619022	27.2933619022	2.19583400404		0.5	1.0
0&6		3.11846399307	4.40220765273	26.4132459164	31.4132459164	3.11753999307		0.6	1.0
0&7		3.17250704765	4.22675241743	29.587266922	35.587266922	3.17171904765		0.7	1.0
0&8		5.2327439785	4.3526738584	34.8213908672	41.8213908672	5.2318379785		0.8	1.0
0&9		5.00053286552	4.42482042313	39.8233838081	47.8233838081	4.99988686552		0.9	1.0
0&10		3.15921616554	4.29838809967	42.9838809967	51.9838809967	3.15812516554		1.0	1.0
0&11		5.00051307678	4.36234716936	47.9858188629	57.9858188629	4.99986507678		1.0	1.0
0&12		2.09185290337	4.17324715853	50.0789659023	61.0789659023	2.09099590337		1.0	1.0
0&13		5.0004529953	4.23699507347	55.080935955	67.080935955	4.9998729953		1.0	1.0
0&14		3.92285108566	4.21464463643	59.00502491	72.00502491	3.92138008566		1.0	1.0
1&14		0.216500997543	3.94820412	59.2230618	73.2230618	0.210692997543		0.9	0.933333333333
1&15		5.00109601021	4.01411411166	64.2258257866	79.2258257866	4.99992501021		0.9	0.9375
1&16		5.00047302246	4.07218811091	69.2271978855	85.2271978855	4.99973702246		0.9	0.941176470588
1&17		3.00640010834	4.01304599974	72.2348279953	89.2348279953	3.00379810834		0.9	0.944444444444
1&18		2.08980989456	3.9119230948	74.3265388012	92.3265388012	2.08885089456		0.9	0.947368421053
1&19		5.23715019226	3.97825444937	79.5650889874	98.5650889874	5.23579219226		0.9	0.95
1&20		3.13315796852	3.93808018594	82.6996839046	102.699683905	3.13182696852		0.9	0.952380952381
1&21		2.09148788452	3.85420312665	84.7924687862	105.792468786	2.09065788452		0.9	0.954545454545
1&22		2.13599920273	3.77956034826	86.92988801	108.92988801	2.13439720273		0.9	0.95652173913
1&23		2.0861620903	3.70906203985	89.0174889565	112.017488956	2.0851920903		0.9	0.958333333333
1&24		5.00054001808	3.76078383446	94.0195958614	118.019595861	4.99987301808		1.0	0.96
1&25		5.00112509727	3.80855699686	99.0224819183	124.022481918	4.99982009727		1.0	0.961538461538
1&26		5.00055003166	3.85275385115	104.024353981	130.024353981	4.99985903166		1.0	0.962962962963
1&27		5.11304306984	3.89781063795	109.138697863	136.138697863	5.11110606984		1.0	0.964285714286
1&28		2.09659814835	3.83575082647	111.236773968	139.236773968	2.09542614835		1.0	0.965517241379
1&29		3.0495531559	3.80959683259	114.287904978	143.287904978	3.0484871559		1.0	0.966666666667
1&30		5.00078988075	3.84807935069	119.290459871	149.290459871	4.99986788075		1.0	0.967741935484
1&31		5.00078105927	3.88413918763	124.292454004	155.292454004	4.99991405927		1.0	0.96875
1&32		3.63985800743	3.87677436164	127.933553934	159.933553934	3.63729500743		1.0	0.969696969697
1&33		2.97992396355	3.85046002444	130.915640831	163.915640831	2.97828296355		1.0	0.970588235294
1&34		3.23044610023	3.83278505462	134.147476912	168.147476912	3.22925410023		1.0	0.971428571429
2&34		0.183707952499	3.73146155145	134.332615852	169.332615852	0.178437952499		0.9	0.944444444444
2&35		3.26724410057	3.71896051072	137.601538897	173.601538897	3.26617310057		0.9	0.945945945946
2&36		5.00047016144	3.75272405148	142.603513956	179.603513956	4.99991216144		0.9	0.947368421053
2&37		5.00110721588	3.78476497455	147.605834007	185.605834007	4.99993121588		0.9	0.948717948718
2&38		5.00085997581	3.81519949436	152.607979774	191.607979774	4.99967797581		0.9	0.95
2&39		5.00050091743	3.84413833734	157.609671831	197.609671831	4.99987991743		0.9	0.951219512195
2&40		5.20966696739	3.8766799484	162.820557833	203.820557833	5.20858096739		0.9	0.952380952381
2&41		5.00063991547	3.90285357764	167.822703838	209.822703838	4.99990891547		0.9	0.953488372093
2&42		3.09534597397	3.88453119993	170.919372797	213.919372797	3.09441797397		0.9	0.954545454545
2&43		5.00046086311	3.90936377313	175.921369791	219.921369791	4.99988686311		0.9	0.955555555556
2&44		5.00045514107	3.93311323809	180.923208952	225.923208952	4.99984514107		1.0	0.95652173913
