"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp1W_bs1311B.csv -cnm --socket 1 300",,,,"Date:","18 Jul 2017 08:06:24 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.001,4.167,93.396,0.051,0.0,1.385,0.0,0.0,134017024.0,48545792.0,302592000.0,483053568.0,344.0,4.0,6.0,0.0,0.0
1.036,6.218,90.415,0.0,0.0,2.332,3634046.0,712.0,134557696.0,48545792.0,302596096.0,482508800.0,344.0,4.0,6.0,0.0,0.0
0.560,2.801,95.798,0.0,0.0,0.840,3682250.0,614.0,134549504.0,48553984.0,302596096.0,482508800.0,344.0,4.0,6.0,0.0,0.0
1.117,2.793,94.413,0.0,0.0,1.676,3605927.0,712.0,134541312.0,48553984.0,302596096.0,482516992.0,344.0,4.0,6.0,0.0,0.0
1.105,3.039,93.646,0.0,0.0,2.210,3627351.0,614.0,134541312.0,48553984.0,302596096.0,482516992.0,344.0,4.0,6.0,0.0,0.0
1.575,4.462,89.764,0.0,0.0,4.199,3671538.0,680.0,134537216.0,48553984.0,302600192.0,482516992.0,344.0,4.0,6.0,0.0,0.0
0.525,3.675,93.176,0.0,0.0,2.625,3619317.0,778.0,134537216.0,48553984.0,302600192.0,482516992.0,344.0,4.0,6.0,0.0,0.0
1.087,1.087,95.924,0.0,0.0,1.902,3663504.0,778.0,134672384.0,48562176.0,302592000.0,482381824.0,344.0,4.0,6.0,0.0,0.0
0.792,2.639,93.931,0.0,0.0,2.639,3469349.0,614.0,134664192.0,48562176.0,302592000.0,482390016.0,344.0,4.0,6.0,0.0,0.0
1.050,4.199,92.651,0.0,0.0,2.100,3327475.0,746.0,134664192.0,48562176.0,302592000.0,482390016.0,344.0,4.0,6.0,0.0,0.0
1.058,6.085,89.947,0.0,0.0,2.910,3273855.0,746.0,134664192.0,48562176.0,302592000.0,482390016.0,344.0,4.0,6.0,0.0,0.0
1.676,9.777,87.430,0.0,0.0,1.117,3492218.0,1170.0,134791168.0,48562176.0,302592000.0,482263040.0,343.0,4.0,6.0,0.0,0.0
1.096,9.589,87.123,0.274,0.0,1.918,3547011.0,712.0,134795264.0,48570368.0,302587904.0,482254848.0,344.0,5.0,6.0,0.0,0.0
1.058,5.820,90.741,0.0,0.0,2.381,3439916.0,164.0,134774784.0,48570368.0,302600192.0,482263040.0,344.0,5.0,6.0,0.0,0.0
2.368,4.211,92.105,0.0,0.0,1.316,3373001.0,66.0,134774784.0,48570368.0,302600192.0,482263040.0,344.0,5.0,6.0,0.0,0.0
1.058,5.026,92.063,0.0,0.0,1.852,3571113.0,66.0,134725632.0,48570368.0,302600192.0,482312192.0,344.0,5.0,6.0,0.0,0.0
0.826,2.479,96.143,0.0,0.0,0.551,3603249.0,98.0,134774784.0,48570368.0,302600192.0,482263040.0,344.0,5.0,6.0,0.0,0.0
1.897,2.168,94.309,0.0,0.0,1.626,3565837.0,66.0,134733824.0,48578560.0,302600192.0,482295808.0,344.0,5.0,6.0,0.0,0.0
1.023,6.138,90.281,0.0,0.0,2.558,3630054.0,254.0,134766592.0,48578560.0,302600192.0,482263040.0,344.0,5.0,6.0,0.0,0.0
0.763,5.344,90.331,0.0,0.0,3.562,3592537.0,164.0,134766592.0,48578560.0,302600192.0,482263040.0,344.0,5.0,6.0,0.0,0.0
1.087,1.902,96.196,0.0,0.0,0.815,3647436.0,0.0,134766592.0,48578560.0,302600192.0,482263040.0,344.0,5.0,6.0,0.0,0.0
1.609,1.609,93.029,0.0,0.0,3.753,3569869.0,66.0,134766592.0,48578560.0,302600192.0,482263040.0,344.0,5.0,6.0,0.0,0.0
1.061,4.244,93.369,0.0,0.0,1.326,3614243.0,470.0,134791168.0,48586752.0,302600192.0,482230272.0,344.0,5.0,6.0,0.0,0.0
1.078,8.356,88.679,0.0,0.0,1.887,3580486.0,66.0,134791168.0,48586752.0,302600192.0,482230272.0,344.0,5.0,6.0,0.0,0.0
1.676,8.939,87.430,0.0,0.0,1.955,3465332.0,90.0,134758400.0,48586752.0,302600192.0,482263040.0,343.0,5.0,6.0,0.0,0.0
1.323,6.614,91.799,0.0,0.0,0.265,288355.0,634.0,134758400.0,48586752.0,302600192.0,482263040.0,344.0,4.0,6.0,0.0,0.0
1.562,4.948,90.625,0.0,0.0,2.865,3626357.0,1595.0,134758400.0,48586752.0,302600192.0,482263040.0,344.0,4.0,6.0,0.0,0.0
1.550,5.168,89.922,0.0,0.0,3.359,3588520.0,614.0,134782976.0,48594944.0,302600192.0,482230272.0,344.0,4.0,6.0,0.0,0.0
1.316,3.947,92.632,0.0,0.0,2.105,3655470.0,920.0,134782976.0,48594944.0,302600192.0,482230272.0,343.0,4.0,6.0,0.0,0.0
0.800,1.600,94.400,0.0,0.0,3.200,3678233.0,916.0,134782976.0,48594944.0,302600192.0,482230272.0,344.0,5.0,6.0,0.0,0.0
1.340,3.485,93.029,0.0,0.0,2.145,3642439.0,1104.0,134782976.0,48594944.0,302600192.0,482230272.0,344.0,4.0,6.0,0.0,0.0
2.151,4.570,90.860,0.0,0.0,2.419,3581825.0,614.0,134774784.0,48594944.0,302608384.0,482230272.0,344.0,4.0,6.0,0.0,0.0
2.625,6.562,88.451,0.0,0.0,2.362,3585894.0,716.0,134832128.0,48603136.0,302608384.0,482164736.0,343.0,3.0,6.0,0.0,0.0
1.639,1.913,95.355,0.0,0.0,1.093,3636724.0,712.0,134729728.0,48603136.0,302612480.0,482263040.0,344.0,4.0,6.0,0.0,0.0
0.794,3.439,93.386,0.0,0.0,2.381,3608769.0,1002.0,134729728.0,48603136.0,302612480.0,482263040.0,344.0,4.0,6.0,0.0,0.0
1.579,4.474,91.579,0.0,0.0,2.368,3692962.0,614.0,134729728.0,48603136.0,302612480.0,482263040.0,344.0,4.0,6.0,0.0,0.0
1.326,11.406,85.942,0.0,0.0,1.326,3619317.0,704.0,134729728.0,48603136.0,302612480.0,482263040.0,343.0,4.0,6.0,0.0,0.0
1.133,9.632,88.669,0.0,0.0,0.567,3672877.0,712.0,134729728.0,48611328.0,302612480.0,482254848.0,344.0,5.0,6.0,0.0,0.0
0.552,8.287,88.950,0.0,0.0,2.210,3593876.0,802.0,134770688.0,48611328.0,302612480.0,482213888.0,345.0,5.0,6.0,0.0,0.0
0.800,3.467,93.867,0.0,0.0,1.867,3634046.0,614.0,134746112.0,48611328.0,302612480.0,482238464.0,345.0,5.0,6.0,0.0,0.0
0.800,5.600,92.267,0.0,0.0,1.333,3516319.0,924.0,134746112.0,48611328.0,302612480.0,482238464.0,345.0,5.0,6.0,0.0,0.0
1.847,4.485,91.293,0.0,0.0,2.375,3664843.0,614.0,134737920.0,48611328.0,302612480.0,482246656.0,344.0,5.0,6.0,0.0,0.0
1.902,2.989,93.478,0.272,0.0,1.359,3640741.0,794.0,134729728.0,48619520.0,302612480.0,482246656.0,343.0,5.0,6.0,0.0,0.0
1.061,2.387,94.430,0.0,0.0,2.122,3655640.0,790.0,134721536.0,48619520.0,302612480.0,482254848.0,344.0,5.0,6.0,0.0,0.0
0.785,4.188,92.147,0.0,0.0,2.880,3694301.0,712.0,134713344.0,48619520.0,302612480.0,482263040.0,344.0,5.0,6.0,0.0,0.0
0.759,6.582,89.114,0.0,0.0,3.544,3680911.0,614.0,134713344.0,48619520.0,302612480.0,482263040.0,344.0,5.0,6.0,0.0,0.0
0.809,3.504,95.148,0.0,0.0,0.539,3563079.0,712.0,134713344.0,48619520.0,302612480.0,482263040.0,344.0,5.0,6.0,0.0,0.0
1.567,3.655,91.906,0.0,0.0,2.872,3709030.0,614.0,134705152.0,48627712.0,302612480.0,482263040.0,344.0,5.0,6.0,0.0,0.0
1.872,3.209,93.316,0.0,0.0,1.604,3099785.0,614.0,134713344.0,48627712.0,302612480.0,482254848.0,344.0,5.0,6.0,0.0,0.0
0.532,12.500,84.574,0.0,0.0,2.394,3406416.0,802.0,134705152.0,48627712.0,302612480.0,482263040.0,344.0,5.0,6.0,0.0,0.0
0.833,11.111,88.056,0.0,0.0,0.0,3634106.0,924.0,134705152.0,48627712.0,302612480.0,482263040.0,344.0,5.0,6.0,0.0,0.0
2.514,6.425,88.268,0.0,0.0,2.793,3642080.0,614.0,134705152.0,48627712.0,302612480.0,482263040.0,344.0,5.0,6.0,0.0,0.0
1.592,3.714,92.838,0.0,0.0,1.857,3568435.0,704.0,134656000.0,48635904.0,302612480.0,482304000.0,343.0,5.0,6.0,0.0,0.0
1.050,3.150,92.913,0.0,0.0,2.887,3687606.0,712.0,134701056.0,48635904.0,302616576.0,482254848.0,344.0,6.0,6.0,0.0,0.0
1.061,4.509,92.042,0.0,0.0,2.387,3702335.0,712.0,134692864.0,48635904.0,302616576.0,482263040.0,344.0,6.0,6.0,0.0,0.0
0.541,2.973,95.676,0.0,0.0,0.811,2765035.0,704.0,134692864.0,48635904.0,302616576.0,482263040.0,344.0,6.0,6.0,0.0,0.0
2.320,1.546,96.134,0.0,0.0,0.0,666822.0,712.0,134692864.0,48635904.0,302616576.0,482263040.0,344.0,6.0,6.0,0.0,0.0
1.842,6.579,89.737,0.0,0.0,1.842,3663504.0,614.0,134651904.0,48644096.0,302608384.0,482304000.0,344.0,6.0,6.0,0.0,0.0
2.375,6.332,90.237,0.0,0.0,1.055,3642080.0,614.0,134684672.0,48644096.0,302616576.0,482263040.0,344.0,6.0,6.0,0.0,0.0
0.270,2.703,95.135,0.0,0.0,1.892,3678293.0,924.0,134684672.0,48644096.0,302616576.0,482263040.0,344.0,6.0,6.0,0.0,0.0
1.626,1.355,94.580,0.0,0.0,2.439,3638285.0,826.0,134684672.0,48644096.0,302616576.0,482263040.0,344.0,6.0,6.0,0.0,0.0
1.096,5.479,90.959,0.0,0.0,2.466,3624753.0,782.0,134643712.0,48644096.0,302616576.0,482304000.0,343.0,5.0,6.0,0.0,0.0
0.526,13.947,83.158,0.0,0.0,2.368,3605991.0,834.0,134643712.0,48644096.0,302616576.0,482304000.0,344.0,5.0,6.0,0.0,0.0
1.120,8.683,88.235,0.280,0.0,1.681,3651513.0,802.0,134684672.0,48652288.0,302616576.0,482254848.0,344.0,5.0,6.0,0.0,0.0
0.565,4.237,93.503,0.0,0.0,1.695,3680911.0,614.0,134676480.0,48652288.0,302616576.0,482263040.0,344.0,5.0,6.0,0.0,0.0
1.333,3.733,92.800,0.0,0.0,2.133,3686267.0,712.0,134676480.0,48652288.0,302616576.0,482263040.0,344.0,5.0,6.0,0.0,0.0
