"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp2W_bs2622B.csv -cnm --socket 1 300",,,,"Date:","17 Jul 2017 12:34:10 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.604,5.720,90.598,0.069,0.0,2.009,0.0,0.0,140271616.0,56512512.0,357371904.0,414052352.0,351.0,4.0,6.0,0.0,0.0
1.493,6.567,90.149,0.0,0.0,1.791,280466.0,1335.0,140406784.0,56512512.0,357376000.0,413913088.0,351.0,4.0,6.0,0.0,0.0
3.021,6.344,89.728,0.0,0.0,0.906,268792.0,278.0,140398592.0,56512512.0,357376000.0,413921280.0,350.0,3.0,6.0,0.0,0.0
0.813,10.569,82.656,0.0,0.0,5.962,267800.0,690.0,140275712.0,56512512.0,357376000.0,414044160.0,351.0,4.0,6.0,0.0,0.0
1.351,13.243,80.811,0.0,0.0,4.595,270066.0,98.0,140271616.0,56512512.0,357376000.0,414048256.0,351.0,4.0,6.0,0.0,0.0
1.348,13.747,80.593,0.270,0.0,4.043,271636.0,188.0,140943360.0,56512512.0,357376000.0,413376512.0,350.0,3.0,6.0,0.0,0.0
1.053,15.263,79.737,0.0,0.0,3.947,269268.0,812.0,140873728.0,56512512.0,357376000.0,413446144.0,351.0,4.0,6.0,0.0,0.0
1.550,14.470,78.036,0.0,0.0,5.943,265880.0,98.0,140926976.0,56512512.0,357376000.0,413392896.0,351.0,4.0,6.0,0.0,0.0
4.737,14.474,75.263,0.0,0.0,5.526,265886.0,188.0,140161024.0,56512512.0,357380096.0,414154752.0,350.0,3.0,6.0,0.0,0.0
4.121,18.407,74.176,0.0,0.0,3.297,262644.0,588.0,140099584.0,56512512.0,357380096.0,414216192.0,351.0,4.0,6.0,0.0,0.0
3.039,18.785,72.928,0.0,0.0,5.249,267820.0,1335.0,140013568.0,56512512.0,357380096.0,414302208.0,350.0,3.0,6.0,0.0,0.0
1.648,20.055,73.077,0.0,0.0,5.220,252938.0,812.0,140050432.0,56516608.0,357380096.0,414261248.0,352.0,4.0,6.0,0.0,0.0
2.660,13.564,78.723,0.0,0.0,5.053,262432.0,98.0,140165120.0,56516608.0,357384192.0,414142464.0,352.0,4.0,6.0,0.0,0.0
3.226,12.366,79.839,0.0,0.0,4.570,266984.0,188.0,140128256.0,56516608.0,357384192.0,414179328.0,351.0,4.0,6.0,0.0,0.0
5.949,9.065,82.153,0.0,0.0,2.833,259892.0,498.0,140013568.0,56516608.0,357384192.0,414294016.0,351.0,4.0,6.0,0.0,0.0
4.408,10.468,81.543,0.0,0.0,3.581,268774.0,380.0,140029952.0,56516608.0,357384192.0,414277632.0,351.0,4.0,6.0,0.0,0.0
7.062,9.887,77.966,0.282,0.0,4.802,261382.0,188.0,140001280.0,56520704.0,357384192.0,414302208.0,350.0,3.0,6.0,0.0,0.0
3.005,13.388,81.148,0.0,0.0,2.459,265374.0,196.0,140001280.0,56520704.0,357384192.0,414302208.0,351.0,4.0,6.0,0.0,0.0
5.053,13.564,78.191,0.0,0.0,3.191,250206.0,498.0,140009472.0,56520704.0,357384192.0,414294016.0,351.0,4.0,6.0,0.0,0.0
3.175,13.757,78.042,0.0,0.0,5.026,283920.0,1209.0,139935744.0,56520704.0,357384192.0,414367744.0,350.0,3.0,6.0,0.0,0.0
3.958,13.984,78.100,0.0,0.0,3.958,268484.0,943.0,140001280.0,56520704.0,357384192.0,414302208.0,351.0,4.0,6.0,0.0,0.0
3.608,14.433,76.804,0.0,0.0,5.155,267012.0,458.0,140185600.0,56528896.0,357384192.0,414109696.0,351.0,4.0,6.0,0.0,0.0
7.104,20.219,69.126,0.0,0.0,3.552,267364.0,458.0,139960320.0,56528896.0,357384192.0,414334976.0,350.0,3.0,6.0,0.0,0.0
5.817,21.053,68.698,0.0,0.0,4.432,266170.0,408.0,140136448.0,56528896.0,357384192.0,414158848.0,351.0,4.0,6.0,0.0,0.0
5.220,18.956,71.429,0.0,0.0,4.396,264031.0,310.0,140095488.0,56528896.0,357384192.0,414199808.0,351.0,4.0,6.0,0.0,0.0
3.133,13.838,78.068,0.261,0.0,4.700,266498.0,538.0,140075008.0,56537088.0,357421056.0,414175232.0,351.0,4.0,6.0,0.0,0.0
7.317,15.718,73.984,0.0,0.0,2.981,267536.0,98.0,143020032.0,56537088.0,357421056.0,411230208.0,351.0,4.0,6.0,0.0,0.0
30.423,13.228,49.735,0.0,0.0,6.614,264900.0,278.0,150708224.0,56537088.0,357421056.0,403542016.0,352.0,3.0,6.0,0.0,0.0
20.845,12.676,61.127,0.0,0.0,5.352,279670.0,1735.0,153694208.0,56537088.0,357421056.0,400556032.0,352.0,3.0,6.0,0.0,0.0
3.014,13.425,80.548,0.0,0.0,3.014,265328.0,196.0,153698304.0,56537088.0,357425152.0,400547840.0,353.0,4.0,6.0,0.0,0.0
3.090,13.764,81.180,0.0,0.0,1.966,266878.0,678.0,153686016.0,56537088.0,357429248.0,400556032.0,353.0,4.0,6.0,0.0,0.0
2.695,14.555,79.245,0.270,0.0,3.235,277664.0,1287.0,153616384.0,56541184.0,357429248.0,400621568.0,352.0,3.0,6.0,0.0,0.0
2.681,14.477,78.820,0.0,0.0,4.021,266068.0,196.0,153686016.0,56541184.0,357433344.0,400547840.0,353.0,4.0,6.0,0.0,0.0
1.847,15.040,78.892,0.0,0.0,4.222,267654.0,853.0,153677824.0,56541184.0,357433344.0,400556032.0,353.0,4.0,6.0,0.0,0.0
3.158,13.158,78.684,0.0,0.0,5.0,269514.0,482.0,153718784.0,56541184.0,357433344.0,400515072.0,353.0,4.0,6.0,0.0,0.0
2.710,21.680,71.274,0.0,0.0,4.336,254374.0,764.0,154009600.0,56541184.0,357433344.0,400224256.0,352.0,3.0,6.0,0.0,0.0
1.847,10.554,84.960,2.111,0.0,0.528,55384.0,196.0,153927680.0,56545280.0,357433344.0,400302080.0,353.0,4.0,6.0,0.0,0.0
1.799,13.625,79.692,0.0,0.0,4.884,181670.0,310.0,153927680.0,56545280.0,357433344.0,400302080.0,353.0,4.0,6.0,0.0,0.0
1.316,12.895,81.316,0.0,0.0,4.474,266048.0,1065.0,153960448.0,56545280.0,357433344.0,400269312.0,353.0,4.0,6.0,0.0,0.0
2.381,13.228,79.630,0.0,0.0,4.762,251448.0,380.0,153935872.0,56545280.0,357433344.0,400293888.0,352.0,4.0,6.0,0.0,0.0
2.452,12.534,81.471,0.0,0.0,3.542,268110.0,286.0,154058752.0,56545280.0,357429248.0,400175104.0,353.0,4.0,6.0,0.0,0.0
7.799,10.864,76.323,0.279,0.0,4.735,268956.0,678.0,140218368.0,56549376.0,357429248.0,414011392.0,351.0,4.0,6.0,0.0,0.0
4.118,7.059,86.176,0.0,0.0,2.647,264500.0,98.0,140173312.0,56549376.0,357429248.0,414056448.0,351.0,4.0,6.0,0.0,0.0
4.154,8.012,86.053,0.0,0.0,1.780,269152.0,188.0,140210176.0,56549376.0,357429248.0,414019584.0,350.0,3.0,6.0,0.0,0.0
4.775,11.236,81.461,0.0,0.0,2.528,277778.0,1465.0,140316672.0,56549376.0,357429248.0,413913088.0,351.0,4.0,6.0,0.0,0.0
3.150,16.535,77.165,0.0,0.0,3.150,271132.0,368.0,140333056.0,56549376.0,357429248.0,413896704.0,350.0,3.0,6.0,0.0,0.0
1.592,12.202,80.637,0.0,0.0,5.570,277744.0,1711.0,140259328.0,56557568.0,357429248.0,413962240.0,350.0,3.0,6.0,0.0,0.0
0.820,14.208,82.240,0.0,0.0,2.732,257718.0,196.0,140292096.0,56557568.0,357429248.0,413929472.0,351.0,4.0,6.0,0.0,0.0
0.826,22.314,74.105,0.0,0.0,2.755,280520.0,1421.0,140292096.0,56557568.0,357429248.0,413929472.0,350.0,3.0,6.0,0.0,0.0
1.934,21.547,73.481,0.0,0.0,3.039,266620.0,722.0,140292096.0,56557568.0,357429248.0,413929472.0,351.0,4.0,6.0,0.0,0.0
1.934,15.746,79.006,0.0,0.0,3.315,266722.0,188.0,140320768.0,56557568.0,357429248.0,413900800.0,351.0,4.0,6.0,0.0,0.0
1.579,14.737,79.211,0.0,0.0,4.474,265982.0,98.0,140283904.0,56557568.0,357437440.0,413929472.0,351.0,4.0,6.0,0.0,0.0
1.554,16.580,78.497,0.259,0.0,3.109,269120.0,188.0,140148736.0,56565760.0,357437440.0,414056448.0,350.0,3.0,6.0,0.0,0.0
0.794,13.757,80.159,0.0,0.0,5.291,284116.0,1621.0,140148736.0,56565760.0,357437440.0,414056448.0,350.0,4.0,6.0,0.0,0.0
0.771,15.424,78.920,0.0,0.0,4.884,265452.0,498.0,140275712.0,56565760.0,357437440.0,413929472.0,351.0,4.0,6.0,0.0,0.0
0.865,8.646,88.184,0.0,0.0,2.305,280860.0,1209.0,140173312.0,56565760.0,357437440.0,414031872.0,350.0,3.0,6.0,0.0,0.0
0.885,7.080,90.560,0.0,0.0,1.475,266910.0,853.0,140275712.0,56565760.0,357437440.0,413929472.0,351.0,4.0,6.0,0.0,0.0
2.011,10.345,86.207,0.0,0.0,1.437,282494.0,764.0,140283904.0,56573952.0,357437440.0,413913088.0,350.0,3.0,6.0,0.0,0.0
0.843,10.955,86.236,0.0,0.0,1.966,259406.0,588.0,140275712.0,56573952.0,357437440.0,413921280.0,351.0,4.0,6.0,0.0,0.0
1.892,13.514,80.811,0.0,0.0,3.784,271722.0,98.0,140275712.0,56573952.0,357437440.0,413921280.0,351.0,4.0,6.0,0.0,0.0
1.648,16.758,78.297,0.0,0.0,3.297,275086.0,188.0,140267520.0,56573952.0,357437440.0,413929472.0,350.0,3.0,6.0,0.0,0.0
0.838,20.112,76.257,0.0,0.0,2.793,249524.0,588.0,140275712.0,56573952.0,357437440.0,413921280.0,351.0,4.0,6.0,0.0,0.0
