"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp2.5K_bs128B.csv -cnm --socket 1 300",,,,"Date:","17 Jul 2017 07:21:09 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.713,5.534,90.853,0.128,0.0,1.772,0.0,0.0,146931712.0,41914368.0,355786752.0,423575552.0,340.0,3.0,6.0,0.0,0.0
1.295,7.772,88.083,0.0,0.0,2.850,402880.0,1427.0,147312640.0,41914368.0,355794944.0,423186432.0,340.0,3.0,6.0,0.0,0.0
1.604,6.684,89.572,0.0,0.0,2.139,390872.0,712.0,146915328.0,41914368.0,355794944.0,423583744.0,341.0,4.0,6.0,0.0,0.0
2.180,7.084,87.738,0.0,0.0,2.997,403256.0,937.0,146915328.0,41914368.0,355794944.0,423583744.0,340.0,3.0,6.0,0.0,0.0
1.061,10.080,85.676,0.0,0.0,3.183,404408.0,1427.0,146907136.0,41922560.0,355794944.0,423583744.0,340.0,3.0,6.0,0.0,0.0
1.737,12.159,79.404,0.0,0.0,6.700,404570.0,1529.0,146907136.0,41922560.0,355794944.0,423583744.0,340.0,3.0,6.0,0.0,0.0
1.015,16.751,76.650,0.0,0.0,5.584,403647.0,1427.0,146907136.0,41922560.0,355794944.0,423583744.0,340.0,3.0,6.0,0.0,0.0
2.419,16.398,76.075,0.0,0.0,5.108,402100.0,1427.0,146907136.0,41922560.0,355794944.0,423583744.0,340.0,3.0,6.0,0.0,0.0
1.075,12.097,83.871,0.0,0.0,2.957,403504.0,1427.0,146907136.0,41922560.0,355794944.0,423583744.0,340.0,3.0,6.0,0.0,0.0
1.567,10.183,85.117,0.0,0.0,3.133,403504.0,1427.0,146907136.0,41922560.0,355794944.0,423583744.0,340.0,3.0,6.0,0.0,0.0
1.842,7.105,85.789,0.263,0.0,5.0,403504.0,1427.0,146907136.0,41930752.0,355786752.0,423583744.0,340.0,3.0,6.0,0.0,0.0
0.779,9.091,88.052,0.0,0.0,2.078,390248.0,712.0,146907136.0,41930752.0,355786752.0,423583744.0,341.0,4.0,6.0,0.0,0.0
1.600,9.333,86.400,0.0,0.0,2.667,403256.0,937.0,146907136.0,41930752.0,355786752.0,423583744.0,340.0,3.0,6.0,0.0,0.0
2.180,4.360,91.826,0.0,0.0,1.635,403504.0,1427.0,146907136.0,41930752.0,355786752.0,423583744.0,340.0,3.0,6.0,0.0,0.0
1.067,10.133,86.667,0.0,0.0,2.133,403504.0,1427.0,146907136.0,41930752.0,355786752.0,423583744.0,340.0,3.0,6.0,0.0,0.0
1.108,3.878,89.197,0.0,0.0,5.817,403009.0,1529.0,146882560.0,41938944.0,355794944.0,423591936.0,340.0,3.0,6.0,0.0,0.0
2.156,5.121,91.375,0.0,0.0,1.348,402724.0,1427.0,146882560.0,41938944.0,355794944.0,423591936.0,340.0,3.0,6.0,0.0,0.0
1.644,4.658,92.603,0.0,0.0,1.096,404908.0,1427.0,146882560.0,41938944.0,355794944.0,423591936.0,340.0,3.0,6.0,0.0,0.0
2.426,8.086,86.792,0.0,0.0,2.695,402256.0,1427.0,146878464.0,41938944.0,355799040.0,423591936.0,340.0,3.0,6.0,0.0,0.0
2.514,12.011,83.240,0.0,0.0,2.235,403347.0,1427.0,146878464.0,41938944.0,355799040.0,423591936.0,340.0,3.0,6.0,0.0,0.0
1.592,14.058,81.698,0.0,0.0,2.653,390404.0,712.0,146886656.0,41947136.0,355790848.0,423583744.0,341.0,4.0,6.0,0.0,0.0
1.600,6.667,88.267,0.0,0.0,3.467,403100.0,937.0,146886656.0,41947136.0,355790848.0,423583744.0,340.0,3.0,6.0,0.0,0.0
1.072,7.775,89.544,0.0,0.0,1.609,403504.0,1427.0,146886656.0,41947136.0,355790848.0,423583744.0,340.0,3.0,6.0,0.0,0.0
2.989,7.065,87.772,0.0,0.0,2.174,403504.0,1427.0,146886656.0,41947136.0,355790848.0,423583744.0,340.0,3.0,6.0,0.0,0.0
1.818,9.870,87.273,0.0,0.0,1.039,403504.0,1427.0,146878464.0,41947136.0,355799040.0,423583744.0,340.0,3.0,6.0,0.0,0.0
2.957,3.763,91.398,0.0,0.0,1.882,403503.0,1427.0,146870272.0,41955328.0,355799040.0,423583744.0,340.0,3.0,6.0,0.0,0.0
1.604,5.348,91.176,0.0,0.0,1.872,403647.0,1427.0,146870272.0,41955328.0,355799040.0,423583744.0,340.0,3.0,6.0,0.0,0.0
2.639,5.277,89.446,0.0,0.0,2.639,403816.0,1427.0,146870272.0,41955328.0,355799040.0,423583744.0,340.0,3.0,6.0,0.0,0.0
1.823,6.771,88.021,0.0,0.0,3.385,403946.0,1529.0,146870272.0,41955328.0,355799040.0,423583744.0,340.0,3.0,6.0,0.0,0.0
2.326,8.527,87.339,0.0,0.0,1.809,390248.0,712.0,146870272.0,41955328.0,355799040.0,423583744.0,341.0,4.0,6.0,0.0,0.0
2.133,8.533,85.333,0.0,0.0,4.0,403412.0,937.0,146862080.0,41963520.0,355799040.0,423583744.0,340.0,3.0,6.0,0.0,0.0
2.057,9.254,84.576,0.0,0.0,4.113,402412.0,1427.0,146866176.0,41963520.0,355803136.0,423575552.0,340.0,3.0,6.0,0.0,0.0
0.777,15.285,80.052,0.0,0.0,3.886,403504.0,1427.0,146866176.0,41963520.0,355803136.0,423575552.0,340.0,3.0,6.0,0.0,0.0
1.078,15.364,78.976,0.0,0.0,4.582,402256.0,1427.0,146866176.0,41963520.0,355803136.0,423575552.0,340.0,3.0,6.0,0.0,0.0
2.116,9.524,85.714,0.0,0.0,2.646,405220.0,1427.0,146866176.0,41963520.0,355803136.0,423575552.0,340.0,3.0,6.0,0.0,0.0
1.416,6.516,90.085,0.0,0.0,1.983,403504.0,1427.0,146984960.0,41971712.0,355803136.0,423448576.0,340.0,3.0,6.0,0.0,0.0
2.406,1.604,94.920,0.0,0.0,1.070,153596.0,712.0,146984960.0,41971712.0,355803136.0,423448576.0,341.0,4.0,6.0,0.0,0.0
2.362,3.675,92.651,0.0,0.0,1.312,248036.0,937.0,146984960.0,41971712.0,355803136.0,423448576.0,340.0,3.0,6.0,0.0,0.0
1.044,5.222,91.123,0.0,0.0,2.611,403972.0,1427.0,146984960.0,41971712.0,355803136.0,423448576.0,340.0,3.0,6.0,0.0,0.0
1.036,6.477,90.155,0.0,0.0,2.332,403452.0,1427.0,146980864.0,41971712.0,355807232.0,423448576.0,340.0,3.0,6.0,0.0,0.0
1.047,3.665,91.361,0.262,0.0,3.665,390300.0,712.0,146964480.0,41979904.0,355807232.0,423456768.0,341.0,4.0,6.0,0.0,0.0
0.771,5.913,89.717,0.0,0.0,3.599,401928.0,1051.0,146964480.0,41979904.0,355807232.0,423456768.0,340.0,3.0,6.0,0.0,0.0
0.993,8.437,86.352,0.0,0.0,4.218,404595.0,1427.0,146964480.0,41979904.0,355807232.0,423456768.0,340.0,3.0,6.0,0.0,0.0
1.031,7.216,83.763,0.0,0.0,7.990,403660.0,1427.0,146964480.0,41979904.0,355807232.0,423456768.0,340.0,3.0,6.0,0.0,0.0
2.105,16.316,78.947,0.0,0.0,2.632,403504.0,1427.0,147091456.0,41979904.0,355807232.0,423329792.0,340.0,3.0,6.0,0.0,0.0
1.613,13.978,81.183,0.0,0.0,3.226,403504.0,1427.0,147083264.0,41988096.0,355807232.0,423329792.0,340.0,3.0,6.0,0.0,0.0
2.770,12.742,82.548,0.0,0.0,1.939,403362.0,1493.0,147107840.0,41988096.0,355815424.0,423297024.0,341.0,3.0,6.0,0.0,0.0
1.044,6.005,89.817,0.0,0.0,3.133,403504.0,1427.0,147107840.0,41988096.0,355815424.0,423297024.0,341.0,3.0,6.0,0.0,0.0
2.432,3.514,89.459,0.0,0.0,4.595,403140.0,1427.0,147107840.0,41988096.0,355815424.0,423297024.0,341.0,3.0,6.0,0.0,0.0
1.994,5.983,90.028,0.0,0.0,1.994,389988.0,712.0,147083264.0,41988096.0,355815424.0,423321600.0,341.0,4.0,6.0,0.0,0.0
2.222,7.222,88.056,0.0,0.0,2.500,403800.0,1051.0,147075072.0,41996288.0,355815424.0,423321600.0,340.0,3.0,6.0,0.0,0.0
1.961,5.882,89.076,0.0,0.0,3.081,402724.0,1427.0,147070976.0,41996288.0,355819520.0,423321600.0,340.0,3.0,6.0,0.0,0.0
