Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		0.122267007828	0.122786998749	0.122786998749	0.122786998749	0.118816007828		0.0	0.0
2&0		0.117974042892	0.121101021767	0.242202043533	1.24220204353	0.114613042892		0.0	0.0
3&0		0.121357917786	0.121616999308	0.364850997925	2.36485099792	0.118443917786		0.0	0.0
4&0		0.122331857681	0.122123003006	0.488492012024	3.48849201202	0.117594857681		0.0	0.0
5&0		0.139531850815	0.125886201859	0.629431009293	4.62943100929	0.136660850815		0.0	0.0
6&0		0.129682064056	0.126737674077	0.760426044464	5.76042604446	0.126406064056		0.0	0.0
7&0		0.122919797897	0.126387562071	0.884712934494	6.88471293449	0.117938797897		0.0	0.0
8&0		0.117239952087	0.12541949749	1.00335597992	8.00335597992	0.114341952087		0.0	0.0
9&0		0.128652095795	0.125923898485	1.13331508636	9.13331508636	0.125017095795		0.0	0.0
10&0		0.118738174438	0.12533891201	1.2533891201	10.2533891201	0.115563174438		0.0	0.0
11&0		0.124097108841	0.125344558196	1.37879014015	11.3787901402	0.121195108841		0.0	0.0
12&0		0.12057185173	0.125055332979	1.50066399574	12.5006639957	0.11580085173		0.0	0.0
13&0		0.118771076202	0.124682316413	1.62087011337	13.6208701134	0.114099076202		0.0	0.0
14&0		0.124743938446	0.124788148063	1.74703407288	14.7470340729	0.119911938446		0.0	0.0
15&0		0.13156580925	0.125316731135	1.87975096703	15.879750967	0.12686780925		0.0	0.0
16&0		0.130610942841	0.125735193491	2.01176309586	17.0117630959	0.125979942841		0.0	0.0
17&0		0.120518922806	0.12551076272	2.13368296623	18.1336829662	0.115213922806		0.0	0.0
18&0		0.115998983383	0.125064055125	2.25115299225	19.2511529922	0.112892983383		0.0	0.0
19&0		0.12341094017	0.125044320759	2.37584209442	20.3758420944	0.12053494017		0.0	0.0
20&0		0.121903896332	0.124951648712	2.49903297424	21.4990329742	0.119037896332		0.0	0.0
21&0		0.121360063553	0.124843483879	2.62171316147	22.6217131615	0.116637063553		0.0	0.0
22&0		0.121301174164	0.124746734446	2.74442815781	23.7444281578	0.116669174164		0.0	0.0
22&1		2.86265611649	0.243847525638	5.60849308968	27.6084930897	2.86165711649		0.1	0.0434782608696
23&1		0.115558862686	0.238560666641	5.72545599937	28.7254559994	0.110881862686		0.1	0.0416666666667
24&1		0.116671085358	0.233741006851	5.84352517128	29.8435251713	0.113845085358		0.1	0.04
25&1		0.122097015381	0.229496616584	5.96691203117	30.9669120312	0.119279015381		0.1	0.0384615384615
26&1		0.120094060898	0.225490190365	6.08823513985	32.0882351398	0.115178060898		0.1	0.037037037037
27&1		0.133027076721	0.222238966397	6.22269105911	33.2226910591	0.129274076721		0.1	0.0357142857143
28&1		0.119716882706	0.21874820775	6.34369802475	34.3436980247	0.114924882706		0.1	0.0344827586207
29&1		0.124322891235	0.215647435188	6.46942305565	35.4694230556	0.119550891235		0.1	0.0333333333333
30&1		0.116012096405	0.212478230076	6.58682513237	36.5868251324	0.113140096405		0.1	0.0322580645161
31&1		0.122656106949	0.209712505341	6.7108001709	37.7108001709	0.117955106949		0.1	0.03125
32&1		0.128607034683	0.207297700824	6.8408241272	38.8408241272	0.123791034683		0.0	0.030303030303
33&1		0.13242816925	0.205137357992	6.97467017174	39.9746701717	0.12763816925		0.0	0.0294117647059
34&1		0.127007007599	0.202945143836	7.10308003426	41.1030800343	0.122275007599		0.0	0.0285714285714
