Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
0&1		3.82369303703	3.82543706894	3.82543706894	3.82543706894	3.82212203703		0.1	1.0
0&2		3.11757302284	3.47232556343	6.94465112686	7.94465112686	3.11655202284		0.2	1.0
0&3		5.00054001808	3.98225331306	11.9467599392	13.9467599392	4.99986001808		0.3	1.0
0&4		2.08675193787	3.50870323181	14.0348129272	17.0348129272	2.08555993787		0.4	1.0
0&5		3.08152484894	3.42357158661	17.117857933	21.117857933	3.08042184894		0.5	1.0
0&6		5.00052309036	3.68663100402	22.1197860241	27.1197860241	4.99984109036		0.6	1.0
0&7		3.29122686386	3.63032456807	25.4122719765	31.4122719765	3.28893986386		0.7	1.0
0&8		5.3895111084	3.85040637851	30.8032510281	37.8032510281	5.3882451084		0.8	1.0
0&9		3.08091115952	3.76507512728	33.8856761456	41.8856761456	3.07989315952		0.9	1.0
0&10		2.08471798897	3.59719369411	35.9719369411	44.9719369411	2.08357298897		1.0	1.0
0&11		5.00062179565	3.72491244836	40.974036932	50.974036932	4.99978979565		1.0	1.0
0&12		2.09675717354	3.58934309085	43.0721170902	54.0721170902	2.09557817354		1.0	1.0
0&13		2.8486430645	3.53248739243	45.9223361015	57.9223361015	2.8473850645		1.0	1.0
0&14		5.00058984756	3.63757899829	50.9261059761	63.9261059761	4.99982584756		1.0	1.0
0&15		3.45357108116	3.62539747556	54.3809621334	68.3809621334	3.45165408116		1.0	1.0
0&16		3.123721838	3.59413087368	57.5060939789	72.5060939789	3.122808838		1.0	1.0
0&17		3.86681294441	3.61025323587	61.3743050098	77.3743050098	3.86554394441		1.0	1.0
0&18		3.81753706932	3.6218487819	65.1932780743	82.1932780743	3.81604706932		1.0	1.0
0&19		3.07681202888	3.59324731325	68.2716989517	86.2716989517	3.07567502888		1.0	1.0
0&20		3.26027703285	3.57667030096	71.5334060192	90.5334060192	3.25887303285		1.0	1.0
0&21		3.60641002655	3.57815552893	75.1412661076	95.1412661076	3.60419602655		1.0	1.0
0&22		5.00053095818	3.64288108999	80.1433839798	101.14338398	4.99986595818		1.0	1.0
0&23		2.07914400101	3.57494748157	82.2237920761	104.223792076	2.07819000101		1.0	1.0
0&24		5.0004901886	3.63440312942	87.225675106	110.225675106	4.9998611886		1.0	1.0
0&25		3.7905189991	3.64069607735	91.0174019337	115.017401934	3.7891989991		1.0	1.0
0&26		5.88978600502	3.72725911324	96.9087369442	121.908736944	5.88820500502		1.0	1.0
0&27		3.08507680893	3.70352973761	99.9953029156	125.995302916	3.08400380893		1.0	1.0
0&28		5.00059008598	3.74990857499	104.9974401	131.9974401	4.99985308598		1.0	1.0
0&29		5.10641694069	3.79672934269	110.105150938	138.105150938	5.10531394069		1.0	1.0
0&30		3.89509606361	3.80005830129	114.001749039	143.001749039	3.89366306361		1.0	1.0
0&31		3.73281788826	3.7979380623	117.736079931	147.736079931	3.73155388826		1.0	1.0
0&32		2.5856821537	3.76010216027	120.323269129	151.323269129	2.5845181537		1.0	1.0
0&33		2.59123110771	3.72470472798	122.915256023	154.915256023	2.58965210771		1.0	1.0
0&34		5.00052690506	3.76227182501	127.91724205	160.91724205	4.99982590506		1.0	1.0
0&35		3.15234613419	3.74487937519	131.070778131	165.070778131	3.15123013419		1.0	1.0
0&36		3.5439760685	3.73934286171	134.616343021	169.616343021	3.5420420685		1.0	1.0
0&37		4.08172392845	3.74863597509	138.699531078	174.699531078	4.08078892845		1.0	1.0
0&38		3.29139590263	3.73664068548	141.992346048	178.992346048	3.28961690263		1.0	1.0
0&39		5.74675607681	3.78821951304	147.740561008	185.740561008	5.74522507681		1.0	1.0
0&40		3.83451795578	3.78941837549	151.57673502	190.57673502	3.83336595578		1.0	1.0
0&41		4.71069598198	3.81192673125	156.288995981	196.288995981	4.70923098198		1.0	1.0
0&42		3.5758728981	3.80634397552	159.866446972	200.866446972	3.5745538981		1.0	1.0
1&42		0.126635074615	3.72080788501	159.994739056	201.994739056	0.121431074615		0.9	0.976744186047
1&43		5.91774606705	3.77077097784	165.913923025	208.913923025	5.91615806705		0.9	0.977272727273
1&44		3.08624792099	3.75559504297	169.001776934	213.001776934	3.08526192099		0.9	0.977777777778
1&45		5.79430699348	3.79994652064	174.797539949	219.797539949	5.79288799348		0.9	0.978260869565
1&46		5.32566094398	3.83243968132	180.124665022	226.124665022	5.32339794398		0.9	0.978723404255
2&46		1.14240098	3.77642552058	181.268424988	228.268424988	1.13667498		0.8	0.958333333333
2&47		5.00082612038	3.80145026713	186.271063089	234.271063089	4.99983712038		0.8	0.959183673469
2&48		3.08039283752	3.78705371857	189.352685928	238.352685928	3.07943783752		0.8	0.96
2&49		5.91906309128	3.82890674647	195.27424407	245.27424407	5.91673309128		0.8	0.960784313725
2&50		3.08455204964	3.8146194999	198.360213995	249.360213995	3.08347004964		0.8	0.961538461538
2&51		5.00058293343	3.83703373513	203.362787962	255.362787962	4.99996893343		0.9	0.962264150943
2&52		5.00068998337	3.85860616631	208.364732981	261.364732981	4.99985598337		0.9	0.962962962963
2&53		2.08361101151	3.82636156516	210.449886084	264.449886084	2.08242101151		0.9	0.963636363636
2&54		5.00053477287	3.84735492723	215.451875925	270.451875925	4.99993177287		0.9	0.964285714286
2&55		3.5406639576	3.84199854366	218.993916988	274.993916988	3.5394249576		0.9	0.964912280702
2&56		3.15953588486	3.8302576213	222.154942036	279.154942036	3.15676188486		1.0	0.965517241379
2&57		3.16942596436	3.81909450838	225.326575994	283.326575994	3.16848896436		1.0	0.966101694915
2&58		3.13245606422	3.80767386754	228.460432053	287.460432053	3.13148506422		1.0	0.966666666667
2&59		3.77292895317	3.80712798384	232.234807014	292.234807014	3.77170595317		1.0	0.967213114754
2&60		5.00047302246	3.82639949937	237.236768961	298.236768961	4.99985902246		1.0	0.967741935484
2&61		5.00051689148	3.8450563181	242.23854804	304.23854804	4.99990089148		1.0	0.968253968254

Total-Times:63	Loss-Times:61	Recent 10 times loss possiblity: 0.10	Total Hex File Loss number: 7
