Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
0&1		3.11767888069	3.11857795715	3.11857795715	3.11857795715	3.11698988069		0.1	1.0
0&2		4.25302100182	3.68646204472	7.37292408943	8.37292408943	4.25173400182		0.2	1.0
0&3		5.22927212715	4.20125301679	12.6037590504	14.6037590504	5.22826412715		0.3	1.0
0&4		3.11374211311	3.92991149426	15.719645977	18.719645977	3.11262611311		0.4	1.0
0&5		5.00086307526	4.1445772171	20.7228860855	24.7228860855	4.99980707526		0.5	1.0
0&6		3.09024500847	3.96908851465	23.8145310879	28.8145310879	3.08830000847		0.6	1.0
0&7		5.14245700836	4.13701486588	28.9591040611	34.9591040611	5.14133900836		0.7	1.0
0&8		5.24252510071	4.27540463209	34.2032370567	41.2032370567	5.24131710071		0.8	1.0
0&9		2.53455495834	4.08217554622	36.739579916	44.739579916	2.53177295834		0.9	1.0
0&10		5.85112500191	4.25921149254	42.5921149254	51.5921149254	5.84935800191		1.0	1.0
0&11		5.16434812546	4.34165518934	47.7582070827	57.7582070827	5.16331212546		1.0	1.0
0&12		5.15857815742	4.4098658363	52.9183900356	63.9183900356	5.15718615742		1.0	1.0
0&13		5.21526503563	4.47194376359	58.1352689266	70.1352689266	5.21434103563		1.0	1.0
0&14		2.08546304703	4.30161842278	60.2226579189	73.2226579189	2.08408404703		1.0	1.0
0&15		3.08470106125	4.22059000333	63.30885005	77.30885005	3.08288706125		1.0	1.0
0&16		5.13773918152	4.27802044153	68.4483270645	83.4483270645	5.13673318152		1.0	1.0
0&17		3.30387711525	4.22080800113	71.7537360191	87.7537360191	3.30220011525		1.0	1.0
0&18		5.00049591064	4.26420599884	76.7557079792	93.7557079792	4.99988291064		1.0	1.0
0&19		2.08102917671	4.14936979193	78.8380260468	96.8380260468	2.08006117671		1.0	1.0
0&20		5.11553001404	4.19775044918	83.9550089836	102.955008984	5.11451301404		1.0	1.0
0&21		4.0954451561	4.19295628866	88.0520820618	108.052082062	4.0944951561		1.0	1.0
0&22		5.10577487946	4.23451281678	93.1592819691	114.159281969	5.10455287946		1.0	1.0
0&23		5.80942106247	4.30305200038	98.9701960087	120.970196009	5.80787906247		1.0	1.0
0&24		5.00053095818	4.33217770855	103.972265005	126.972265005	4.99991595818		1.0	1.0
0&25		5.77216386795	4.38982591629	109.745647907	133.745647907	5.77079886795		1.0	1.0
0&26		5.09488201141	4.41700011033	114.842002869	139.842002869	5.09318601141		1.0	1.0
0&27		5.00135588646	4.43871503406	119.84530592	145.84530592	4.99987788646		1.0	1.0
0&28		3.07320308685	4.38999603476	122.919888973	149.919888973	3.07127908685		1.0	1.0
0&29		5.24244403839	4.4194398584	128.163755894	156.163755894	5.24121703839		1.0	1.0
0&30		5.0005979538	4.43886986574	133.166095972	162.166095972	4.9998989538		1.0	1.0
0&31		2.08105492592	4.36285328865	135.248451948	165.248451948	2.08005292592		1.0	1.0
0&32		5.10686802864	4.38615134358	140.356842995	171.356842995	5.10570802864		1.0	1.0
0&33		5.00059390068	4.4048277537	145.359315872	177.359315872	4.99986390068		1.0	1.0
0&34		5.00064682961	4.42239473147	150.36142087	183.36142087	4.99987782961		1.0	1.0
0&35		5.24280500412	4.44587331499	155.605566025	189.605566025	5.24158800412		1.0	1.0
0&36		3.15250897408	4.40998680724	158.759525061	193.759525061	3.15107397408		1.0	1.0
0&37		5.00071191788	4.42599164473	163.761690855	199.761690855	4.99992791788		1.0	1.0
0&38		2.08089399338	4.36431350206	165.843913078	202.843913078	2.07983199338		1.0	1.0
0&39		4.57294487953	4.36969958819	170.418283939	208.418283939	4.57004587953		1.0	1.0
0&40		5.00067186356	4.38551424742	175.420569897	214.420569897	4.99981886356		1.0	1.0
0&41		5.13367080688	4.40379377691	180.555544853	220.555544853	5.13270980688		1.0	1.0
0&42		5.09092211723	4.42019083386	185.648015022	226.648015022	5.08957011723		1.0	1.0
0&43		5.00077986717	4.43373013652	190.65039587	232.65039587	4.99990386717		1.0	1.0
0&44		5.00060486794	4.44664749774	195.652489901	238.652489901	4.99944486794		1.0	1.0
0&45		5.00059509277	4.45898911158	200.654510021	244.654510021	4.99988509277		1.0	1.0
0&46		5.224629879	4.47565952073	205.880337954	250.880337954	5.223566879		1.0	1.0
0&47		5.00056099892	4.4868581295	210.882332087	256.882332087	4.99989299892		1.0	1.0
0&48		5.15356111526	4.50077250103	216.03708005	263.03708005	5.15263211526		1.0	1.0
0&49		4.24494409561	4.49557636709	220.283241987	268.283241987	4.24296309561		1.0	1.0
0&50		5.00047492981	4.50570580006	225.285290003	274.285290003	4.99987492981		1.0	1.0
0&51		5.20837783813	4.51951072263	230.495046854	280.495046854	5.20682783813		1.0	1.0
0&52		5.87574696541	4.54562332538	236.37241292	287.37241292	5.87405296541		1.0	1.0
0&53		3.07951784134	4.5179939225	239.453677893	291.453677893	3.07834084134		1.0	1.0
0&54		2.09287118912	4.473119409	241.548448086	294.548448086	2.09164018912		1.0	1.0
0&55		5.09646201134	4.48447940133	246.646367073	300.646367073	5.09530701134		1.0	1.0
0&56		5.87435293198	4.50932485717	252.522192001	307.522192001	5.87251793198		1.0	1.0
0&57		3.7673728466	4.49634487587	256.291657925	312.291657925	3.7661898466		1.0	1.0
0&58		5.12409520149	4.50719301865	261.417195082	318.417195082	5.12173520149		1.0	1.0
0&59		5.13778400421	4.51791742293	266.557127953	324.557127953	5.13631800421		1.0	1.0
0&60		5.86156606674	4.54036038319	272.421622992	331.421622992	5.85861006674		1.0	1.0
0&61		5.30187392235	4.55286831152	277.724967003	337.724967003	5.29882092235		1.0	1.0
1&61		3.17679190636	4.53069711116	280.903220892	341.903220892	3.17354990636		0.9	0.983870967742
1&62		5.09165596962	4.53962174673	285.996170044	347.996170044	5.09059996962		0.9	0.984126984127
1&63		5.00062298775	4.54684703052	290.998209953	353.998209953	4.99983098775		0.9	0.984375
1&64		5.00060796738	4.55385067646	296.00029397	360.00029397	4.99988796738		0.9	0.984615384615
1&65		5.00073599815	4.56064039288	301.00226593	366.00226593	5.00000099815		0.9	0.984848484848
1&66		5.00092983246	4.56723120675	306.004490852	372.004490852	4.99998783246		0.9	0.985074626866
1&67		5.00056886673	4.57362169027	311.006274939	378.006274939	4.99990486673		0.9	0.985294117647

Total-Times:68	Loss-Times:67	Recent 10 times loss possiblity: 0.9	Total Hex File Loss number: 4	Socket disconnectable number: 20
