Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
0&1		2.65037488937	2.65092301369	2.65092301369	2.65092301369	2.64906588937		0.1	1.0
0&2		3.25420403481	2.95329499245	5.90658998489	6.90658998489	3.25262703481		0.2	1.0
1&2		1.61877989769	2.50892368952	7.52677106857	9.52677106857	1.61530689769		0.2	0.666666666667
2&2		0.565011978149	2.02327126265	8.09308505058	11.0930850506	0.561700978149		0.2	0.5
2&3		2.37966609001	2.09480743408	10.4740371704	14.4740371704	2.37856809001		0.3	0.6
2&4		2.08621001244	2.09360718727	12.5616431236	17.5616431236	2.08541901244		0.4	0.666666666667
3&4		1.10144209862	1.95206659181	13.6644661427	19.6644661427	1.09824409862		0.4	0.571428571429
4&4		0.914391040802	1.8225171268	14.5801370144	21.5801370144	0.910864040802		0.4	0.5
5&4		2.1805729866	1.8624461227	16.7620151043	24.7620151043	2.1769599866		0.4	0.444444444444
5&5		2.19671392441	1.89600570202	18.9600570202	27.9600570202	2.19585892441		0.5	0.5
5&6		2.191188097	1.92296719551	21.1526391506	31.1526391506	2.189156097		0.5	0.545454545455
5&7		2.38637089729	1.96169692278	23.5403630733	34.5403630733	2.38546189729		0.5	0.583333333333
5&8		2.64237189293	2.01416384257	26.1841299534	38.1841299534	2.64144389293		0.6	0.615384615385
5&9		2.43658208847	2.04443543298	28.6220960617	41.6220960617	2.43480608847		0.7	0.642857142857
6&9		1.18592882156	1.98729659716	29.8094489574	43.8094489574	1.18251182156		0.6	0.6
6&10		2.40068507195	2.01321600378	32.2114560604	47.2114560604	2.39979307195		0.6	0.625
6&11		2.73197698593	2.05557335124	34.9447469711	50.9447469711	2.73016098593		0.7	0.647058823529
6&12		3.39732599258	2.13019083606	38.3434350491	55.3434350491	3.39624099258		0.8	0.666666666667
7&12		0.670480012894	2.05343763452	39.0153150558	57.0153150558	0.667233012894		0.8	0.631578947368
7&13		2.18165302277	2.05991380215	41.1982760429	60.1982760429	2.17998802277		0.8	0.65
7&14		3.59907388687	2.13327252297	44.7987229824	64.7987229824	3.59813188687		0.8	0.666666666667
7&15		3.38777589798	2.19035841118	48.187885046	69.187885046	3.38678589798		0.8	0.681818181818
7&16		2.61850690842	2.20903352033	50.8077709675	72.8077709675	2.61741290842		0.8	0.695652173913
7&17		3.49604201317	2.26271733642	54.305216074	77.305216074	3.49481501317		0.8	0.708333333333
7&18		2.08800292015	2.25578395844	56.3945989609	80.3945989609	2.08716592015		0.9	0.72
7&19		3.38131809235	2.29912754206	59.7773160934	84.7773160934	3.38029109235		0.9	0.730769230769
7&20		2.39514279366	2.3027350726	62.1738469601	88.1738469601	2.39407279366		0.9	0.740740740741
7&21		3.04665398598	2.32935410738	65.2219150066	92.2219150066	3.04581598598		0.9	0.75
7&22		2.4486219883	2.33351520834	67.6719410419	95.6719410419	2.4471889883		1.0	0.758620689655
7&23		3.43067193031	2.37013383706	71.1040151119	100.104015112	3.42854593031		1.0	0.766666666667
7&24		2.55063009262	2.3760013888	73.6560430527	103.656043053	2.54867009262		1.0	0.774193548387
7&25		3.08486104012	2.39819671959	76.7422950268	107.742295027	3.08395604012		1.0	0.78125
8&25		1.90062904358	2.38316121246	78.6443200111	110.644320011	1.89719704358		0.9	0.757575757576
8&26		2.04473495483	2.37324588439	80.6903600693	113.690360069	2.04405495483		0.9	0.764705882353
8&27		3.19261193275	2.3966966016	83.8843810558	117.884381056	3.19075693275		0.9	0.771428571429
8&28		3.58652114868	2.4297866159	87.4723181725	122.472318172	3.58549114868		0.9	0.777777777778
8&29		3.40036702156	2.45605581516	90.8740651608	126.874065161	3.39924302156		0.9	0.783783783784
8&30		4.65772795677	2.51403358108	95.5332760811	132.533276081	4.65662395677		0.9	0.789473684211
8&31		5.41522789001	2.5884582813	100.949872971	138.949872971	5.41417089001		0.9	0.794871794872
8&32		3.18508291245	2.60340897441	104.136358976	143.136358976	3.18320691245		0.9	0.8
8&33		2.19028115273	2.59336668689	106.328034163	146.328034163	2.18860815273		0.9	0.80487804878
8&34		3.62645316124	2.6179996218	109.955984116	150.955984116	3.62537316124		0.9	0.809523809524
8&35		3.04503297806	2.62796328234	113.002421141	155.002421141	3.04422697806		1.0	0.813953488372
9&35		0.306337118149	2.57523036545	113.31013608	156.31013608	0.302821118149		0.9	0.795454545455
9&36		2.63294792175	2.57654393514	115.944477081	159.944477081	2.63195892175		0.9	0.8
10&36		0.81192612648	2.53821271917	116.757785082	161.757785082	0.80854012648		0.8	0.782608695652
10&37		2.38231992722	2.53492344694	119.141402006	165.141402006	2.38142792722		0.8	0.787234042553
10&38		2.19053697586	2.52777764698	121.333327055	168.333327055	2.18851797586		0.8	0.791666666667
10&39		3.57861590385	2.54925208189	124.913352013	172.913352013	3.57762890385		0.8	0.795918367347
10&40		3.40480780602	2.56639081955	128.319540977	177.319540977	3.40375880602		0.8	0.8
10&41		2.22938394547	2.55981025509	130.550323009	180.550323009	2.22800394547		0.8	0.803921568627
10&42		2.39288592339	2.55662223009	132.944355965	183.944355965	2.39191692339		0.8	0.807692307692
10&43		2.64585900307	2.55833203838	135.591598034	187.591598034	2.64492100307		0.8	0.811320754717
10&44		2.04378700256	2.54882944513	137.636790037	190.636790037	2.04308400256		0.9	0.814814814815
10&45		2.1950981617	2.54242325696	139.833279133	193.833279133	2.1934711617		0.9	0.818181818182
11&45		1.13755202293	2.51736119815	140.972227097	195.972227097	1.13394402293		0.9	0.803571428571
11&46		3.42331886292	2.53327801771	144.39684701	200.39684701	3.42225086292		0.9	0.80701754386
11&47		3.37823295593	2.54786987962	147.776453018	204.776453018	3.37722895593		0.9	0.810344827586
11&48		2.19152092934	2.54185400171	149.969386101	207.969386101	2.19050492934		0.9	0.813559322034
11&49		3.04489994049	2.55026115179	153.015669107	212.015669107	3.04412894049		0.9	0.816666666667
11&50		2.39049696922	2.54766457589	155.407539129	215.407539129	2.38950096922		0.9	0.819672131148
11&51		2.39586305618	2.54523861408	157.804794073	218.804794073	2.39493705618		0.9	0.822580645161
11&52		2.04541492462	2.5373265554	159.85157299	221.85157299	2.04465792462		0.9	0.825396825397
11&53		2.44877910614	2.53596493974	162.301756144	225.301756144	2.44695410614		0.9	0.828125
11&54		3.18724822998	2.54600572586	165.490372181	229.490372181	3.18544422998		0.9	0.830769230769
11&55		5.61037302017	2.59245691155	171.102156162	236.102156162	5.60934402017		1.0	0.833333333333
11&56		5.43433499336	2.6348937483	176.537881136	242.537881136	5.43335399336		1.0	0.835820895522
11&57		3.21220088005	2.64340407357	179.751477003	246.751477003	3.21061088005		1.0	0.838235294118
11&58		2.39719390869	2.63985582711	182.150052071	250.150052071	2.39623290869		1.0	0.840579710145
11&59		3.0463180542	2.64568250179	185.197775126	254.197775126	3.0455430542		1.0	0.842857142857
11&60		5.00043296814	2.67886790088	190.199620962	260.199620962	4.99987096814		1.0	0.845070422535
11&61		5.16107010841	2.71335929301	195.361869097	266.361869097	5.16021310841		1.0	0.847222222222
11&62		2.19070196152	2.70621893177	197.553982019	269.553982019	2.18883796152		1.0	0.849315068493
11&63		3.42496991158	2.71595082412	200.980360985	273.980360985	3.42391891158		1.0	0.851351351351
11&64		5.18499302864	2.74888981501	206.166736126	280.166736126	5.18410002864		1.0	0.853333333333
12&64		2.0861890316	2.74018826296	208.254307985	283.254307985	2.0826550316		0.9	0.842105263158
12&65		3.40279197693	2.74881043063	211.658403158	287.658403158	3.40178097693		0.9	0.844155844156
12&66		2.57300400734	2.74657427042	214.232793093	291.232793093	2.57205400734		0.9	0.846153846154
12&67		2.37695407867	2.74191300175	216.611127138	294.611127138	2.37598907867		0.9	0.848101265823
12&68		3.57923579216	2.75239696205	220.191756964	299.191756964	3.57836079216		0.9	0.85
12&69		2.58946585655	2.75040232105	222.782588005	302.782588005	2.58826085655		0.9	0.851851851852
12&70		3.27448797226	2.75681080469	226.058485985	307.058485985	3.27244897226		0.9	0.853658536585
12&71		2.50264406204	2.75376524121	228.56251502	310.56251502	2.50155806204		0.9	0.855421686747
12&72		2.08668398857	2.74584006128	230.650565147	313.650565147	2.08584098857		0.9	0.857142857143
12&73		3.41049599648	2.75367002487	234.061952114	318.061952114	3.40953399648		0.9	0.858823529412
12&74		2.0729868412	2.74577095342	236.136301994	321.136301994	2.0722608412		1.0	0.860465116279
13&74		1.16328597069	2.72759696533	237.300935984	323.300935984	1.16006197069		0.9	0.850574712644
13&75		2.63433790207	2.72655272755	239.936640024	326.936640024	2.63327090207		0.9	0.852272727273
13&76		3.04037690163	2.73009449444	242.978410006	330.978410006	3.03948690163		0.9	0.85393258427
14&76		0.824105978012	2.70893270175	243.803943157	332.803943157	0.820809978012		0.8	0.844444444444
14&77		2.69178795815	2.70875847209	246.49702096	336.49702096	2.69030095815		0.8	0.846153846154
15&77		1.80091810226	2.69890546799	248.299303055	339.299303055	1.79768110226		0.7	0.836956521739
15&78		2.04221606255	2.69185846339	250.342837095	342.342837095	2.04151406255		0.7	0.838709677419
15&79		2.04728198051	2.68501574435	252.391479969	345.391479969	2.04656398051		0.7	0.840425531915
15&80		2.39101791382	2.68193536809	254.783859968	348.783859968	2.39017891382		0.7	0.842105263158
15&81		2.59351706505	2.6810284704	257.378733158	352.378733158	2.59268206505		0.7	0.84375
15&82		2.19613981247	2.67604362842	259.576231956	355.576231956	2.19454981247		0.8	0.845360824742
15&83		3.43504118919	2.68380262414	263.012657166	360.012657166	3.43353618919		0.8	0.84693877551
16&83		1.00935006142	2.66690301173	264.023398161	362.023398161	1.00613806142		0.7	0.838383838384
16&84		2.04072499275	2.66065412045	266.065412045	365.065412045	2.04002899275		0.8	0.84
16&85		2.04086995125	2.65453122866	268.107654095	368.107654095	2.04019695125		0.8	0.841584158416
17&85		0.282809019089	2.63129256052	268.391841173	369.391841173	0.279649019089		0.8	0.833333333333
18&85		1.45966601372	2.61993037844	269.852828979	371.852828979	1.45602201372		0.7	0.825242718447
19&85		0.581101894379	2.60033884645	270.43524003	373.43524003	0.578046894379		0.6	0.817307692308
19&86		3.68115711212	2.61064461981	274.11768508	378.11768508	3.67941711212		0.6	0.819047619048
20&86		1.3226339817	2.59850664184	275.441704035	380.441704035	1.3191579817		0.5	0.811320754717
21&86		1.5728430748	2.58893331857	277.015865088	383.015865088	1.5696200748		0.4	0.803738317757
21&87		2.41936707497	2.58737538921	279.436542034	386.436542034	2.41845207497		0.4	0.805555555556

Total-Times:108	Loss-Times:87	Recent 10 times loss possiblity: 0.4	Total Hex File Loss number: 23
