Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
0&1		2.41524195671	2.41582393646	2.41582393646	2.41582393646	2.41395195671		0.1	1.0
0&2		2.44004392624	2.42866754532	4.85733509064	5.85733509064	2.43824792624		0.2	1.0
0&3		3.44539499283	2.76805170377	8.30415511131	10.3041551113	3.44428199283		0.3	1.0
0&4		2.43405508995	2.68490153551	10.739606142	13.739606142	2.43177308995		0.4	1.0
1&4		0.641288995743	2.27642941475	11.3821470737	15.3821470737	0.637904995743		0.4	0.8
1&5		2.18969988823	2.26219133536	13.5731480122	18.5731480122	2.18797688823		0.5	0.833333333333
1&6		2.42351388931	2.28543257713	15.9980280399	21.9980280399	2.42202388931		0.6	0.857142857143
1&7		2.38191699982	2.29766663909	18.3813331127	25.3813331127	2.38091999982		0.7	0.875
2&7		0.369987010956	2.08363400565	18.7527060509	26.7527060509	0.366856010956		0.7	0.777777777778
3&7		0.566056013107	1.93200740814	19.3200740814	28.3200740814	0.562744013107		0.7	0.7
3&8		2.43121790886	1.97750863162	21.7525949478	31.7525949478	2.42909190886		0.7	0.727272727273
3&9		3.57412791252	2.11068775256	25.3282530308	36.3282530308	3.57300091252		0.7	0.75
3&10		2.19978308678	2.11764808802	27.5294251442	39.5294251442	2.19830708678		0.7	0.769230769231
3&11		2.49935317039	2.14501336643	30.03018713	43.03018713	2.49843917039		0.7	0.785714285714
3&12		3.62104582787	2.24350779851	33.6526169777	47.6526169777	3.61999782787		0.8	0.8
4&12		0.813977003098	2.15424931049	34.4679889679	49.4679889679	0.810135003098		0.7	0.75
5&12		0.638127088547	2.06514459498	35.1074581146	51.1074581146	0.634219088547		0.6	0.705882352941
5&13		5.23013401031	2.24105089241	40.3389160633	57.3389160633	5.22816401031		0.6	0.722222222222
5&14		3.42416405678	2.30339884758	43.764578104	61.764578104	3.42195005678		0.7	0.736842105263
5&15		3.09757208824	2.34317785501	46.8635571003	65.8635571003	3.09632408824		0.8	0.75
5&16		3.63260483742	2.40464771362	50.4976019859	70.4976019859	3.63127183742		0.8	0.761904761905
5&17		3.44651198387	2.45206818797	53.9455001354	74.9455001354	3.44548198387		0.8	0.772727272727
5&18		3.05705118179	2.47843213703	57.0039391518	79.0039391518	3.05627218179		0.8	0.782608695652
5&19		2.04734301567	2.46052808563	59.0526740551	82.0526740551	2.04648401567		0.8	0.791666666667
5&20		2.37862586975	2.45730855942	61.4327139854	85.4327139854	2.37750986975		0.8	0.8
5&21		2.38605690002	2.45462142504	63.8201570511	88.8201570511	2.38504590002		0.9	0.807692307692
5&22		2.04215717316	2.43939611647	65.8636951447	91.8636951447	2.04131217316		1.0	0.814814814815
5&23		3.14312291145	2.46457846676	69.0081970692	96.0081970692	3.14223691145		1.0	0.821428571429
5&24		2.0467031002	2.45021655642	71.0562801361	99.0562801361	2.0460131002		1.0	0.827586206897
5&25		3.40887117386	2.48221813838	74.4665441513	103.466544151	3.40779217386		1.0	0.833333333333
5&26		3.60963797569	2.51863145059	78.0775749683	108.077574968	3.60859697569		1.0	0.838709677419
5&27		2.18187212944	2.50815115869	80.2608370781	111.260837078	2.18032812944		1.0	0.84375
5&28		2.04053688049	2.49402354703	82.3027770519	114.302777052	2.03982588049		1.0	0.848484848485
5&29		3.5847260952	2.52614426613	85.8889050484	118.888905048	3.5836930952		1.0	0.852941176471
5&30		2.40879392624	2.5228313446	88.2990970612	122.299097061	2.40781792624		1.0	0.857142857143
6&30		1.92678189278	2.50631297297	90.2272670269	125.227267027	1.92312189278		0.9	0.833333333333
6&31		2.37736201286	2.50286335559	92.6059441566	128.605944157	2.37647701286		0.9	0.837837837838
7&31		0.872617959976	2.45999926642	93.4799721241	130.479972124	0.869083959976		0.8	0.815789473684
7&32		3.72286009789	2.49240397796	97.2037551403	135.20375514	3.72182409789		0.8	0.820512820513
7&33		2.04314494133	2.48120767474	99.2483069897	138.24830699	2.04236394133		0.8	0.825
7&34		2.62053394318	2.48463970859	101.870228052	141.870228052	2.61961794318		0.8	0.829268292683
7&35		2.37801980972	2.48213430813	104.249640942	145.249640942	2.37699780972		0.8	0.833333333333
7&36		3.67685604095	2.50995137525	107.927909136	149.927909136	3.67481904095		0.8	0.837209302326
