"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp2W_bs64B.csv -cnm --socket 1 300",,,,"Date:","18 Jul 2017 06:17:32 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
0.888,3.034,95.119,0.053,0.0,0.907,0.0,0.0,128499712.0,37969920.0,172023808.0,629714944.0,339.0,4.0,6.0,0.0,0.0
0.840,17.927,73.950,0.0,0.0,7.283,514064.0,468.0,128499712.0,37969920.0,172032000.0,629706752.0,339.0,4.0,6.0,0.0,0.0
0.578,16.185,77.746,0.289,0.0,5.202,517674.0,506.0,128602112.0,37978112.0,172032000.0,629596160.0,339.0,4.0,6.0,0.0,0.0
1.127,15.211,78.592,0.0,0.0,5.070,516580.0,158.0,128602112.0,37978112.0,172032000.0,629596160.0,339.0,4.0,6.0,0.0,0.0
0.308,6.154,92.615,0.0,0.0,0.923,525832.0,248.0,128536576.0,37978112.0,172032000.0,629661696.0,338.0,3.0,6.0,0.0,0.0
0.581,10.174,88.081,0.0,0.0,1.163,529568.0,558.0,128602112.0,37978112.0,172032000.0,629596160.0,339.0,4.0,6.0,0.0,0.0
0.528,13.984,79.947,0.0,0.0,5.541,523926.0,326.0,128593920.0,37978112.0,172032000.0,629604352.0,339.0,4.0,6.0,0.0,0.0
1.072,12.332,80.965,0.0,0.0,5.630,516488.0,158.0,128585728.0,37986304.0,172032000.0,629604352.0,339.0,4.0,6.0,0.0,0.0
1.070,10.963,80.214,0.0,0.0,7.754,527304.0,248.0,128585728.0,37986304.0,172032000.0,629604352.0,338.0,3.0,6.0,0.0,0.0
0.515,15.722,79.124,0.0,0.0,4.639,510382.0,872.0,128585728.0,37986304.0,172032000.0,629604352.0,339.0,4.0,6.0,0.0,0.0
1.044,16.188,78.329,0.0,0.0,4.439,518696.0,158.0,128585728.0,37986304.0,172032000.0,629604352.0,339.0,4.0,6.0,0.0,0.0
1.385,11.357,83.657,0.0,0.0,3.601,526200.0,248.0,128458752.0,37986304.0,172032000.0,629731328.0,338.0,3.0,6.0,0.0,0.0
1.374,10.714,83.516,0.0,0.0,4.396,523940.0,256.0,128458752.0,37986304.0,172032000.0,629731328.0,339.0,4.0,6.0,0.0,0.0
0.554,12.465,82.825,0.0,0.0,4.155,527344.0,460.0,128458752.0,37994496.0,172023808.0,629731328.0,339.0,4.0,6.0,0.0,0.0
0.836,19.499,74.930,0.0,0.0,4.735,512314.0,248.0,128491520.0,37994496.0,172023808.0,629698560.0,339.0,4.0,6.0,0.0,0.0
1.108,23.823,74.238,0.0,0.0,0.831,514596.0,248.0,128966656.0,37994496.0,172032000.0,629215232.0,338.0,3.0,6.0,0.0,0.0
0.545,14.169,80.926,0.0,0.0,4.360,473648.0,590.0,128966656.0,37994496.0,172032000.0,629215232.0,339.0,4.0,6.0,0.0,0.0
1.081,11.892,81.081,0.811,0.0,5.135,497628.0,158.0,128966656.0,37994496.0,172032000.0,629215232.0,339.0,4.0,6.0,0.0,0.0
1.724,10.057,87.356,0.0,0.0,0.862,515600.0,326.0,128958464.0,38002688.0,172032000.0,629215232.0,338.0,3.0,6.0,0.0,0.0
0.543,12.228,83.424,0.0,0.0,3.804,501084.0,468.0,129466368.0,38002688.0,172032000.0,628707328.0,339.0,4.0,6.0,0.0,0.0
1.337,11.230,82.086,0.0,0.0,5.348,507564.0,158.0,129466368.0,38002688.0,172032000.0,628707328.0,339.0,4.0,6.0,0.0,0.0
0.543,13.587,82.609,0.0,0.0,3.261,506278.0,326.0,129466368.0,38002688.0,172032000.0,628707328.0,338.0,3.0,6.0,0.0,0.0
0.265,14.286,81.481,0.0,0.0,3.968,505644.0,558.0,129466368.0,38002688.0,172032000.0,628707328.0,339.0,4.0,6.0,0.0,0.0
0.809,11.860,81.671,0.0,0.0,5.660,527220.0,1089.0,129458176.0,38010880.0,172032000.0,628707328.0,338.0,3.0,6.0,0.0,0.0
1.047,14.136,80.890,0.0,0.0,3.927,479622.0,660.0,129490944.0,38010880.0,172032000.0,628674560.0,339.0,4.0,6.0,0.0,0.0
1.312,16.535,79.265,0.0,0.0,2.887,522560.0,158.0,129486848.0,38010880.0,172036096.0,628674560.0,339.0,4.0,6.0,0.0,0.0
0.855,14.815,82.051,0.0,0.0,2.279,526920.0,338.0,129454080.0,38010880.0,172036096.0,628707328.0,338.0,3.0,6.0,0.0,0.0
0.552,18.785,74.309,0.0,0.0,6.354,514766.0,782.0,129454080.0,38010880.0,172036096.0,628707328.0,339.0,4.0,6.0,0.0,0.0
1.166,15.160,76.676,0.292,0.0,6.706,529664.0,158.0,129724416.0,38019072.0,172036096.0,628428800.0,340.0,4.0,6.0,0.0,0.0
1.143,12.0,84.0,0.0,0.0,2.857,513320.0,248.0,129724416.0,38019072.0,172036096.0,628428800.0,339.0,3.0,6.0,0.0,0.0
0.592,7.396,90.533,0.0,0.0,1.479,517328.0,256.0,129724416.0,38019072.0,172036096.0,628428800.0,340.0,4.0,6.0,0.0,0.0
0.551,13.774,84.298,0.0,0.0,1.377,514300.0,370.0,129572864.0,38019072.0,172036096.0,628580352.0,339.0,4.0,6.0,0.0,0.0
1.090,13.896,82.834,0.0,0.0,2.180,512348.0,158.0,129568768.0,38019072.0,172040192.0,628580352.0,339.0,4.0,6.0,0.0,0.0
1.067,15.200,80.267,0.0,0.0,3.467,514832.0,248.0,129560576.0,38027264.0,172040192.0,628580352.0,338.0,4.0,6.0,0.0,0.0
1.084,12.737,82.927,0.0,0.0,3.252,507472.0,256.0,129560576.0,38027264.0,172040192.0,628580352.0,339.0,5.0,6.0,0.0,0.0
0.806,12.634,81.720,0.0,0.0,4.839,519912.0,460.0,129560576.0,38027264.0,172040192.0,628580352.0,339.0,5.0,6.0,0.0,0.0
0.557,11.142,84.958,0.0,0.0,3.343,519364.0,428.0,129560576.0,38027264.0,172040192.0,628580352.0,339.0,4.0,6.0,0.0,0.0
1.348,10.243,81.132,0.0,0.0,7.278,524308.0,158.0,129560576.0,38027264.0,172040192.0,628580352.0,339.0,4.0,6.0,0.0,0.0
0.815,14.402,81.250,0.0,0.0,3.533,526384.0,248.0,129433600.0,38027264.0,172040192.0,628707328.0,338.0,3.0,6.0,0.0,0.0
0.822,19.726,77.534,0.0,0.0,1.918,531484.0,256.0,129433600.0,38035456.0,172032000.0,628707328.0,339.0,4.0,6.0,0.0,0.0
0.573,19.484,75.931,0.0,0.0,4.011,522928.0,256.0,129531904.0,38035456.0,172032000.0,628609024.0,339.0,4.0,6.0,0.0,0.0
0.563,16.901,75.211,0.0,0.0,7.324,522744.0,158.0,129425408.0,38035456.0,172040192.0,628707328.0,339.0,4.0,6.0,0.0,0.0
0.592,6.509,90.237,0.0,0.0,2.663,513240.0,550.0,129425408.0,38035456.0,172040192.0,628707328.0,339.0,4.0,6.0,0.0,0.0
0.565,11.299,86.723,0.0,0.0,1.412,511890.0,525.0,129458176.0,38035456.0,172040192.0,628674560.0,339.0,4.0,6.0,0.0,0.0
0.796,15.650,81.432,0.0,0.0,2.122,492838.0,914.0,129716224.0,38043648.0,172032000.0,628416512.0,339.0,4.0,6.0,0.0,0.0
1.613,13.710,81.452,0.0,0.0,3.226,511156.0,248.0,129544192.0,38043648.0,172040192.0,628580352.0,338.0,3.0,6.0,0.0,0.0
0.536,13.405,81.769,0.0,0.0,4.290,511498.0,782.0,129540096.0,38043648.0,172044288.0,628580352.0,339.0,4.0,6.0,0.0,0.0
2.094,7.068,88.220,0.0,0.0,2.618,282812.0,158.0,129540096.0,38043648.0,172044288.0,628580352.0,339.0,4.0,6.0,0.0,0.0
3.385,5.469,87.760,0.0,0.0,3.385,225132.0,248.0,129409024.0,38043648.0,172048384.0,628707328.0,338.0,3.0,6.0,0.0,0.0
0.820,11.749,83.880,0.0,0.0,3.552,507998.0,782.0,129400832.0,38051840.0,172048384.0,628707328.0,339.0,4.0,6.0,0.0,0.0
0.539,15.094,81.671,0.0,0.0,2.695,520868.0,248.0,129400832.0,38051840.0,172048384.0,628707328.0,339.0,4.0,6.0,0.0,0.0
1.087,13.587,82.065,0.0,0.0,3.261,525900.0,158.0,129400832.0,38051840.0,172048384.0,628707328.0,339.0,4.0,6.0,0.0,0.0
1.102,15.978,75.207,0.0,0.0,7.713,516124.0,248.0,129400832.0,38051840.0,172048384.0,628707328.0,338.0,3.0,6.0,0.0,0.0
0.852,18.466,76.136,0.0,0.0,4.545,521578.0,872.0,129400832.0,38051840.0,172048384.0,628707328.0,339.0,4.0,6.0,0.0,0.0
2.023,15.029,79.191,0.0,0.0,3.757,513580.0,158.0,129392640.0,38060032.0,172048384.0,628707328.0,339.0,4.0,6.0,0.0,0.0
1.170,5.556,89.181,0.0,0.0,4.094,503212.0,338.0,129392640.0,38060032.0,172048384.0,628707328.0,338.0,3.0,6.0,0.0,0.0
0.541,11.351,82.973,0.0,0.0,5.135,503114.0,872.0,129392640.0,38060032.0,172048384.0,628707328.0,339.0,4.0,6.0,0.0,0.0
0.847,8.192,85.876,0.0,0.0,5.085,502780.0,158.0,129392640.0,38060032.0,172048384.0,628707328.0,339.0,4.0,6.0,0.0,0.0
1.319,14.776,81.003,0.0,0.0,2.902,505684.0,248.0,129392640.0,38060032.0,172048384.0,628707328.0,338.0,3.0,6.0,0.0,0.0
0.519,16.623,79.221,0.0,0.0,3.636,508228.0,256.0,129384448.0,38068224.0,172048384.0,628707328.0,339.0,4.0,6.0,0.0,0.0
0.506,14.937,77.468,0.0,0.0,7.089,517300.0,558.0,129384448.0,38068224.0,172048384.0,628707328.0,339.0,4.0,6.0,0.0,0.0
0.542,12.737,83.198,0.0,0.0,3.523,511046.0,248.0,129384448.0,38068224.0,172048384.0,628707328.0,339.0,4.0,6.0,0.0,0.0
1.626,11.111,81.572,0.0,0.0,5.691,521272.0,158.0,129384448.0,38068224.0,172048384.0,628707328.0,339.0,4.0,6.0,0.0,0.0
1.050,12.861,79.003,0.0,0.0,7.087,521056.0,248.0,129511424.0,38068224.0,172048384.0,628580352.0,338.0,3.0,6.0,0.0,0.0
0.525,14.961,80.315,0.0,0.0,4.199,520228.0,590.0,129511424.0,38068224.0,172048384.0,628580352.0,339.0,4.0,6.0,0.0,0.0
0.870,18.261,76.522,0.290,0.0,4.058,522836.0,158.0,129511424.0,38076416.0,172040192.0,628580352.0,339.0,4.0,6.0,0.0,0.0
1.136,20.170,75.0,0.0,0.0,3.693,516617.0,326.0,129507328.0,38076416.0,172044288.0,628580352.0,338.0,3.0,6.0,0.0,0.0
0.590,15.044,83.481,0.0,0.0,0.885,521222.0,1443.0,129564672.0,38076416.0,172052480.0,628514816.0,339.0,4.0,6.0,0.0,0.0
1.662,10.526,84.488,0.0,0.0,3.324,513722.0,350.0,129527808.0,38076416.0,172056576.0,628547584.0,339.0,4.0,6.0,0.0,0.0
0.284,10.227,86.364,0.0,0.0,3.125,511388.0,338.0,129544192.0,38076416.0,172056576.0,628531200.0,338.0,3.0,6.0,0.0,0.0
0.531,14.058,81.432,0.0,0.0,3.979,510272.0,558.0,129622016.0,38084608.0,172056576.0,628445184.0,339.0,4.0,6.0,0.0,0.0
0.531,10.610,81.167,0.0,0.0,7.692,525568.0,1137.0,129654784.0,38084608.0,172056576.0,628412416.0,339.0,4.0,6.0,0.0,0.0
