Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		0.145746946335	0.146610021591	0.146610021591	0.146610021591	0.140518946335		0.0	0.0
2&0		0.120665073395	0.134608507156	0.269217014313	1.26921701431	0.117332073395		0.0	0.0
3&0		0.120913982391	0.130476713181	0.391430139542	2.39143013954	0.117770982391		0.0	0.0
4&0		0.127689838409	0.13010674715	0.520426988602	3.5204269886	0.124494838409		0.0	0.0
5&0		0.135776996613	0.131505012512	0.657525062561	4.65752506256	0.132282996613		0.0	0.0
6&0		0.122652053833	0.130246678988	0.781480073929	5.78148007393	0.119535053833		0.0	0.0
7&0		0.151292085648	0.133439574923	0.93407702446	6.93407702446	0.147779085648		0.0	0.0
8&0		0.125730037689	0.13263887167	1.06111097336	8.06111097336	0.122291037689		0.0	0.0
9&0		0.120025873184	0.131380558014	1.18242502213	9.18242502213	0.116952873184		0.0	0.0
10&0		0.132292985916	0.13160200119	1.3160200119	10.3160200119	0.128836985916		0.0	0.0
11&0		0.121753931046	0.130824630911	1.43907094002	11.43907094	0.118681931046		0.0	0.0
12&0		0.126775979996	0.130595246951	1.56714296341	12.5671429634	0.123573979996		0.0	0.0
13&0		0.12827205658	0.13051531865	1.69669914246	13.6966991425	0.12490505658		0.0	0.0
14&0		0.118786096573	0.129770006452	1.81678009033	14.8167800903	0.115537096573		0.0	0.0
15&0		0.12952208519	0.129841136932	1.94761705399	15.947617054	0.12620608519		0.0	0.0
16&0		0.124587059021	0.129593938589	2.07350301743	17.0735030174	0.121321059021		0.0	0.0
17&0		0.148338079453	0.130773656509	2.22315216064	18.2231521606	0.143737079453		0.0	0.0
18&0		0.120309829712	0.130270388391	2.34486699104	19.344866991	0.117201829712		0.0	0.0
19&0		0.116599798203	0.129620050129	2.46278095245	20.4627809525	0.113592798203		0.0	0.0
20&0		0.120668172836	0.129240107536	2.58480215073	21.5848021507	0.117424172836		0.0	0.0
