Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		1.21753096581	1.21881389618	1.21881389618	1.21881389618	1.21359696581		0.0	0.0
1&1		5.00048518181	3.1103695631	6.22073912621	7.22073912621	4.99986918181		0.1	0.5
1&2		5.00081586838	3.74093198776	11.2227959633	13.2227959633	4.99990186838		0.2	0.666666666667
1&3		5.89270019531	4.27921277285	17.1168510914	20.1168510914	5.89147819531		0.3	0.75
1&4		5.00063204765	4.42381601334	22.1190800667	26.1190800667	4.99986704765		0.4	0.8
1&5		5.00052595139	4.52014799913	27.1208879948	32.1208879948	4.99985795139		0.5	0.833333333333
1&6		3.08306217194	4.31506272725	30.2054390907	36.2054390907	3.08192417194		0.6	0.857142857143
1&7		5.84510707855	4.50649738312	36.0519790649	43.0519790649	5.84356207855		0.7	0.875
1&8		5.17699289322	4.58115421401	41.2303879261	49.2303879261	5.17559989322		0.8	0.888888888889
2&8		0.121345996857	4.13532640934	41.3532640934	50.3532640934	0.118348996857		0.8	0.8
2&9		5.00055289268	4.21413263408	46.3554589748	56.3554589748	4.99947489268		0.9	0.818181818182
2&10		5.00058197975	4.27977933486	51.3573520184	62.3573520184	4.99993597975		0.9	0.833333333333
2&11		5.00051403046	4.33531238483	56.3590610027	68.3590610027	4.99987103046		0.9	0.846153846154
2&12		5.00060892105	4.38291985648	61.3608779907	74.3608779907	4.99992292105		0.9	0.857142857143
2&13		5.00057697296	4.42418160439	66.3627240658	80.3627240658	4.99989597296		0.9	0.866666666667
2&14		5.00111198425	4.46031931043	71.3651089668	86.3651089668	4.99999498425		0.9	0.875
2&15		5.00124311447	4.49221229553	76.367609024	92.367609024	4.99992611447		0.9	0.882352941176
2&16		5.00087690353	4.52056116528	81.370100975	98.370100975	4.99983290353		0.9	0.888888888889
3&16		0.122826099396	4.28916532115	81.4941411018	99.4941411018	0.117561099396		0.8	0.842105263158
3&17		5.21260499954	4.33541090488	86.7082180977	105.708218098	5.21165499954		0.9	0.85
3&18		5.15598511696	4.37455933435	91.8657460213	111.865746021	5.15482411696		0.9	0.857142857143
3&19		5.18137097359	4.41130204634	97.0486450195	118.04864502	5.18050497359		0.9	0.863636363636
3&20		2.12985491753	4.31217482816	99.1800210476	121.180021048	2.12893291753		0.9	0.869565217391
