Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		0.128193855286	0.128729820251	0.128729820251	0.128729820251	0.124450855286		0.0	0.0
2&0		0.120530843735	0.12533891201	0.25067782402	1.25067782402	0.117386843735		0.0	0.0
3&0		0.121037960052	0.124343633652	0.373030900955	2.37303090096	0.117955960052		0.0	0.0
4&0		0.121734857559	0.124023973942	0.496095895767	3.49609589577	0.118417857559		0.0	0.0
5&0		0.158201932907	0.131127786636	0.655638933182	4.65563893318	0.154437932907		0.0	0.0
6&0		0.12456703186	0.130249142647	0.781494855881	5.78149485588	0.12139503186		0.0	0.0
7&0		0.131870031357	0.130667413984	0.914671897888	6.91467189789	0.126651031357		0.0	0.0
8&0		0.118065834045	0.129268229008	1.03414583206	8.03414583206	0.114918834045		0.0	0.0
9&0		0.124830007553	0.128921879662	1.16029691696	9.16029691696	0.121569007553		0.0	0.0
10&0		0.1231508255	0.128418183327	1.28418183327	10.2841818333	0.1196828255		0.0	0.0
11&0		0.136801958084	0.129298166795	1.42227983475	11.4222798347	0.133527958084		0.0	0.0
12&0		0.136358976364	0.129998405774	1.55998086929	12.5599808693	0.131593976364		0.0	0.0
13&0		0.126661062241	0.129850075795	1.68805098534	13.6880509853	0.123344062241		0.0	0.0
14&0		0.118788003922	0.129151344299	1.80811882019	14.8081188202	0.115802003922		0.0	0.0
15&0		0.143295049667	0.130181598663	1.95272397995	15.9527239799	0.139538049667		0.0	0.0
16&0		0.12287402153	0.129808932543	2.07694292068	17.0769429207	0.11950802153		0.0	0.0
17&0		0.135991096497	0.130251295426	2.21427202225	18.2142720222	0.130311096497		0.0	0.0
18&0		0.120810031891	0.129804889361	2.3364880085	19.3364880085	0.117635031891		0.0	0.0
19&0		0.129404067993	0.129853210951	2.46721100807	20.4672110081	0.126232067993		0.0	0.0
20&0		0.125688076019	0.129711401463	2.59422802925	21.5942280293	0.122317076019		0.0	0.0
21&0		0.127760887146	0.1296815191	2.72331190109	22.7233119011	0.124469887146		0.0	0.0
22&0		0.12161397934	0.12937745181	2.84630393982	23.8463039398	0.11675097934		0.0	0.0
23&0		0.119046211243	0.128990131876	2.96677303314	24.9667730331	0.115916211243		0.0	0.0
24&0		0.1203789711	0.12868570288	3.08845686913	26.0884568691	0.1170069711		0.0	0.0
25&0		0.135149002075	0.128999834061	3.22499585152	27.2249958515	0.131424002075		0.0	0.0
26&0		0.122524023056	0.128800346301	3.34880900383	28.3488090038	0.119206023056		0.0	0.0
27&0		0.302495002747	0.135285068441	3.65269684792	29.6526968479	0.298493002747		0.0	0.0
28&0		0.141685009003	0.135559959071	3.79567885399	30.795678854	0.138423009003		0.0	0.0
29&0		0.376074790955	0.143898889936	4.17306780815	32.1730678082	0.372531790955		0.0	0.0
30&0		0.120977878571	0.143178494771	4.29535484314	33.2953548431	0.117671878571		0.0	0.0
31&0		0.122517108917	0.142555159907	4.41920995712	34.4192099571	0.119224108917		0.0	0.0
32&0		0.119302034378	0.141869157553	4.53981304169	35.5398130417	0.116199034378		0.0	0.0
33&0		0.133579015732	0.141657388572	4.67469382286	36.6746938229	0.128604015732		0.0	0.0
34&0		0.121016979218	0.141091676319	4.79711699486	37.7971169949	0.117724979218		0.0	0.0
35&0		0.71929192543	0.157630109787	5.51705384254	39.5170538425	0.71338192543		0.0	0.0
36&0		0.127763986588	0.15684249666	5.64632987976	40.6463298798	0.124500986588		0.0	0.0
37&0		0.137125968933	0.156345161232	5.78477096558	41.7847709656	0.133770968933		0.0	0.0
38&0		0.132799863815	0.155759786305	5.91887187958	42.9188718796	0.129720863815		0.0	0.0
39&0		0.120934963226	0.154900740354	6.04112887383	44.0411288738	0.117591963226		0.0	0.0
40&0		0.124511003494	0.154177075624	6.16708302498	45.167083025	0.120697003494		0.0	0.0
41&0		0.124107837677	0.153476069613	6.29251885414	46.2925188541	0.120936837677		0.0	0.0
42&0		0.117190122604	0.152643476214	6.41102600098	47.411026001	0.114078122604		0.0	0.0
43&0		0.11856508255	0.151881439741	6.53090190887	48.5309019089	0.11547708255		0.0	0.0
44&0		0.1207010746	0.151202272285	6.65289998055	49.6528999805	0.1175390746		0.0	0.0
45&0		0.126821994781	0.150689066781	6.78100800514	50.7810080051	0.121780994781		0.0	0.0
46&0		0.118093967438	0.150010736092	6.90049386024	51.9004938602	0.114729967438		0.0	0.0
47&0		0.123208045959	0.149469999557	7.02508997917	53.0250899792	0.119840045959		0.0	0.0
48&0		0.124650001526	0.148979956905	7.15103793144	54.1510379314	0.121297001526		0.0	0.0
49&0		0.123225927353	0.148480897047	7.27556395531	55.2755639553	0.120081927353		0.0	0.0
50&0		0.123578071594	0.148008918762	7.40044593811	56.4004459381	0.118863071594		0.0	0.0
51&0		0.173597097397	0.148538117315	7.57544398308	57.5754439831	0.170332097397		0.0	0.0
52&0		0.124475955963	0.148100536603	7.70122790337	58.7012279034	0.121389955963		0.0	0.0
53&0		0.130199193954	0.14778775539	7.83275103569	59.8327510357	0.126948193954		0.0	0.0
54&0		0.123168945312	0.147356276159	7.95723891258	60.9572389126	0.120009945313		0.0	0.0
55&0		0.132113933563	0.147103287957	8.09068083763	62.0906808376	0.128056933563		0.0	0.0
56&0		0.124204874039	0.146717961345	8.21620583534	63.2162058353	0.121018874039		0.0	0.0
57&0		0.129071950912	0.146431542279	8.34659790993	64.3465979099	0.125870950912		0.0	0.0
58&0		0.123569965363	0.146060327004	8.47149896622	65.4714989662	0.120342965363		0.0	0.0
59&0		0.123355150223	0.145697440131	8.59614896774	66.5961489677	0.120284150223		0.0	0.0
60&0		0.12665605545	0.145401883125	8.72411298752	67.7241129875	0.12291405545		0.0	0.0
61&0		0.127367019653	0.145127718566	8.85279083252	68.8527908325	0.124174019653		0.0	0.0
62&0		0.129713058472	0.144900337342	8.98382091522	69.9838209152	0.126258058472		0.0	0.0
63&0		0.142068862915	0.144876680677	9.12723088264	71.1272308826	0.138361862915		0.0	0.0
64&0		0.121638059616	0.144534297287	9.2501950264	72.2501950264	0.118593059616		0.0	0.0
65&0		0.12578701973	0.144265923133	9.37728500366	73.3772850037	0.12083701973		0.0	0.0
66&0		0.121563196182	0.143943212249	9.50025200844	74.5002520084	0.118350196182		0.0	0.0
67&0		0.12168598175	0.143630686091	9.62325596809	75.6232559681	0.11856798175		0.0	0.0
68&0		0.12565612793	0.143385617172	9.7502219677	76.7502219677	0.12239412793		0.0	0.0
69&0		0.124920129776	0.143136694811	9.87643194199	77.876431942	0.121843129776		0.0	0.0
70&0		0.12065911293	0.142834142276	9.99838995934	78.9983899593	0.11615211293		0.0	0.0
71&0		0.159693002701	0.143091322671	10.1594839096	80.1594839096	0.156542002701		0.0	0.0
72&0		0.1343729496	0.142988400327	10.2951648235	81.2951648235	0.1311829496		0.0	0.0
73&0		0.120217084885	0.142694123804	10.4166710377	82.4166710377	0.116960084885		0.0	0.0
74&0		0.120979070663	0.142417972152	10.5389299393	83.5389299393	0.117793070663		0.0	0.0
75&0		0.129257917404	0.142259864807	10.6694898605	84.6694898605	0.125946917404		0.0	0.0
76&0		0.166976928711	0.142601919802	10.8377459049	85.8377459049	0.163549928711		0.0	0.0
77&0		0.12341094017	0.142370062989	10.9624948502	86.9624948502	0.11902594017		0.0	0.0
78&0		0.129612922668	0.142224345452	11.0934989452	88.0934989452	0.126286922668		0.0	0.0
79&0		0.211899995804	0.143123886253	11.306787014	89.306787014	0.208543995804		0.0	0.0
80&0		0.141884803772	0.143124547601	11.4499638081	90.4499638081	0.138681803772		0.0	0.0
81&0		0.132755041122	0.14301259135	11.5840198994	91.5840198994	0.129479041122		0.0	0.0
82&0		0.133787155151	0.142916158932	11.7191250324	92.7191250324	0.130516155151		0.0	0.0
83&0		0.120761156082	0.142665084586	11.8412020206	93.8412020206	0.117677156082		0.0	0.0
84&0		0.127459049225	0.142499605815	11.9699668884	94.9699668884	0.124371049225		0.0	0.0
85&0		0.120381116867	0.142254647087	12.0916450024	96.0916450024	0.116851116867		0.0	0.0
86&0		0.12357711792	0.142052755799	12.2165369987	97.2165369987	0.12022911792		0.0	0.0
86&1		2.15127706528	0.165162207066	14.3691120148	100.369112015	2.15016206528		0.1	0.0114942528736
87&1		0.121481895447	0.164681884375	14.492005825	101.492005825	0.118387895447		0.1	0.0113636363636
88&1		0.137091875076	0.16438669569	14.6304159164	102.630415916	0.133909875076		0.1	0.0112359550562
89&1		0.129597902298	0.16401488781	14.7613399029	103.761339903	0.126324902298		0.1	0.0111111111111
90&1		0.127299785614	0.163625932002	14.8899598122	104.889959812	0.124100785614		0.1	0.010989010989
91&1		0.123606204987	0.163205196028	15.0148780346	106.014878035	0.120294204987		0.1	0.0108695652174
92&1		0.246083021164	0.164110419571	15.2622690201	107.26226902	0.241958021164		0.1	0.010752688172
