"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp5K_bs512B.csv -cnm --socket 1 300",,,,"Date:","17 Jul 2017 09:51:56 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.874,6.203,89.749,0.091,0.0,2.084,0.0,0.0,137412608.0,50581504.0,356974592.0,423239680.0,336.0,3.0,6.0,0.0,0.0
1.005,5.276,90.452,0.0,0.0,3.266,2470552.0,2268.0,137445376.0,50581504.0,356978688.0,423202816.0,337.0,4.0,6.0,0.0,0.0
0.781,7.031,89.583,0.260,0.0,2.344,2599598.0,786.0,137699328.0,50589696.0,356978688.0,422940672.0,336.0,3.0,6.0,0.0,0.0
0.552,0.552,98.895,0.0,0.0,0.0,2555280.0,704.0,137699328.0,50589696.0,356978688.0,422940672.0,337.0,4.0,6.0,0.0,0.0
0.267,1.872,96.791,0.0,0.0,1.070,2599413.0,1288.0,137699328.0,50589696.0,356978688.0,422940672.0,337.0,4.0,6.0,0.0,0.0
0.522,2.872,93.473,0.0,0.0,3.133,2610360.0,606.0,137699328.0,50589696.0,356978688.0,422940672.0,337.0,4.0,6.0,0.0,0.0
0.491,7.862,88.943,0.0,0.0,2.703,2617972.0,696.0,137699328.0,50589696.0,356978688.0,422940672.0,336.0,3.0,6.0,0.0,0.0
0.270,2.156,96.496,0.0,0.0,1.078,2574506.0,1631.0,137699328.0,50589696.0,356978688.0,422940672.0,337.0,4.0,6.0,0.0,0.0
0.275,1.099,96.978,0.0,0.0,1.648,2599238.0,1092.0,137732096.0,50597888.0,356978688.0,422899712.0,336.0,3.0,6.0,0.0,0.0
0.769,8.718,83.077,0.0,0.0,7.436,2616698.0,1320.0,137691136.0,50597888.0,356978688.0,422940672.0,337.0,4.0,6.0,0.0,0.0
0.792,11.609,84.169,0.0,0.0,3.430,2623320.0,606.0,137756672.0,50597888.0,356978688.0,422875136.0,337.0,4.0,6.0,0.0,0.0
1.039,13.766,82.338,0.0,0.0,2.857,2607712.0,696.0,138162176.0,50597888.0,356978688.0,422469632.0,336.0,3.0,6.0,0.0,0.0
0.829,1.105,97.790,0.0,0.0,0.276,2607892.0,1006.0,138186752.0,50597888.0,356990976.0,422432768.0,337.0,4.0,6.0,0.0,0.0
1.340,1.072,95.174,0.0,0.0,2.413,2649462.0,798.0,138403840.0,50597888.0,356990976.0,422215680.0,337.0,4.0,6.0,0.0,0.0
1.531,3.827,90.051,0.255,0.0,4.337,2666520.0,606.0,138313728.0,50606080.0,356990976.0,422297600.0,337.0,4.0,6.0,0.0,0.0
1.781,5.598,90.585,0.0,0.0,2.036,2623912.0,696.0,138305536.0,50606080.0,356990976.0,422305792.0,336.0,3.0,6.0,0.0,0.0
0.800,2.400,95.467,0.0,0.0,1.333,2475900.0,704.0,138305536.0,50606080.0,356990976.0,422305792.0,337.0,4.0,6.0,0.0,0.0
1.416,0.567,97.450,0.0,0.0,0.567,2577424.0,1811.0,138305536.0,50606080.0,356990976.0,422305792.0,336.0,3.0,6.0,0.0,0.0
0.785,2.356,93.455,0.0,0.0,3.403,2654052.0,1811.0,138305536.0,50606080.0,356990976.0,422305792.0,336.0,4.0,6.0,0.0,0.0
1.250,4.750,88.750,0.0,0.0,5.250,2674672.0,704.0,138424320.0,50614272.0,356986880.0,422182912.0,337.0,4.0,6.0,0.0,0.0
0.756,5.793,89.673,0.0,0.0,3.778,2654104.0,2153.0,138301440.0,50614272.0,356986880.0,422305792.0,336.0,3.0,6.0,0.0,0.0
0.845,1.127,97.746,0.0,0.0,0.282,2684344.0,1811.0,138297344.0,50614272.0,356990976.0,422305792.0,336.0,3.0,6.0,0.0,0.0
1.657,6.354,89.779,0.0,0.0,2.210,2596042.0,1361.0,138297344.0,50614272.0,356990976.0,422305792.0,337.0,4.0,6.0,0.0,0.0
0.773,10.309,84.021,0.0,0.0,4.897,2643601.0,1248.0,138395648.0,50614272.0,356990976.0,422207488.0,336.0,3.0,6.0,0.0,0.0
0.529,9.524,87.037,0.265,0.0,2.646,2594414.0,1643.0,138326016.0,50618368.0,356990976.0,422273024.0,337.0,4.0,6.0,0.0,0.0
0.796,5.836,90.981,0.0,0.0,2.387,2631836.0,978.0,138461184.0,50618368.0,356990976.0,422137856.0,336.0,3.0,6.0,0.0,0.0
1.928,0.551,96.694,0.0,0.0,0.826,2616922.0,2243.0,138420224.0,50618368.0,356990976.0,422178816.0,336.0,3.0,6.0,0.0,0.0
1.326,1.857,93.634,0.0,0.0,3.183,2640764.0,1721.0,138420224.0,50618368.0,356990976.0,422178816.0,337.0,4.0,6.0,0.0,0.0
0.771,4.370,92.031,0.0,0.0,2.828,2615678.0,888.0,138420224.0,50618368.0,356990976.0,422178816.0,336.0,3.0,6.0,0.0,0.0
0.769,8.462,87.949,0.256,0.0,2.564,2651476.0,818.0,138420224.0,50626560.0,356982784.0,422178816.0,337.0,4.0,6.0,0.0,0.0
1.902,1.630,95.652,0.0,0.0,0.815,2639458.0,1815.0,138420224.0,50626560.0,356982784.0,422178816.0,336.0,4.0,6.0,0.0,0.0
1.102,0.275,97.796,0.0,0.0,0.826,2638984.0,2129.0,138440704.0,50626560.0,356995072.0,422146048.0,336.0,4.0,6.0,0.0,0.0
0.761,3.299,90.863,0.0,0.0,5.076,2664068.0,1096.0,138440704.0,50626560.0,356995072.0,422146048.0,337.0,5.0,6.0,0.0,0.0
0.506,11.392,85.570,0.0,0.0,2.532,2651748.0,1729.0,138407936.0,50626560.0,356995072.0,422178816.0,336.0,3.0,6.0,0.0,0.0
1.316,4.474,93.158,0.0,0.0,1.053,2349094.0,1386.0,138063872.0,50634752.0,356986880.0,422522880.0,337.0,4.0,6.0,0.0,0.0
2.778,6.389,90.278,0.0,0.0,0.556,2558020.0,606.0,138018816.0,50634752.0,356995072.0,422559744.0,337.0,4.0,6.0,0.0,0.0
2.139,10.695,82.353,0.0,0.0,4.813,2578708.0,696.0,138018816.0,50634752.0,356995072.0,422559744.0,336.0,3.0,6.0,0.0,0.0
0.787,8.399,86.877,0.0,0.0,3.937,2536570.0,1006.0,138158080.0,50634752.0,356995072.0,422420480.0,338.0,4.0,6.0,0.0,0.0
1.247,6.484,89.776,0.0,0.0,2.494,2589606.0,920.0,138170368.0,50634752.0,356995072.0,422408192.0,338.0,4.0,6.0,0.0,0.0
2.192,1.918,95.068,0.0,0.0,0.822,2573640.0,606.0,138145792.0,50634752.0,356995072.0,422432768.0,338.0,4.0,6.0,0.0,0.0
2.439,2.168,94.038,0.0,0.0,1.355,2617972.0,696.0,138158080.0,50642944.0,356999168.0,422408192.0,336.0,3.0,6.0,0.0,0.0
