"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp1w_bs128B.csv -cnm --socket 1 300",,,,"Date:","21 Jul 2017 12:05:28 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
2.478,4.952,90.858,0.140,0.0,1.570,0.0,0.0,149934080.0,61186048.0,379944960.0,377143296.0,349.0,3.0,6.0,0.0,0.0
2.521,13.445,79.272,0.0,0.0,4.762,1208132.0,416275.0,151171072.0,61186048.0,379953152.0,375898112.0,349.0,3.0,6.0,0.0,0.0
1.644,12.877,80.274,0.0,0.0,5.205,1318795.0,400130.0,151179264.0,61186048.0,379953152.0,375889920.0,350.0,4.0,6.0,0.0,0.0
0.549,16.209,81.593,0.0,0.0,1.648,1366254.0,352085.0,151175168.0,61186048.0,379957248.0,375889920.0,350.0,4.0,6.0,0.0,0.0
1.630,14.674,79.620,0.0,0.0,4.076,1372250.0,371016.0,151306240.0,61186048.0,379957248.0,375758848.0,350.0,4.0,6.0,0.0,0.0
1.084,12.466,80.217,0.0,0.0,6.233,1357568.0,384986.0,151175168.0,61186048.0,379957248.0,375889920.0,349.0,3.0,6.0,0.0,0.0
0.557,11.142,83.287,0.279,0.0,4.735,1301274.0,388206.0,151183360.0,61186048.0,379957248.0,375881728.0,350.0,4.0,6.0,0.0,0.0
0.552,11.326,80.387,0.0,0.0,7.735,1420340.0,310012.0,151318528.0,61186048.0,379957248.0,375746560.0,350.0,4.0,6.0,0.0,0.0
0.843,11.236,82.303,0.0,0.0,5.618,1365240.0,326398.0,151310336.0,61186048.0,379957248.0,375754752.0,349.0,4.0,6.0,0.0,0.0
0.556,14.722,82.500,0.0,0.0,2.222,1343908.0,339778.0,151310336.0,61186048.0,379957248.0,375754752.0,350.0,4.0,6.0,0.0,0.0
0.559,11.732,83.240,0.0,0.0,4.469,1216462.0,382511.0,151273472.0,61198336.0,379981824.0,375754752.0,349.0,3.0,6.0,0.0,0.0
0.560,14.846,78.711,0.0,0.0,5.882,1387168.0,339387.0,151261184.0,61198336.0,379994112.0,375754752.0,350.0,4.0,6.0,0.0,0.0
0.855,21.652,74.074,0.0,0.0,3.419,1345084.0,405384.0,151269376.0,61198336.0,379994112.0,375746560.0,349.0,3.0,6.0,0.0,0.0
0.847,20.056,73.446,0.0,0.0,5.650,1387288.0,379756.0,151261184.0,61198336.0,379994112.0,375754752.0,350.0,4.0,6.0,0.0,0.0
0.581,12.791,84.302,0.0,0.0,2.326,1306160.0,379562.0,151261184.0,61198336.0,379994112.0,375754752.0,350.0,4.0,6.0,0.0,0.0
0.857,10.286,84.286,0.0,0.0,4.571,1359971.0,371316.0,151261184.0,61198336.0,379994112.0,375754752.0,350.0,4.0,6.0,0.0,0.0
0.568,11.932,84.375,0.0,0.0,3.125,1343777.0,406934.0,151261184.0,61198336.0,379994112.0,375754752.0,350.0,4.0,6.0,0.0,0.0
1.130,9.887,84.463,0.0,0.0,4.520,1354770.0,357839.0,151261184.0,61198336.0,379994112.0,375754752.0,349.0,3.0,6.0,0.0,0.0
1.127,11.549,83.099,0.0,0.0,4.225,1344732.0,363568.0,151269376.0,61198336.0,379994112.0,375746560.0,350.0,4.0,6.0,0.0,0.0
1.127,10.704,83.662,0.0,0.0,4.507,1338446.0,361614.0,151769088.0,61198336.0,379994112.0,375246848.0,350.0,4.0,6.0,0.0,0.0
1.416,11.331,83.003,0.0,0.0,4.249,1354760.0,342410.0,151769088.0,61198336.0,379994112.0,375246848.0,350.0,4.0,6.0,0.0,0.0
1.955,12.011,81.006,0.0,0.0,5.028,1406120.0,346962.0,151769088.0,61198336.0,379994112.0,375246848.0,349.0,4.0,6.0,0.0,0.0
0.840,12.885,82.913,0.0,0.0,3.361,1340376.0,366658.0,151769088.0,61198336.0,379994112.0,375246848.0,350.0,4.0,6.0,0.0,0.0
0.840,13.725,83.193,0.0,0.0,2.241,1357468.0,376105.0,151764992.0,61198336.0,379998208.0,375246848.0,349.0,3.0,6.0,0.0,0.0
1.156,16.185,78.324,0.0,0.0,4.335,1394654.0,350039.0,151924736.0,61198336.0,379998208.0,375087104.0,350.0,4.0,6.0,0.0,0.0
1.401,17.647,73.109,0.0,0.0,7.843,1266268.0,435158.0,151797760.0,61198336.0,379998208.0,375214080.0,349.0,3.0,6.0,0.0,0.0
1.425,21.083,72.365,0.0,0.0,5.128,1433648.0,318470.0,151887872.0,61202432.0,379998208.0,375119872.0,350.0,4.0,6.0,0.0,0.0
1.374,12.088,81.044,0.0,0.0,5.495,1271582.0,429920.0,151887872.0,61202432.0,379998208.0,375119872.0,350.0,4.0,6.0,0.0,0.0
1.695,12.147,84.181,0.0,0.0,1.977,1209712.0,324846.0,151887872.0,61202432.0,379998208.0,375119872.0,349.0,3.0,6.0,0.0,0.0
1.096,11.781,81.644,0.0,0.0,5.479,1311256.0,368698.0,151887872.0,61202432.0,379998208.0,375119872.0,350.0,4.0,6.0,0.0,0.0
1.114,12.535,81.616,0.0,0.0,4.735,1454272.0,290624.0,151764992.0,61202432.0,380002304.0,375238656.0,350.0,4.0,6.0,0.0,0.0
0.559,12.011,84.078,0.279,0.0,3.073,1189332.0,497445.0,151736320.0,61210624.0,380006400.0,375255040.0,349.0,3.0,6.0,0.0,0.0
0.840,11.765,82.913,0.0,0.0,4.482,1322308.0,432661.0,151736320.0,61210624.0,380006400.0,375255040.0,349.0,4.0,6.0,0.0,0.0
1.096,12.055,80.548,0.0,0.0,6.301,1397304.0,357730.0,151736320.0,61210624.0,380006400.0,375255040.0,350.0,4.0,6.0,0.0,0.0
1.090,13.624,82.289,0.0,0.0,2.997,1169800.0,449420.0,151736320.0,61210624.0,380006400.0,375255040.0,350.0,4.0,6.0,0.0,0.0
1.067,14.667,79.733,0.0,0.0,4.533,1295617.0,419963.0,151769088.0,61210624.0,380006400.0,375222272.0,350.0,4.0,6.0,0.0,0.0
1.355,14.092,79.133,0.271,0.0,5.149,1359226.0,382650.0,152002560.0,61214720.0,379863040.0,375128064.0,350.0,4.0,6.0,0.0,0.0
1.149,17.816,75.862,0.0,0.0,5.172,1391236.0,375674.0,151932928.0,61214720.0,379863040.0,375197696.0,350.0,3.0,6.0,0.0,0.0
0.877,20.468,75.439,0.0,0.0,3.216,1337850.0,384979.0,151973888.0,61214720.0,379863040.0,375156736.0,351.0,4.0,6.0,0.0,0.0
0.855,17.379,75.783,0.0,0.0,5.983,1348904.0,372256.0,151949312.0,61214720.0,379863040.0,375181312.0,350.0,3.0,6.0,0.0,0.0
0.829,12.431,81.215,0.0,0.0,5.525,1415864.0,313020.0,151822336.0,61214720.0,379863040.0,375308288.0,350.0,4.0,6.0,0.0,0.0
0.0,4.910,93.798,0.0,0.0,1.292,254744.0,62196.0,152424448.0,61222912.0,379863040.0,374697984.0,350.0,4.0,6.0,0.0,0.0
2.880,9.686,80.628,0.0,0.0,6.806,1050554.0,195297.0,152432640.0,61222912.0,379863040.0,374689792.0,350.0,4.0,6.0,0.0,0.0
1.072,11.796,79.893,0.0,0.0,7.239,1385082.0,315042.0,152408064.0,61222912.0,379863040.0,374714368.0,349.0,4.0,6.0,0.0,0.0
0.804,14.745,79.088,0.0,0.0,5.362,1393680.0,339257.0,152408064.0,61222912.0,379863040.0,374714368.0,349.0,4.0,6.0,0.0,0.0
1.111,13.056,82.222,0.0,0.0,3.611,1368918.0,329973.0,152985600.0,61222912.0,379863040.0,374136832.0,350.0,4.0,6.0,0.0,0.0
0.546,14.481,80.601,0.273,0.0,4.098,1373942.0,348890.0,153030656.0,61227008.0,379863040.0,374087680.0,349.0,4.0,6.0,0.0,0.0
