"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp2.5K_bs128B.csv -cnm --socket 1 300",,,,"Date:","21 Jul 2017 08:18:01 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
3.045,3.304,92.718,0.191,0.0,0.742,0.0,0.0,141496320.0,48963584.0,379179008.0,398569472.0,341.0,4.0,6.0,0.0,0.0
1.337,13.904,81.818,0.0,0.0,2.941,950032.0,498131.0,141496320.0,48963584.0,379187200.0,398561280.0,340.0,3.0,6.0,0.0,0.0
1.075,9.677,86.828,0.0,0.0,2.419,758272.0,558955.0,141406208.0,48963584.0,379187200.0,398651392.0,339.0,3.0,6.0,0.0,0.0
0.277,9.141,88.366,0.0,0.0,2.216,841412.0,576221.0,141438976.0,48963584.0,379187200.0,398618624.0,339.0,3.0,6.0,0.0,0.0
0.815,10.870,85.054,0.0,0.0,3.261,855695.0,643927.0,141402112.0,48967680.0,379187200.0,398651392.0,339.0,3.0,6.0,0.0,0.0
1.799,10.026,83.805,0.0,0.0,4.370,744232.0,536706.0,141492224.0,48967680.0,379187200.0,398561280.0,340.0,4.0,6.0,0.0,0.0
1.036,7.254,89.378,0.0,0.0,2.332,427772.0,407339.0,141524992.0,48967680.0,379187200.0,398528512.0,339.0,3.0,6.0,0.0,0.0
0.538,10.484,85.753,0.0,0.0,3.226,904138.0,462639.0,141451264.0,48967680.0,379187200.0,398602240.0,339.0,3.0,6.0,0.0,0.0
1.292,2.842,94.574,0.0,0.0,1.292,188138.0,172567.0,141426688.0,48967680.0,379187200.0,398626816.0,340.0,4.0,6.0,0.0,0.0
2.625,7.087,85.564,0.0,0.0,4.724,640270.0,447565.0,141385728.0,48967680.0,379187200.0,398667776.0,339.0,3.0,6.0,0.0,0.0
0.526,10.789,84.211,0.0,0.0,4.474,943516.0,536257.0,141422592.0,48971776.0,379187200.0,398626816.0,339.0,3.0,6.0,0.0,0.0
0.532,16.755,76.330,0.0,0.0,6.383,926288.0,497457.0,141414400.0,48971776.0,379187200.0,398635008.0,339.0,3.0,6.0,0.0,0.0
0.546,17.760,75.137,0.0,0.0,6.557,1135748.0,477536.0,141430784.0,48971776.0,379187200.0,398618624.0,340.0,4.0,6.0,0.0,0.0
0.781,14.844,80.729,0.0,0.0,3.646,768500.0,529365.0,141430784.0,48971776.0,379187200.0,398618624.0,339.0,3.0,6.0,0.0,0.0
0.521,11.979,84.375,0.0,0.0,3.125,876612.0,377974.0,141488128.0,48971776.0,379187200.0,398561280.0,340.0,4.0,6.0,0.0,0.0
1.018,7.125,84.733,0.254,0.0,6.870,746104.0,540602.0,141561856.0,48975872.0,379187200.0,398483456.0,339.0,3.0,6.0,0.0,0.0
0.779,11.429,80.779,0.0,0.0,7.013,1118440.0,512703.0,141574144.0,48975872.0,379191296.0,398467072.0,339.0,3.0,6.0,0.0,0.0
0.524,12.042,81.937,0.0,0.0,5.497,1073560.0,544457.0,141701120.0,48975872.0,379191296.0,398340096.0,339.0,3.0,6.0,0.0,0.0
