"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp5K_bs256B.csv -cnm --socket 1 300",,,,"Date:","21 Jul 2017 07:51:51 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
3.178,2.792,93.325,0.199,0.0,0.507,0.0,0.0,140468224.0,47558656.0,378597376.0,401584128.0,339.0,3.0,6.0,0.0,0.0
0.269,10.484,84.946,0.0,0.0,4.301,279562.0,201903.0,140541952.0,47558656.0,378601472.0,401506304.0,339.0,3.0,6.0,0.0,0.0
1.102,9.091,86.226,0.0,0.0,3.581,293120.0,191815.0,140746752.0,47558656.0,378601472.0,401301504.0,339.0,3.0,6.0,0.0,0.0
0.543,10.598,85.598,0.0,0.0,3.261,258424.0,256005.0,140722176.0,47558656.0,378601472.0,401326080.0,339.0,3.0,6.0,0.0,0.0
0.261,11.749,84.334,0.261,0.0,3.394,262062.0,262585.0,140754944.0,47558656.0,378601472.0,401293312.0,339.0,3.0,6.0,0.0,0.0
0.515,12.629,81.701,0.0,0.0,5.155,238010.0,236810.0,140763136.0,47558656.0,378601472.0,401285120.0,340.0,4.0,6.0,0.0,0.0
0.0,17.333,78.400,0.0,0.0,4.267,265956.0,242145.0,140730368.0,47566848.0,378601472.0,401309696.0,339.0,3.0,6.0,0.0,0.0
0.789,18.158,73.947,0.0,0.0,7.105,333189.0,232241.0,140713984.0,47566848.0,378601472.0,401326080.0,339.0,3.0,6.0,0.0,0.0
0.769,11.282,80.769,0.0,0.0,7.179,324522.0,220079.0,140746752.0,47566848.0,378601472.0,401293312.0,339.0,3.0,6.0,0.0,0.0
0.756,9.824,83.627,0.0,0.0,5.793,248728.0,239710.0,140771328.0,47566848.0,378601472.0,401268736.0,340.0,4.0,6.0,0.0,0.0
0.271,8.943,86.179,0.0,0.0,4.607,290880.0,224603.0,140763136.0,47566848.0,378601472.0,401276928.0,339.0,3.0,6.0,0.0,0.0
0.826,8.264,86.777,0.0,0.0,4.132,275550.0,251423.0,140726272.0,47570944.0,378601472.0,401309696.0,339.0,3.0,6.0,0.0,0.0
0.270,11.860,84.906,0.0,0.0,2.965,286660.0,236591.0,140742656.0,47570944.0,378601472.0,401293312.0,339.0,3.0,6.0,0.0,0.0
0.548,9.041,86.849,0.0,0.0,3.562,277248.0,235845.0,140726272.0,47570944.0,378601472.0,401309696.0,339.0,4.0,6.0,0.0,0.0
0.545,12.262,83.924,0.0,0.0,3.270,295072.0,222838.0,140726272.0,47570944.0,378601472.0,401309696.0,340.0,4.0,6.0,0.0,0.0
0.0,7.923,86.612,0.0,0.0,5.464,278512.0,229097.0,140734464.0,47570944.0,378601472.0,401301504.0,339.0,3.0,6.0,0.0,0.0
1.323,8.730,85.450,0.265,0.0,4.233,238150.0,207045.0,140587008.0,47575040.0,378601472.0,401444864.0,339.0,3.0,6.0,0.0,0.0
1.305,9.138,87.206,0.0,0.0,2.350,210260.0,186325.0,140652544.0,47575040.0,378601472.0,401379328.0,339.0,3.0,6.0,0.0,0.0
1.823,9.635,84.896,0.0,0.0,3.646,83984.0,41956.0,140730368.0,47575040.0,378601472.0,401301504.0,341.0,4.0,6.0,0.0,0.0
1.067,12.533,75.200,0.0,0.0,11.200,302780.0,234233.0,140697600.0,47575040.0,378601472.0,401334272.0,340.0,3.0,6.0,0.0,0.0
1.292,12.145,73.385,0.0,0.0,13.178,293242.0,238061.0,140713984.0,47575040.0,378601472.0,401317888.0,340.0,3.0,6.0,0.0,0.0
0.767,7.161,84.399,0.0,0.0,7.673,223546.0,257777.0,140664832.0,47583232.0,378593280.0,401367040.0,339.0,3.0,6.0,0.0,0.0
2.426,8.356,85.445,0.0,0.0,3.774,196710.0,229609.0,140754944.0,47583232.0,378613760.0,401256448.0,339.0,4.0,6.0,0.0,0.0
0.836,11.421,82.451,0.0,0.0,5.292,345880.0,170300.0,140746752.0,47583232.0,378613760.0,401264640.0,340.0,4.0,6.0,0.0,0.0
0.545,11.444,86.104,0.0,0.0,1.907,279405.0,234563.0,140730368.0,47583232.0,378613760.0,401281024.0,339.0,3.0,6.0,0.0,0.0
1.305,10.444,82.768,0.0,0.0,5.483,243936.0,267555.0,140603392.0,47583232.0,378613760.0,401408000.0,339.0,3.0,6.0,0.0,0.0
1.653,8.540,85.399,0.0,0.0,4.408,280666.0,239555.0,140718080.0,47587328.0,378609664.0,401293312.0,339.0,4.0,6.0,0.0,0.0
2.660,9.840,82.713,0.0,0.0,4.787,252502.0,230890.0,140656640.0,47587328.0,378613760.0,401350656.0,340.0,4.0,6.0,0.0,0.0
1.099,9.615,86.538,0.0,0.0,2.747,290246.0,181815.0,140681216.0,47587328.0,378613760.0,401326080.0,339.0,3.0,6.0,0.0,0.0
2.162,8.919,84.865,0.0,0.0,4.054,289535.0,211421.0,140681216.0,47587328.0,378613760.0,401326080.0,339.0,3.0,6.0,0.0,0.0
1.333,9.600,85.067,0.0,0.0,4.0,246002.0,245455.0,140931072.0,47587328.0,378613760.0,401076224.0,339.0,3.0,6.0,0.0,0.0
2.439,15.989,78.591,0.0,0.0,2.981,226305.0,250053.0,140869632.0,47587328.0,378617856.0,401133568.0,339.0,3.0,6.0,0.0,0.0
1.690,13.521,80.563,0.282,0.0,3.944,215798.0,272245.0,140808192.0,47591424.0,378617856.0,401190912.0,339.0,3.0,6.0,0.0,0.0
2.446,16.576,77.989,0.0,0.0,2.989,223480.0,236628.0,140849152.0,47591424.0,378617856.0,401149952.0,340.0,4.0,6.0,0.0,0.0
0.806,9.409,86.828,0.0,0.0,2.957,226128.0,268087.0,140840960.0,47591424.0,378617856.0,401158144.0,339.0,3.0,6.0,0.0,0.0
2.174,9.783,85.326,0.0,0.0,2.717,246736.0,251525.0,140840960.0,47591424.0,378617856.0,401158144.0,339.0,3.0,6.0,0.0,0.0
1.644,6.301,89.041,0.0,0.0,3.014,225338.0,239975.0,140816384.0,47591424.0,378617856.0,401182720.0,339.0,3.0,6.0,0.0,0.0
1.061,10.875,83.820,0.265,0.0,3.979,247678.0,237201.0,140840960.0,47599616.0,378617856.0,401149952.0,339.0,4.0,6.0,0.0,0.0
1.047,13.874,81.675,0.0,0.0,3.403,270922.0,245168.0,141197312.0,47599616.0,378617856.0,400793600.0,340.0,4.0,6.0,0.0,0.0
