"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp2w_bs512B.csv -cnm --socket 1 300",,,,"Date:","21 Jul 2017 13:12:16 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
2.363,5.429,90.319,0.131,0.0,1.757,0.0,0.0,152457216.0,64548864.0,380506112.0,370696192.0,350.0,4.0,6.0,0.0,0.0
1.124,8.708,87.360,0.0,0.0,2.809,2215148.0,1665528.0,152494080.0,64548864.0,380514304.0,370651136.0,350.0,4.0,6.0,0.0,0.0
1.635,5.450,90.736,0.0,0.0,2.180,2351838.0,1845656.0,152485888.0,64548864.0,380514304.0,370659328.0,350.0,4.0,6.0,0.0,0.0
1.099,1.923,94.231,0.0,0.0,2.747,2351700.0,1842766.0,152551424.0,64548864.0,380514304.0,370593792.0,349.0,4.0,6.0,0.0,0.0
0.536,4.826,92.493,0.0,0.0,2.145,2447956.0,1883300.0,152535040.0,64548864.0,380514304.0,370610176.0,350.0,4.0,6.0,0.0,0.0
0.526,4.737,91.316,0.0,0.0,3.421,2430634.0,1820893.0,152551424.0,64548864.0,380514304.0,370593792.0,350.0,4.0,6.0,0.0,0.0
1.053,4.211,88.947,0.0,0.0,5.789,2445960.0,1933614.0,152547328.0,64552960.0,380514304.0,370593792.0,350.0,4.0,6.0,0.0,0.0
1.558,5.455,89.091,0.260,0.0,3.636,1909492.0,1437588.0,152637440.0,64552960.0,380551168.0,370466816.0,349.0,3.0,6.0,0.0,0.0
0.804,2.949,91.957,0.0,0.0,4.290,2514263.0,1876942.0,152588288.0,64552960.0,380551168.0,370515968.0,350.0,4.0,6.0,0.0,0.0
0.518,4.404,90.155,0.0,0.0,4.922,2396236.0,1811364.0,152842240.0,64552960.0,380551168.0,370262016.0,350.0,4.0,6.0,0.0,0.0
