"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp5K_bs64B.csv -cnm --socket 1 300",,,,"Date:","21 Jul 2017 10:42:04 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
2.642,4.260,91.672,0.149,0.0,1.278,0.0,0.0,148418560.0,57135104.0,379064320.0,383590400.0,347.0,4.0,6.0,0.0,0.0
1.108,11.911,81.717,0.0,0.0,5.263,827344.0,279885.0,149192704.0,57135104.0,379068416.0,382812160.0,347.0,4.0,6.0,0.0,0.0
0.281,12.079,83.708,0.0,0.0,3.933,867792.0,248566.0,149291008.0,57135104.0,379068416.0,382713856.0,347.0,4.0,6.0,0.0,0.0
0.272,13.859,82.337,0.0,0.0,3.533,643004.0,305200.0,149151744.0,57135104.0,379068416.0,382853120.0,346.0,3.0,6.0,0.0,0.0
0.567,20.963,73.371,0.0,0.0,5.099,761690.0,257771.0,149073920.0,57135104.0,379068416.0,382930944.0,347.0,4.0,6.0,0.0,0.0
0.0,10.0,88.421,0.0,0.0,1.579,130756.0,75076.0,149016576.0,57135104.0,379068416.0,382988288.0,347.0,4.0,6.0,0.0,0.0
1.039,8.571,78.961,0.260,0.0,11.169,621924.0,211730.0,148987904.0,57139200.0,379068416.0,383012864.0,346.0,3.0,6.0,0.0,0.0
0.500,12.0,78.0,0.0,0.0,9.500,724684.0,331209.0,149647360.0,57139200.0,379068416.0,382353408.0,347.0,4.0,6.0,0.0,0.0
0.538,13.978,80.376,0.0,0.0,5.108,751664.0,292305.0,149647360.0,57139200.0,379068416.0,382353408.0,346.0,3.0,6.0,0.0,0.0
1.081,12.162,82.703,0.0,0.0,4.054,686420.0,338780.0,149590016.0,57139200.0,379068416.0,382410752.0,346.0,3.0,6.0,0.0,0.0
0.554,10.803,83.934,0.0,0.0,4.709,709468.0,301609.0,149590016.0,57139200.0,379068416.0,382410752.0,347.0,4.0,6.0,0.0,0.0
0.506,9.620,78.481,0.0,0.0,11.392,750494.0,298282.0,149606400.0,57139200.0,379068416.0,382394368.0,347.0,4.0,6.0,0.0,0.0
0.809,14.555,78.706,0.0,0.0,5.930,839508.0,248560.0,149692416.0,57139200.0,379080704.0,382296064.0,347.0,4.0,6.0,0.0,0.0
1.897,14.363,80.217,0.0,0.0,3.523,757452.0,280240.0,149528576.0,57139200.0,379080704.0,382459904.0,346.0,3.0,6.0,0.0,0.0
0.824,12.637,82.418,0.0,0.0,4.121,762848.0,302284.0,149577728.0,57139200.0,379080704.0,382410752.0,346.0,3.0,6.0,0.0,0.0
0.280,12.045,82.073,0.0,0.0,5.602,768012.0,251729.0,149577728.0,57139200.0,379080704.0,382410752.0,347.0,4.0,6.0,0.0,0.0
0.552,15.746,78.177,0.0,0.0,5.525,813880.0,260635.0,149573632.0,57143296.0,379080704.0,382410752.0,346.0,3.0,6.0,0.0,0.0
1.146,20.057,73.352,0.0,0.0,5.444,877676.0,248598.0,149639168.0,57143296.0,379080704.0,382345216.0,347.0,4.0,6.0,0.0,0.0
0.875,18.076,74.927,0.0,0.0,6.122,807098.0,251000.0,149573632.0,57143296.0,379080704.0,382410752.0,346.0,3.0,6.0,0.0,0.0
0.845,12.958,81.972,0.0,0.0,4.225,800936.0,294678.0,149573632.0,57143296.0,379080704.0,382410752.0,347.0,4.0,6.0,0.0,0.0
0.845,10.141,84.225,0.0,0.0,4.789,774508.0,292274.0,149606400.0,57143296.0,379080704.0,382377984.0,346.0,3.0,6.0,0.0,0.0
0.840,10.644,82.633,0.560,0.0,5.322,763786.0,231764.0,149565440.0,57151488.0,379080704.0,382410752.0,347.0,4.0,6.0,0.0,0.0
0.275,14.601,82.094,0.0,0.0,3.030,820034.0,279950.0,149622784.0,57151488.0,379080704.0,382353408.0,346.0,3.0,6.0,0.0,0.0
0.836,13.649,81.337,0.279,0.0,3.900,841372.0,235854.0,149606400.0,57151488.0,379080704.0,382369792.0,346.0,4.0,6.0,0.0,0.0
0.831,14.127,81.163,0.0,0.0,3.878,862048.0,231019.0,149614592.0,57151488.0,379080704.0,382361600.0,347.0,4.0,6.0,0.0,0.0
0.838,11.732,82.123,0.0,0.0,5.307,843810.0,239705.0,149614592.0,57151488.0,379080704.0,382361600.0,346.0,3.0,6.0,0.0,0.0
0.817,11.989,81.744,0.0,0.0,5.450,763332.0,278754.0,149606400.0,57159680.0,379080704.0,382361600.0,346.0,3.0,6.0,0.0,0.0
0.568,10.795,84.943,0.0,0.0,3.693,696316.0,291104.0,149606400.0,57159680.0,379080704.0,382361600.0,347.0,4.0,6.0,0.0,0.0
1.389,15.0,81.111,0.0,0.0,2.500,800284.0,238479.0,149590016.0,57159680.0,379080704.0,382377984.0,347.0,4.0,6.0,0.0,0.0
0.567,16.714,78.187,0.0,0.0,4.533,828544.0,235885.0,149590016.0,57159680.0,379080704.0,382377984.0,346.0,3.0,6.0,0.0,0.0
1.127,22.817,72.113,0.0,0.0,3.944,846204.0,258662.0,149573632.0,57159680.0,379080704.0,382394368.0,347.0,4.0,6.0,0.0,0.0
1.124,21.910,74.157,0.0,0.0,2.809,787304.0,289299.0,149585920.0,57167872.0,379084800.0,382369792.0,348.0,4.0,6.0,0.0,0.0
1.090,14.169,80.654,0.0,0.0,4.087,781742.0,265937.0,149585920.0,57167872.0,379084800.0,382369792.0,347.0,3.0,6.0,0.0,0.0
1.587,13.757,78.836,0.0,0.0,5.820,778968.0,272864.0,149585920.0,57167872.0,379084800.0,382369792.0,346.0,3.0,6.0,0.0,0.0
1.326,16.711,77.984,0.0,0.0,3.979,847136.0,257189.0,149577728.0,57167872.0,379084800.0,382377984.0,347.0,4.0,6.0,0.0,0.0
1.090,12.534,82.834,0.0,0.0,3.542,761180.0,339675.0,149434368.0,57167872.0,379084800.0,382521344.0,346.0,3.0,6.0,0.0,0.0
0.829,13.812,80.939,0.0,0.0,4.420,835732.0,230654.0,149438464.0,57171968.0,379084800.0,382513152.0,346.0,3.0,6.0,0.0,0.0
1.604,12.834,80.481,0.0,0.0,5.080,777534.0,296764.0,149430272.0,57171968.0,379084800.0,382521344.0,347.0,4.0,6.0,0.0,0.0
1.117,9.497,83.520,0.0,0.0,5.866,781308.0,290062.0,149430272.0,57171968.0,379084800.0,382521344.0,346.0,3.0,6.0,0.0,0.0
1.108,13.019,81.994,0.0,0.0,3.878,852544.0,267574.0,149479424.0,57171968.0,379084800.0,382472192.0,346.0,3.0,6.0,0.0,0.0
0.850,13.598,83.003,0.0,0.0,2.550,878942.0,222404.0,149471232.0,57171968.0,379084800.0,382480384.0,347.0,4.0,6.0,0.0,0.0
0.829,12.983,82.320,0.0,0.0,3.867,810150.0,261580.0,149454848.0,57171968.0,379084800.0,382496768.0,346.0,3.0,6.0,0.0,0.0
1.671,17.549,76.045,0.0,0.0,4.735,728316.0,254248.0,149454848.0,57171968.0,379084800.0,382496768.0,347.0,4.0,6.0,0.0,0.0
1.156,17.630,75.723,0.0,0.0,5.491,799288.0,274944.0,149569536.0,57171968.0,379084800.0,382382080.0,346.0,3.0,6.0,0.0,0.0
1.099,17.857,74.176,0.0,0.0,6.868,806422.0,244894.0,149397504.0,57171968.0,379084800.0,382554112.0,347.0,4.0,6.0,0.0,0.0
1.124,12.079,83.146,0.0,0.0,3.652,863638.0,254730.0,149430272.0,57171968.0,379084800.0,382521344.0,346.0,3.0,6.0,0.0,0.0
1.872,14.706,78.877,0.267,0.0,4.278,858484.0,258638.0,149422080.0,57180160.0,379084800.0,382521344.0,346.0,3.0,6.0,0.0,0.0
1.401,12.325,82.073,0.0,0.0,4.202,868146.0,244114.0,149417984.0,57180160.0,379088896.0,382521344.0,347.0,4.0,6.0,0.0,0.0
1.096,13.425,80.548,0.0,0.0,4.932,848174.0,260546.0,149426176.0,57180160.0,379088896.0,382513152.0,346.0,4.0,6.0,0.0,0.0
0.831,13.573,81.163,0.0,0.0,4.432,857010.0,243764.0,149712896.0,57180160.0,379088896.0,382226432.0,347.0,4.0,6.0,0.0,0.0
1.366,13.115,81.967,0.0,0.0,3.552,796078.0,290758.0,149704704.0,57180160.0,379088896.0,382234624.0,346.0,3.0,6.0,0.0,0.0
0.815,14.402,80.707,0.0,0.0,4.076,807300.0,285548.0,149655552.0,57188352.0,379088896.0,382275584.0,346.0,4.0,6.0,0.0,0.0
1.657,12.707,81.215,0.0,0.0,4.420,743146.0,248624.0,149782528.0,57188352.0,379088896.0,382148608.0,347.0,4.0,6.0,0.0,0.0
0.829,12.983,83.149,0.0,0.0,3.039,775404.0,304862.0,149782528.0,57188352.0,379088896.0,382148608.0,346.0,3.0,6.0,0.0,0.0
1.108,10.803,82.271,0.0,0.0,5.817,797076.0,276544.0,149815296.0,57188352.0,379088896.0,382115840.0,346.0,3.0,6.0,0.0,0.0
1.316,18.158,72.632,0.0,0.0,7.895,707572.0,282719.0,149999616.0,57188352.0,379088896.0,381931520.0,347.0,4.0,6.0,0.0,0.0
0.829,17.680,72.376,0.0,0.0,9.116,864280.0,226265.0,149987328.0,57192448.0,379088896.0,381939712.0,346.0,3.0,6.0,0.0,0.0
1.087,17.391,75.815,0.0,0.0,5.707,783174.0,285136.0,150044672.0,57192448.0,379088896.0,381882368.0,347.0,4.0,6.0,0.0,0.0
0.562,10.393,83.708,0.0,0.0,5.337,788994.0,289040.0,150155264.0,57192448.0,379088896.0,381771776.0,346.0,3.0,6.0,0.0,0.0
1.105,11.050,83.149,0.0,0.0,4.696,748622.0,303686.0,150204416.0,57192448.0,379088896.0,381722624.0,346.0,3.0,6.0,0.0,0.0
1.070,9.626,86.631,0.0,0.0,2.674,513152.0,180408.0,150171648.0,57192448.0,379088896.0,381755392.0,347.0,4.0,6.0,0.0,0.0
1.124,11.517,81.461,0.0,0.0,5.899,894838.0,210664.0,150171648.0,57192448.0,379088896.0,381755392.0,347.0,4.0,6.0,0.0,0.0
1.084,13.008,81.030,0.0,0.0,4.878,832714.0,281322.0,150163456.0,57200640.0,379088896.0,381755392.0,346.0,3.0,6.0,0.0,0.0
