"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp2.5K_bs4B.csv -cnm --socket 1 100",,,,"Date:","19 Jul 2017 08:26:54 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
0.799,2.973,95.607,0.043,0.0,0.578,0.0,0.0,129331200.0,39768064.0,193855488.0,605253632.0,339.0,4.0,6.0,0.0,0.0
1.546,3.351,93.557,0.0,0.0,1.546,57830.0,63505.0,132747264.0,39768064.0,193867776.0,601825280.0,338.0,3.0,6.0,0.0,0.0
1.282,2.564,93.846,0.0,0.0,2.308,58620.0,64415.0,129888256.0,39768064.0,193867776.0,604684288.0,338.0,3.0,6.0,0.0,0.0
1.316,3.421,93.421,0.0,0.0,1.842,58905.0,66585.0,129880064.0,39768064.0,193867776.0,604692480.0,338.0,3.0,6.0,0.0,0.0
1.295,3.886,92.746,0.0,0.0,2.073,56545.0,60489.0,129978368.0,39768064.0,193867776.0,604594176.0,338.0,3.0,6.0,0.0,0.0
1.285,5.141,92.031,0.0,0.0,1.542,52880.0,56995.0,129880064.0,39768064.0,193867776.0,604692480.0,338.0,3.0,6.0,0.0,0.0
1.299,7.532,90.649,0.0,0.0,0.519,53478.0,58041.0,129867776.0,39776256.0,193871872.0,604692480.0,338.0,3.0,6.0,0.0,0.0
1.872,12.834,84.759,0.0,0.0,0.535,53708.0,58975.0,129900544.0,39776256.0,193871872.0,604659712.0,339.0,3.0,6.0,0.0,0.0
1.084,11.111,86.450,0.0,0.0,1.355,38979.0,55300.0,129851392.0,39776256.0,193871872.0,604708864.0,340.0,4.0,6.0,0.0,0.0
1.558,8.052,89.610,0.0,0.0,0.779,48676.0,51185.0,129802240.0,39776256.0,193871872.0,604758016.0,339.0,3.0,6.0,0.0,0.0
1.562,4.167,93.490,0.0,0.0,0.781,47222.0,48595.0,129966080.0,39776256.0,193871872.0,604594176.0,338.0,3.0,6.0,0.0,0.0
1.575,4.462,93.176,0.0,0.0,0.787,57572.0,63645.0,129875968.0,39784448.0,193871872.0,604676096.0,338.0,3.0,6.0,0.0,0.0
