Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		0.354732990265	0.355115890503	0.355115890503	0.355115890503	0.350758990265		0.0	0.0
1&1		2.03728604317	1.1966354847	2.39327096939	3.39327096939	2.03599404317		0.1	0.5
2&1		0.14425611496	0.846355676651	2.53906702995	4.53906702995	0.13921811496		0.1	0.333333333333
3&1		0.195673942566	0.684039235115	2.73615694046	5.73615694046	0.192416942566		0.1	0.25
3&2		2.22924804688	0.993341398239	4.9667069912	8.9667069912	2.22714704687		0.2	0.4
4&2		0.182880163193	0.858527501424	5.15116500854	10.1511650085	0.177373163193		0.2	0.333333333333
5&2		0.147434949875	0.757150990622	5.30005693436	11.3000569344	0.144039949875		0.2	0.285714285714
6&2		0.1854429245	0.685848861933	5.48679089546	12.4867908955	0.1821559245		0.2	0.25
7&2		0.145987033844	0.626008113225	5.63407301903	13.634073019	0.142692033844		0.2	0.222222222222
8&2		0.138095855713	0.577349090576	5.77349090576	14.7734909058	0.135010855713		0.2	0.2
9&2		0.151182174683	0.538725636222	5.92598199844	15.9259819984	0.146634174683		0.2	0.181818181818
10&2		0.606667041779	0.544505655766	6.53406786919	17.5340678692	0.601270041779		0.1	0.166666666667
11&2		0.187237977982	0.517132227237	6.72271895409	18.7227189541	0.181934977982		0.1	0.153846153846
12&2		0.189682006836	0.493851917131	6.91392683983	19.9139268398	0.184572006836		0.1	0.142857142857
13&2		0.161992073059	0.47182246844	7.0773370266	21.0773370266	0.157049073059		0.0	0.133333333333
14&2		0.161285877228	0.452507182956	7.24011492729	22.2401149273	0.157934877228		0.0	0.125
15&2		0.164353847504	0.435634052052	7.40577888489	23.4057788849	0.161017847504		0.0	0.117647058824
16&2		0.199781894684	0.42260532909	7.60689592361	24.6068959236	0.194772894684		0.0	0.111111111111
17&2		0.192891120911	0.410590422781	7.80121803284	25.8012180328	0.187714120911		0.0	0.105263157895
18&2		0.161638975143	0.398214495182	7.96428990364	26.9642899036	0.156331975143		0.0	0.1
19&2		0.197130918503	0.388707705906	8.16286182404	28.162861824	0.191685918503		0.0	0.0952380952381
20&2		0.782393932343	0.406679316001	8.94694495201	29.946944952	0.776933932343		0.0	0.0909090909091
21&2		0.994400024414	0.432295260222	9.94279098511	31.9427909851	0.990596024414		0.0	0.0869565217391
22&2		0.344014883041	0.428676118453	10.2882268429	33.2882268429	0.338768883041		0.0	0.0833333333333
23&2		0.876017093658	0.446626157761	11.165653944	35.165653944	0.870449093658		0.0	0.08
