"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp5K_bs64B.csv -cnm --socket 1 100",,,,"Date:","19 Jul 2017 09:27:48 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
0.967,2.960,95.464,0.043,0.0,0.567,0.0,0.0,142086144.0,44982272.0,194101248.0,587038720.0,339.0,4.0,6.0,0.0,0.0
1.235,2.469,89.383,0.0,0.0,6.914,102496.0,114205.0,142790656.0,44982272.0,194105344.0,586330112.0,338.0,3.0,6.0,0.0,0.0
2.584,2.326,92.506,0.0,0.0,2.584,101142.0,109261.0,142692352.0,44982272.0,194105344.0,586428416.0,338.0,3.0,6.0,0.0,0.0
2.168,7.859,86.450,1.897,0.0,1.626,87367.0,93897.0,142970880.0,44982272.0,194105344.0,586149888.0,339.0,3.0,6.0,0.0,0.0
1.644,8.493,87.945,0.0,0.0,1.918,87592.0,95499.0,142966784.0,44986368.0,194105344.0,586149888.0,339.0,3.0,6.0,0.0,0.0
1.842,7.368,87.368,0.0,0.0,3.421,98566.0,111157.0,142966784.0,44986368.0,194105344.0,586149888.0,339.0,3.0,6.0,0.0,0.0
2.094,1.571,95.550,0.0,0.0,0.785,102836.0,115085.0,142815232.0,44986368.0,194105344.0,586301440.0,338.0,3.0,6.0,0.0,0.0
1.786,4.592,90.816,0.0,0.0,2.806,87693.0,114375.0,142815232.0,44986368.0,194105344.0,586301440.0,339.0,4.0,6.0,0.0,0.0
1.575,3.937,94.226,0.0,0.0,0.262,90728.0,97272.0,142811136.0,44986368.0,194109440.0,586301440.0,338.0,3.0,6.0,0.0,0.0
2.025,4.051,91.392,0.253,0.0,2.278,84528.0,91775.0,142811136.0,44986368.0,194109440.0,586301440.0,338.0,3.0,6.0,0.0,0.0
1.837,2.887,93.701,0.0,0.0,1.575,100536.0,110105.0,142811136.0,44986368.0,194109440.0,586301440.0,338.0,3.0,6.0,0.0,0.0
2.558,4.604,91.304,0.0,0.0,1.535,103944.0,113775.0,142811136.0,44986368.0,194109440.0,586301440.0,338.0,3.0,6.0,0.0,0.0
2.073,2.073,95.337,0.0,0.0,0.518,84803.0,90645.0,142917632.0,44986368.0,194109440.0,586194944.0,338.0,3.0,6.0,0.0,0.0
2.046,5.371,92.072,0.0,0.0,0.512,83962.0,91685.0,142811136.0,44986368.0,194109440.0,586301440.0,338.0,3.0,6.0,0.0,0.0
0.773,3.351,94.588,0.258,0.0,1.031,59312.0,76540.0,142807040.0,44990464.0,194109440.0,586301440.0,339.0,4.0,6.0,0.0,0.0
2.551,3.571,91.837,0.0,0.0,2.041,77564.0,85345.0,142299136.0,44990464.0,194109440.0,586809344.0,338.0,3.0,6.0,0.0,0.0
