Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		1.3615489006	1.3617811203	1.3617811203	1.3617811203	1.3573009006		0.0	0.0
1&1		2.16293501854	1.76317703724	3.52635407448	4.52635407448	2.16093701854		0.1	0.5
1&2		2.65217614174	2.05999604861	6.17998814583	8.17998814583	2.65096714174		0.2	0.666666666667
2&2		0.566753864288	1.68705451488	6.74821805954	9.74821805954	0.563055864288		0.2	0.5
2&3		3.53613591194	2.05714101791	10.2857050896	14.2857050896	3.53498091194		0.3	0.6
3&3		0.787568092346	1.84578935305	11.0747361183	16.0747361183	0.782506092346		0.3	0.5
3&4		2.52428603172	1.94292000362	13.6004400253	19.6004400253	2.52291403172		0.4	0.571428571429
4&4		0.534981966019	1.76710963249	14.1368770599	21.1368770599	0.530690966019		0.4	0.5
4&5		2.51969313622	1.8508752452	16.6578772068	24.6578772068	2.51860013622		0.5	0.555555555556
5&5		1.20371198654	1.78630621433	17.8630621433	26.8630621433	1.19953398654		0.5	0.5
6&5		0.515975952148	1.67095310038	18.3804841042	28.3804841042	0.510853952148		0.5	0.454545454545
7&5		0.18870806694	1.54754175742	18.5705010891	29.5705010891	0.18350206694		0.4	0.416666666667
7&6		2.55638384819	1.62525730867	21.1283450127	33.1283450127	2.55500284819		0.4	0.461538461538
8&6		1.19458413124	1.59459372929	22.3243122101	35.3243122101	1.19139113124		0.4	0.428571428571
9&6		0.455678939819	1.51875120799	22.7812681198	36.7812681198	0.452159939819		0.3	0.4
9&7		3.01482486725	1.6123380661	25.7974090576	40.7974090576	3.01346886725		0.4	0.4375
10&7		0.686511039734	1.55796871466	26.4854681492	42.4854681492	0.681147039734		0.3	0.411764705882
10&8		2.16036391258	1.59151866701	28.6473360062	45.6473360062	2.15747491258		0.4	0.444444444444
11&8		0.194358110428	1.51807048446	28.8433392048	46.8433392048	0.188682110428		0.3	0.421052631579
12&8		0.659052848816	1.47519245148	29.5038490295	48.5038490295	0.654822848816		0.3	0.4
13&8		0.292396068573	1.41893415224	29.797617197	49.797617197	0.288677068573		0.3	0.380952380952
14&8		0.207185029984	1.36391996254	30.0062391758	51.0062391758	0.203606029984		0.3	0.363636363636
15&8		2.06005096436	1.39424357207	32.0676021576	54.0676021576	2.05456996436		0.2	0.347826086957
16&8		0.199404001236	1.34451867143	32.2684481144	55.2684481144	0.195745001236		0.2	0.333333333333
16&9		2.55298185349	1.39291228294	34.8228070736	58.8228070736	2.55187685349		0.3	0.36
17&9		1.24904298782	1.38743423499	36.0732901096	61.0732901096	1.24343298782		0.2	0.346153846154
17&10		2.16353106499	1.41623385747	38.2383141518	64.2383141518	2.16121106499		0.3	0.37037037037
18&10		0.559772014618	1.38569693054	38.7995140553	65.7995140553	0.553723014618		0.2	0.357142857143
19&10		0.727297067642	1.36304938382	39.5284321308	67.5284321308	0.723366067642		0.2	0.344827586207
20&10		1.13280200958	1.35541923841	40.6625771523	69.6625771523	1.12798100958		0.2	0.333333333333
20&11		2.55729198456	1.39423281147	43.2212171555	73.2212171555	2.55605798456		0.3	0.354838709677
20&12		3.564661026	1.46210653335	46.7874090672	77.7874090672	3.563487026		0.4	0.375
21&12		0.450456142426	1.43149618669	47.2393741608	79.2393741608	0.447187142426		0.4	0.363636363636
22&12		0.575420856476	1.40635626456	47.8161129951	80.8161129951	0.571736856476		0.4	0.352941176471
23&12		0.587495088577	1.38300063269	48.4050221443	82.4050221443	0.583881088577		0.3	0.342857142857
24&12		0.523427963257	1.35916347636	48.929885149	83.929885149	0.519644963257		0.3	0.333333333333
25&12		0.20376086235	1.32797556954	49.1350960732	85.1350960732	0.19989186235		0.2	0.324324324324
26&12		0.856940031052	1.31561684608	49.9934401512	86.9934401512	0.852909031052		0.2	0.315789473684
26&13		2.5567278862	1.34747320566	52.5514550209	90.5514550209	2.5555838862		0.3	0.333333333333
27&13		0.582579135895	1.32838637829	53.1354551315	92.1354551315	0.578871135895		0.3	0.325
28&13		0.631037950516	1.3114103922	53.7678260803	93.7678260803	0.627439950516		0.2	0.317073170732
28&14		2.57663488388	1.34156588146	56.3457670212	97.3457670212	2.57552888388		0.2	0.333333333333
29&14		0.254837036133	1.31633593315	56.6024451256	98.6024451256	0.248918036133		0.2	0.325581395349
30&14		0.240695953369	1.29192527316	56.844712019	99.844712019	0.237132953369		0.2	0.318181818182
30&15		3.52947402	1.34167984856	60.3755931854	104.375593185	3.52831102		0.3	0.333333333333
31&15		0.444526195526	1.32220624322	60.8214871883	105.821487188	0.440984195526		0.3	0.326086956522
31&16		2.55883097649	1.34854587596	63.3816561699	109.38165617	2.55739297649		0.4	0.340425531915
32&16		0.187231063843	1.32438573241	63.5705151558	110.570515156	0.183677063843		0.4	0.333333333333
33&16		0.261068105698	1.30271326766	63.8329501152	111.832950115	0.255110105698		0.3	0.326530612245
33&17		2.55974793434	1.32788572311	66.3942861557	115.394286156	2.55837793434		0.4	0.34
33&18		2.57409310341	1.35235016019	68.9698581696	118.96985817	2.57308610341		0.5	0.352941176471
33&19		3.15610694885	1.38706809741	72.1275410652	123.127541065	3.15300594885		0.5	0.365384615385
34&19		1.82095599174	1.3952864341	73.9501810074	125.950181007	1.81532199174		0.5	0.358490566038
34&20		3.18437099457	1.4284470567	77.1361410618	130.136141062	3.18208399457		0.6	0.37037037037
34&21		3.54280209541	1.46691769253	80.6804730892	134.680473089	3.54162309541		0.6	0.381818181818
34&22		3.5349149704	1.50387080652	84.2167651653	139.216765165	3.5338339704		0.7	0.392857142857
35&22		0.743226051331	1.49055235428	84.9614841938	140.961484194	0.737633051331		0.6	0.385964912281
35&23		2.03184986115	1.49991036284	86.9948010445	143.994801044	2.03092286115		0.7	0.396551724138
36&23		0.457883834839	1.48227483135	87.4542150497	145.45421505	0.451908834839		0.7	0.389830508475
37&23		1.61625909805	1.4845321695	89.0719301701	148.07193017	1.61204209805		0.6	0.383333333333
37&24		2.60268712044	1.5028856426	91.6760241985	151.676024199	2.60130012044		0.6	0.393442622951
