Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		0.200296878815	0.20100903511	0.20100903511	0.20100903511	0.196794878815		0.0	0.0
2&0		0.20680809021	0.204621076584	0.409242153168	1.40924215317	0.20388209021		0.0	0.0
3&0		0.185614824295	0.198726336161	0.596179008484	2.59617900848	0.182358824295		0.0	0.0
4&0		0.202244997025	0.199844002724	0.799376010895	3.79937601089	0.198590997025		0.0	0.0
5&0		0.220428943634	0.204218626022	1.02109313011	5.02109313011	0.216689943634		0.0	0.0
6&0		0.436388969421	0.24313267072	1.45879602432	6.45879602432	0.432818969421		0.0	0.0
7&0		0.206367015839	0.238081455231	1.66657018661	7.66657018661	0.201615015839		0.0	0.0
7&1		2.179074049	0.480888515711	3.84710812569	10.8471081257	2.176613049		0.1	0.125
8&1		0.23233294487	0.453426440557	4.08083796501	12.080837965	0.22899394487		0.1	0.111111111111
9&1		0.528269052505	0.461052918434	4.61052918434	13.6105291843	0.523328052505		0.1	0.1
10&1		0.486654996872	0.463507283818	5.09858012199	15.098580122	0.481572996872		0.1	0.0909090909091
11&1		0.487765073776	0.46563009421	5.58756113052	16.5875611305	0.482493073776		0.1	0.0833333333333
12&1		1.90751600266	0.5766550761	7.4965159893	19.4965159893	1.90261700266		0.1	0.0769230769231
13&1		0.223186016083	0.551514795848	7.72120714188	20.7212071419	0.217515016083		0.1	0.0714285714286
14&1		0.172406196594	0.526335477829	7.89503216743	21.8950321674	0.169308196594		0.1	0.0666666666667
15&1		0.19288611412	0.50557744503	8.08923912048	23.0892391205	0.18976311412		0.1	0.0625
16&1		0.204619884491	0.487951292711	8.29517197609	24.2951719761	0.201467884491		0.1	0.0588235294118
17&1		0.187735080719	0.471346391572	8.48423504829	25.4842350483	0.184409080719		0.0	0.0555555555556
18&1		0.20533490181	0.457414162786	8.69086909294	26.6908690929	0.20196390181		0.0	0.0526315789474
19&1		0.834614992142	0.476340198517	9.52680397034	28.5268039703	0.830898992142		0.0	0.05
20&1		0.188043832779	0.462680998303	9.71630096436	29.7163009644	0.185061832779		0.0	0.047619047619
