Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		0.297850847244	0.29828286171	0.29828286171	0.29828286171	0.293948847244		0.0	0.0
1&1		2.3549990654	1.32735002041	2.65470004082	3.65470004082	2.3539680654		0.1	0.5
2&1		0.343475103378	0.999855359395	2.99956607819	4.99956607819	0.339913103378		0.1	0.333333333333
3&1		0.648947954178	0.912458717823	3.64983487129	6.64983487129	0.645164954178		0.1	0.25
4&1		0.43532204628	0.817290782928	4.08645391464	8.08645391464	0.43234504628		0.1	0.2
5&1		0.203294038773	0.715185165405	4.29111099243	9.29111099243	0.200167038773		0.1	0.166666666667
6&1		0.212702989578	0.643588134221	4.50511693954	10.5051169395	0.209795989578		0.1	0.142857142857
7&1		1.54113507271	0.755942761898	6.04754209518	13.0475420952	1.53793507271		0.1	0.125
7&2		2.36166405678	0.934504561954	8.41054105759	16.4105410576	2.36063405678		0.2	0.222222222222
8&2		1.19460105896	0.96065120697	9.6065120697	18.6065120697	1.19160305896		0.2	0.2
8&3		2.36199522018	1.08816955306	11.9698650837	21.9698650837	2.36112222018		0.3	0.272727272727
9&3		1.20898795128	1.09835340579	13.1802408695	24.1802408695	1.20575195128		0.2	0.25
10&3		0.209653139114	1.0300919276	13.3911950588	25.3911950588	0.206471139114		0.2	0.230769230769
10&4		3.35054278374	1.19593063423	16.7430288792	29.7430288792	3.34904878374		0.3	0.285714285714
11&4		0.634068965912	1.15856579145	17.3784868717	31.3784868717	0.630824965912		0.3	0.266666666667
12&4		0.483561038971	1.11645893753	17.8633430004	32.8633430004	0.480376038971		0.3	0.25
13&4		0.530678033829	1.0820766477	18.3953030109	34.3953030109	0.527312033829		0.3	0.235294117647
14&4		1.20946097374	1.08922599422	19.6060678959	36.6060678959	1.20582897374		0.3	0.222222222222
15&4		0.279907941818	1.04670688981	19.8874309063	37.8874309063	0.276343941818		0.2	0.210526315789
16&4		0.203853130341	1.00463650227	20.0927300453	39.0927300453	0.200829130341		0.2	0.2
17&4		0.655472993851	0.988071191879	20.7494950294	40.7494950294	0.652209993851		0.1	0.190476190476
17&5		3.00756192207	1.07992590557	23.7583699226	44.7583699226	3.00655892207		0.2	0.227272727273
18&5		0.213519096375	1.0423180435	23.9733150005	45.9733150005	0.210328096375		0.2	0.217391304348
19&5		0.234909057617	1.00873291492	24.2095899582	47.2095899582	0.231565057617		0.1	0.208333333333
20&5		0.217767953873	0.977146959305	24.4286739826	48.4286739826	0.214544953873		0.1	0.2
21&5		0.211469888687	0.947748037485	24.6414489746	49.6414489746	0.208295888687		0.1	0.192307692308
21&6		2.54368305206	1.0069045579	27.1864230633	53.1864230633	2.54269905206		0.2	0.222222222222
22&6		0.809055089951	0.999890429633	27.9969320297	54.9969320297	0.805425089951		0.2	0.214285714286
22&7		3.53409194946	1.08732661708	31.5324718952	59.5324718952	3.53259694946		0.3	0.241379310345
23&7		1.66452002525	1.10661959648	33.1985878944	62.1985878944	1.65963702525		0.3	0.233333333333
24&7		1.36252307892	1.11492280806	34.5626070499	64.5626070499	1.35872407892		0.3	0.225806451613
24&8		2.54868388176	1.1597725898	37.1127228737	68.1127228737	2.54760488176		0.3	0.25
25&8		0.209197998047	1.13101006277	37.3233320713	69.3233320713	0.204124998047		0.3	0.242424242424
