"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp1W_bs64B.csv -cnm --socket 1 300",,,,"Date:","16 Jul 2017 07:50:01 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.492,5.590,90.450,0.056,0.0,2.412,0.0,0.0,138108928.0,51195904.0,194990080.0,583913472.0,346.0,4.0,6.0,0.0,0.0
1.366,15.574,76.503,0.0,0.0,6.557,799408.0,1395.0,138141696.0,51195904.0,194994176.0,583876608.0,345.0,3.0,6.0,0.0,0.0
0.872,21.512,71.221,0.0,0.0,6.395,804994.0,936.0,138100736.0,51195904.0,194994176.0,583917568.0,346.0,4.0,6.0,0.0,0.0
1.130,24.011,69.209,0.0,0.0,5.650,789717.0,224.0,138166272.0,51195904.0,194994176.0,583852032.0,347.0,4.0,6.0,0.0,0.0
1.081,11.351,84.865,0.0,0.0,2.703,403136.0,248.0,138665984.0,51195904.0,194994176.0,583352320.0,346.0,3.0,6.0,0.0,0.0
2.035,13.953,77.616,3.488,0.0,2.907,757716.0,1794.0,138571776.0,51200000.0,194990080.0,583446528.0,346.0,3.0,6.0,0.0,0.0
1.096,13.699,77.260,0.0,0.0,7.945,770832.0,647.0,138702848.0,51200000.0,194990080.0,583315456.0,346.0,4.0,6.0,0.0,0.0
0.531,14.058,74.801,0.0,0.0,10.610,831320.0,1077.0,138764288.0,51200000.0,194994176.0,583249920.0,345.0,3.0,6.0,0.0,0.0
0.526,15.0,76.316,0.0,0.0,8.158,806448.0,1452.0,138670080.0,51200000.0,194994176.0,583344128.0,345.0,3.0,6.0,0.0,0.0
0.532,14.362,76.064,0.0,0.0,9.043,826408.0,647.0,138637312.0,51200000.0,194994176.0,583376896.0,346.0,4.0,6.0,0.0,0.0
0.525,13.911,76.115,0.262,0.0,9.186,790364.0,963.0,138637312.0,51204096.0,194990080.0,583376896.0,345.0,3.0,6.0,0.0,0.0
0.798,14.628,75.798,0.0,0.0,8.777,828292.0,1362.0,138633216.0,51204096.0,194994176.0,583376896.0,345.0,3.0,6.0,0.0,0.0
0.789,15.0,75.0,0.0,0.0,9.211,820876.0,256.0,138633216.0,51204096.0,194994176.0,583376896.0,346.0,4.0,6.0,0.0,0.0
1.316,14.737,75.263,0.0,0.0,8.684,823192.0,1452.0,138641408.0,51204096.0,194994176.0,583368704.0,345.0,3.0,6.0,0.0,0.0
1.067,17.333,73.333,0.0,0.0,8.267,822368.0,467.0,138633216.0,51204096.0,194994176.0,583376896.0,346.0,4.0,6.0,0.0,0.0
0.563,20.0,69.577,0.0,0.0,9.859,803982.0,440.0,138665984.0,51204096.0,194994176.0,583344128.0,346.0,4.0,6.0,0.0,0.0
1.374,24.176,66.758,0.0,0.0,7.692,803556.0,158.0,138756096.0,51212288.0,194990080.0,583249920.0,346.0,4.0,6.0,0.0,0.0
1.662,17.452,75.069,0.0,0.0,5.817,817988.0,248.0,138002432.0,51212288.0,194990080.0,584003584.0,345.0,3.0,6.0,0.0,0.0
0.543,14.402,77.446,0.0,0.0,7.609,828720.0,256.0,137994240.0,51212288.0,194990080.0,584011776.0,346.0,4.0,6.0,0.0,0.0
1.099,12.912,77.747,0.0,0.0,8.242,854328.0,1264.0,138002432.0,51212288.0,194990080.0,584003584.0,345.0,3.0,6.0,0.0,0.0
0.817,15.804,77.384,0.0,0.0,5.995,814010.0,749.0,138596352.0,51212288.0,194990080.0,583409664.0,346.0,4.0,6.0,0.0,0.0
1.078,13.477,75.741,0.0,0.0,9.704,814900.0,158.0,138842112.0,51220480.0,194994176.0,583151616.0,346.0,4.0,6.0,0.0,0.0
1.078,11.860,75.741,0.0,0.0,11.321,819380.0,248.0,138743808.0,51220480.0,194994176.0,583249920.0,345.0,3.0,6.0,0.0,0.0
0.809,12.668,76.819,0.0,0.0,9.704,809728.0,256.0,138743808.0,51220480.0,194994176.0,583249920.0,346.0,4.0,6.0,0.0,0.0
0.813,11.924,77.778,0.0,0.0,9.485,827826.0,814.0,138752000.0,51220480.0,194994176.0,583241728.0,346.0,4.0,6.0,0.0,0.0
0.817,11.989,77.384,0.0,0.0,9.809,840746.0,608.0,138739712.0,51220480.0,194998272.0,583249920.0,345.0,3.0,6.0,0.0,0.0
0.822,12.603,78.082,0.0,0.0,8.493,831846.0,1824.0,138727424.0,51228672.0,195002368.0,583249920.0,345.0,3.0,6.0,0.0,0.0
1.090,15.259,73.297,0.0,0.0,10.354,823068.0,256.0,138727424.0,51228672.0,195002368.0,583249920.0,346.0,4.0,6.0,0.0,0.0
0.822,19.452,68.219,0.0,0.0,11.507,821758.0,905.0,138694656.0,51228672.0,195002368.0,583282688.0,346.0,4.0,6.0,0.0,0.0
1.862,21.543,67.287,0.0,0.0,9.309,775536.0,224.0,138809344.0,51228672.0,195002368.0,583168000.0,346.0,4.0,6.0,0.0,0.0
1.635,13.896,76.022,0.0,0.0,8.447,797034.0,314.0,138727424.0,51228672.0,195002368.0,583249920.0,345.0,3.0,6.0,0.0,0.0
0.813,15.447,77.236,0.0,0.0,6.504,838436.0,1692.0,138723328.0,51228672.0,195006464.0,583249920.0,346.0,4.0,6.0,0.0,0.0
0.796,15.915,75.862,0.265,0.0,7.162,807672.0,440.0,138719232.0,51232768.0,195006464.0,583249920.0,345.0,3.0,6.0,0.0,0.0
0.811,15.405,77.568,0.0,0.0,6.216,833284.0,1578.0,138719232.0,51232768.0,195006464.0,583249920.0,345.0,3.0,6.0,0.0,0.0
0.806,14.247,78.495,0.0,0.0,6.452,798896.0,1296.0,138752000.0,51232768.0,195006464.0,583217152.0,346.0,4.0,6.0,0.0,0.0
0.831,11.357,78.670,0.0,0.0,9.141,827248.0,542.0,138760192.0,51232768.0,195006464.0,583208960.0,345.0,3.0,6.0,0.0,0.0
0.822,13.151,78.630,0.0,0.0,7.397,809428.0,256.0,138719232.0,51232768.0,195006464.0,583249920.0,346.0,4.0,6.0,0.0,0.0
1.020,13.010,72.704,0.0,0.0,13.265,831264.0,1264.0,138715136.0,51236864.0,195006464.0,583249920.0,345.0,3.0,6.0,0.0,0.0
1.117,12.849,81.006,0.0,0.0,5.028,748376.0,1916.0,138715136.0,51236864.0,195006464.0,583249920.0,345.0,3.0,6.0,0.0,0.0
1.099,13.462,78.297,0.0,0.0,7.143,808862.0,1578.0,138788864.0,51236864.0,195006464.0,583176192.0,345.0,4.0,6.0,0.0,0.0
0.845,17.183,73.239,0.0,0.0,8.732,811832.0,647.0,138723328.0,51236864.0,195006464.0,583241728.0,346.0,4.0,6.0,0.0,0.0
1.093,22.951,67.760,0.0,0.0,8.197,852788.0,1383.0,138715136.0,51236864.0,195006464.0,583249920.0,345.0,3.0,6.0,0.0,0.0
0.833,19.444,69.167,0.278,0.0,10.278,822638.0,659.0,138739712.0,51245056.0,195006464.0,583217152.0,346.0,4.0,6.0,0.0,0.0
0.796,10.875,76.658,0.0,0.0,11.671,796099.0,248.0,138739712.0,51245056.0,195006464.0,583217152.0,346.0,4.0,6.0,0.0,0.0
0.802,14.973,75.134,0.0,0.0,9.091,808068.0,272.0,138829824.0,51245056.0,195006464.0,583127040.0,346.0,4.0,6.0,0.0,0.0
1.299,11.429,75.065,0.0,0.0,12.208,816052.0,248.0,138706944.0,51245056.0,195006464.0,583249920.0,345.0,3.0,6.0,0.0,0.0
0.813,6.775,82.114,0.0,0.0,10.298,757046.0,1566.0,138715136.0,51245056.0,195006464.0,583241728.0,345.0,3.0,6.0,0.0,0.0
0.815,6.522,77.446,0.272,0.0,14.946,828882.0,912.0,138698752.0,51249152.0,195010560.0,583249920.0,346.0,4.0,6.0,0.0,0.0
1.064,9.574,75.798,0.0,0.0,13.564,841184.0,1052.0,138698752.0,51249152.0,195010560.0,583249920.0,345.0,3.0,6.0,0.0,0.0
0.852,4.545,80.966,0.0,0.0,13.636,809020.0,1734.0,138825728.0,51249152.0,195010560.0,583122944.0,345.0,3.0,6.0,0.0,0.0
0.831,8.033,79.501,0.0,0.0,11.634,812264.0,1848.0,138698752.0,51249152.0,195010560.0,583249920.0,345.0,3.0,6.0,0.0,0.0
0.847,8.192,80.508,0.0,0.0,10.452,839294.0,659.0,138698752.0,51249152.0,195010560.0,583249920.0,346.0,4.0,6.0,0.0,0.0
1.081,8.919,77.568,0.270,0.0,12.162,810236.0,248.0,138702848.0,51253248.0,195010560.0,583241728.0,346.0,4.0,6.0,0.0,0.0
1.105,20.166,69.613,0.0,0.0,9.116,805460.0,158.0,138694656.0,51253248.0,195010560.0,583249920.0,346.0,4.0,6.0,0.0,0.0
1.102,23.140,67.769,0.0,0.0,7.989,808656.0,248.0,138694656.0,51253248.0,195010560.0,583249920.0,345.0,3.0,6.0,0.0,0.0
0.804,22.520,69.705,0.0,0.0,6.971,823560.0,1806.0,138694656.0,51253248.0,195010560.0,583249920.0,345.0,3.0,6.0,0.0,0.0
0.789,15.789,75.0,0.0,0.0,8.421,800076.0,256.0,138694656.0,51253248.0,195010560.0,583249920.0,346.0,4.0,6.0,0.0,0.0
1.299,15.584,73.766,0.0,0.0,9.351,812020.0,647.0,138702848.0,51253248.0,195010560.0,583241728.0,346.0,4.0,6.0,0.0,0.0
0.575,16.667,80.172,0.0,0.0,2.586,793246.0,350.0,138784768.0,51257344.0,195006464.0,583159808.0,346.0,4.0,6.0,0.0,0.0
2.228,13.092,78.552,0.0,0.0,6.128,775720.0,158.0,138690560.0,51257344.0,195010560.0,583249920.0,346.0,4.0,6.0,0.0,0.0
1.729,14.986,79.539,0.0,0.0,3.746,781028.0,248.0,138739712.0,51257344.0,195010560.0,583200768.0,345.0,4.0,6.0,0.0,0.0
0.554,18.283,78.116,0.0,0.0,3.047,796668.0,256.0,138690560.0,51257344.0,195010560.0,583249920.0,346.0,5.0,6.0,0.0,0.0
0.528,16.623,74.934,0.0,0.0,7.916,834590.0,1590.0,138690560.0,51257344.0,195010560.0,583249920.0,346.0,4.0,6.0,0.0,0.0
0.539,14.825,76.819,0.0,0.0,7.817,807153.0,428.0,138694656.0,51261440.0,195010560.0,583241728.0,345.0,3.0,6.0,0.0,0.0
0.787,4.987,89.764,0.0,0.0,4.462,398532.0,256.0,138813440.0,51261440.0,195010560.0,583122944.0,346.0,4.0,6.0,0.0,0.0
1.102,14.050,77.961,0.0,0.0,6.887,770068.0,1758.0,138813440.0,51261440.0,195010560.0,583122944.0,345.0,3.0,6.0,0.0,0.0
0.556,21.667,68.889,0.0,0.0,8.889,798046.0,749.0,138809344.0,51261440.0,195014656.0,583122944.0,346.0,4.0,6.0,0.0,0.0
1.475,23.894,70.206,0.0,0.0,4.425,785984.0,158.0,138936320.0,51261440.0,195018752.0,582991872.0,347.0,4.0,6.0,0.0,0.0
0.822,15.616,73.425,0.0,0.0,10.137,788812.0,248.0,138768384.0,51269632.0,195022848.0,583147520.0,346.0,4.0,6.0,0.0,0.0
1.412,14.124,81.073,0.0,0.0,3.390,775712.0,467.0,138817536.0,51269632.0,195022848.0,583098368.0,347.0,4.0,6.0,0.0,0.0
1.117,16.760,79.330,0.0,0.0,2.793,798788.0,1143.0,138665984.0,51269632.0,195022848.0,583249920.0,345.0,3.0,6.0,0.0,0.0
1.639,12.842,79.235,0.0,0.0,6.284,809360.0,1916.0,138665984.0,51269632.0,195022848.0,583249920.0,345.0,3.0,6.0,0.0,0.0
1.309,12.827,74.607,0.0,0.0,11.257,809760.0,256.0,138665984.0,51269632.0,195022848.0,583249920.0,346.0,4.0,6.0,0.0,0.0
0.571,15.714,80.571,0.286,0.0,2.857,815560.0,737.0,138665984.0,51277824.0,195014656.0,583249920.0,346.0,4.0,6.0,0.0,0.0
1.127,12.958,81.972,0.0,0.0,3.944,690200.0,873.0,138715136.0,51277824.0,195014656.0,583200768.0,345.0,4.0,6.0,0.0,0.0
0.802,14.171,78.075,0.0,0.0,6.952,756340.0,1566.0,138657792.0,51277824.0,195022848.0,583249920.0,345.0,3.0,6.0,0.0,0.0
1.285,12.339,77.892,0.0,0.0,8.483,731780.0,768.0,138657792.0,51277824.0,195022848.0,583249920.0,346.0,4.0,6.0,0.0,0.0
1.090,14.986,80.381,0.0,0.0,3.542,800208.0,1191.0,138657792.0,51277824.0,195022848.0,583249920.0,345.0,3.0,6.0,0.0,0.0
1.105,13.812,78.177,0.0,0.0,6.906,781808.0,1688.0,138657792.0,51277824.0,195022848.0,583249920.0,345.0,4.0,6.0,0.0,0.0
0.862,16.379,72.414,0.0,0.0,10.345,778120.0,557.0,138649600.0,51286016.0,195022848.0,583249920.0,346.0,4.0,6.0,0.0,0.0
1.173,20.821,72.141,0.0,0.0,5.865,832424.0,1335.0,138657792.0,51286016.0,195022848.0,583241728.0,345.0,3.0,6.0,0.0,0.0
1.928,16.529,74.656,0.0,0.0,6.887,836734.0,1810.0,138649600.0,51286016.0,195022848.0,583249920.0,345.0,3.0,6.0,0.0,0.0
0.843,16.011,78.933,0.0,0.0,4.213,869500.0,1362.0,138649600.0,51286016.0,195022848.0,583249920.0,345.0,3.0,6.0,0.0,0.0
