Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
0&1		5.17808890343	5.17857003212	5.17857003212	5.17857003212	5.17704590343		0.1	1.0
0&2		2.07330203056	3.62678849697	7.25357699394	8.25357699394	2.07239403056		0.2	1.0
0&3		2.25579285622	3.17029500008	9.51088500023	11.5108850002	2.25254985622		0.3	1.0
0&4		2.12348794937	2.90896850824	11.635874033	14.635874033	2.12248394937		0.4	1.0
0&5		2.23946094513	2.77535262108	13.8767631054	17.8767631054	2.23734894513		0.5	1.0
0&6		3.26216101646	2.85671885808	17.1403131485	22.1403131485	3.26029401646		0.6	1.0
0&7		2.06868696213	2.74434328079	19.2104029655	25.2104029655	2.06778796213		0.7	1.0
0&8		3.07993793488	2.78646674752	22.2917339802	29.2917339802	3.07910193488		0.8	1.0
0&9		2.52113103867	2.75714455711	24.8143010139	32.8143010139	2.51909003867		0.9	1.0
0&10		2.68829202652	2.75039861202	27.5039861202	36.5039861202	2.68718602652		1.0	1.0
0&11		3.21844100952	2.79307038134	30.7237741947	40.7237741947	3.21670500952		1.0	1.0
0&12		2.7545580864	2.78998176257	33.4797811508	44.4797811508	2.7531860864		1.0	1.0
1&12		1.23840689659	2.67074630811	34.7197020054	46.7197020054	1.23423489659		0.9	0.923076923077
1&13		2.18982195854	2.63649065154	36.9108691216	49.9108691216	2.18877895854		0.9	0.928571428571
1&14		2.50735020638	2.62797414462	39.4196121693	53.4196121693	2.50514520638		0.9	0.933333333333
1&15		2.20583486557	2.60168081522	41.6268930435	56.6268930435	2.20372086557		0.9	0.9375
1&16		2.71210598946	2.60826288953	44.3404691219	60.3404691219	2.71041498946		0.9	0.941176470588
1&17		2.05766487122	2.57776133219	46.3997039795	63.3997039795	2.05691187122		0.9	0.944444444444
1&18		3.68631792068	2.63618078985	50.0874350071	68.0874350071	3.68525692068		0.9	0.947368421053
1&19		2.74285387993	2.64159045219	52.8318090439	71.8318090439	2.74032387993		0.9	0.95
1&20		2.22611904144	2.62187495686	55.059374094	75.059374094	2.22383504144		0.9	0.952380952381
1&21		2.12897086143	2.59953427315	57.1897540092	78.1897540092	2.12775086143		0.9	0.954545454545
1&22		2.22894597054	2.58348339537	59.4201180935	81.4201180935	2.22694297054		1.0	0.95652173913
1&23		2.07095193863	2.56218746305	61.4924991131	84.4924991131	2.07008193863		1.0	0.958333333333
1&24		2.12670707703	2.54483208656	63.6208021641	87.6208021641	2.12537307703		1.0	0.96
2&24		0.957893848419	2.48385180877	64.580147028	89.580147028	0.952286848419		0.9	0.923076923077
2&25		2.23458600044	2.4746726354	66.8161611557	92.8161611557	2.23253100044		0.9	0.925925925926
2&26		2.07861995697	2.46058136225	68.8962781429	95.8962781429	2.07759495697		0.9	0.928571428571
2&27		2.23954415321	2.45300969584	71.1372811794	99.1372811794	2.23726615321		0.9	0.931034482759
2&28		2.08978295326	2.44095830123	73.2287490368	102.228749037	2.08881995326		0.9	0.933333333333
2&29		2.23521900177	2.43436864884	75.4654281139	105.465428114	2.23317400177		0.9	0.935483870968
2&30		3.08689284325	2.4548073113	78.5538339615	109.553833961	3.08610184325		0.9	0.9375
2&31		2.08442807198	2.4436249733	80.6396241188	112.639624119	2.08367907198		0.9	0.939393939394
2&32		5.22389101982	2.52543747425	85.8648741245	118.864874125	5.22302801982		0.9	0.941176470588
2&33		2.07134795189	2.51250457082	87.9376599789	121.937659979	2.07057495189		0.9	0.942857142857
2&34		2.23776102066	2.50491205851	90.1768341064	125.176834106	2.23562902066		1.0	0.944444444444
2&35		2.06355905533	2.49302354374	92.2418711185	128.241871119	2.06263705533		1.0	0.945945945946
2&36		2.06341505051	2.48175510607	94.3066940308	131.306694031	2.06255605051		1.0	0.947368421053
2&37		2.07080006599	2.47125854248	96.3790831566	134.379083157	2.06981406599		1.0	0.948717948718
2&38		2.08150291443	2.46154977679	98.4619910717	137.461991072	2.08052691443		1.0	0.95
2&39		2.49498319626	2.46239929664	100.958371162	140.958371162	2.49291919626		1.0	0.951219512195
2&40		3.21865296364	2.48043866952	104.17842412	145.17842412	3.21679596364		1.0	0.952380952381
3&40		2.28240799904	2.475867094	106.462285042	148.462285042	2.27870599904		0.9	0.93023255814
3&41		3.2194480896	2.49279611761	109.683029175	152.683029175	3.2172530896		0.9	0.931818181818
3&42		2.73540496826	2.49822393523	112.420077085	156.420077085	2.73355496826		0.9	0.933333333333
4&42		1.72911500931	2.48153584936	114.150649071	159.150649071	1.72504400931		0.8	0.913043478261
4&43		2.72642397881	2.48677397789	116.878376961	162.878376961	2.72538497881		0.8	0.914893617021
4&44		2.48490095139	2.4867640237	119.364673138	166.364673138	2.48319695139		0.8	0.916666666667
5&44		0.968839883804	2.4558145708	120.334913969	168.334913969	0.963728883804		0.7	0.897959183673
5&45		2.05931711197	2.44791548252	122.395774126	171.395774126	2.05849111197		0.7	0.9
5&46		2.1179049015	2.44147596172	124.515274048	174.515274048	2.1167029015		0.7	0.901960784314
5&47		2.05893802643	2.43414954039	126.5757761	177.5757761	2.05796602643		0.7	0.903846153846
5&48		3.07449913025	2.44626000242	129.651780128	181.651780128	3.07372013025		0.8	0.905660377358
5&49		2.21578383446	2.44201727708	131.868932962	184.868932962	2.21358983446		0.8	0.907407407407
5&50		2.07469701767	2.4353647102	133.945059061	187.945059061	2.07378301767		0.8	0.909090909091
5&51		2.07086396217	2.42888435721	136.017524004	191.017524004	2.06979996217		0.9	0.910714285714
6&51		1.2108259201	2.40754150926	137.229866028	193.229866028	1.2068719201		0.8	0.894736842105
6&52		2.48385095596	2.40888024199	139.715054035	196.715054035	2.48171595596		0.8	0.896551724138
6&53		2.1214799881	2.40403378212	141.837993145	199.837993145	2.1203669881		0.9	0.898305084746
6&54		3.20181107521	2.41735565265	145.041339159	204.041339159	3.20076907521		0.9	0.9
6&55		2.07223796844	2.41172350821	147.115134001	207.115134001	2.07104296844		0.9	0.901639344262
6&56		2.22635698318	2.40875669449	149.342915058	210.342915058	2.22462998318		0.9	0.903225806452
6&57		3.7138209343	2.42949671594	153.058293104	215.058293104	3.7124539343		0.9	0.904761904762
6&58		2.12946820259	2.42483069003	155.189164162	218.189164162	2.12861620259		0.9	0.90625
6&59		2.23738098145	2.42196913866	157.427994013	221.427994013	2.23545898145		0.9	0.907692307692
