"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp1W_bs1311B.csv -cnm --socket 1 300",,,,"Date:","16 Jul 2017 08:38:38 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.577,5.864,89.993,0.053,0.0,2.513,0.0,0.0,139608064.0,53968896.0,195203072.0,579428352.0,348.0,4.0,6.0,0.0,0.0
1.662,2.493,93.906,0.0,0.0,1.939,4802993.0,712.0,139919360.0,53968896.0,195203072.0,579117056.0,348.0,4.0,6.0,0.0,0.0
0.0,4.276,80.760,0.0,0.0,14.964,5291728.0,692.0,139784192.0,53968896.0,195207168.0,579248128.0,348.0,4.0,6.0,0.0,0.0
0.0,10.0,88.571,0.0,0.0,1.429,5014555.0,614.0,139792384.0,53968896.0,195207168.0,579239936.0,348.0,4.0,6.0,0.0,0.0
0.829,10.497,87.569,0.0,0.0,1.105,4449557.0,924.0,139792384.0,53968896.0,195207168.0,579239936.0,348.0,4.0,6.0,0.0,0.0
0.275,5.769,93.132,0.0,0.0,0.824,4345198.0,614.0,139792384.0,53968896.0,195207168.0,579239936.0,348.0,4.0,6.0,0.0,0.0
0.781,3.125,89.323,0.781,0.0,5.990,4970368.0,704.0,139784192.0,53977088.0,195207168.0,579239936.0,347.0,4.0,6.0,0.0,0.0
0.0,2.910,88.360,0.0,0.0,8.730,4899513.0,924.0,139784192.0,53977088.0,195207168.0,579239936.0,348.0,5.0,6.0,0.0,0.0
0.276,7.459,91.713,0.0,0.0,0.552,4820570.0,704.0,139784192.0,53977088.0,195207168.0,579239936.0,348.0,5.0,6.0,0.0,0.0
2.247,6.180,91.011,0.0,0.0,0.562,4705246.0,704.0,139784192.0,53977088.0,195207168.0,579239936.0,347.0,4.0,6.0,0.0,0.0
1.416,2.266,93.484,0.0,0.0,2.833,4549400.0,1459.0,139911168.0,53977088.0,195207168.0,579112960.0,348.0,5.0,6.0,0.0,0.0
2.849,2.849,91.453,0.0,0.0,2.849,4826288.0,1154.0,139956224.0,53985280.0,195219456.0,579047424.0,348.0,5.0,6.0,0.0,0.0
2.890,4.046,92.486,0.0,0.0,0.578,5120336.0,794.0,139898880.0,53985280.0,195219456.0,579104768.0,347.0,4.0,6.0,0.0,0.0
1.090,9.809,88.556,0.0,0.0,0.545,5093816.0,1014.0,139890688.0,53985280.0,195219456.0,579112960.0,348.0,4.0,6.0,0.0,0.0
1.626,4.065,92.141,0.0,0.0,2.168,5247541.0,614.0,139890688.0,53985280.0,195219456.0,579112960.0,348.0,4.0,6.0,0.0,0.0
2.204,5.234,90.634,0.0,0.0,1.928,4999878.0,704.0,139890688.0,53985280.0,195219456.0,579112960.0,347.0,3.0,6.0,0.0,0.0
1.114,8.914,88.022,0.0,0.0,1.950,4795345.0,1357.0,139890688.0,53985280.0,195219456.0,579112960.0,348.0,4.0,6.0,0.0,0.0
0.855,10.256,88.034,0.0,0.0,0.855,5146470.0,1328.0,139923456.0,53985280.0,195219456.0,579080192.0,348.0,4.0,6.0,0.0,0.0
1.039,7.792,90.390,0.0,0.0,0.779,4630314.0,716.0,139956224.0,53985280.0,195219456.0,579047424.0,347.0,3.0,6.0,0.0,0.0
1.120,1.120,96.919,0.0,0.0,0.840,5062759.0,712.0,139890688.0,53985280.0,195219456.0,579112960.0,348.0,4.0,6.0,0.0,0.0
