Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		1.15763998032	1.15868711472	1.15868711472	1.15868711472	1.15170598032		0.0	0.0
1&1		2.70879101753	1.93444955349	3.86889910698	4.86889910698	2.70476301753		0.1	0.5
1&2		2.21208906174	2.02750968933	6.08252906799	8.08252906799	2.20921006174		0.2	0.666666666667
2&2		1.91745400429	2.00050753355	8.0020301342	11.0020301342	1.91181600429		0.2	0.5
2&3		2.6397330761	2.12862262726	10.6431131363	14.6431131363	2.6378330761		0.3	0.6
3&3		1.18304300308	1.97126551469	11.8275930882	16.8275930882	1.17346100308		0.3	0.5
4&3		0.617327928543	1.77812099457	12.446846962	18.446846962	0.609420928543		0.3	0.428571428571
5&3		1.44534301758	1.73675000668	13.8940000534	20.8940000534	1.43984501758		0.3	0.375
5&4		2.23420500755	1.7921919028	16.1297271252	24.1297271252	2.23065800755		0.4	0.444444444444
5&5		2.47048783302	1.86016139984	18.6016139984	27.6016139984	2.46725083302		0.5	0.5
5&6		2.46477818489	1.91529083252	21.0681991577	31.0681991577	2.46013318489		0.6	0.545454545455
5&7		2.77169799805	1.9868192474	23.8418309689	34.8418309689	2.76860699805		0.6	0.583333333333
5&8		2.10760402679	1.99623885522	25.9511051178	37.9511051178	2.10455102679		0.6	0.615384615385
5&9		2.73021197319	2.04877071721	28.682790041	41.682790041	2.72787297319		0.7	0.642857142857
5&10		2.71868991852	2.09352906545	31.4029359818	45.4029359818	2.71658491852		0.7	0.666666666667
5&11		2.05555701256	2.09125982225	33.460157156	48.460157156	2.05459501256		0.8	0.6875
5&12		3.64330792427	2.18264405868	37.1049489975	53.1049489975	3.64210092427		0.9	0.705882352941
6&12		0.658940076828	2.09807756212	37.7653961182	54.7653961182	0.654865076828		0.9	0.666666666667
6&13		2.73183107376	2.1315032181	40.4985611439	58.4985611439	2.73076707376		0.9	0.684210526316
6&14		2.21997404099	2.13600250483	42.7200500965	61.7200500965	2.21789404099		0.9	0.7
6&15		3.13912606239	2.18384705271	45.8607881069	65.8607881069	3.13790506239		0.9	0.714285714286
6&16		2.45959401131	2.19644640792	48.3218209743	69.3218209743	2.45759601131		0.9	0.727272727273
6&17		2.10486888885	2.19254365175	50.4285039902	72.4285039902	2.10339988885		0.9	0.739130434783
7&17		0.934793949127	2.14020383358	51.3648920059	74.3648920059	0.928656949127		0.8	0.708333333333
8&17		0.840232133865	2.08826160431	52.2065401077	76.2065401077	0.835085133865		0.7	0.68
8&18		2.05232906342	2.08693711574	54.2603650093	79.2603650093	2.05099806342		0.7	0.692307692308
9&18		0.320905208588	2.02158326573	54.5827481747	80.5827481747	0.317083208588		0.6	0.666666666667
10&18		0.605694055557	1.97106553827	55.1898350716	82.1898350716	0.601769055557		0.6	0.642857142857
