"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp2.5K_bs512B.csv -cnm --socket 1 100",,,,"Date:","16 Jul 2017 12:46:43 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.356,8.059,86.742,0.043,0.0,3.801,0.0,0.0,142622720.0,62558208.0,196853760.0,566173696.0,347.0,4.0,6.0,0.0,0.0
1.474,4.177,88.206,0.0,0.0,6.143,1362319.0,1321.0,147030016.0,62558208.0,196857856.0,561762304.0,346.0,3.0,6.0,0.0,0.0
1.867,1.867,95.467,0.0,0.0,0.800,1364064.0,2297.0,142446592.0,62558208.0,196861952.0,566341632.0,346.0,3.0,6.0,0.0,0.0
1.934,1.934,96.133,0.0,0.0,0.0,1352248.0,1811.0,142438400.0,62558208.0,196861952.0,566349824.0,346.0,3.0,6.0,0.0,0.0
1.913,8.197,88.525,0.0,0.0,1.366,1374316.0,1811.0,142512128.0,62558208.0,196861952.0,566276096.0,346.0,3.0,6.0,0.0,0.0
2.151,8.065,86.559,0.0,0.0,3.226,1363651.0,1811.0,142434304.0,62558208.0,196866048.0,566349824.0,346.0,3.0,6.0,0.0,0.0
1.330,6.649,90.160,0.0,0.0,1.862,1363504.0,1811.0,142512128.0,62562304.0,196861952.0,566272000.0,346.0,3.0,6.0,0.0,0.0
2.394,3.723,91.489,0.0,0.0,2.394,1360264.0,1811.0,142557184.0,62562304.0,196866048.0,566222848.0,346.0,3.0,6.0,0.0,0.0
1.847,3.430,92.876,0.0,0.0,1.847,1366204.0,1811.0,142557184.0,62562304.0,196866048.0,566222848.0,346.0,3.0,6.0,0.0,0.0
1.635,2.180,95.095,0.0,0.0,1.090,1347548.0,1096.0,142684160.0,62562304.0,196866048.0,566095872.0,347.0,4.0,6.0,0.0,0.0
1.592,2.122,92.573,0.0,0.0,3.714,1358436.0,1321.0,142749696.0,62562304.0,196866048.0,566030336.0,346.0,3.0,6.0,0.0,0.0
1.804,0.773,89.691,0.0,0.0,7.732,1363504.0,1811.0,142684160.0,62566400.0,196861952.0,566095872.0,346.0,3.0,6.0,0.0,0.0
