Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		3.82794499397	3.82852697372	3.82852697372	3.82852697372	3.82171299397		0.0	0.0
2&0		0.933238983154	2.38176691532	4.76353383064	5.76353383064	0.928932983154		0.0	0.0
3&0		1.21416401863	1.99300161997	5.97900485992	7.97900485992	1.20840701863		0.0	0.0
3&1		2.20667791367	2.04677945375	8.18711781502	11.187117815	2.20468991367		0.1	0.25
4&1		0.669793844223	1.77166256905	8.85831284523	12.8583128452	0.665710844223		0.1	0.2
4&2		2.68049693108	1.92335414886	11.5401248932	16.5401248932	2.67906193108		0.2	0.333333333333
4&3		3.20556998253	2.10674142838	14.7471899986	20.7471899986	3.20346098253		0.3	0.428571428571
4&4		2.04934096336	2.0997479856	16.7979838848	23.7979838848	2.04816596336		0.4	0.5
4&5		2.19905304909	2.11095931795	18.9986338615	26.9986338615	2.19579704909		0.5	0.555555555556
4&6		2.1965239048	2.11968848705	21.1968848705	30.1968848705	2.1944339048		0.6	0.6
5&6		0.320363044739	1.95625136115	21.5187649727	31.5187649727	0.316692044739		0.6	0.545454545455
5&7		2.70106816292	2.01842991511	24.2211589813	35.2211589813	2.69878716292		0.7	0.583333333333
5&8		2.50021290779	2.05561245405	26.7229619026	38.7229619026	2.49804690779		0.8	0.615384615385
5&9		3.11743402481	2.1315781389	29.8420939445	42.8420939445	3.11627002481		0.8	0.642857142857
6&9		0.801019906998	2.04297925631	30.6446888447	44.6446888447	0.796845906998		0.8	0.6
6&10		2.447961092	2.06837812066	33.0940499306	48.0940499306	2.445412092		0.8	0.625
6&11		2.59861898422	2.09965381903	35.6941149235	51.6941149235	2.59737498422		0.8	0.647058823529
6&12		2.7242000103	2.13443938891	38.4199090004	55.4199090004	2.7219820103		0.8	0.666666666667
7&12		0.850749969482	2.06696004617	39.2722408772	57.2722408772	0.846267969482		0.7	0.631578947368
7&13		2.451212883	2.0862390399	41.724780798	60.724780798	2.449284883		0.7	0.65
8&13		1.40090084076	2.05367160979	43.1271038055	63.1271038055	1.39661684076		0.7	0.619047619048
8&14		2.20028591156	2.06039799343	45.3287558556	66.3287558556	2.19772091156		0.7	0.636363636364
9&14		0.669627904892	1.99999651702	45.9999198914	67.9999198914	0.665323904892		0.6	0.608695652174
9&15		2.72808408737	2.03039403756	48.7294569016	71.7294569016	2.72570108737		0.6	0.625
10&15		1.16889190674	1.9959895134	49.8997378349	73.8997378349	1.16284090674		0.6	0.6
10&16		2.70832920074	2.02344342378	52.6095290184	77.6095290184	2.70637520074		0.6	0.615384615385
10&17		3.10556793213	2.06357610667	55.7165548801	81.7165548801	3.10460193213		0.6	0.62962962963
11&17		1.0199379921	2.02635592222	56.7379658222	83.7379658222	1.0158189921		0.5	0.607142857143
12&17		1.15854597092	1.99647668312	57.8978238106	85.8978238106	1.15303197092		0.5	0.586206896552
12&18		2.44430208206	2.01145216624	60.3435649872	89.3435649872	2.44211208206		0.5	0.6
12&19		2.21015405655	2.01790809631	62.5551509857	92.5551509857	2.20789705655		0.6	0.612903225806
13&19		1.00130391121	1.98615596443	63.5569908619	94.5569908619	0.991409911209		0.5	0.59375
14&19		1.13153195381	1.96031129721	64.6902728081	96.6902728081	1.12361495381		0.5	0.575757575758
14&20		2.20508909225	1.96755646958	66.8969199657	99.8969199657	2.20200509225		0.5	0.588235294118
15&20		2.11609601974	1.97186162812	69.0151569843	103.015156984	2.11177701974		0.5	0.571428571429
16&20		1.30223011971	1.95329825083	70.31873703	105.31873703	1.29796611971		0.4	0.555555555556
16&21		2.201597929	1.96004494461	72.5216629505	108.521662951	2.199650929		0.4	0.567567567568
16&22		2.69699907303	1.97947789493	75.2201600075	112.220160007	2.69515207303		0.5	0.578947368421
16&23		2.10254096985	1.98267127917	77.3241798878	115.324179888	2.10152796985		0.6	0.589743589744
17&23		1.11779403687	1.96108624935	78.4434499741	117.443449974	1.11368103687		0.5	0.575
17&24		3.77284884453	2.00530758137	82.217610836	122.217610836	3.77069684453		0.5	0.585365853659
18&24		1.81292200089	2.00076142379	84.0319797993	125.031979799	1.80736400089		0.5	0.571428571429
18&25		2.61986780167	2.01519206513	86.6532588005	128.653258801	2.61877380167		0.6	0.581395348837
18&26		2.20383095741	2.01951329275	88.8585848808	131.858584881	2.20152395741		0.6	0.590909090909
18&27		2.05076384544	2.02024659581	90.9110968113	134.911096811	2.04982084544		0.7	0.6
19&27		0.617404937744	1.98978812798	91.5302538872	136.530253887	0.613160937744		0.7	0.586956521739
20&27		1.36067605019	1.97643185169	92.8922970295	138.892297029	1.35457005019		0.6	0.574468085106
20&28		2.19596600533	1.9810402294	95.0899310112	142.089931011	2.19390400533		0.6	0.583333333333
21&28		0.645503997803	1.95381940628	95.7371509075	143.737150908	0.641193997803		0.5	0.571428571429
22&28		0.892381906509	1.93261737823	96.6308689117	145.630868912	0.886597906509		0.5	0.56
22&29		2.09842205048	1.93589923429	98.7308609486	148.730860949	2.09719105048		0.5	0.56862745098
22&30		2.65366387367	1.94973068971	101.385995865	152.385995865	2.65232987367		0.6	0.576923076923
22&31		2.60372304916	1.96209756383	103.991170883	155.991170883	2.60258804916		0.6	0.584905660377
23&31		1.0116558075	1.94452495928	105.004347801	158.004347801	1.0071928075		0.5	0.574074074074
24&31		1.59721422195	1.93823380037	106.60285902	160.60285902	1.59237622195		0.4	0.563636363636
