"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp2.5K_bs5243B.csv -cnm --socket 1 300",,,,"Date:","16 Jul 2017 13:18:54 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.382,7.915,86.943,0.043,0.0,3.717,0.0,0.0,167305216.0,63946752.0,197062656.0,539893760.0,347.0,4.0,6.0,0.0,1.0
0.273,4.098,93.443,0.0,0.0,2.186,6342045.0,614.0,167034880.0,63946752.0,197070848.0,540155904.0,347.0,4.0,6.0,0.0,1.0
1.648,4.945,92.033,0.0,0.0,1.374,6259587.0,712.0,167391232.0,63950848.0,197070848.0,539795456.0,347.0,4.0,6.0,0.0,1.0
0.541,6.757,91.351,0.0,0.0,1.351,6292770.0,614.0,167358464.0,63950848.0,197070848.0,539828224.0,347.0,4.0,6.0,0.0,1.0
1.370,4.110,92.329,0.0,0.0,2.192,6299135.0,2141.0,167268352.0,63950848.0,197070848.0,539918336.0,346.0,4.0,6.0,0.0,1.0
0.560,5.042,91.036,0.0,0.0,3.361,6398990.0,1104.0,166678528.0,63950848.0,197070848.0,540508160.0,347.0,4.0,6.0,0.0,1.0
0.292,10.496,88.338,0.0,0.0,0.875,6328474.0,1965.0,168054784.0,63950848.0,197070848.0,539131904.0,346.0,4.0,6.0,0.0,1.0
0.796,14.589,82.493,0.265,0.0,1.857,6269610.0,1104.0,168902656.0,63954944.0,197070848.0,538279936.0,347.0,4.0,6.0,0.0,1.0
1.099,7.692,89.011,0.0,0.0,2.198,6320135.0,1875.0,168914944.0,63954944.0,197070848.0,538267648.0,346.0,4.0,6.0,0.0,1.0
1.348,4.852,90.566,0.0,0.0,3.235,6271996.0,802.0,169013248.0,63954944.0,197070848.0,538169344.0,347.0,4.0,6.0,0.0,1.0
1.362,3.815,92.643,0.0,0.0,2.180,6328173.0,1577.0,168095744.0,63954944.0,197070848.0,539086848.0,347.0,4.0,6.0,0.0,1.0
1.117,4.190,94.134,0.0,0.0,0.559,6122361.0,614.0,167694336.0,63954944.0,197070848.0,539488256.0,347.0,4.0,6.0,0.0,1.0
4.244,3.714,90.981,0.0,0.0,1.061,2897968.0,716.0,167424000.0,63963136.0,197070848.0,539750400.0,346.0,3.0,6.0,0.0,1.0
1.374,2.747,93.132,0.0,0.0,2.747,6227778.0,2353.0,167067648.0,63963136.0,197070848.0,540106752.0,346.0,4.0,6.0,0.0,1.0
1.385,5.263,90.305,0.0,0.0,3.047,6273373.0,1104.0,168247296.0,63963136.0,197070848.0,538927104.0,347.0,4.0,6.0,0.0,1.0
1.700,2.833,94.334,0.0,0.0,1.133,6361063.0,994.0,167133184.0,63963136.0,197070848.0,540041216.0,347.0,4.0,6.0,0.0,1.0
1.657,6.906,90.608,0.0,0.0,0.829,6367749.0,680.0,166707200.0,63963136.0,197070848.0,540467200.0,347.0,4.0,6.0,0.0,1.0
1.639,4.645,90.984,0.0,0.0,2.732,6264243.0,794.0,167755776.0,63963136.0,197070848.0,539418624.0,346.0,3.0,6.0,0.0,1.0
0.538,8.333,87.903,0.0,0.0,3.226,6381326.0,868.0,168148992.0,63963136.0,197070848.0,539025408.0,347.0,4.0,6.0,0.0,1.0
1.114,8.635,87.744,0.0,0.0,2.507,6346364.0,1549.0,168124416.0,63963136.0,197070848.0,539049984.0,347.0,4.0,6.0,0.0,1.0
