Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
0&1		5.67269015312	5.67320203781	5.67320203781	5.67320203781	5.67144515312		0.1	1.0
0&2		3.02787590027	4.35128498077	8.70256996155	9.70256996155	3.02713090027		0.2	1.0
0&3		9.74722194672	6.15039865176	18.4511959553	20.4511959553	9.74550294672		0.3	1.0
0&4		10.1066730022	7.13981175423	28.5592470169	31.5592470169	10.1055190022		0.4	1.0
0&5		3.06549310684	6.32523941994	31.6261970997	35.6261970997	3.06465110684		0.5	1.0
0&6		2.032725811	5.6100376447	33.6602258682	38.6602258682	2.032038811		0.6	1.0
0&7		2.5471329689	5.17268157005	36.2087709904	42.2087709904	2.5461049689		0.7	1.0
0&8		2.05535387993	4.78321549296	38.2657239437	45.2657239437	2.05451487993		0.8	1.0
0&9		3.54912996292	4.64625178443	41.8162660599	49.8162660599	3.54824496292		0.9	1.0
0&10		2.04070305824	4.38582210541	43.8582210541	52.8582210541	2.03992105824		1.0	1.0
0&11		2.03553295135	4.17228664051	45.8951530457	55.8951530457	2.03477895135		1.0	1.0
0&12		2.6299071312	4.04387609164	48.5265130997	59.5265130997	2.6289421312		1.0	1.0
0&13		3.03663921356	3.96647308423	51.564150095	63.564150095	3.03587521356		1.0	1.0
0&14		2.03352499008	3.82850520951	53.5990729332	66.5990729332	2.03269699008		1.0	1.0
0&15		5.63913607597	3.94930726687	59.2396090031	73.2396090031	5.63807007597		1.0	1.0
0&16		5.07822299004	4.01995131373	64.3192210197	79.3192210197	5.07740999004		1.0	1.0
0&17		2.07360100746	3.90554070473	66.3941919804	82.3941919804	2.07283400746		1.0	1.0
0&18		2.03330111504	3.80160355568	68.4288640022	85.4288640022	2.03252211504		1.0	1.0
0&19		5.52689504623	3.89248268228	73.9571709633	91.9571709633	5.52591704623		1.0	1.0
0&20		2.53658008575	3.82475805283	76.4951610565	95.4951610565	2.53550208575		1.0	1.0
0&21		10.095291853	4.12342404184	86.5919048786	106.591904879	10.094104853		1.0	1.0
0&22		5.15345692635	4.17030695352	91.7467529774	112.746752977	5.15267992635		1.0	1.0
0&23		17.738077879	4.7602429079	109.485586882	131.485586882	17.737039879		1.0	1.0
0&24		2.03996109962	4.64695508281	111.526921988	134.526921988	2.03920209962		1.0	1.0
0&25		5.06108307838	4.66357604027	116.589401007	140.589401007	5.06032007838		1.0	1.0
0&26		3.07876682281	4.60267564884	119.66956687	144.66956687	3.07802282281		1.0	1.0
0&27		10.1098070145	4.80669607057	129.780793905	155.780793905	10.1087600145		1.0	1.0
0&28		2.62715196609	4.7289044261	132.409323931	159.409323931	2.62617296609		1.0	1.0
0&29		7.14315795898	4.81220379369	139.553910017	167.553910017	7.14241295898		1.0	1.0
0&30		3.06768107414	4.75409873327	142.622961998	171.622961998	3.06690807414		1.0	1.0
0&31		68.8521859646	6.82182438912	211.476556063	241.476556063	68.8514599646		1.0	1.0
0&32		3.06891703606	6.70457556099	214.546417952	245.546417952	3.06812303606		1.0	1.0
0&33		2.62002587318	6.58084448179	217.167867899	249.167867899	2.61910187318		1.0	1.0
0&34		5.05955505371	6.53614132545	222.228805065	255.228805065	5.05867505371		1.0	1.0
0&35		3.01596713066	6.43560408865	225.246143103	259.246143103	3.01488713066		1.0	1.0
0&36		2.52381801605	6.32698205445	227.77135396	262.77135396	2.52282001605		1.0	1.0
0&37		3.00897479057	6.23734407812	230.78173089	266.78173089	3.00800279057		1.0	1.0

Total-Times:37	Loss-Times:37	Recent 10 times loss possiblity: 0.10	Total Hex File Loss number: 1
