"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp2W_bs4B.csv -cnm --socket 1 300",,,,"Date:","16 Jul 2017 12:19:23 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.361,7.900,86.994,0.044,0.0,3.701,0.0,0.0,141627392.0,61358080.0,196493312.0,568729600.0,347.0,4.0,6.0,0.0,0.0
1.657,12.983,77.624,0.0,0.0,7.735,414918.0,196.0,141787136.0,61358080.0,196497408.0,568565760.0,347.0,4.0,6.0,0.0,0.0
0.531,16.446,75.597,0.0,0.0,7.427,414302.0,98.0,141770752.0,61358080.0,196497408.0,568582144.0,347.0,4.0,6.0,0.0,0.0
0.532,14.096,75.798,0.0,0.0,9.574,442090.0,98.0,141770752.0,61358080.0,196497408.0,568582144.0,347.0,4.0,6.0,0.0,0.0
0.826,12.948,78.237,0.0,0.0,7.989,451746.0,600.0,141770752.0,61358080.0,196497408.0,568582144.0,347.0,4.0,6.0,0.0,0.0
1.111,21.944,72.778,0.0,0.0,4.167,433380.0,98.0,141766656.0,61362176.0,196497408.0,568582144.0,347.0,4.0,6.0,0.0,0.0
1.377,22.039,68.044,0.0,0.0,8.540,415080.0,188.0,141762560.0,61362176.0,196501504.0,568582144.0,346.0,4.0,6.0,0.0,0.0
0.575,22.414,72.414,0.0,0.0,4.598,417448.0,196.0,141852672.0,61362176.0,196501504.0,568492032.0,347.0,5.0,6.0,0.0,0.0
0.798,15.426,76.064,0.0,0.0,7.713,423338.0,408.0,141762560.0,61362176.0,196501504.0,568582144.0,347.0,5.0,6.0,0.0,0.0
0.813,14.363,77.236,0.0,0.0,7.588,425384.0,188.0,141762560.0,61362176.0,196501504.0,568582144.0,347.0,4.0,6.0,0.0,0.0
1.102,13.223,77.410,0.0,0.0,8.264,421474.0,188.0,141762560.0,61362176.0,196501504.0,568582144.0,346.0,4.0,6.0,0.0,0.0
0.531,15.385,75.862,0.265,0.0,7.958,436390.0,286.0,141762560.0,61366272.0,196497408.0,568582144.0,347.0,5.0,6.0,0.0,0.0
0.265,14.589,75.332,0.0,0.0,9.814,435794.0,274.0,141758464.0,61366272.0,196501504.0,568582144.0,347.0,4.0,6.0,0.0,0.0
0.542,13.008,77.236,0.0,0.0,9.214,438230.0,98.0,141758464.0,61366272.0,196501504.0,568582144.0,347.0,4.0,6.0,0.0,0.0
0.826,13.774,78.788,0.0,0.0,6.612,442288.0,196.0,141758464.0,61366272.0,196501504.0,568582144.0,347.0,4.0,6.0,0.0,0.0
0.270,14.555,76.819,0.0,0.0,8.356,429800.0,98.0,141758464.0,61366272.0,196501504.0,568582144.0,347.0,4.0,6.0,0.0,0.0
0.800,14.933,76.0,0.0,0.0,8.267,437374.0,98.0,141754368.0,61370368.0,196501504.0,568582144.0,347.0,4.0,6.0,0.0,0.0
0.789,15.0,75.0,0.0,0.0,9.211,440212.0,98.0,141754368.0,61370368.0,196501504.0,568582144.0,347.0,4.0,6.0,0.0,0.0
0.556,20.278,71.111,0.0,0.0,8.056,440132.0,400.0,141754368.0,61370368.0,196501504.0,568582144.0,347.0,4.0,6.0,0.0,0.0
0.279,22.905,69.553,0.0,0.0,7.263,429338.0,555.0,141787136.0,61370368.0,196501504.0,568549376.0,347.0,4.0,6.0,0.0,0.0
1.117,21.788,70.670,0.0,0.0,6.425,436650.0,98.0,141914112.0,61370368.0,196501504.0,568422400.0,347.0,4.0,6.0,0.0,0.0
1.078,14.016,76.280,0.0,0.0,8.625,434098.0,200.0,141914112.0,61370368.0,196501504.0,568422400.0,346.0,4.0,6.0,0.0,0.0
0.802,13.904,76.203,0.0,0.0,9.091,419182.0,196.0,141910016.0,61374464.0,196501504.0,568422400.0,347.0,5.0,6.0,0.0,0.0
0.802,12.834,76.471,0.0,0.0,9.893,462860.0,274.0,141877248.0,61374464.0,196501504.0,568455168.0,347.0,4.0,6.0,0.0,0.0
0.820,13.661,77.869,0.0,0.0,7.650,441576.0,98.0,141885440.0,61374464.0,196501504.0,568446976.0,347.0,4.0,6.0,0.0,0.0
0.809,12.668,76.550,0.0,0.0,9.973,434846.0,196.0,141885440.0,61374464.0,196501504.0,568446976.0,347.0,4.0,6.0,0.0,0.0
0.548,13.425,78.082,0.0,0.0,7.945,427804.0,98.0,141885440.0,61374464.0,196501504.0,568446976.0,347.0,4.0,6.0,0.0,0.0
0.538,16.129,75.806,0.0,0.0,7.527,418856.0,98.0,142004224.0,61382656.0,196501504.0,568320000.0,347.0,4.0,6.0,0.0,0.0
0.538,13.441,76.882,0.0,0.0,9.140,431844.0,98.0,142004224.0,61382656.0,196501504.0,568320000.0,347.0,4.0,6.0,0.0,0.0
0.543,14.946,77.174,0.0,0.0,7.337,448640.0,310.0,142004224.0,61382656.0,196501504.0,568320000.0,347.0,4.0,6.0,0.0,0.0
0.542,14.634,76.965,0.0,0.0,7.859,427814.0,188.0,141901824.0,61382656.0,196501504.0,568422400.0,347.0,4.0,6.0,0.0,0.0
1.120,23.249,68.347,0.0,0.0,7.283,419886.0,98.0,141869056.0,61382656.0,196509696.0,568446976.0,347.0,4.0,6.0,0.0,0.0
1.117,22.626,68.436,0.0,0.0,7.821,423930.0,188.0,141885440.0,61390848.0,196517888.0,568414208.0,347.0,4.0,6.0,0.0,0.0
0.847,16.384,74.011,0.0,0.0,8.757,436364.0,196.0,141885440.0,61390848.0,196517888.0,568414208.0,348.0,5.0,6.0,0.0,0.0
0.796,14.854,75.066,0.0,0.0,9.284,426918.0,408.0,141885440.0,61390848.0,196517888.0,568414208.0,348.0,5.0,6.0,0.0,0.0
1.330,15.691,75.532,0.0,0.0,7.447,434848.0,188.0,141987840.0,61390848.0,196517888.0,568311808.0,347.0,4.0,6.0,0.0,0.0
1.887,14.825,75.741,0.0,0.0,7.547,435714.0,278.0,141987840.0,61390848.0,196517888.0,568311808.0,346.0,3.0,6.0,0.0,0.0
0.532,15.691,75.798,0.266,0.0,7.713,435398.0,530.0,142110720.0,61394944.0,196517888.0,568184832.0,347.0,4.0,6.0,0.0,0.0
1.604,14.706,75.401,0.0,0.0,8.289,423682.0,98.0,142110720.0,61394944.0,196517888.0,568184832.0,347.0,4.0,6.0,0.0,0.0
1.084,14.363,76.423,0.0,0.0,8.130,423162.0,278.0,142110720.0,61394944.0,196517888.0,568184832.0,346.0,4.0,6.0,0.0,0.0
0.265,15.608,75.661,0.0,0.0,8.466,420070.0,600.0,142143488.0,61394944.0,196517888.0,568152064.0,347.0,4.0,6.0,0.0,0.0
1.067,14.400,75.467,0.0,0.0,9.067,419102.0,188.0,142110720.0,61394944.0,196517888.0,568184832.0,347.0,4.0,6.0,0.0,0.0
1.013,7.595,87.342,0.0,0.0,4.051,177764.0,98.0,142106624.0,61399040.0,196517888.0,568184832.0,347.0,4.0,6.0,0.0,0.0
1.972,15.211,81.127,0.0,0.0,1.690,336042.0,368.0,142184448.0,61399040.0,196521984.0,568102912.0,346.0,4.0,6.0,0.0,0.0
0.282,22.034,70.339,0.0,0.0,7.345,399390.0,690.0,142127104.0,61399040.0,196521984.0,568160256.0,347.0,4.0,6.0,0.0,0.0
1.124,20.787,69.382,0.0,0.0,8.708,408914.0,188.0,142159872.0,61399040.0,196521984.0,568127488.0,347.0,4.0,6.0,0.0,0.0
1.355,16.531,72.900,0.0,0.0,9.214,431550.0,188.0,142221312.0,61399040.0,196521984.0,568066048.0,346.0,3.0,6.0,0.0,0.0
0.800,13.067,76.0,0.267,0.0,9.867,446458.0,196.0,142213120.0,61407232.0,196521984.0,568066048.0,347.0,4.0,6.0,0.0,0.0
0.533,13.067,76.533,0.0,0.0,9.867,426756.0,498.0,142213120.0,61407232.0,196521984.0,568066048.0,347.0,4.0,6.0,0.0,0.0
1.070,13.369,75.936,0.0,0.0,9.626,424440.0,98.0,142213120.0,61407232.0,196521984.0,568066048.0,347.0,4.0,6.0,0.0,0.0
1.316,14.211,75.263,0.0,0.0,9.211,431318.0,188.0,142086144.0,61407232.0,196521984.0,568193024.0,346.0,4.0,6.0,0.0,0.0
0.533,14.933,77.067,0.0,0.0,7.467,446314.0,408.0,142086144.0,61407232.0,196521984.0,568193024.0,347.0,5.0,6.0,0.0,0.0
0.541,13.784,79.189,0.0,0.0,6.486,392720.0,290.0,142118912.0,61407232.0,196521984.0,568160256.0,347.0,5.0,6.0,0.0,0.0
1.330,13.564,76.596,0.0,0.0,8.511,430406.0,290.0,142118912.0,61407232.0,196521984.0,568160256.0,346.0,4.0,6.0,0.0,0.0
